ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367524,milnacipran,瀰樂思汀；胺醯環丙類思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),2024.11.22,
21367525,milrinone,甲腈聯吡酮,Phosphodiesterase inhibitors：PDE3 inhibitors [Cardiotonic agents：PDE3 inhibitors],2024.11.22,
21367526,miltefosine,膦膽鹼棕櫚酯,Antiparasitics：Antiprotozoals,2024.11.22,
21367527,minocycline ,甲胺四環素,Antibiotics：Tetracyclines,2024.11.22,
21367528,minoxidil,嘧羥壓定,Antihypertensives：Agents acting on arteriolar smooth muscle,2024.11.22,
21367529,mirtazapine,甲哌𠯤吡氮呯；吡氮三環甲哌𠯤,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367530,misoprostol,甲異前列酯 E<sub>2</sub>,<p>Drugs for peptic ulcer and gastroesophageal reflux disease: Prostaglandins [Prostaglandin analogues]</p>,<p>2024.11.22</p>,
21367531,mitomycin,絲裂絲菌素,Antineoplastic agents：Antibiotics,2024.11.22,
21367532,mitoxantrone,絲裂蒽醌,Antineoplastic agents：Antibiotics,2024.11.22,
21367533,moclobemide,𠰌氯苯醯胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367534,mosapride,摩洒泊秘；氟𠰌苯醯胺,Laxatives：Prokinetic Agents (5-HT4 agonists) ,2024.11.22,
21367535,moxifloxacin ,抹卸氟洒欣；甲氧哌吡氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367536,mupirocin ,螢假單孢菌素,Antibiotics：Others,2024.11.22,
21367537,nabilone,壬氫大麻酚酮,Antiemetics：Cannabinoid receptors agonists,2024.11.22,
21367538,nadifloxacin ,耐定氟洒欣；羥氟哌啶洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367539,nadolol,萘羥洛；羥氫萘丁洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367540,nafarelin,萘丙甘促垂肽；萘丙甘醯胺促垂體肽,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367541,naftifine,桂皮萘胺；萘甲桂皮胺,Antifungals：Allylamines,2024.11.22,
21367542,naftopidil,萘妥洛；萘妥壓定,Antihypertensives：Adrenergic agents,2024.11.22,
21367543,nalidixic acid,㖠啶酮酸,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367544,"natamycin, pimaricin",納達絲菌素；納達烯內酯,Antifungals：Polyenes,2024.11.22,
21367545,nebivolol,納必落；二氟色原烷洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367546,nelfinavir,納斐韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367547,nemonoxacin,耐諾洒欣；哌環丙喹啉酮酸,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367548,neomycin,新絲菌素,Antibiotics：Aminoglycosides,2024.11.22,
21367549,neostigmine,新扁豆鹼,Antiglaucoma agents：Acetylcholinesterase inhibitors,2024.11.22,
21367550,neratinib,虐擾乳靶泊；吡胺氰喹啉乳靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367551,netilmicin,耐特菌素；乙印優微單孢菌素,Antibiotics：Aminoglycosides,2024.11.22,
21367552,netupitant,網堵脾坦；哌𠯤丁醯胺必坦,Antiemetics：NK1 receptor antagonist,2024.11.22,
21367553,nevirapine,環丙吡氮呯,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),2024.11.22,
21367554,nialamide,菸醯肼丙醯胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367555,nicardipine,尼心定平；苄胺硝啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367556,niclosamide,硝氯柳醯胺；硝氯苯柳醯胺,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367557,nifedipine,尼斐定平；硝啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367558,nifuroxazide,硝呋酚醯腙,Antibiotics：Others,2024.11.22,
21367559,nifurtimox,硝呋碸𠰌腙,Antiparasitics：Antiprotozoals,2024.11.22,
21367560,nilotinib,逆落淋靶泊；咪吡醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367561,nilutamide,硝鹵醯胺；硝氟苄乙內醯脲,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367562,nimodipine,尼脈定平；硝甲醚啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367563,nintedanib,逆撻血管靶泊；哌吲酮芪血管靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367564,niraparib,逆擾聚核苷靶泊；哌啶吲唑聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367565,nirmatrelvir,寧滅肺韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367566,nitazoxanide,硝噻唑柳醯胺,Antiparasitics：Antiprotozoals,2024.11.22,
21367567,nitrendipine,尼淬定平；硝乙啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367568,nitrofurantoin ,硝呋咪二酮腙,Antibiotics：Others,2024.11.22,
21367569,"nitrofurazone, nitrofural ",硝呋胺醯腙,Antibiotics：Others,2024.11.22,
21367570,nivolumab,逆伏單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367571,nizatidine,硝噻唑抗組胺；硝烯噻唑硫醚,Antihistamines：H2-antihistamines,2024.11.22,
21367572,norethindrone,挪炔睪酮；炔去甲睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367573,norethisterone,挪炔睪酮；炔去甲睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367574,norfloxacin ,挪氟洒欣；去甲乙氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367575,norgestrel,炔異睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367576,nortriptyline,甲思定；去甲三環丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367577,nystatin,耐絲菌素；耐絲烯內酯,Antifungals：Polyenes,2024.11.22,
21367578,octreotide,八體汀肽；苯丙蘇醇體汀肽 ,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367579,ofloxacin,奧氟洒欣；甲𠰌氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367580,olaparib,奧獵聚核苷靶泊；哌苯呔𠯤酮聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367581,oleandomycin,竹桃絲菌素；黃絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367582,olmesartan,沃美洒坦；四唑二呃裂拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367583,olmesartan medoxomil,沃美洒坦㗁呃酯；四唑二呃裂拮壓㗁呃酯,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367584,omidenepag isopropyl ,目明促攝素；吡唑磺醯甘胺酯,"Antiglaucoma agents：Prostaglandins receptors agonists, non-prostanoids",2024.11.22,
21367585,ondansetron,安坦息衝；咪咔唑酮,Antiemetics：5-HT3 antagonist,2024.11.22,
21367586,orciprenaline,甲苯苄醚胺,Antihistamines：H1-antihistamines,2024.11.22,
21367587,oseltamivir,奧卸流感韋爾；戊莽流感韋爾,Antivirals：Neuraminidase inhibitors,2024.11.22,
21367588,osimertinib,奧新肺靶泊；吲胺嘧肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367589,oxacillin,苯㗁唑西林,Antibiotics：Penicillins,2024.11.22,
21367590,oxaliplatin,胺配草酸鉑,Antineoplastic agents：Alkylating agents,2024.11.22,
21367591,oxamniquine,羥胺硝喹；羥硝丙胺氫喹,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367592,oxcarbazepine,羰胺甲醯氮呯,Anticonvulsants/Antiepileptic drugs (AEDs)：Carboxamides,2024.11.22,
21367593,oxiconazole,肟氯剋黴唑；肟氯乙剋黴唑,Antifungals：Azole,2024.11.22,
21367594,oxolinic acid,㗁喹啉酮酸,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367595,oxprenolol,沃壓諾落；丙烯醚異丙洛,Antihypertensives：Adrenergic agents,2024.11.22,
21367596,oxytetracycline,羥四環素,Antibiotics：Tetracyclines,2024.11.22,
21367597,paclitaxel,紫杉醇,Antineoplastic agents：Taxanes,2024.11.22,
21367598,palbociclib,拔搏週素靶泊；哌戊吡嘧酮週素靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367599,palivizumab,帕利肺單抗,Antivirals：Others,2024.11.22,
21367600,palonosetron,泛諾息衝；𪡓環己異喹酮,Antiemetics：5-HT3 antagonist,2024.11.22,
21367601,panitumumab,泛益妥單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367602,panobinostat,吲桂羥醯胺,Antineoplastic agents： Histone deacetylase inhibitors,2024.11.22,
21367603,papaverine,罌粟鹼,Phosphodiesterase inhibitors：PDE10 inhibitors,2024.11.22,
21367604,paraldehyde,三聚乙醛,Anticonvulsants/Antiepileptic drugs (AEDs)：Aldehydes,2024.11.22,
21367605,paramethadione,乙甲㗁唑二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Oxazolidinediones,2024.11.22,
21367606,paromomycin,龜裂絲菌素；蠕原蟲絲菌素,Antibiotics：Aminoglycosides [Antiparasitics：Antiprotozoals],2024.11.22,
21367607,paroxetine,哌樂思汀；氟苯哌啶類思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),2024.11.22,
21367608,pasireotide,泊類體汀肽；胺甲酯苯甘類體汀肽,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367609,pazopanib,泛挫血管靶泊；吲唑苯磺胺血管靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367610,peficitinib,金剛胺熄靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367611,pefloxacin ,貝氟洒欣；乙氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367612,pembrolizumab,遍搏擬單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367613,pemetrexed,吡咯葉酸,Antineoplastic agents：Antimetabolites,2024.11.22,
21367614,pemigatinib,沛革膽靶泊；氟𠰌吡咯嘧酮膽靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367615,penbutolol,環戊丁洛；環戊(叔)丁洛,Antihypertensives：Adrenergic agents,2024.11.22,
21367616,penciclovir,泛賜疱韋爾；戊二醇鳥疱韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367617,Penicillamine,青黴胺；硫醇纈胺酸,<p>Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Heavy metal antagonists]</p>,<p>2024.11.22</p>,
21367618,pentamidine,戊雙苄脒醚 ,Antiparasitics：Antiprotozoals,2024.11.22,
21367619,pentetreotide,遍透體汀肽；羧胺蘇醇體汀肽,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367620,pentoxifylline,戊酮咖啡因；己酮可可鹼,Phosphodiesterase inhibitors：Methylated xanthines,2024.11.22,
21367621,peramivir,泊安流感韋爾；胍異莽流感韋爾,Antivirals：Neuraminidase inhibitors,2024.11.22,
21367622,perampanel,苯腈聯吡酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Others,2024.11.22,
21367623,perindopril,配吲哚壓利；戊縮丙環己脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367624,pertuzumab,赫妥擬單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367625,pexidartinib,沛達腱靶泊；氟氯吡咯吡啶腱靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367626,phenelzine,苯乙聯胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367627,phenobarbital,苯巴比妥；苯嘧啶三酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Barbiturates,2024.11.22,
21367628,phenobarbitone,苯巴比妥；苯嘧啶三酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Barbiturates,2024.11.22,
21367629,phenytoin,二苯妥因；苯乙內醯脲,Anticonvulsants/Antiepileptic drugs (AEDs)：Hydantoins [Antiarrhythmics agents：Class Ib antiarrhythmics],2024.11.22,
21367630,physostigmine,毒扁豆鹼,Antiglaucoma agents：Acetylcholinesterase inhibitors,2024.11.22,
21367631,pibrentasvir,庇瑞肝韋爾；二蘇肝韋爾,Antivirals：Hepatitis C Virus (HCV) non-structural protein 5A (NS5A) inhibitors,2024.11.22,
21367632,pilocarpine ,毛果芸香鹼,Antiglaucoma agents：Muscarinic acetylcholine receptors agonists,2024.11.22,
21367633,pimecrolimus,氯子囊菌素；氯代羥子囊菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,2024.11.22,
21367634,pindolol,丙吲哚洛；吲哚丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367635,pipemidic acid,哌𠯤嘧吡酮酸,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367636,piperacillin,哌𠯤酮西林,Antibiotics：Penicillins,2024.11.22,
21367637,piperazine,哌𠯤,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367638,piracetam,吡咯酮乙醯胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Pyrrolidines,2024.11.22,
21367639,piroctone olamine,戊羥啶酮•乙醇胺；新戊丙羥啶酮乙醇銨鹽,Antifungals：Others,2024.11.22,
21367640,plecanatide,白纈疏秘肽,,2024.11.22,
21367641,polycarbophil calcium,交聯聚丙烯酸鈣鹽 ,Laxatives：Bulk-forming agents,2024.11.22,
21367642,polyethylene glycol (PEG),聚乙二醇,Laxatives：Osmotic agents,2024.11.22,
21367643,polymyxin B,多黏桿菌素B；多黏桿菌肽B,Antibiotics：Polypeptides,2024.11.22,
21367644,polymyxin E,多黏桿菌素E；多黏桿菌肽E,Antibiotics：Polypeptides,2024.11.22,
21367645,pomalidomide,沙利竇邁胺,Antineoplastic agents： Immunomodulatory Agents (IMiDs) ,2024.11.22,
21367646,ponatinib,保拏淋靶泊；咪三唑哌醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367647,posaconazole ,泊煞剋黴唑；羥𠯤氟剋黴三唑,Antifungals：Azole,2024.11.22,
21367648,pralatrexate,丙炔胺葉酸,Antineoplastic agents：Antimetabolites,2024.11.22,
21367649,praziquantel,哌𠯤酮異喹,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367650,prazosin,哌𠯤挫欣；呋醯哌𠯤挫欣,Antihypertensives：Adrenergic agents,2024.11.22,
21367651,pregabalin,異丁胺丁酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,2024.11.22,
21367652,primaquine ,甲氧喹；戊二胺甲氧喹,Antiparasitics：Antiprotozoals,2024.11.22,
21367653,primidone,苯嘧啶二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Barbiturates,2024.11.22,
21367654,pristinamycin,螺絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367655,procainamide ,新卡醯胺,Antiarrhythmics agents：Class Ia antiarrhythmics,2024.11.22,
21367656,prochlorperazine,丙氯哌𠯤 ；氯哌𠯤丙苯噻𠯤,Antiemetics：Dopamine antagonist,2024.11.22,
21367657,progesterone,黃體素；黃體固酮；孕酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367658,progestin,黃體素；黃體固酮；孕酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367659,proguanil,丙縮胍；氯苯丙縮胍,Antiparasitics：Antiprotozoals,2024.11.22,
21367660,promethazine,丙胺苯噻𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],2024.11.22,
21367661,propafenone,苯丙酮洛丙胺酚醚酮,Antiarrhythmics agents：Class Ib antiarrhythmics,2024.11.22,
21367662,propranolol,丙萘洛；萘丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367663,protriptyline,原思定；烯三環丙胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367664,prucalopride ,撲卡泊秘；丙哌呋苯醯胺,Laxatives：Prokinetic Agents (5-HT4 agonists) ,2024.11.22,
21367665,psyllium,車前子,Laxatives：Bulk-forming agents,2024.11.22,
21367666,pyrantel,嘧啶噻吩芪,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367667,pyrazinamide,吡𠯤醯胺,Antimycobacterials,2024.11.22,
21367668,pyrilamine,甲吡胺；吡甲氧苄二胺,Antihistamines：H1-antihistamines,2024.11.22,
21367669,pyrimethamine,嘧啶乙胺；胺氯苯乙嘧啶,Antiparasitics：Antiprotozoals,2024.11.22,
21367670,pyrvinium,吡咯喹𮢅芪,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367671,ouabain,哇巴因；毒毛旋花子苷-G,<p>Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides]</p>,<p>2024.11.22</p>,
21367672,quetiapine,靜硫氮呯；羥哌𠯤硫氮呯,<p>Antipsychotics: Atypical antipsychotics [Antidepressants：Atypical antipsychotics]</p>,<p>2024.11.22</p>,
21367673,quinapril,喹啉壓利；苄丙縮丙異喹啉,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367674,quinidine,異奎寧,Antiparasitics：Antiprotozoals [Antiarrhythmics agents：Class Ia antiarrhythmics],2024.11.22,
21367675,quinine ,奎寧,Antiparasitics：Antiprotozoals,2024.11.22,
21367676,quinupristin,𪡓啶螺菌素；𪡓啶螺絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367677,raloxifene,胺苯酮噻芪酚；胺苯甲醯噻吩芪酚,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Estrogen receptor (ER) modulators],2024.11.22,
21367678,raltegravir,拉勒嵌韋爾,Antivirals：Integrase inhibitors,2024.11.22,
21367679,ramipril,瑞弭壓利；苄丙縮丙環戊脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367680,ramosetron,鋭沒息衝；吲氫苯二唑酮,Antiemetics：5-HT3 antagonist,2024.11.22,
21367681,ramucirumab,瑞睦單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367682,ranitidine,喃硝抗組胺；硝烯二胺呋硫醚,Antihistamines：H2-antihistamines,2024.11.22,
21367683,regorafenib,力革速肌靶泊；鹵脲氟吡醯胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367684,remdesivir,瑞德肺韋爾；氰類腺肺韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367685,reserpine,利血平；蛇根鹼,Antihypertensives：Miscellaneous,2024.11.22,
21367686,ribavirin,銳拔肝韋爾；三唑核苷,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367687,ribociclib,力搏週素靶泊；哌戊咯嘧醯胺週素靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367688,rifabutin ,丁哌立泛菌素；丁哌無枝菌素,Antimycobacterials,2024.11.22,
21367689,"rifampin, rifampicin",立泛絲菌素；無枝菌素,Antimycobacterials,2024.11.22,
21367690,rifapentine ,環戊立泛菌素；環戊無枝菌素,Antimycobacterials,2024.11.22,
21367691,rilpivirine,瑞庇韋爾啶；氰烯韋爾啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),2024.11.22,
21367692,rimantadine,金剛烷乙胺,Antivirals：Uncoating inhibitors ,2024.11.22,
21367693,ripretinib,力撲胃靶泊；脲氟㖠啶酮胃靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367694,ritonavir,利妥韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367695,Rituximab,利妥嵌單抗,<p>Anti-rheumatic Agents：Biological DMARDs [Antineoplastic agents：Monoclonal antibodies]</p>,<p>2024.11.22</p>,
21367696,rivastigmine,瑞伐豆胺；l-乙擬毒扁豆鹼,Antidementia：Acetylcholinesterase inhibitors,2024.11.22,
21367697,roflumilast,諾氣順；吡氟環香草醯胺,Phosphodiesterase inhibitors：PDE4 inhibitors,2024.11.22,
21367698,romidepsin,紫桿菌酯肽,Antineoplastic agents： Histone deacetylase inhibitors,2024.11.22,
21367699,roxithromycin,醚肟紅菌素；醚肟紅絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367700,rucaparib,鹵卡聚核苷靶泊；胺吲氮呯酮聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367701,rufinamide,氟苄唑醯胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Others,2024.11.22,
21367702,ruxolitinib,擄狩髓靶泊；環戊腈咯嘧啶髓靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367703,saquinavir,雙喹韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367704,"scopolamine, hyoscine",東莨菪鹼,Antiemetics：Muscarinic antagonist,2024.11.22,
21367705,selegiline,丙炔安非他命；炔苯異丙胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367706,selexipag,卸舒促環攝素；碸醯胺苯吡𠯤,"Prostacyclin receptor agonists, non-prostanoids that are not used to treat glaucoma",2024.11.22,
21367707,selumetinib,卸落神纖靶泊；羥乙氧咪神纖靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367708,sennoside,番瀉苷,Laxatives：Stimulant laxatives,2024.11.22,
21367709,sertaconazole,舒達剋黴唑；苯噻吩乙剋黴唑,Antifungals：Azole,2024.11.22,
21367710,sertraline,血清素林；氯氫萘類思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),2024.11.22,
21367711,sildenafil,欣達納啡；哌𠯤磺苯異嘌呤,Phosphodiesterase inhibitors：PDE5 inhibitors,2024.11.22,
21367712,"sirolimus, rapamycin",潮絲菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,2024.11.22,
21367713,sisomicin,塞梭菌素；印優微單孢菌素,Antibiotics：Aminoglycosides,2024.11.22,
21367714,sodium calcium edetate,乙二胺四乙酸鈣二鈉,Heavy metal antagonists,2024.11.22,
21367715,sodium nitroprusside,硝普鈉；亞硝氰鐵化鈉,Antihypertensives：Agents acting on arteriolar smooth muscle,2024.11.22,
21367716,sodium picosulfate,二硫酸酚酯甲吡啶鈉鹽,Laxatives：Stimulant laxatives,2024.11.22,
21367717,sodium stibogluconate,銻酸葡酸酯鈉鹽,Antiparasitics：Antiprotozoals,2024.11.22,
21367718,sodium valproate,丙戊酸鈉鹽,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,2024.11.22,
21367719,sofosbuvir,舒活肝韋爾；膦氟尿肝韋爾,Antivirals：RNA polymerase (NS5B) inhibitors,2024.11.22,
21367720,sorafenib,狩速肌靶泊 ；鹵脲吡醯胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367721,sorbitol,山梨醇,Laxatives：Osmotic agents,2024.11.22,
21367722,sotalol,舒坦落；磺醯胺丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class III antiarrhythmics] [Antiarrhythmics agents：Class III antiarrhythmics],2024.11.22,
21367723,sparfloxacin ,司拔氟洒欣；環丙二氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367724,spironolactone,螺內酯；螺內酯固酮,Antihypertensives：Diuretics,2024.11.22,
21367725,stanozolol,吡唑甲睪酮,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367726,stavudine,胸去羥烯苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367727,streptomycin,鏈絲菌素,Antibiotics：Aminoglycosides,2024.11.22,
21367728,strophanthin-G,哇巴因；毒毛旋花子苷-G,Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides],2024.11.22,
21367729,succinylsulfathiazole,琥珀醯噻唑磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367730,sulbactam,碸丙內醯胺,Antibiotics：β-lactamase inhibitor,2024.11.22,
21367731,sulconazole,硫剋黴唑；硫代乙剋黴唑,Antifungals：Azole,2024.11.22,
21367732,sulfacarbamide,胺甲醯磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367733,sulfacetamide,乙醯磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367734,sulfadiazine ,嘧啶磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367735,sulfadimethoxine ,二甲氧嘧啶磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367736,"sulfadimidine, sulfamethazine",二甲嘧啶磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367737,sulfadoxine ,異二甲氧嘧啶磺胺,Antiparasitics：Antiprotozoals,2024.11.22,
21367738,sulfamerazine,甲嘧啶磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367739,sulfamethizole ,甲噻二唑磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367740,sulfamethoxazole ,甲異㗁唑磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367741,sulfamethoxydiazine,甲氧嘧啶磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367742,sulfamethoxypyridazine ,甲氧嗒𠯤磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367743,sulfanilamide,磺胺；胺苯磺醯胺,Antibiotics：Sulfonamides,2024.11.22,
21367744,sulfapyridine,吡啶磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367745,sulfathiazole ,噻唑磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367746,sulfisomidine ,異二甲嘧啶磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367747,"sulfisoxazole, sulfafurazole",二甲異㗁唑磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367748,sulpiride,磺醯必利；磺醯吡咯啶,Antiemetics：Dopamine antagonist,2024.11.22,
21367749,sultamicillin ,碸丙內醯胺^胺苄西林,Antibiotics：Penicillins,2024.11.22,
21367750,sunitinib,疏逆腎靶泊；胺吲酮吡咯腎靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367751,suramin,蘇拉明；磺萘苯醯胺脲,Antiparasitics：Antiprotozoals,2024.11.22,
21367752,tacrolimus,筑波絲菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,2024.11.22,
21367753,tadalafil,坦達樂啡；椒醛縮色甘肽,Phosphodiesterase inhibitors：PDE5 inhibitors,2024.11.22,
21367754,tafluprost,氟類前列酯F2α；苯氧氟前列丙酯F2α,Antiglaucoma agents：Prostaglandin analogues,2024.11.22,
21367755,talazoparib,撻獵聚核苷靶泊；氟唑吡呔𠯤酮聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367756,tamoxifen,胺醚苯乙芪,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Estrogen receptor (ER) modulators],2024.11.22,
21367757,tamsulosin,坦舒落欣；磺胺苯醚落欣,Antihypertensives：Adrenergic agents,2024.11.22,
21367758,tazobactam,三唑碸丙內醯胺,Antibiotics：β-lactamase inhibitor,2024.11.22,
