ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367125,besifloxacin ,環丙氮呯氟洒欣 ,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367126,betahistine,吡啶乙胺,Antihistamines：H3-antihistamines,2024.11.22,
21367127,betaxolol,貝他舒落；環丙異丙洛,Antihypertensives：Adrenergic agents [Antiglaucoma agents：β-adrenergic blocking agents] [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367128,bevacizumab,貝伐擬單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367129,bicalutamide,氟苄碸醯胺,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Androgens and anabolic steroids],2024.11.22,
21367130,bictegravir,必克嵌韋爾,Antivirals：Integrase inhibitors,2024.11.22,
21367131,bifonazole,聯苯剋黴唑,Antifungals：Azole,2024.11.22,
21367132,bimatoprost,苯前列醯胺F2α,Antiglaucoma agents：Prostaglandin analogues,2024.11.22,
21367133,bisacodyl,雙乙醯酚甲吡啶,Laxatives：Stimulant laxatives,2024.11.22,
21367134,bisoprolol,二異丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367135,bithionol,雙酚硫醚；雙二氯酚硫醚,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367136,bleomycin,嵌鐵絲菌素,Antibiotics：Polypeptides [Antineoplastic agents：Antibiotics],2024.11.22,
21367137,blinatumomab,泊納妥齧單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367138,bortezomib,[酉朋]蛋酶靶泊；[酉朋]吡𠯤蛋酶靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367139,bosentan,博內皮坦；丁磺胺內皮坦,Antihypertensives：Endothelin receptor antagonists,2024.11.22,
21367140,brentuximab vedotin,泊潤妥嵌單抗^單甲麻黃海兔肽,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367141,bretylium,溴苄銨；溴苄乙二甲銨,Antiarrhythmics agents：Class III antiarrhythmics,2024.11.22,
21367142,brigatinib,必革肺靶泊；哌𠯤膦苯嘧啶肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367143,brimonidine,亮目弭定；溴咪喹㗁啉,Antiglaucoma agents：α-adrenergic agonist,2024.11.22,
21367144,brinzolamide,亮噻吩磺醯胺；噻吩二磺醯胺,Antiglaucoma agents：Carbonic anhydrase inhibitors,2024.11.22,
21367145,British anti-Lewisite (BAL),二硫代甘油,Heavy metal antagonists,2024.11.22,
21367146,brompheniramine,溴苯吡丙胺,Antihistamines：H1-antihistamines,2024.11.22,
21367147,buclizine,丁克暈𠯤；丁苄氯哌𠯤,Antihistamines：H1-antihistamines,2024.11.22,
21367148,bumetanide,丁羧間磺胺,Antihypertensives：Diuretics,2024.11.22,
21367149,bunazosin,標軋挫欣；丁醯擴哌𠯤挫欣,Antihypertensives：Adrenergic agents,2024.11.22,
21367150,bupropion,丁胺苯丙酮,Antidepressants：Norepinephrine–dopamine reuptake inhibitors (NDRI),2024.11.22,
21367151,buserelin,丁絲促垂肽；丁絲促垂體肽,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367152,busulfan,丁二磺酸酯；甲磺酸丁二酯,Antineoplastic agents：Alkylating agents,2024.11.22,
