ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3556200,tidal bore,怒潮,,湧潮,2018-08-15
3556201,tidal current,潮流,,潮流,2018-08-15
3556202,tidal datum,潮汐基準面,,潮高基準面,2018-08-15
3556203,tidal flat,潮灘,,幹出灘,2018-08-15
3556204,tidal harmonic constant,潮汐調和常數,,潮汐調和常數,2018-08-15
3556205,tidal period,潮汐週期,,潮汐週期,2018-08-15
3556206,tidal range,潮差；潮距,,潮差,2018-08-15
3556207,tidal reduction for soundings,測深訂正潮汐,,測深潮汐訂正,2018-08-15
3556208,tidal river,潮河,,感潮河,2018-08-15
3556209,tidal stream table,潮流表,,潮流表,2018-08-15
3556210,tidal stream,潮流,,潮流,2018-08-15
3556211,tidal wave,潮波；潮浪,,潮波,2018-08-15
3556212,tide,潮汐,,潮汐,2018-08-15
3556213,tide level,潮面,,潮面,2018-08-15
3556214,tide reaching zone,潮達區,,感潮河段,2018-08-15
3556215,tide table,潮汐表,,潮汐表,2018-08-15
3556216,tide-generating force,引潮力,,引潮力,2018-08-15
3556217,tie insert,金屬扣合,,金屬扣合,2018-08-15
3556218,tier,層,,層位,2018-08-15
3556219,tiering,分層堆疊；錨艙排列錨鏈,,排鏈,2018-08-15
3556220,TIG welding,鎢極惰性氣體[保護]銲,,鎢極惰性氣體保護焊,2018-08-15
3556221,tight fit,緊配合,,緊配合,2018-08-15
3556222,tightness test for hull,船體密性試驗,,船體密性試驗,2018-08-15
3556223,tiller,舵柄,,舵柄,2018-08-15
3556224,tiller tie-bar,舵柄連杆,,舵柄連杆,2018-08-15
3556225,tilting,傾斜,,傾斜,2018-08-15
3556226,timber and half hitch,吊木套結,,拖材結,2018-08-15
3556227,timber carrier,木材運載船,,運木船,2018-08-15
3556228,timber clause,木材條款,,木材條款,2018-08-15
3556229,timber hitch,木材結,,圓材結,2018-08-15
3556230,timber load line,木材載重線,,木材載重線,2018-08-15
3556231,time base,時基,,時基,2018-08-15
3556232,time calibration,時間校正,,時間校正,2018-08-15
3556233,time charter,計時租賃；定期租船,,定期租船,2018-08-15
3556234,time charter on trip basis {=TCT},航次計時租船,,航次期租合同,2018-08-15
3556235,time difference of tide,潮時差,,潮時差,2018-08-15
3556236,time difference {=TD},時差；時間差,,時間差,2018-08-15
3556237,time division,時間分割,,時間分隔,2018-08-15
3556238,time division multiplexing {=TDM},分時多工制,,時分複用,2018-08-15
3556239,time division system,時間分割制,,時間分隔制,2018-08-15
3556240,time insurance,定期保險,,定期保險,2018-08-15
3556241,time lag,時間延遲,,時間間隔,2018-08-15
3556242,time limit of general average,共同海損時限,,共同海損時限,2018-08-15
3556243,time limitation,時限；時效,,時效,2018-08-15
3556244,time of closest point approach {=TCPA},最接近點之時間,,最接近時間,2018-08-15
3556245,time of GEOSAR alert notification,定置搜救衛星通報時間,,靜止衛星報警通報時間,2018-08-15
3556246,time of rudder movement,轉舵時間,,轉舵時間,2018-08-15
3556247,time of week {=TOW},以週計時,,周計時,2018-08-15
3556248,time signal,對時信號；報時信號,,時號,2018-08-15
3556249,time to closest point of approach,至最接近點之時間,,最近會遇時間,2018-08-15
3556250,time zone chart,時區圖,,時區圖,2018-08-15
3556251,time-base generator,時基[信號]發生器,,時基[信號]發生器,2018-08-15
3556252,time-delay relay,延時繼電器,,時間繼電器,2018-08-15
3556253,time-lag relay,延遲繼電器,,時限繼電器,2018-08-15
3556254,timing diagram,正時圖,,正時圖,2018-08-15
3556255,timing mark,定時記號,,時標,2018-08-15
3556256,tin opener,開罐器,,開罐器,2018-08-15
3556257,tin sheet,鍍錫鐵片；馬口鐵皮,,馬口鐵；鍍錫鐵皮,2018-08-15
3556258,tin-base white-metal linings,錫基白合金襯層,,錫基白合金襯層,2018-08-15
3556259,tip cavitation,葉尖空化,,葉梢空化,2018-08-15
3556260,tip-leakage loss,葉尖漏洩損失,,葉尖漏泄損失,2018-08-15
3556261,tipping,艉驟降,,艉落,2018-08-15
3556262,title,標題,,標題,2018-08-15
