ID,英文名稱,中文名稱,圖片,備註,更新日期
2721378,balloon altitude,氣球高度,,太空名詞,2016-10-24
2721379,balloon observation,氣球觀測,,太空名詞,2016-10-24
2721380,balloon satellite,球載衛星,,太空名詞,2016-10-24
2721381,balloon sounding,氣球探測,,太空名詞,2016-10-24
2721382,balloon-borne detector,球載探測器,,太空名詞,2016-10-24
2721383,band,譜帶,,太空名詞,2016-10-24
2721384,band width,譜寬；頻寬,,太空名詞,2016-10-24
2721385,band-pass filter,帶通濾波器,,太空名詞,2016-10-24
2721386,bar,巴{壓力單位},,太空名詞,2016-10-24
2721387,barium clouds,鋇雲,,太空名詞,2016-10-24
2721388,barium ion cloud experiment,鋇離子雲實驗,,太空名詞,2016-10-24
2721389,barium vapour,鋇蒸氣,,太空名詞,2016-10-24
2721390,baroclinic,斜壓的,,太空名詞,2016-10-24
2721391,baroclinic flow,斜壓流,,太空名詞,2016-10-24
2721392,barogram,氣壓自計圖；氣壓自記曲線,,太空名詞,2016-10-24
2721393,barograph,氣壓儀,,太空名詞,2016-10-24
2721394,barometer,氣壓計,,太空名詞,2016-10-24
2721395,barometric height,氣壓高度,,太空名詞,2016-10-24
2721396,barosphere,氣壓層,,太空名詞,2016-10-24
2721397,barotropic fluid,正壓流體,,太空名詞,2016-10-24
2721398,barotropic model,正壓模式,,太空名詞,2016-10-24
2721399,barotropy,正壓,,太空名詞,2016-10-24
2721400,Bartel's Kp index,巴特爾Kp指數,,太空名詞,2016-10-24
2721401,barycenter,引力中心；質[量中]心,,太空名詞,2016-10-24
2721402,barycentric coordinate,質心坐標,,太空名詞,2016-10-24
2721403,base line,基線,,太空名詞,2016-10-24
2721404,beacon,信標,,太空名詞,2016-10-24
2721405,beacon delay,信標延時,,太空名詞,2016-10-24
2721406,beacon satellite,信標衛星,,太空名詞,2016-10-24
2721407,beacon skipping,信標間斷,,太空名詞,2016-10-24
2721408,beacon tracking,信標跟蹤,,太空名詞,2016-10-24
2721409,beam,波束；光束,,太空名詞,2016-10-24
2721410,beam antenna,定向[波束]天線,,太空名詞,2016-10-24
2721411,beam area,射束區域,,太空名詞,2016-10-24
2721412,beam efficiency,射束效率,,太空名詞,2016-10-24
2721413,beam splitter,射束分裂器,,太空名詞,2016-10-24
2721414,beam width,射束寬度,,太空名詞,2016-10-24
2721415,beat frequency,拍頻；差頻,,太空名詞,2016-10-24
2721416,Beer-Lambert law,比爾-蘭伯特定律,,太空名詞,2016-10-24
2721417,"Before Christ, B.C.",公元前,,太空名詞,2016-10-24
2721418,beginning of partial eclipse,偏食始；初虧,,太空名詞,2016-10-24
2721419,beginning of totality,全食始,,太空名詞,2016-10-24
2721420,belt of totality,全食帶,,太空名詞,2016-10-24
2721421,Bernoulli probability,伯努力概率,,太空名詞,2016-10-24
2721422,Bernoulli’s theorem,伯努力定理,,太空名詞,2016-10-24
2721423,Bessel equation,貝塞爾方程,,太空名詞,2016-10-24
2721424,Bessel function,貝塞爾函數,,太空名詞,2016-10-24
2721425,beta decay,β衰變,,太空名詞,2016-10-24
2721426,beta factor,β因子,,太空名詞,2016-10-24
2721427,beta particle,β粒子,,太空名詞,2016-10-24
2721428,beta spectrum,β譜,,太空名詞,2016-10-24
2721429,beta-rays,β射線,,太空名詞,2016-10-24
2721430,beta-transition,β躍遷,,太空名詞,2016-10-24
2721431,betatron,β迴旋加速器,,太空名詞,2016-10-24
2721432,betatron acceleration,β迴旋加速,,太空名詞,2016-10-24
2721433,betatron effect,β迴旋效應,,太空名詞,2016-10-24
2721434,betatron mechanism,β迴旋加速機制,,太空名詞,2016-10-24
2721435,bi-Maxwellian distribution,雙馬克斯威分布,,太空名詞,2016-10-24
2721436,bidirectional,雙向的,,太空名詞,2016-10-24
2721437,binding energy,結合能；束縛能,,太空名詞,2016-10-24
2721438,binomial distribution,二項式分布,,太空名詞,2016-10-24
2721439,binomial porbability,二項式機率,,太空名詞,2016-10-24
2721440,biosphere,生物層,,太空名詞,2016-10-24
2721441,bipolar group,雙極[黑子]羣,,太空名詞,2016-10-24
2721442,bipolar magnetic region,雙極磁區,,太空名詞,2016-10-24
2721443,bipolar sunspot,雙極黑子,,太空名詞,2016-10-24
2721444,black body,黑體,,太空名詞,2016-10-24
2721445,blackbody radiation,黑體輻射,,太空名詞,2016-10-24
2721446,blackbody temperature,黑體溫度,,太空名詞,2016-10-24
2721447,blackout,中斷{無線電通信},,太空名詞,2016-10-24
2721448,blast wave,爆炸波,,太空名詞,2016-10-24
2721449,blocking circulation,阻塞環流,,太空名詞,2016-10-24
2721450,blocking pattern,阻塞型式,,太空名詞,2016-10-24
2721451,blue shift {=blueshift},藍移,,太空名詞,2016-10-24
2721452,body wave,體波,,太空名詞,2016-10-24
2721453,Boltzmann constant,波茲曼常數,,太空名詞,2016-10-24
2721454,Boltzmann formula,波茲曼公式,,太空名詞,2016-10-24
2721455,Boltzmann-Saha theory,波茲曼-沙哈理論,,太空名詞,2016-10-24
2721456,Bond albedo,邦德反照率{球面反照率},,太空名詞,2016-10-24
2721457,booster,助推器,,太空名詞,2016-10-24
2721458,boresight facility,準向設備,,太空名詞,2016-10-24
2721459,bottom-side sounder,底部探測儀,,太空名詞,2016-10-24
2721460,bottomside ionogram,底部電離圖,,太空名詞,2016-10-24
2721461,bottomside ionosphere,底部電離層,,太空名詞,2016-10-24
2721462,bound charge,束縛電荷,,太空名詞,2016-10-24
2721463,bound-free transition,束縛-自由躍遷,,太空名詞,2016-10-24
2721464,boundary,邊界,,太空名詞,2016-10-24
2721465,boundary condition,邊界條件,,太空名詞,2016-10-24
2721466,boundary layer,邊界層,,太空名詞,2016-10-24
2721467,boundary surface,界面,,太空名詞,2016-10-24
2721468,Boussinesq equations,布西內斯克方程,,太空名詞,2016-10-24
2721469,bow shock (wave),弓形震波,,太空名詞,2016-10-24
2721470,bow-wave,艏波,,太空名詞,2016-10-24
2721471,Boyle's law,玻意耳定律,,太空名詞,2016-10-24
2721472,braking,減速；制動,,太空名詞,2016-10-24
2721473,braking ellipses,減速橢圓；制動橢圓,,太空名詞,2016-10-24
2721474,braking orbit,減速軌道{衛星進入大氣時的}； 制動軌道{衛星進入大氣時的},,太空名詞,2016-10-24
