ID,英文名稱,中文名稱,圖片,類號,化學式,更新日期
454322,trimethoxyboron; trimethoxyborane {methyl borate},三甲氧硼 {硼酸甲酯},,11447,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">B</Font>",2012-11-26
454324,triisoamylborine; triisoamylboron,三異戊硼[烷],,11431,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454325,triisobutyl borate,硼酸三異丁酯,,化學化合物,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454326,triethylboron; triethylborane; triethylborine,三乙硼[烷],,11364,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454327,triisoamyl borate; isoamyl borate,硼酸[三]異戊酯,,11429,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">B</Font>",2012-11-26
454328,triethyl borate {triethoxy borane},硼酸三乙酯 {三乙氧硼},,11348,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454329,triethyl borate; ethyl borate {triethoxyborane},硼酸[三]乙酯 {三乙氧硼},,化學化合物,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454330,triethylboron,三乙硼,,化學化合物,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454331,triethoxyboron; triethoxyborane {ethyl borate},三乙氧硼 {硼酸乙酯},,11344,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454333,triethoxyboron,三乙氧硼,,化學化合物,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454334,tricyclohexylborine,三環己硼[烷],,11322,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454335,triethoxyborane; triethoxyboron,三乙氧硼[烷],,化學化合物,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454336,trichloroborine trimethylamine,三甲胺合三氯硼[烷],,11267,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">NBCl</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454337,trichloroborine dimethyl etherate,[二]甲醚合三氯硼[烷],,4123,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">OBCl</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454338,triboron silicide,矽化三硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">Si</Font>",2012-11-26
454339,tributoxyboron,三(丁氧)硼,,11239,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">B</Font>",2012-11-26
454340,triamyloxyboron {triamyl borate},三戊氧硼 {硼酸三戊酯},,11181,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">B</Font>",2012-11-26
454341,strontium tetraborate,四硼酸鍶,,化學化合物,"<Font html:Color=""#000000"">SrB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
454342,triarylborane; triarylboron,三芳基硼[烷],,化學術語,,2012-11-26
454343,tribenzylborine,三苄硼[烷],,11209,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454344,tetraborate,四硼酸鹽,,化學術語,,2012-11-26
454345,trialkylborane; trialkylboron,三烷基硼[烷],,化學術語,,2012-11-26
454346,triamyl borate {triamyloxyboron},硼酸三戊酯 {三戊氧硼},,11181,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">B</Font>",2012-11-26
454347,tetraborane,四硼烷,,化學術語,,2012-11-26
454349,sodium trifluorohydroxoborate {sodium trifluoroborate},三氟羥硼酸鈉 {三氟硼酸鈉},,化學化合物,"<Font html:Color=""#000000"">Na[BF</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(OH)]</Font>",2012-11-26
454350,sodium tetraphenylboron{sodium tetraphenylborate},四苯硼鈉 {四苯硼酸鈉},,10323,"<Font html:Color=""#000000"">Na[B(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
