ID,英文名稱,中文名稱,圖片,類號,化學式,更新日期
508855,cadmium tetraborate,四硼酸鎘,,化學化合物,"<Font html:Color=""#000000"">CdB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508856,cadmium orthoborate,[正]硼酸鎘,,化學化合物,"<Font html:Color=""#000000"">Cd</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508857,cadmium borate,硼酸鎘,,化學化合物,"<Font html:Color=""#000000"">Cd</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508858,butylboron dihydroxide {butylboric acid},二氫氧化丁硼 {丁基硼酸},,化學化合物,"<Font html:Color=""#000000"">&#160;C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508859,butylboric acid {butylboron dihydroxide},丁基硼酸 {二氫氧化丁硼},,化學化合物,"<Font html:Color=""#000000"">&#160;C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508861,butylboron dihydroxide{butylboric acid},二氫氧化丁[基]硼 ,,1928,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508862,butylboric acid {butylboron dihydroxide},丁[基]硼酸 {二氫氧化丁[基]硼},,2021,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508863,boron trisulfide,三硫化二硼；硫化硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">S</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508864,butyl borate,硼酸丁酯,,1927,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508865,boron triiodide,三碘化硼,,化學化合物,"<Font html:Color=""#000000"">BI</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508866,boron trioxide; boron oxide,三氧化二硼；氧化硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508867,boron trichloride,三氯化硼,,化學化合物,"<Font html:Color=""#000000"">BCl</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508868,boron trifluoride,三氟化硼,,化學化合物,"<Font html:Color=""#000000"">BF</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508869,boron trifluoride etherate,乙醚合三氟化硼,,1704,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">OBF</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508870,boron thermopile,硼熱電堆,,化學術語,,2012-11-26
508871,boron tetrachloride,四氯化二硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Cl</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508872,boron tribromide,三溴化硼,,化學化合物,"<Font html:Color=""#000000"">BBr</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508873,boron subbromide,次溴化硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Br</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508874,boron subchloride,次氯化硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Cl</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508875,boron polymer,硼聚合物,,化學術語,,2012-11-26
508876,boron selenide,硒化硼；三硒化二硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Se</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508879,boron tetrabromide,四溴化二硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Br</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508880,boron steel,硼鋼,,化學術語,,2012-11-26
508881,boron phosphide,磷化硼,,化學化合物,BP,2012-11-26
508882,boron phosphate,磷酸硼,,化學化合物,"<Font html:Color=""#000000"">BPO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508883,boron pentasulfide,五硫化二硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">S</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub>",2012-11-26
508884,boron oxide,氧化硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508885,boron nitride,氮化硼,,化學化合物,BN,2012-11-26
508886,boron nitride fiber,氮化硼纖維,,化學術語,,2012-11-26
508887,boron monobromide diiodide,一溴二碘化硼,,化學化合物,"<Font html:Color=""#000000"">BBrI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508888,boron iodide,[三]碘化硼,,化學化合物,"<Font html:Color=""#000000"">BI</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508889,boron imide,亞胺化硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(NH)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508890,boron monoxide,一氧化硼,,化學化合物,"<Font html:Color=""#000000"">(BO)</Font><Sub><Fonthtml:Color=""#000000"">x</Font></Sub>",2012-11-26
508891,boron hydroxide {orthoboric acid},氫氧化硼 {[正]硼酸；原硼酸},,化學化合物,"<Font html:Color=""#000000"">&#160;H</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508892,orthoboric acid {boron hydroxide},[正]硼酸；原硼酸 {氫氧化硼},,化學化合物,"<Font html:Color=""#000000"">&#160;H</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508893,boron fuel,硼燃料,,化學術語,,2012-11-26
508894,boron hydroxide,氫氧化硼,,化學化合物,"<Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508895,boron fluoride; boron trifluoride,[三]氟化硼,,化學化合物,"<Font html:Color=""#000000"">BF</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000""> &#160;</Font>",2012-11-26
508896,boron chloride; boron trichloride,[三]氯化硼,,化學化合物,"<Font html:Color=""#000000"">BCl</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508897,boron counter,硼數計；硼計數器,,化學術語,,2012-11-26
508898,boron carbide; tetraboron carbide,碳化[四]硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">C</Font>",2012-11-26
508899,boron fiber; boron filament,硼絲,,化學術語,,2012-11-26
508900,boron dibromide monoiodide,二溴一碘化硼,,化學化合物,"<Font html:Color=""#000000"">BIBr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508901,boron dibromide iodide,二溴碘化硼,,化學化合物,"<Font html:Color=""#000000"">BBr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">I</Font>",2012-11-26
508902,boron chamber,硼室,,化學術語,,2012-11-26
508903,boron bromide; boron tribromide,[三]溴化硼,,化學化合物,"<Font html:Color=""#000000"">BBr</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">&#160;</Font>",2012-11-26
508904,boron carbide,碳化硼,,化學術語,,2012-11-26
508906,boron,硼,,化學化合物,B,2012-11-26
508907,boron alloy,硼合金,,化學術語,,2012-11-26
508908,boron amide {boron amine},胺化硼 {硼胺},,化學化合物,"<Font html:Color=""#000000"">B(NH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508909,boron amine {boron amide},硼胺 {胺化硼},,化學化合物,"<Font html:Color=""#000000"">B(NH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508910,boron arsenate,砷酸硼,,化學化合物,"<Font html:Color=""#000000"">BAsO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508911,borate,硼酸鹽,,化學術語,,2012-11-26
508912,borane; borine; borone,硼烷,,化學化合物,,2012-11-26
508913,borane,硼烷,,化學術語,,2012-11-26
508914,borane,甲硼烷,,化學化合物,,2012-11-26
508915,benzeneboronic acid; phenylboric acid,苯[基]硼酸,,1210,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508916,bismuth borate,硼酸鉍(III),,化學化合物,"<Font html:Color=""#000000"">BiBO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508917,benzeneboronic acid; phenylboric acid,苯硼酸,,化學化合物,,2012-11-26
508918,barium pyroborate,焦硼酸鋇,,化學化合物,"<Font html:Color=""#000000"">Ba</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub>",2012-11-26
508919,barium tetraborate,四硼酸鋇,,化學化合物,"<Font html:Color=""#000000"">BaB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508920,barium metaborate,偏硼酸鋇,,化學化合物,"<Font html:Color=""#000000"">Ba(BO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508921,barium orthoborate,[正]硼酸鋇,,化學化合物,"<Font html:Color=""#000000"">Ba</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508922,barium fluoroborate,氟硼酸鋇,,化學化合物,"<Font html:Color=""#000000"">Ba(BF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508923,barium fluoborate; barium fluoroborate; barium fluorborate {barium borofluoride},氟硼酸鋇 {硼氟化鋇},,化學化合物,"<Font html:Color=""#000000"">Ba(BF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508924,barium diborate,二硼酸鋇,,化學化合物,"<Font html:Color=""#000000"">Ba</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub>",2012-11-26
508925,barium borofluoride {barium fluoroborate},硼氟化鋇 {氟硼酸鋇},,化學化合物,"<Font html:Color=""#000000"">&#160;Ba(BF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508926,ammonium tetraborate,四硼酸銨,,化學化合物,"<Font html:Color=""#000000"">(NH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508927,amyl borate,硼酸戊酯,,744,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508928,barium borate,硼酸鋇,,化學化合物,"<Font html:Color=""#000000"">Ba</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508929,arylboron halide,芳硼鹵化物,,化學術語,,2012-11-26
508930,ammonium pentaborate,五硼酸銨,,化學化合物,"<Font html:Color=""#000000"">NH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub>",2012-11-26
508931,ammonium perborate,過硼酸銨,,化學化合物,"<Font html:Color=""#000000"">NH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508932,aluminum borate,硼酸鋁,,化學化合物,"<Font html:Color=""#000000"">AlBO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">; Al</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">·B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000""> </Font>",2012-11-26
508933,ammonium acid tetraborate,酸式四硼酸銨 ,,化學化合物,"<Font html:Color=""#000000"">(NH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)HB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508934,alkyl boranes,烷基硼[烷]類,,化學術語,,2012-11-26
508935,ammonium fluoroborate,[四]氟硼酸銨,,化學化合物,"<Font html:Color=""#000000"">NH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">BF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">&#160;</Font>",2012-11-26
508936,1-propaneboronic acid {propylboric acid},1-丙硼酸 {丙硼酸},,9643,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508937,isoamylboric acid {3-methyl-1-butaneboronic acid},異戊硼酸 {3-甲-1-丁硼酸} ,,化學化合物,"<Font html:Color=""#000000"">&#160;C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508938,3-methyl-1-butaneboronic acid {isoamylboric acid},3-甲-1-丁[基]硼酸 {異戊硼酸},,7889,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508939,propylboric acid {1-propaneboronic acid},丙硼酸 {1-丙硼酸},,化學化合物,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
