ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3541099,"Lanchbery, John",藍奇貝利,,兰奇贝利,英國,指揮；作曲,1923-2003,2018-05-30
3541100,"Landowska, Wanda",藍朵芙絲卡,,兰多夫斯卡，万达,波蘭,大鍵琴,1879-1959,2018-05-30
3541101,"Landowski, Marcel",隆朵夫斯基,,兰多夫斯基,法國,作曲,1915-1999,2018-05-30
3541102,"Lang, Paul Henry",藍格，保羅,,兰,美國,音樂學,1901-1991,2018-05-30
3541103,"Lange, Francisco Curt",藍格，弗朗西斯科,,兰赫,烏拉圭,音樂學,1903-1997,2018-05-30
3541104,"Langgaard, Rued Immanuel",藍加德,,兰加德,丹麥,作曲,1893-1952,2018-05-30
3541105,"Lanza, Alcides",藍札,,兰扎,加拿大,作曲,1929-,2018-05-30
3541106,"Laredo, Jaime",拉雷多,,拉雷多,美國,小提琴,1941-,2018-05-30
3541107,"Larrocha, Alicia de",拉蘿佳,,拉罗查,西班牙,鋼琴,1923-2010,2018-05-30
3541108,"Larsson, Lars-Erik",拉松,,拉松,瑞典,作曲,1908-1986,2018-05-30
3541109,Lassus（Lasso），Orlando di,拉素斯(拉索),,拉索,比利時,作曲,1532-1594,2018-05-30
3541110,"Lassus, Roland de(Lasso,  Orlando di)",拉素斯(拉索),,拉叙斯,法國,作曲,1532-1594,2018-05-30
3541111,"László, Magda",拉姿洛,,拉斯洛,匈牙利,女高音,1919-2002,2018-05-30
3541112,"Lawrence, Marjorie",勞倫絲,,劳伦斯,澳大利亞,女高音,1909-1979,2018-05-30
3541113,"Le Couppey, Félix",勒庫佩,,勒库佩,法國,鋼琴；作曲,1811-1887,2018-05-30
3541114,"Leclair, Jean-Marie",勒克雷爾,,勒克莱尔,法國,作曲；小提琴,1697-1764,2018-05-30
3541115,"Lecuona, Ernesto",雷果納,,莱库奥纳,古巴,鋼琴；作曲,1896-1963,2018-05-30
3541116,"Lees, Benjamin",李斯,,利斯,美國,作曲,1924-2010,2018-05-30
3541117,"Leeuw, Reinbertde",萊烏，萊恩伯特,,莱乌，莱恩伯特,荷蘭,作曲,1938-,2018-05-30
3541118,"Leeuw, Tonde",萊烏，唐,,莱乌，托恩,荷蘭,作曲,1926-1996,2018-05-30
3541119,"Lefébure, Yvonne",勒菲比爾,,勒费比尔,法國,鋼琴,1898-1986,2018-05-30
3541120,"Legge, Walter",雷格，華爾特,,莱格,英國,音樂製作人,1906-1979,2018-05-30
3541121,"Lehár, Franz",雷哈爾,,雷哈尔,匈牙利,作曲,1870-1948,2018-05-30
3541122,"Lehmann, Lilli",雷曼，莉莉,,"雷曼,莉莉",德國,女高音,1848-1929,2018-05-30
3541123,"Lehmann, Lotte",雷曼，洛特,,"雷曼,洛特",德國,女高音,1888-1976,2018-05-30
3541124,"Leibowitz, René",萊伯維茲,,莱博维茲,法國,作曲；指揮；音樂學,1913-1972,2018-05-30
