ID,英文名詞,中文名詞,審譯日期,更新日期
21383166,engineering geological exploration,工程地質探勘,114.06.23,
21383167,engineering geological investigation,工程地質調查,114.06.23,
21383168,engineering geological map,工程地質圖,114.06.23,
21383169,engineering geological mapping,工程地質繪圖；工程地質測繪,114.06.23,
21383170,engineering geological prospecting,工程地質勘察,114.06.23,
21383171,Engineering News formula,工程新聞打樁公式,114.06.23,
21383172,engineering practice,工程實務,114.06.23,
21383173,engineering property,工程性質,114.06.23,
21383174,engineering survey,工程測量,114.06.23,
21383175,engineering treatment,工程處理,114.06.23,
21383176,enlarged base,擴座,114.06.23,
21383177,entrained material,攜帶物,114.06.23,
21383178,entrainment factor,傳輸因子；傳輸因數,114.06.23,
21383179,envelope grouting,包絡灌漿,113.04.25,
21383180,environmental data,環境資料,114.06.23,
21383181,environmental effect,環境效應,114.06.23,
21383182,environmental engineering geology,環境工程地質學,114.06.23,
21383183,environmental factor,環境因子；環境因數,114.06.23,
21383184,environmental geology,環境地質學,114.06.23,
21383185,environmental hydrogeology,環境水文地質學,114.06.23,
21383186,environmentally sensitive industries,環境敏感產業,114.06.23,
21383187,eolian deposit,風積土,114.06.23,
21383188,epeirogenic movement,造陸運動,114.06.23,
21383189,epeirogeny,造陸作用,114.06.23,
21383190,epicenter,震央,114.06.23,
21383191,equation,公式；方程式,114.06.23,
21383192,equipotential line,等勢能線；等位線,114.06.23,
21383193,equivalent angle of internal friction,等效內摩擦角,114.06.23,
21383194,equivalent consolidation pressure,等效壓密壓力,114.06.23,
21383195,equivalent damping ratio,等效阻尼比,114.06.23,
21383196,equivalent diameter,等效直徑,114.06.23,
21383197,equivalent fluid,等效流體,114.06.23,
21383198,equivalent grain size,等效粒徑,114.06.23,
21383199,equivalent soil layer method,等效土層法；等值土層法,114.06.23,
21383200,equivalent specific heat,等效比熱,114.06.23,
21383201,equivalent stress,等效應力,114.06.23,
21383202,equivalent time,等效時間,114.06.23,
21383203,equivalent weight replacement method,等效重量置換法,114.06.23,
21383204,equivoluminal wave,等體積波,114.06.23,
21383205,erosion activity,侵蝕作用,114.06.23,
21383206,erosion control blanket (ECB),防蝕護毯,113.04.25,
21383207,erosion gully,侵蝕溝；沖蝕溝,114.06.23,
21383208,erosion surface,侵蝕面,114.06.23,
21383209,establishment period,創設期,114.07.31,
21383210,estavelle,岩溶消溢穴,114.07.31,
21383211,estuarine deposit,河口沉積物,114.07.31,
21383212,excavation works,開挖工程，挖掘工程,114.07.31,
21383213,excavator,挖土機,114.07.31,
21383214,excess pore water pressure,超額孔隙水壓,114.07.31,
21383215,exchange capacity,交換能力；交換容量,113.04.25,
21383216,excitation,激發,114.07.31,
21383217,exit angle,流出角；出射角,114.07.31,
21383218,exit gradient,流出梯度,114.07.31,
21383219,exogenic geological hazard,外營地質災害,114.07.31,
21383220,exogenous process,外營作用,114.07.31,
21383221,expandability,擴充性,114.07.31,
21383222,expanding auger,擴孔鑽,114.07.31,
21383223,expansion index,膨脹指數,114.07.31,
21383224,expansive soil,膨脹土；膨脹性土,114.07.31,
21383225,exploitation,開發；開採 ,114.07.31,
21383226,exploration,探勘；探查,114.07.31,
21383227,exploratory adit,探查橫坑,114.07.31,
21383228,exploratory borehole,探查鑽孔,114.07.31,
21383229,exploratory phase,探查階段；探勘階段,114.07.31,
21383230,exploratory pit,探查坑,114.07.31,
21383231,exploratory point,探查點,114.07.31,
21383232,exploratory shaft,探查井；探測井,114.07.31,
21383233,exploratory trench,探查槽溝,114.07.31,
21383234,explosive compaction,炸震夯實,114.07.31,
21383235,explosives depot,炸藥庫,114.07.31,
21383236,extension,伸張,113.04.25,
21383237,extension test,伸張試驗,114.07.31,
21383238,extensometer,伸張計；伸縮儀,114.07.31,
21383239,external water pressure,外水壓力,114.07.31,
21383240,extract,萃取,114.07.31,
21383241,extractor,拔樁機；萃取器,114.07.31,
21383242,extrados,拱背；外弧線,113.04.25,
21383243,extrapolation,外推法,114.07.31,
21383244,extra-sensitive clay,超靈敏性黏土,114.07.31,
21383245,extreme event,極端事件,114.07.31,
21383246,extreme loading condition,極端荷載條件,114.07.31,
21383247,extruder,頂土器,114.07.31,
21383248,extrusion test,擠出試驗,114.07.31,
21383249,extrusive rock,噴出岩,114.07.31,
21383250,fabric,織物；組構,113.04.25,
21383251,fabric analysis,組構分析,114.07.31,
21383252,fabric anisotropy,組構異向性,114.07.31,
21383253,fabric form,組構形式；織物型態,114.07.31,
21383254,fabric peak strength,織物尖峰強度,114.07.31,
21383255,facing stone,面層石；護層石,114.07.31,
21383256,factor,因數；係數；因素,114.07.31,
21383257,factor of reduction,折減因數,114.07.31,
21383258,factor of safety,安全因數；安全係數,114.07.31,
21383259,factor of safety against overturning,抗傾倒安全因數；抗傾倒安全係數,114.07.31,
21383260,factor of safety against sliding,抗滑安全因數；抗滑安全係數,114.07.31,
21383261,failure,破壞；失效,114.07.31,
21383262,failure criterion,破壞準則,114.07.31,
21383263,failure envelope,破壞包絡線；破壞包絡面,114.07.31,
21383264,failure mechanism,破壞機制,114.07.31,
21383265,failure plane,破壞面,114.07.31,
21383266,failure scar,崩崖；崩塌殘壁,114.07.31,
21383267,failure strain,破壞應變,114.07.31,
21383268,failure stress,破壞應力,114.07.31,
21383269,failure surface,破壞面,114.07.31,
21383270,failure volume,坍塌體積；崩塌體積,114.07.31,
21383271,failure wedge,坍塌楔塊；崩塌楔塊,114.07.31,
21383272,fall cone method,落錐法{液限試驗},114.08.22,
21383273,falling cone method,落錐法{液限試驗},114.08.22,
21383274,falling head permeability test,變水頭試驗,114.08.22,
21383275,fault,斷層；接縫高差,113.04.25,
21383276,fault breccia,斷層角礫岩,114.08.22,
21383277,fault creep,斷層潛移；斷層蠕動,114.08.22,
21383278,fault displacement,斷層位移,114.08.22,
21383279,fault gouge,斷層泥,114.08.22,
21383280,fault zone,斷層帶,114.08.22,
21383281,feasibility,可行性,114.08.22,
21383282,feasibility assessment,可行性評估,114.08.22,
21383283,feasibility design,可行性設計,114.08.22,
21383284,feeler inspection,探隙檢測,114.08.22,
21383285,feldspar porphyry dyke,長石斑岩脈,114.08.22,
21383286,Fellenius method of slices,費倫尼斯切片法,114.08.22,
21383287,fen,泥炭質沼澤,114.08.22,
21383288,fence diagram,柵狀圖,114.08.22,
21383289,fencing,圍籬；圍欄,114.08.22,
21383290,fender,防護墊,114.08.22,
21383291,fender pile,防護樁,114.08.22,
21383292,fendering system,護舷系統,114.08.22,
21383293,Ferret's triangle,菲瑞特三角圖,114.08.22,
21383294,ferrihydrite,褐鐵礦；水合氧化鐵,114.08.22,
21383295,fetch length,風浪作用距離,114.08.22,
21383296,fibrous soil,纖維質土壤,114.08.22,
21383297,field bearing test,現地承載力試驗,114.08.22,
21383298,field book,野外手簿；野帳本,114.08.22,
21383299,field data,野外資料,114.08.22,
21383300,field inspection,野外檢測,114.08.22,
21383301,field loading test,現地荷載試驗,114.08.22,
21383302,field measurement,現地量測,114.08.22,
21383303,field moisture equivalent,工地溼當量；現地含水當量,114.08.22,
21383304,field recompression curve,現地再壓縮曲線,114.08.22,
21383305,field seepage test,現地滲透試驗,113.04.19,
21383306,field survey,野外測量；野外勘測,114.08.22,
21383307,field test,現地試驗,114.08.22,
21383308,field vane shear test,現地記錄表,114.08.22,
21383309,field vane test,現地十字片剪試驗,114.08.22,
21383310,fill,填方；填土,114.08.22,
21383311,fill material,填方材料；填土材料,114.08.22,
21383312,fill resources,填料資源,114.08.22,
21383313,fill slope,填坡；回填坡,114.08.22,
21383314,fill source,填料來源,114.08.22,
21383315,fill structure,填土結構；填築結構,114.08.22,
21383316,filling,夾心{岩石力學},113.04.25,
21383317,filter,濾層；過濾器,114.08.22,
21383318,filter bedding stone,濾層石,113.04.25,
21383319,filter blanket,過濾鋪層；過濾護毯,114.08.22,
21383320,filter mat,濾墊,114.08.22,
21383321,filter paper drain,濾紙排水,114.08.22,
21383322,final penetration,最終貫入度,114.08.22,
21383323,final settlement,最終沉陷量,114.08.22,
21383324,fine gravel,細礫,114.08.22,
21383325,fine sand,細砂,113.04.19,
21383326,fine-grained soil,細粒土,113.04.19,
21383327,finger pier,突堤碼頭,114.08.22,
21383328,finite element method (FEM),有限元素法,114.08.22,
21383329,fishing tool,撈具{鑽探工程},113.04.25,
21383330,fissure,裂隙,114.08.22,
21383331,fissured clay,裂隙黏土,113.05.22,
21383332,fixed boundary condition,固定邊界條件,114.08.22,
21383333,fixed piston sampler,固定活塞取樣器,114.08.22,
21383334,fixed-ring consolidometer,固定環式壓密儀,114.08.22,
21383335,flaky constituent,片狀成分,114.08.22,
21383336,flame cleaning,火焰清理,114.08.22,
21383337,flammable liquid,易燃液體,113.11.26,
21383338,flat dilatometer,平板膨脹儀,114.08.22,
21383339,flat jack,平板千斤頂,114.08.22,
21383340,flexible conduit,柔性管道,114.08.22,
21383341,flexible retaining structure,柔性支撐結構；柔性擋土結構,114.08.22,
21383342,flexure,撓曲,114.08.22,
21383343,floating crane,浮吊；浮式起重機,114.08.22,
21383344,floc,絮凝物；膠羽,113.04.25,
21383345,flocculation,絮凝；膠凝作用,113.04.25,
21383346,flocculent structure,絮凝結構；飛絮狀結構,113.04.25,
21383347,flow channel,水流渠道；流槽,114.01.13,
21383348,flow curve,流性曲線,113.04.25,
21383349,flow failure,流動型破壞,113.04.25,
21383350,flow function,流函數,113.04.25,
21383351,flow index,流性指數,113.04.25,
21383352,flow net,流網,113.04.25,
21383353,flow velocity,流速,113.04.25,
21383354,flowing ground,流動性地盤,113.04.25,
21383355,fluidifier,流化劑,113.04.25,
21383356,flush joint,平接頭,113.04.25,
21383357,fluvial deposit,河流堆積,113.04.19,
21383358,foliation,葉理,113.04.25,
21383359,footing,基腳,113.04.19,
21383360,footwall,下盤{地質},113.04.25,
21383361,forced oscillation,強制振盪,113.04.25,
21383362,forced vibration,強制振動,113.04.25,
21383363,forepoling,矢板工法；插板工法,113.04.25,
21383364,foundation,基礎,113.04.19,
21383365,foundation treatment,高壓噴射注漿法,113.05.22,
21383366,fracture,破裂；裂隙；斷口{地質},113.04.25,
21383367,fracture aperture,隙寬；裂隙寬度,113.07.11,
21383368,fracture frequency,破裂頻率,113.04.25,
21383369,fracture pattern,破裂型態,113.04.25,
21383370,fracture width,隙寬；裂隙寬度,113.07.11,
21383371,fracturing,破裂,113.04.25,
21383372,fragmentation,破碎作用；破碎度,113.04.25,
21383373,free vibration,自由振動,113.04.25,
21383374,friable rock,易碎岩石,113.04.25,
21383375,friction pile,摩擦樁,113.04.19,
21383376,frost action,凍融作用,113.04.25,
21383377,frost boil,凍沸,113.04.25,
21383378,frost heave,凍脹,113.04.25,
21383379,gel time,膠凝時間,113.04.25,
21383380,general shear failure,全面剪力破壞,113.05.22,
21383381,geophysical exploration,地球物理探勘,114.01.13,
21383382,geosynthetics,地工合成材；地工聚合物,113.05.22,
21383383,geotextile,地工織物,113.05.22,
21383384,glacial deposit,粒度分析,113.05.22,
21383385,grain size analysis,粒徑分析,113.04.25,
21383386,grain size curve,粒徑曲線,113.05.22,
21383387,granular material,顆粒材料,113.04.25,
21383388,granule,細礫,113.04.19,
21383389,gravel,礫石；卵礫石,113.04.19,
21383390,gravel pack,礫石填充材,113.04.25,
21383391,gravelly sand,礫砂；礫質砂,113.05.22,
21383392,gravelly soil,礫質土,113.05.22,
21383393,gravity grouting,重力灌漿,113.04.25,
21383394,groin,丁壩,113.04.25,
21383395,ground anchor,地錨,115.02.26,
21383396,ground arch,地拱,113.04.25,
21383397,ground treatment,地盤處理,113.05.22,
21383398,groundwater,地下水,113.05.22,
21383399,groundwater barrier,地下水障壁,113.04.25,
21383400,groundwater discharge,地下水流量,113.04.25,
21383401,groundwater elevation,地下水高程,113.04.25,
21383402,groundwater level,地下水位,113.04.25,
21383403,groundwater surface,地下水面,113.04.25,
21383404,group pile,群樁,113.05.22,
21383405,grout cap,灌漿帽,113.04.25,
21383406,grout gallery,灌漿廊道,113.04.25,
21383407,grout mix,灌漿料,113.04.25,
21383408,grout system,灌漿系統,113.04.25,
21383409,grout take,吃漿量；耗漿量,113.04.25,
21383410,groutability,可灌性,113.04.25,
21383411,grouted aggregate concrete,粒料灌漿混凝土,113.04.25,
21383412,hanging wall,上盤{地質},113.04.25,
21383413,hardpan,硬土盤,113.04.25,
21383414,high pressure jet grouting,高壓噴射灌漿法,113.05.22,
21383415,hydraulic fracturing,水力破裂,113.05.22,
21383416,hydraulic ram pile driver ,液壓式衝錘打樁機 ,113.07.11,
21383417,hypocenter,震源,114.05.21,
21383418,illite,伊利石,113.05.22,
21383419,initial compression,初期壓縮,113.04.25,
21383420,initial consolidation,初期壓密,113.04.25,
21383421,initiator,起爆器；起發劑,113.04.25,
21383422,inlet well,集水井,113.11.26,
21383423,in-situ direct shear test,現地直剪試驗,113.05.22,
21383424,in-situ test,現地試驗,113.05.22,
21383425,inspection,查驗；檢測,114.07.31,
21383426,internal friction angle,內摩擦角,113.04.19,
21383427,International Association for Engineering Geology and the Environment (IAEG),國際工程地質協會 ,113.06.14,
21383428,investigation,調查{綜合調查},114.07.31,
21383429,kaolinite,高嶺石；高嶺土,113.05.22,
21383430,laboratory soil test,室內土壤試驗,113.05.22,
21383431,lacustrine deposit,湖積層；湖泊沉積,113.05.22,
21383432,lateral earth pressure,側向土壓力,113.05.22,
21383433,laterite,紅土,113.05.22,
21383434,levee,堤,113.05.22,
21383435,lime soil,石灰質土,113.05.22,
21383436,limit equilibrium analysis,極限平衡分析,113.05.22,
21383437,liquefaction,液化,114.05.21,
21383438,liquid limit,液性限度,113.05.22,
21383439,liquidity index,液性指數,113.05.22,
21383440,local shear failure,局部剪力破壞,113.05.22,
21383441,loess,黃土,113.05.22,
21383442,long-term strength,長期強度,113.05.22,
21383443,medium sand,中砂,113.05.22,
21383444,mica,雲母,113.05.22,
21383445,minimum dry density,最小乾密度,113.04.25,
21383446,Mohr-Coulomb law,摩爾庫侖定律,113.05.22,
21383447,Mohr's envelope ,摩爾包絡線,113.05.22,
21383448,moist density,濕密度,113.04.25,
21383449,montmorillonite,蒙脫石 ; 蒙脫土,113.05.22,
21383450,non-displacement pile,非打入樁,113.05.22,
21383451,normally consolidated soil,正常壓密土,113.05.22,
21383452,oceanic deposit,海洋沉積,113.05.22,
21383453,oedometer test,壓密試驗,113.04.19,
21383454,oedometric modulus,側限壓密模數,113.05.22,
21383455,offshore deposit,離岸沉積,113.05.22,
21383456,open caisson foundation,開放式沉箱基礎,113.05.22,
21383457,organic soil,有機土,113.05.22,
21383458,osmotic pressure ,滲透壓 ,113.07.11,
21383459,overburden pressure,覆土壓力；覆蓋壓力,113.05.22,
21383460,overconsolidated soil,過壓密土,113.05.22,
21383461,particle density,顆粒密度,113.04.25,
21383462,particle size distribution,粒徑分布,113.04.25,
21383463,passive earth pressure,被動土壓力,113.05.22,
21383464,peak strength,尖峰強度,113.05.22,
21383465,peat ,泥炭,113.04.25,
21383466,pebble,小礫；小卵石,113.04.19,
21383467,percussion boring,衝擊鑽孔,113.08.22,
21383468,permafrost,永凍土,113.05.22,
21383469,permeability test,滲透試驗,113.05.22,
21383470,phreatic surface,自由水面,113.04.25,
21383471,pier foundation,墩基,113.05.22,
21383472,pile cap,樁帽,113.05.22,
21383473,pile end resistance,樁底阻力,114.06.23,
21383474,pile foundation,樁基礎；樁基,113.05.22,
21383475,piling dolly,樁墊,114.03.19,
21383476,pipe jacking,推管工法,113.12.03,
21383477,pipe roofing,管冪工法；管幕工法,113.04.25,
21383478,piping,管湧,113.05.22,
21383479,plastic limit,塑性限度,113.05.22,
21383480,plasticity index,塑性指數,113.05.22,
21383481,plate-loading test,平鈑載重試驗；平板載重試驗,113.05.22,
21383482,pneumatic caisson foundation,氣動沉箱基礎,113.04.19,
21383483,point bearing pile,點承樁,113.05.22,
21383484,pore pressure dissipation,孔隙壓力消散,113.05.22,
21383485,pore water pressure,孔隙水壓,113.05.22,
21383486,primary consolidation,主要壓密,113.05.22,
21383487,Proctor curve,夯實曲線,113.04.25,
21383488,progressive failure,漸進式破壞,113.05.22,
21383489,protective casing,保護套管,113.04.25,
21383490,protective filter,保護濾層,113.04.25,
21383491,punching shear failure ,貫穿剪力破壞,113.05.22,
21383492,radar geophysical survey,雷達地球物理調查,113.05.22,
21383493,raft foundation,筏基；筏式基礎,113.05.22,
21383494,Rankine state of stress,朗金應力狀態,113.05.22,
21383495,reconnaissance,初勘；踏勘,114.07.31,
21383496,reinforced concrete pile,鋼筋混凝土樁,113.05.22,
21383497,reinforced earth,加勁土,113.05.22,
21383498,reinforcement cage,鋼筋籠,113.09.10,
21383499,relative density test,相對密度試驗,113.05.22,
21383500,reliability ,可靠度,113.05.22,
21383501,remolded sample,重模樣本,113.05.22,
21383502,residual strength,殘餘強度,113.05.22,
21383503,retaining pile,擋土樁,113.04.19,
21383504,retaining wall,擋土牆,113.04.19,
21383505,Richter scale,芮氏規模,114.05.21,
21383506,rigid foundation,剛性基礎,113.05.22,
21383507,rigid-plastic model,剛塑性模型,113.05.22,
21383508,rock blasting,岩石爆破,113.08.22,
21383509,rock dentition,岩縫補隙,114.02.04,
21383510,rockfill dam,堆石壩,114.05.21,
21383511,rolling compaction,滾壓夯實；碾壓夯實,113.11.26,
21383512,saline soil,鹽漬土,113.05.22,
21383513,salty soil,鹽漬土,113.05.22,
21383514,sample,樣本,113.05.22,
21383515,sampling,取樣,113.05.22,
21383516,sand,砂,113.05.22,
21383517,sand drain,砂井,113.05.22,
21383518,sand pile,砂樁,113.05.22,
21383519,sandy silt,砂質粉土,113.05.22,
21383520,saturated collapse ,濕陷,113.11.26,
21383521,saturated density,飽和密度,113.04.25,
21383522,secondary consolidation,次要壓密,113.05.22,
21383523,seepage failure,滲流破壞,113.05.22,
21383524,seepage force,滲流力,113.05.22,
21383525,seismic geophysical  exploration,震波地球物理探勘,113.05.22,
21383526,seismic wave,地震波；震波,114.05.21,
21383527,serviceability,服務性,113.05.22,
21383528,settlement,沉陷,113.05.22,
21383529,shallow foundation,淺基礎,113.05.22,
21383530,shrinkage limit,縮性限度,113.05.22,
21383531,silicification,矽化作用,113.05.22,
21383532,silt,粉土,113.05.22,
21383533,silty clay,粉質黏土,113.05.22,
21383534,silty sand,粉質砂,113.05.22,
21383535,single footing,獨立基腳,113.05.22,
21383536,slab foundation,版式基礎,113.05.22,
21383537,slices method,切片法；圓弧切片分析法,113.10.22,
21383538,slip surface,滑動面,113.05.22,
21383539,sloughing,坍孔；沼澤化；垂流{噴凝土}；崩潰；崩塌,113.04.25,
21383540,soft clay,軟黏土,113.05.22,
21383541,soil binder,土壤結合料,113.04.25,
21383542,soil exploration,土壤探勘；土壤探查,113.05.22,
21383543,soil investigation,土壤調查,113.05.22,
21383544,soil profile,土壤剖面,113.05.22,
21383545,solid density,固體密度,113.04.25,
21383546,specimen,試體；試樣,113.05.22,
21383547,spread foundation,擴展式基礎,113.05.22,
21383548,state of plastic equilibrium,塑性平衡狀態,113.05.22,
21383549,static loading test,靜載重試驗,114.02.04,
21383550,steady flow,穩定流,113.04.25,
21383551,strain softening,應變軟化,113.05.22,
21383552,strain-controlled test,應變控制試驗,113.04.25,
21383553,stress-controlled test,應力控制試驗,113.04.25,
21383554,strip footing,條形基腳,113.04.19,
21383555,submerged density,浸水密度；浸沒密度,113.04.25,
21383556,substratum,基底層,113.05.22,
21383557,suction,吸力,113.05.22,
21383558,sump well,集水井,113.11.26,
21383559,superimposed load,外加載重,113.05.22,
21383560,surface casing,表層套管,113.04.25,
21383561,surface dry density ,面乾密度,113.04.25,
21383562,survey,測量；調查 {普查},114.07.31,
21383563,swelling pressure,膨脹壓力,113.05.22,
21383564,swelling soil,回脹性土壤,113.04.19,
21383565,telemetry ,遙測術 ,113.07.11,
21383566,texture,紋理；組構,113.04.25,
21383567,timber pile,木樁,113.05.22,
21383568,time factor,時間因數；時間因子,113.04.25,
21383569,total density,總密度,113.04.25,
21383570,total stress,總應力,113.05.22,
21383571,triaxial shear test,三軸剪力試驗,113.05.22,
21383572,true triaxial test apparatus,真三軸試驗儀,114.01.13,
21383573,tubular column foundation,管柱基礎,113.04.19,
21383574,ultimate bearing capacity,極限承載力,113.05.22,
21383575,unconfined compression test,無圍壓縮試驗,113.05.22,
21383576,unconfined compressive strength,無圍壓縮強度,113.04.25,
21383577,unconsolidated-undrained test (UU test),不壓密不排水試驗,113.04.25,
21383578,underlying stratum,下伏層,113.05.22,
21383579,underpinning method,托底工法,113.05.22,
21383580,undisturbed soil sample,未擾動土樣,113.05.22,
21383581,uniaxial compressive strength,單軸壓縮強度,113.04.25,
21383582,vacuum preloading,真空預壓,113.05.22,
21383583,vibrating roller,振動滾壓機,113.11.26,
21383584,vibro-densification,振動密實,113.05.22,
21383585,vibroflotation,振沖壓實工法；振動揚實法,113.05.22,
21383586,viscoelastic behavior,黏彈行為,113.05.22,
21383587,void ratio,孔隙比,113.05.22,
21383588,volcanic ash,火山灰,113.05.22,
21383589,water density,水密度,113.04.25,
21383590,wave velocity survey,波速調查,113.05.22,
21383591,wet density,濕密度,113.04.25,
21383593,environmental impact assessment (EIA),環境影響評估,114.06.23,
21383594,epoxy coating,環氧樹脂塗層,114.06.23,
21383595,equipressure line,等壓線,114.06.23,
21383596,failure loading,破壞荷載,114.07.31,
21383597,finite difference method (FDM),有限差分法,114.08.22,
