ID,英文名詞,中文名詞,德文,日文,法類/法條,審定日期,更新日期
21387163,Lack of legal competence,無行為能力,Geschäftsunfähigkeit {Ger.},,民法第13條，因應不同翻譯，民法使用行為「能力」皆以competence作為翻譯，關於權利「能力」則使用capacity,112.03.11,
21387165,Limited legal competence,限制行為能力,Beschränkte Geschäftsfähigkeit {Ger.},,民法第15條之2,112.03.11,
21387167,Merely obtaining a legal advantage,純獲法律上利益,Lediglich rechtlicher Vorteil {Ger.},,民法第15條之2,112.03.11,
21387169,Sole proprietorship,獨資,Einzelunternehmen {Ger.},,民法第15條之2,112.03.11,
21387171,Partnership business,合夥營業,Geschäftsbetrieb einer Gesellschaft bürgerlichen Rechts {Ger.},,民法第15條之2,112.03.11,
21387173,Loan for consumption,消費借貸,Darlehen {Ger.},,民法第15條之2,112.03.11,
21387175,Counter evidence / Rebuttal,反證,Gegenbeweis {Ger.},,民法第9條,112.05.20,
21387177,Surety / Guaranty,保證,Bürgschaft {Ger.},,民法第15條之2,112.05.20,
21387179,Donation / Gift,贈與,Schenkung {Ger.},,民法第15條之2,112.05.20,
21387181,Trust,信託,Treuhand {Ger.},,民法第15條之2,112.05.20,
21387183,Mediation,調處,Mediation {Ger.} / Mediatisierung {Ger.},,民法第15條之2,112.05.20,
21387185,Freedom / Liberty,自由,Freiheit {Ger.},,民法第17條,112.05.20,
21387187,Right to a name / Right to use one's name,姓名權,Namensrecht {Ger.},,民法第19條,112.05.20,
21387189,Right,權利,Recht {Ger.},,民法第26條,112.05.20,
21387191,Obligation,義務,Pflicht {Ger.},,民法第26條,112.05.20,
21387193,Affairs of legal persons,法人事務,Geschäfte der juristischen Personen {Ger.},,民法第27條,112.07.15,
21387195,Constitution of an association,社團章程,Vereinsverfassung {Ger.},,民法第27條，條文僅用章程二字，本詞條為社團章程對應捐助章程,112.07.15,
21387197,Authority of representation / Power of representation,代表權,Vertretungsmacht {Ger.},,民法第27條,112.07.15,
21387199,Bona fide third party,善意第三人,Gutgläubiger Dritter {Ger.},,民法第27條,112.07.15,
21387201,Authority of supervision / Power of supervision,監察權,Aufsichtsbefugnis {Ger.},,民法第27條,112.07.15,
21387203,Joint liability,連帶責任,Gesamthaftung {Ger.},,民法第28條,112.07.15,
21387205,Principal office,主事務所,Hauptsitz {Ger.},,民法第29條,112.07.15,
21387207,Domicile,住所,Wohnsitz {Ger.},,民法第29條,112.07.15,
21387209,Persons without legal competence,無行為能力人,Geschäftsunfähige {Ger.},,民法第21條,112.07.15,
21387211,Persons with limited legal competence,限制行為能力人,Beschränkte Geschäftsfähige {Ger.},,民法第21條,112.07.15,
21387213,Statutory representative,法定代理人,Gesetzliche Vertreterin {Ger.},,民法第21條,112.07.15,
21387215,Residence,居所,Gewöhnlicher Aufenthalt {Ger.},,民法第22條,112.07.15,
21387217,Will to repeal,廢止之意思,Aufhebungswille {Ger.},,民法第24條,112.07.15,
21387219,Registration,登記,Eintragung {Ger.},,民法第30條,112.07.15,
21387221,Third party,第三人,Dritte {Ger.},,民法第31條,112.07.15,
21387223,Supervision,監督,Aufsicht {Ger.},,民法第32條,112.07.15,
21387225,Dismissal from a post,解除職務,Entlassung aus dem Dienst {Ger.},,民法第33條,112.08.04,
21387227,Revocation of a license,撤銷許可,Widerruf der  Erlaubnis {Ger.},,民法第34條,112.08.04,
21387229,Bankruptcy,破產,Konkurs {Ger.},,民法第35條,112.08.04,
21387231,Dissolution,解散,Auflösung {Ger.},,民法第36條,112.08.04,
21387233,Liquidation,清算,Liquidation {Ger.},,民法第37條,112.08.04,
21387235,General meeting of members,總會,Mitgliederversammlung {Ger.},,民法第37條,112.08.04,
21387237,Part of a real property,不動產之部分,wesentlicher Bestandteil einer unbeweglichen Sache {Ger.},,民法第66條,112.10.28,
21387239,Residual assets / Remaining assets,賸餘財產,Übriges Vermögen {Ger.},,民法第40條,112.12.09,
21387241,Company limited by share,股份有限公司,Aktiengesellschaft {Ger.},,民法第41條,112.12.09,
21387243,Local self-governing body,地方自治團體,Kommunale Selbstverwaltungsorgane {Ger.},,民法第44條,112.12.09,
21387245,For-profit association,營利社團,Wirtschaftlicher Verein {Ger.},,民法第45條,112.12.09,
21387247,Public-interest association,公益社團,Gemeinnütziger Verein {Ger.},,民法第46條,112.12.09,
21387249,Resolution,決議,Beschluss {Ger.},,民法第38條,112.08.04,
21387251,Member,社員,Mitglieder {Ger.},,民法第47條,112.12.09,
21387253,Authority,主管機關,Zuständige Behörde {Ger.},,民法第48條,112.12.09,
21387255,Association,社團,rechtsfähiger Verein {Ger.},,民法第50條,113.01.27-1,
21387257,Non-public-interest legal person,非公益法人,nichtgemeinnützige jurisrische Person {Ger.},,民法第55條,113.01.27-1,
21387259,Convening procedure,召集程序,Einberufungsverfahren {Ger.},,民法第56條,113.01.27-1,
21387262,Endowment by will,遺囑捐助,Stiftungsgeschäft von Todes wegen {Ger.},,民法第60條,113.01.27-1,
21387264,Resolution of the general meeting,總會決議,Beschluss der Mitgliederversammlung {Ger.},,民法第47條,112.08.04,
21387266,Branch offices,分事務所,Sitz der Filialen {Ger.},,民法第61條,112.10.28,
21387268,Fixture attached to the land / Thing that is attached to the land,定著物,mit dem Grund und Boden fest verbundene Sache {Ger.},,民法第66條,112.10.28,
21387270,Fructus,出產物,Erzeugnisse {Ger.},,民法第66條,112.10.28,
21387272,Executor in testamentary / Executor of a will,遺囑執行人,Testamentsvollstrecker {Ger.},,民法第61條,113.01.27-1,
21387274,Entitlement to obtain / Perception,收取,Perzeption {Ger.},,民法第70條,113.01.27-1,
21387276,Period of entitlement / Duration of entitlement,權利存續期間,Dauer der Berechtigung {Ger.},,民法第70條,113.01.27-1,
21387278,Lack of experience,無經驗,Unerfahrenheit {Ger.},,民法第 74 條,113.01.27-2,
21387280,Statutory form,法定方式,Gesetzliche Form {Ger.},,民法第73條,113.03.09,
21387282,Usury,暴利行為,Wucher {Ger.},,民法第74條，學理上重要名詞,113.03.09,
21387284,Original thing,原物,Muttersache {Ger.},,民法第70條,113.01.27-1,
21387286,Pecuniary performance,財產上之給付,Gewährung des Vermögensvorteils {Ger.},,民法第74條,113.01.27-2,
21387288,Promise to perform,給付之約定,Versprechen der Leistung {Ger.},,民法第74條,113.01.27-2,
21387290,Clear disproportion / Obvious unfairness,顯失公平,Auffälliges Missverhältnis {Ger.},,民法第74條,113.01.27-2,
21387292,Reduction of performance,減輕給付,Herabsetzung der Leistung {Ger.},,民法第74條,113.01.27-2,
21387294,Fictitious expression of intent,真意保留；單獨虛偽意思表示,Geheimer Vorbehalt {Ger.},,民法第86條，學理上重要名詞,113.03.09,
21387296,Receipt theory,達到主義,Empfangstheorie {Ger.},,民法第95條，學理上名詞,113.06.29-1,
21387298,Making a declaration of will for the incompetent person,代為意思表示,Abgabe der Willenserklärung im Namen des Geschäftsunfähigen {Ger.},,民法第76條,113.06.29-2,
21387300,Receiving a declaration of will for the incompetent person,代受意思表示,Empfang von Willenserklärung im Namen des Geschäftsunfähigen {Ger.},,民法第76條,113.06.29-2,
21387301,Empfang von Willenserklärung im Namen des Geschäftsunfähigen {Ger.},代受意思表示,,,民法第76條,113.06.29-2,
21387302,Necessaries of daily life,日常生活所必需,Bedarf des täglichen Lebens {Ger.},,民法第77條,113.06.29-2,
21387304,Conclusion of a contract,契約之訂立,Vertragsschluss {Ger.},,民法第79條,113.06.29-2,
21387306,Contract counterparty,契約相對人,Vertragspartner {Ger.} / Vertragsgegner {Ger.},,民法第80條,113.08.17-1,
21387308,Period,期限；期間,Zeitraum {Ger.} / Fristen {Ger.},,民法第80條；民法第119條,113.08.17-1,
21387310,Notice,催告,Aufforderung {Ger.},,民法第80條,113.08.17-1,
21387312,Predicament of another,他人之急迫,Zwangslage eines anderen {Ger.} / Notlage eines anderen {Ger.},,民法第74條,113.03.09,
21387314,Same effect,同一效力,Dieselbe Wirkung {Ger.},,民法第81條,113.03.09,
21387316,Fraudulence,詐術,Täuschung {Ger.},,民法第83條,113.03.09,
21387317,Competence to dispose of property,財產處分之能力,,,民法第84條，原為「就該財產有處分之能力」調整語序,113.03.09,
21387319,Independent operation of a business,獨立營業,Selbständiger Betrieb {Ger.},,民法第79條,113.03.09,
21387321,Deemed as refusal to acknowledge,視為拒絕承認,Gelten als Verweigerung der Genehmigung {Ger.},,民法第80條,113.08.17-1,
21387323,Concealed transaction,隱藏行為,Verdecktes Geschäft {Ger.},,民法第87條Scheingeschäft通謀行為,113.08.17-1,
21387325,Mistake in content,內容錯誤,Inhaltsirrtum {Ger.},,民法第88條,113.08.17-1,
21387327,Mistake of declaration,表示行為錯誤,Erklärungsirrtum {Ger.},,民法第88條,113.08.17-1,
21387329,Mistake of motive,動機錯誤,Motivirrtum {Ger.},,民法第88條,113.08.17-1,
21387331,Mistake as to characteristics of a person,當事人之資格錯誤,Irrtum über Eigenschaften einer Person {Ger.} / Irrtum über Qualifikation einer Person {Ger.},,民法第88條Eigenschaftsirrtum 性質錯誤，本詞條選自民法第88條，所謂當事人資格不限於法定資格，亦包括人的特徵、能力、經歷等等。德文翻譯前為配合我國中文詞條，後為德國條文用法。,113.08.17-1,
21387333,Dual agency,雙方代理,Mehrfachvertretung {Ger.} / Doppelvertretung {Ger.},,民法第106條，學理名詞,113.08.17-2,
21387335,Significant elements of the transaction / Material elements of the transaction,交易上重要,Verkehrswesentlichkeit {Ger.},,民法第88條,113.10.12,
21387337,Person used for the communication,傳達人,Erklärungsbote {Ger.} / Übermittlungsperson {Ger.},,民法第89條,113.10.12,
21387339,Facility used for the communication,傳達機關,Übermittlungseinrichtung {Ger.},,民法第89條,113.10.12,
21387342,Pathlogical mental disturbance / Disrupted mind ,精神錯亂,Krankhafte Störung der Geistestätigkeit {Ger.},,民法第75條,113.06.29-1,
21387344,Liability in damages,賠償責任,Schadensersatzpflicht {Ger.} / Haftung auf Schadensersatz {Ger.},,民法第91條,113.06.29-1,
21387346,Interest resulting from reliance,信賴利益,Vertrauensinteresse {Ger.},,民法第91條,113.06.29-1,
21387348,Knew,明知,Kennen {Ger.},,民法第91條,113.06.29-1,
21387350,Could have known,可得而知,Kennenmüssen {Ger.},,民法第91條,113.06.29-1,
21387352,Deciet / Fraud,詐欺,Täuschung {Ger.},,民法第92條,113.06.29-1,
21387353,Duress,脅迫,Drohung {Ger.},,民法第92條,113.06.29-1,
21387355,Declaration of will between present parties,對話之意思表示,Willenserklärung unter Anwesenden {Ger.},,民法第94條,113.06.29-1,
21387357,Perception theory / Understanding rule,了解主義,Venehmungstheorie {Ger.},,民法第94條，學理上名詞,113.06.29-1,
21387359,Mistake as to characteristics of a thing,物之性質錯誤,Irrtum über Eigenschaften einer Sache {Ger.},,民法第88條,113.08.17-1,
21387361,Revocation of declaration of will,撤回意思表示,Widerruf der Willenserklärung {Ger.},,民法95條，指阻止意思表示發生效力的撤回，與其他條文指撤回已經發生法律效果之撤回不同,113.08.17-1,
21387363,Service by publication,公示送達,Öffentliche Zustellung {Ger.},,民法第97條，為訴訟上概念,113.08.17-1,
21387365,True intention of the declaring party,當事人之真意,Wirklicher Wille der erklärenden Partei {Ger.},,民法第98條,113.08.17-2,
21387367,Constructive satisfaction of a condition,條件成就之擬制,Fiktion des Bedingungseintritts {Ger.},,民法第101條,113.08.17-2,
21387369,Constructive unsatisfaction of a condition,條件不成就之擬制,Fiktion des Bedingungsausfalls {Ger.},,民法第101條,113.08.17-2,
21387371,Unconsciousness,無意識,Ohne Sinn und Verstand {Ger.},,民法第75條,113.01.27-2,
21387373,Emergency,急迫,Zwangslage {Ger.} / Notlage {Ger.},,民法第 74 條,113.01.27-2,
21387375,Recklessness,輕率,Leichtsinn {Ger.},,民法第 74 條,113.01.27-2,
21387379,Unjust conduct,不正當行為,Unlauteres Verhalten {Ger.},,民法第101條,113.08.17-2,
21387382,Principal,本人,Vertretene {Ger.} / Vertretener {Ger.},,民法第103條,113.08.17-2,
21387384,Incorrect transmission / Incorrect communication,傳達不實,Unrichtige Übermittlung {Ger.},,民法第89條,113.10.12,
21387386,Agent's contract with himself,自己代理,Selbstkontrahierung {Ger.},,民法第106條，學理名詞,113.10.12,
21387388,Extinguishment of the delegated power,代理權之消滅,Erlöschen der Vollmacht {Ger.},,民法第108條,113.10.12,
21387390,Letter of authorization,授權書,Vollmachtsurkunde {Ger.},,民法第109條,113.10.12,
21387392,Void legal transaction,無效之法律行為,Nichtiges Rechtsgeschäft {Ger.},,民法第112條,113.10.12,
21387394,Being void from beginning,自始無效,Anfängliche Nichtigkeit {Ger.},,民法第114條,113.10.12,
21387396,Voidable legal transaction,得撤銷之法律行為,Anfechtbares Rechtsgeschäft {Ger.},,民法第114條,114.1.18,
21387398,ex tunc,溯及效力,Rückwirkung {Lat.},,民法第115條。,114.1.18,
21387400,Unauthorized person / Non-entitled person,無權利人,Nichtberechtigter {Ger.},,民法第118條,114.1.18,
21387401,Nichtberechtigter {Ger.},無權利人,,,民法第118條,114.1.18,
21387402,Unauthorized disposition / Non-entitled disposition,無權處分,Verfügung eines Nichtberechtigten {Ger.},,民法第118條,114.1.18,
21387404,Being valid from the beginning / Being valid ab initio,自始有效,Von Anfang an wirksam zu sein {Ger.},,民法第118條,114.1.18,
21387406,Refusal to perform / Refusal of performance,拒絕給付,Leistungsverweigerung {Ger.},,民法第144條,114.1.18,
21387409,Last day / End day,末日,Letzter Tag {Ger.},,民法第121條,114.3.15,
21387411,Dividend,紅利,Dividende {Ger.},,民法第126條,114.3.15,
21387413,Rent,租金,Ｍietzinse {Ger.},,民法第126條,114.3.15,
21387415,Pension,退職金,Ruhegehalte {Ger.},,民法第126條,114.3.15,
21387417,Claim for periodic payment / Claim for regular payment,定期給付債權,Regelmäßig wiederkehrende Leistungen {Ger.},,民法第126條,114.3.15,
21387419,Consumable / Consumable goods,消費物,Verbrauchbare Sache {Ger.},,民法第127條,114.3.15,
21387421,Fixed date,期日,Termine {Ger.},,民法第119條,114.1.18,
21387423,Natural disaster,天災,Naturkatastrophen {Ger.},,民法第139條,114.1.18,
21387425,Unavoidable grave incident,不可避之事變,Unabwendbarer Zufall {Ger.},,民法第139條,114.1.18,
21387427,Suspension of expiry of limitation period,時效不完成,Ablaufhemmung der Verjährung {Ger.},,民法第139條,114.1.18,
21387429,Expiry of limitation period,時效完成,Eintritt der Verjährung {Ger.},,民法第144條,114.1.18,
21387431,Suspension of limitation period,時效中斷；時效停止,Neubeginn der Verjährung {Ger.} / Fortlaufshemmung {Ger.} / Unterbrechung der Verjährung {Ger.},,民法第138條,114.3.15,
21387433,Main claim,主權利,Hauptanspruch {Ger.},,民法第146條,114.3.15,
21387435,Prohibition of abuse of rights,權利濫用禁止原則,Schikaneverbot {Ger.},,民法第148條，學理名詞,114.3.15,
21387437,Overriding clause,帝王條款,Höchstes Rechtsprinzip {Ger.},,民法第148條，學理名詞,114.3.15,
21387439,Principle of good faith,誠實與信用原則,Treu und Glauben {Ger.},,民法第148條,114.3.15,
21387442,Consent of the victim,被害人之承諾,Einwilligung des Verletzten {Ger.},,民法,114.3.15,
21387444,In the name of the principal,本人名義,Im Namen des Vertretenen {Ger.},,民法,114.4.12,
21387446,Bona fide counterparty,善意相對人,Gutgläubiger Vertragspartner {Ger.},,民法,114.4.12,
21387448,Right holder,有權利人,Berechtigter {Ger.},,民法,114.4.12,
21387450,Object of a right,權利標的物,Rechtsgegenstand {Ger.},,民法,114.4.12,
21387453,Demand procedure,督促程序,Mahnverfahren {Ger.},,民法,114.4.12,
21387455,Payment order,支付命令,Mahnbescheid {Ger.},,民法,114.4.12,
21387457,Compulsory enforcement / Compulsory execution,強制執行,Zwangsvollstreckung {Ger.},,民法,114.4.12,
21387460,Public interest,公共利益,Gemeinwohl {Ger.},,民法,114.4.12,
21387462,Essential element,必要之點,essentialia negotii {Lat.},,契約之必要之點，拉丁文,114.4.12,
21387464,Non-essential element,非必要之點,accidentalia negotii {Lat.},,拉丁文,114.4.12,
21387466,Invitation to offer,要約引誘,Aufforderung zur Offerte {Ger.} / invitatio ad offerendum {Lat.},,學理名詞,114.4.12,
21387468,Right to reimbursement,求償權,Rückgriff {Ger.},,民法第190條第2項,114.6.28,
21387471,Offer of Reward to the Public,懸賞廣告,Auslobung {Ger.},,民法第164條,114.6.28,
21387473,Conferment of authority / Grant of Authority,代理權之授與,Erteilung der Vollmacht {Ger.},,民法第167條,114.6.28,
21387476,Apparent authority,表見代理,Anscheinsvollmacht {Ger.},,學理名詞，對照民法第169條,114.6.28,
21387478,Necessary expenses,必要費用,Notwendige Verwendungen {Ger.},,民法第176條第1項,114.6.28,
21387480,Beneficial expenses / Useful expenses,有益費用,Nützliche Verwendungen {Ger.},,民法第176條第1項,114.6.28,
21387483,Unauthorized management as one's own affairs,不法管理,Angemaßte Eigengeschäftsführung {Ger.},,學理名詞，對照民法第177條第2項,114.6.28,
