ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
1824339,culture-bound,文化限定,,,,2013-05-01
1824340,current asset,流動資產,,,,2013-05-01
1824341,current control,即時控制,,,,2013-05-01
1824342,curriculum,課程,,,,2013-05-01
1824343,customer,客戶；顧客,,,,2013-05-01
1824344,customer departmentalization,顧客別部門化,,,,2013-05-01
1824346,customer-driven philosophy,顧客驅動型哲學,,,,2013-05-01
1824348,data,資料；數據,,,,2013-05-01
1824349,data bank,資料銀行,,,,2013-05-01
1824350,data processing system,資料處理系統；資料處理制度,,,,2013-05-01
1824351,database,資料庫,,,,2013-05-01
1824352,dealer brand,經銷商品牌,,,,2013-05-01
1824353,debenture bond,無擔保債券,,,,2013-05-01
1824354,debt financing,債務融資；舉債融資,,,,2013-05-01
1824356,decentralized authority,分權化權威,,,,2013-05-01
1824357,decision criteria,決策準則,,,,2013-05-01
1824358,decision implementation,決策執行,,,,2013-05-01
1824359,decision ladder,決策階梯,,,,2013-05-01
1824360,decision maker,決策者,,,,2013-05-01
1824361,decision making school,決策理論學派,,,,2013-05-01
1824362,decision making under certainty,確定狀況下的決策,,,,2013-05-01
1824363,decision making under risk,風險狀況下的決策,,,,2013-05-01
1824364,decision making under uncertainty,不確定狀況下的決策,,,,2013-08-05
1824365,decision matrix technique,決策矩陣法,,,,2013-05-01
1824366,decision package,決策包；決策配套,,,,2013-05-01
1824367,decision support systems{=DSS},決策支援系統；決策支援制度,,,,2013-05-01
1824368,decision tree,決策樹,,,,2013-05-01
1824369,decision unit,決策單位,,,,2013-05-01
1824370,decisional role,決策角色,,,,2013-05-01
1824371,decision-making,決策,,,,2013-05-01
1824372,decision-making process,決策程序,,,,2013-05-01
1824373,decision-making style,決策風格,,,,2013-05-01
1824374,decoding,解碼,,,,2013-05-01
1824375,deferred compensation,延後支付薪酬,,,,2013-05-01
1824376,deflation,通貨緊縮,,,,2013-05-01
1824377,delayed entry strategy,延遲進入策略,,,,2013-05-01
1824378,delayering,縮減層級,,,,2013-05-01
1824379,delegation of authority,授權,,,,2013-05-01
1824380,Delphi method,德菲法,,,,2013-05-01
1824381,demand-of-the-job theory,工作本身之需求理論,,,,2013-05-01
1824382,demand-oriented pricing,需求導向定價法,,,,2013-05-01
1824383,demand-pull type,需求拉力型,,,,2013-05-01
1824384,demographic segmentation,人口統計區隔化,,,,2013-05-01
1824385,demography,人口統計,,,,2013-05-01
1824386,departmentalization,部門化,,,,2013-05-01
1824387,depreciation,折舊,,,,2013-05-01
1824388,depression,蕭條,,,,2013-05-01
1824390,deterrence-based trust,威懾基礎的信任,,,,2013-05-01
1824391,Detroit automation,底特律式自動化,,,,2013-05-01
1824392,devaluation,貶值,,,,2013-05-01
1824393,development research,發展研究,,,,2013-05-01
1824394,devil's advocate,故意唱反調的人,,,,2013-05-01
1824395,diagonal communication,斜向溝通,,,,2013-05-01
1824396,diamond model,鑽石模型,,,,2013-05-01
1824398,diffusion,擴散,,,,2013-05-01
1824399,dimension,層面；維度,,,,2013-05-01
1824400,direct costing,直接成本法,,,,2013-05-01
1824402,direct selling,直銷,,,,2013-05-01
1824403,directed discussion,導引式討論,,,,2013-05-01
1824404,directed interview,導引式訪問,,,,2013-05-01
1824405,directional plan,方向性計畫,,,,2013-05-01
1824406,directional policy matrix,定向政策矩陣,,,,2013-05-01
1824407,directive,指令,,,,2013-05-01
1824408,discontinuous automation,非連續性自動化,,,,2013-05-01
1824409,disinflation,反通貨膨脹,,,,2013-05-01
1824410,disseminator,傳播者,,,,2013-05-01
1824413,disturbance handler,分爭處理者,,,,2013-05-01
1824415,diversification strategy,多角化策略,,,,2013-05-01
1824416,dividend,股利,,,,2013-05-01
1824417,division,事業部,,,,2013-05-01
1824418,division of labor,分工,,,,2013-05-01
1824419,divisional structure,部門式結構,,,,2013-05-01
1824420,divisionalization,事業部化,,,,2013-05-01
1824421,double-entry bookkeeping,複式簿記,,,,2013-05-01
1824425,driving force,驅動力,,,,2013-05-01
1824426,drop shipper,承訂批發商,,,,2013-05-01
1824427,due diligence,實質審查；盡職調查,,,,2013-05-01
1824428,dumping,傾銷,,,,2013-05-01
1824429,dynamic X-efficiency,動態X效率,,,,2013-05-01
1824430,dysfunctional conflict,反功能性衝突；破壞性衝突,,,,2013-05-01
1824431,early entry strategy,早期進入策略,,,,2013-05-01
1824432,early growth stage,早期成長階段,,,,2013-05-01
1824433,e-business,電子化企業；電子化經營,,,,2013-05-01
1824434,eco-efficiency,生態效益,,,,2013-05-01
1824435,ecomagination,生態想像,,,,2013-05-01
1824437,economic man,經濟人,,,,2013-05-01
1824438,economic order quantity {=EOQ},經濟訂購量,,,,2020-03-27
1824439,economics,經濟學,,,,2013-05-01
1824440,economies of scale,規模經濟,,,,2013-05-01
1824441,economies of scope,範疇經濟,,,,2013-05-01
1824442,effectiveness,效能；效果,,,,2013-05-01
1824443,efficiency,效率,,,,2013-05-01
1824444,e-Finance,財務管理資訊系統,,,,2013-05-01
1824445,ego strength,自我強度,,,,2013-05-01
1824446,e-HR,人力資源管理資訊系統,,,,2013-05-01
1824447,e-learning,線上學習,,,,2013-05-01
1824448,electronic data interchange {=EDI},電子資料交換,,,,2020-03-26
1824449,electronic meeting,電子會議,,,,2013-05-01
1824450,electronic retailing,電子零售,,,,2013-05-01
1824451,embargo,禁運,,,,2013-05-01
1824452,"emotional intelligence quotient {=EIQ, EQ}",情緒智商,,,,2020-04-10
1824455,empathetic listening,傾聽,,,,2013-05-01
1824456,empathy,同理心,,,,2013-05-01
1824457,employee assistance program{=EAP},員工協助方案,,,,2013-05-01
1824458,employee benefit,員工福利,,,,2013-05-01
1824459,employee compensation,員工薪酬,,,,2013-05-01
1824460,employee counseling,員工諮商,,,,2013-05-01
1824461,employee development,員工發展,,,,2013-05-01
1824462,employee orientation,職前訓練,,,,2013-05-01
1824463,employee oriented,員工導向,,,,2013-05-01
1824464,employee oriented leader,員工導向領導者,,,,2013-05-01
1824465,employee participation program,員工參與計畫,,,,2013-05-01
1824466,employee stock ownership plans,員工認股計畫；員工持股計畫,,,,2013-05-01
1824467,employment planning,僱用規劃,,,,2013-05-01
1824469,enabling,賦能,,,,2013-05-01
1824470,encoding,編碼,,,,2013-05-01
1824471,engineering,工程學,,,,2013-05-01
1824472,enterprise resource planning {=ERP},企業資源規劃,,,,2020-04-09
