ID,英文名稱,中文名稱,圖片,所屬機關單位名稱,機關單位中文名稱,機關單位英文名稱,職等,單位中文名稱,單位英文名稱,單位中文名稱2,單位英文名稱2,更新日期
1474769,Second Corps ,第二大隊,,,,,,,,,,2012-12-19
1474771,Academic Affairs Division ,教務處,,,,,,,,,,2012-12-19
1474777,Student Affairs Division,訓導處,,,,,,,,,,2012-12-19
1474781,General Affairs Division,總務處,,,,,,,,,,2012-12-19
1474789,College of Agriculture and Natural Resources ,農業暨自然資源學院,,,,,,,,,,2012-12-19
1474792,Third Section,第三課,,,,,,,,,,2012-12-19
1474793,Fourth Section,第四課,,,,,,,,,,2012-12-19
1474796,Personnel Section ,人事課,,,,,,,,,,2012-12-19
1474800,Coal Yard Mechanical Section,燃煤機械課,,,,,,,,,,2012-12-19
1474804,Operation Section,運轉課,,,,,,,,,,2012-12-19
1474811,Mechanical Section,機械課,,,,,,,,,,2012-12-19
1474812,Repairing Section,修配課,,,,,,,,,,2012-12-19
1474817,Water and Soil Conservation Section,水土保持課,,,,,,,,,,2012-12-19
1474819,Flue Gas Desulfurization Section,排煙脫硫課,,,,,,,,,,2012-12-19
1474821,Warehouse Section ,倉儲課,,,,,,,,,,2012-12-19
1474823,Materials Section ,料務課,,,,,,,,,,2012-12-19
1474825,Accounting Section ,帳務課,,,,,,,,,,2012-12-19
1474826,Land Rights  Section,地權課,,,,,,,,,,2012-12-19
1474829,Line Section ,線路課,,,,,,,,,,2012-12-19
1474830,Extra High Voltage Equipment Section  ,變電課,,,,,,,,,,2012-12-19
1474832,Taipei Line Maintenance Section,台北線務段,,,,,,,,,,2012-12-19
1474833,Xizhi EHV Substation,汐止超高壓變電所,,,,,,,,,,2012-12-19
1474836,Billing Section,電費課,,,,,,,,v,,2012-12-19
1474837,Marketing Section,業務課,,,,,,,,,,2012-12-19
1474839,Maintenance Section,維護課,,,,,,,,,,2012-12-19
1474843,Back-end Management Section Ⅰ,後端營運一課,,,,,,,,,,2012-12-19
1474846,Back-end Management Section II,後端營運二課,,,,,,,,,,2012-12-19
1474847,Lanyu Storage Unit,蘭嶼貯存場,,,,,,,,,,2012-12-19
1474848,Radiation Chemistry Section,放射化學課,,,,,,,,,,2012-12-19
1474850,Personnel Dosimetry Section,劑量計測課,,,,,,,,,,2012-12-19
1474852,Radiation Instruments Section,輻射儀器課,,,,,,,,,,2012-12-19
1474854,Environmental Surveillance Section,環境偵測課,,,,,,,,,,2012-12-19
1474855,Concrete Testing and Research Center,混凝土試驗研究中心,,,,,,,,,,2012-12-19
1474856,Concrete Testing and Research Center,混擬土試驗研究中心,,,,,,,,,,2012-12-19
1474857,Telecommunication Office,通信區,,,,,,,,,,2012-12-19
1474864,Piping Section,配管課,,,,,,,,,,2012-12-19
1474866,Flue Gas Desulfurization Section,排氣處理課,,,,,,,,,,2012-12-19
1474867,System Management Section,電務課,,,,,,,,,,2012-12-19
1474869,Boiler Section,鍋爐課,,,,,,,,,,2012-12-19
1474872,Civil Engineering Section ,土木課,,,,,,,,,,2012-12-19
1474876,Materials Section ,材料課,,,,,,,,,,2012-12-19
1474881,Steam Supply Section ,汽源課,,,,,,,,,,2012-12-19
1474884,Steam Turbine Section ,汽機課,,,,,,,,,,2012-12-19
