ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3605481,"Del Monaco, Mario",德爾˙莫拿寇,,音樂,,2018-11-20
3605482,"Dentice, Fabrizio",鄧緹車,,音樂,,2018-11-20
3605483,"Denza, Luigi",鄧札,,音樂,,2018-11-20
3605484,"Majo, Gian Francesco",馬友,,音樂,,2018-11-20
3605485,"di Majo, Gian Francesco",馬友,,音樂,,2018-11-20
3605486,"Di Stefano, Giuseppe",迪˙斯特法挪,,音樂,,2018-11-20
3605487,"Domeniconi, Carlo",斗梅尼寇尼,,音樂,,2018-11-20
3605488,"Donatoni, Franco",斗拿透尼,,音樂,,2018-11-20
3605489,"Donizetti, Gaetano",董尼才悌 （斗尼澤緹）,,音樂,,2018-11-20
3605490,"Draghi, Antonio",德臘吉,,音樂,,2018-11-20
3605491,"Dragonetti, Domenico",德拉苟內緹,,音樂,,2018-11-20
3605492,"Drigo, Riccardo",德利苟,,音樂,,2018-11-20
3605493,"Duni, Egidio",杜尼,,音樂,,2018-11-20
3605494,"Durante, Francesco",篤然特,,音樂,,2018-11-20
3605495,"Erede, Alberto",耶瑞德,,音樂,,2018-11-20
3605496,"Esposito, Michele",耶斯珀吉投,,音樂,,2018-11-20
3605497,"Evangelisti, Franco",耶宛哲利斯緹,,音樂,,2018-11-20
3605498,"Faccio, Franco",法綢,,音樂,,2018-11-20
3605499,"Falconieri, Andrea",法爾寇聶里,,音樂,,2018-11-20
3605500,"Fantini, Girolamo",凡悌尼,,音樂,,2018-11-20
3605501,"Farina, Carlo",法利拿,,音樂,,2018-11-20
3605502,"Farinelli (Broschi, Carlo known as Farinelli)",法里內里,,音樂,,2018-11-20
3605503,"Fasano, Renato",法薩挪,,音樂,,2018-11-20
3605504,"Feo, Francesco",費歐,,音樂,,2018-11-20
3605505,"Ferrabosco, Alfonso I",菲拉播斯寇一世,,音樂,,2018-11-20
3605506,"Ferrabosco, Alfonso II",菲拉播斯寇二世,,音樂,,2018-11-20
3605507,"Ferrara, Franco",菲臘拉,,音樂,,2018-11-20
3605508,"Ferrero, Willy",菲瑞柔,,音樂,,2018-11-20
3605509,"Fiocco, Pietro Antonio",菲佑寇,,音樂,,2018-11-20
3605510,"Fiorillo, Federigo",菲友利婁，菲德利苟,,音樂,,2018-11-20
3605511,"Fiorillo, Ignazio",菲友利婁，殷尼亞裘,,音樂,,2018-11-20
3605512,"Fontana, Giovanni Battista",馮踏拿,,音樂,,2018-11-20
3605513,"Formichi, Cesare",佛爾密齊,,音樂,,2018-11-20
3605514,"Franceschini, Petronio",弗然車斯契尼,,音樂,,2018-11-20
3605515,"Franchetti, Alberto",弗然克緹,,音樂,,2018-11-20
3605516,"Franci, Carlo",弗然齊,,音樂,,2018-11-20
3605517,"Freccia, Massimo",弗瑞查,,音樂,,2018-11-20
3605518,"Freni, Mirella",弗瑞尼,,音樂,,2018-11-20
3605519,"Freschi, Giovanni Domenico",弗瑞斯齊,,音樂,,2018-11-20
3605520,"Frescobaldi, Girolamo",弗瑞斯寇巴爾迪,,音樂,,2018-11-20
3605521,"Gabrieli, Andrea",加布列里，安德瑞阿,,音樂,,2018-11-20
3605522,"Gabrieli, Giovanni",加布列里，舟萬尼,,音樂,,2018-11-20
3605523,"Gabrielli, Domenico",加布列里,,音樂,,2018-11-20
3605524,"Galli Curci, Amelita",加里-庫爾齊,,音樂,,2018-11-20
3605525,"Galliera, Alceo",加列拉,,音樂,,2018-11-20
3605526,"Galuppi, Baldassarre",加路皮,,音樂,,2018-11-20
3605527,"Gardella, Tomaso",加爾德拉,,音樂,,2018-11-20
3605528,"Gardelli, Lamberto",加爾德里,,音樂,,2018-11-20
3605529,"Gardoni, Italo",加爾竇尼,,音樂,,2018-11-20
3605530,"Gariboldi, Giuseppe",加里播爾迪,,音樂,,2018-11-20
3605531,"Gasparini, Francesco",加斯琶利尼,,音樂,,2018-11-20
3605532,"Gatti, Gabriella",加緹,,音樂,,2018-11-20
3605533,"Gatti-Casazza, Giulio",加緹-卡薩札,,音樂,,2018-11-20
3605534,"Gavazzeni, Gianandrea",加瓦策尼,,音樂,,2018-11-20
3605535,"Geminiani, Francesco",哲米尼亞尼,,音樂,,2018-11-20
3605536,"Germani, Fernando",哲爾馬尼,,音樂,,2018-11-20
3605537,"Gervasio, Raffaele",哲爾瓦修,,音樂,,2018-11-20
3605538,"Gervasoni, Stefano",哲爾瓦搜尼,,音樂,,2018-11-20
3605539,"Gesualdo, Carlo",哲蘇阿爾斗,,音樂,,2018-11-20
3605540,"Ghedini, Giorgio",給第尼,,音樂,,2018-11-20
3605541,"Giacomelli, Geminiano",札寇梅里,,音樂,,2018-11-20
3605542,"Gigli, Beniamino",季里,,音樂,,2018-11-20
3605543,"Giordani, Giuseppe",舟爾大尼,,音樂,,2018-11-20
3605544,"Giordano, Umberto",舟爾大挪,,音樂,,2018-11-20
3605545,"Giovannelli, Ruggiero",舟宛內里,,音樂,,2018-11-20
3605546,"Giuliani, Mauro",朱里亞尼,,音樂,,2018-11-20
3605547,"Giulini, Carlo Maria",朱利尼,,音樂,,2018-11-20
3605548,"Gnocchi, Vittorio",紐齊,,音樂,,2018-11-20
3605549,"Gobbi, Tito",勾比,,音樂,,2018-11-20
3605550,"Grosskopf, Giovanni",格若斯寇普弗,,音樂,,2018-11-20
3605551,"Guarneri, Giuseppe Antonio",瓜爾內里,,音樂,,2018-11-20
3605552,"Gui, Vittorio",顧伊,,音樂,,2018-11-20
3605553,"Infantino, Luigi",殷凡悌挪,,音樂,,2018-11-20
3605554,"Ingegneri, Marco Antonio",殷真聶里,,音樂,,2018-11-20
3605555,"Janigro, Antonio",亞暱格柔,,音樂,,2018-11-20
3605556,"Jannaconi, Giuseppe",陽拿寇尼,,音樂,,2018-11-20
3605557,"Jommelli, Nicoló",雍梅里,,音樂,,2018-11-20
3605558,"Lablache, Luigi",拉布臘許,,音樂,,2018-11-20
3605559,"Labroca, Mario",拉布若卡,,音樂,,2018-11-20
3605560,"Lampugnani, Giovanni",藍朋尼亞尼,,音樂,,2018-11-20
3605561,"Landi, Stefano",藍迪,,音樂,,2018-11-20
3605562,"Landini, Francesco",藍第尼,,音樂,,2018-11-20
3605563,"Lanzani, Giorgio",藍柵尼,,音樂,,2018-11-20
3605564,"Laurenti, Girolamo Bartolomeo",勞任緹,,音樂,,2018-11-20
3605565,"Lauri-Volpi, Giacomo",勞里-沃爾皮,,音樂,,2018-11-20
3605566,"Legrenzi, Giovanni",雷格任齊,,音樂,,2018-11-20
3605567,"Leo, Leonardo",勒歐,,音樂,,2018-11-20
3605568,"Leoncavallo, Ruggero",雷昂卡發洛 （雷翁卡瓦婁）,,音樂,,2018-11-20
3605569,"Leoni, Franco",雷歐尼,,音樂,,2018-11-20
3605570,"Liviabella, Lino",里維亞貝拉,,音樂,,2018-11-20
3605571,"Locatelli, Pietro Antonio",婁卡特里,,音樂,,2018-11-20
3605572,"Lolli, Antonio",洛里,,音樂,,2018-11-20
3605573,"Longo, Alessandro",隆苟,,音樂,,2018-11-20
3605574,"Lorenzani, Paolo",婁仁柵尼,,音樂,,2018-11-20
3605575,"Lotti, Antonio",洛緹,,音樂,,2018-11-20
3605576,"Lualdi, Adriano",魯阿爾迪,,音樂,,2018-11-20
3605577,"Lucchinetti, Giovanni Bernardo",魯齊內緹,,音樂,,2018-11-20
3605578,"Luzzaschi, Luzzasco",魯柵斯齊,,音樂,,2018-11-20
3605579,"Maderna, Bruno",馬德爾拿,,音樂,,2018-11-20
3605580,"Mainardi, Enrico",買納爾迪,,音樂,,2018-11-20
3605581,"Mainerio, Giorgio",買內流,,音樂,,2018-11-20
3605582,"Malipiero, Gian Francesco",馬里皮葉柔，詹-弗然徹斯寇,,音樂,,2018-11-20
3605583,"Malipiero, Riccardo",馬里皮葉柔，里卡爾斗,,音樂,,2018-11-20
3605584,"Mancinelli, Luigi",滿齊內里,,音樂,,2018-11-20
3605585,"Manfredini, Francesco Onofrio",滿弗雷第尼，弗然徹斯寇-歐諾弗流,,音樂,,2018-11-20
3605586,"Manfredini, Vincenzo",滿弗雷第尼，溫辰鄒,,音樂,,2018-11-20
3605587,"Mannino, Franco",滿暱挪,,音樂,,2018-11-20
3605588,"Manzoni, Giacomo",滿奏尼,,音樂,,2018-11-20
3605589,"Marcello, Alessandro",馬爾徹婁，阿雷桑德柔,,音樂,,2018-11-20
3605590,"Marcello, Benedetto",馬爾徹婁，北內德投,,音樂,,2018-11-20
3605591,"Marchesi, Salvatore",馬爾克吉,,音樂,,2018-11-20
3605592,"Marenzio, Luca",馬任裘,,音樂,,2018-11-20
3605593,"Mariani, Angelo",馬里亞尼,,音樂,,2018-11-20
3605594,"Marini, Biagio",馬利尼,,音樂,,2018-11-20
3605595,"Marinuzzi, Gino",馬里努齊,,音樂,,2018-11-20
3605596,"Mario, Giovanni Matteo",馬流,,音樂,,2018-11-20
3605597,"Marrone, Patrizio",馬柔內,,音樂,,2018-11-20
3605598,"Martinelli, Giovanni",馬爾緹內里,,音樂,,2018-11-20
3605599,"Martini, Giovanni Battista",馬爾悌尼,,音樂,,2018-11-20
3605600,"Martucci, Giuseppe",馬爾突齊,,音樂,,2018-11-20
3605601,"Mascagni, Pietro",馬斯卡尼 （馬斯康尼）,,音樂,,2018-11-20
3605602,"Mascheroni, Edoardo",馬斯可柔尼,,音樂,,2018-11-20
3605603,"Massarani, Renzo",馬撒臘尼,,音樂,,2018-11-20
3605604,"Mattei, Stanislao",馬特伊,,音樂,,2018-11-20
3605605,"Mercadante, Saverio Rafaele",梅爾卡旦特,,音樂,,2018-11-20
3605606,"Merulo, Claudio",梅儒婁,,音樂,,2018-11-20
3605607,"Michelangeli, Arturo Benedetti",米可藍哲里,,音樂,,2018-11-20
3605608,"Molinari, Bernardino",牟里納里,,音樂,,2018-11-20
3605609,"Molinari-Pradelli, Francesco",牟里納里-普拉德里,,音樂,,2018-11-20
3605610,"Mongini, Pietro",蒙季尼,,音樂,,2018-11-20
3605611,"Montemezzi, Italo",蒙特梅吉,,音樂,,2018-11-20
3605612,"Monteverdi, Claudio",蒙特威爾第 （蒙特魏爾迪）,,音樂,,2018-11-20
3605613,"Monti, Vittorio",孟緹,,音樂,,2018-11-20
