ID,英文名稱,中文名稱,圖片,化學式,更新日期
617528,zirconium hydride,氫化鋯(II) {二氫化鋯},,"<Font html:Color=""#000000"">ZrH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617529,zirconium hydroxyiodide,鹼式碘化氧鋯(IV),,"<Font html:Color=""#000000"">ZrO(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">·ZrOI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617530,zirconium hydroxyoxalate,鹼式草酸鋯；草酸氧鋯 {鹼式乙二酸鋯},,"<Font html:Color=""#000000"">ZrO(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font>",2012-11-26
617532,zirconium disilicide,二矽化鋯,,"<Font html:Color=""#000000"">ZrSi</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617533,zirconium diiodide,二碘化鋯 {碘化鋯(II)},,"<Font html:Color=""#000000"">ZrI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617535,zirconium dibromide,二溴化鋯 {溴化鋯(II)},,"<Font html:Color=""#000000"">ZrBr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617536,zirconium dichloride,二氯化鋯 {氯化鋯(II)},,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617537,zirconium carbide,碳化鋯；一碳化鋯,,ZrC,2012-11-26
617538,zirconium chloride,[四]氯化鋯,,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617539,zirconium basic carbonate,鹼式碳酸鋯,,"<Font html:Color=""#000000"">ZrCO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">·ZrO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617540,zirconium boride,硼化鋯；二硼化鋯,,"<Font html:Color=""#000000"">ZrB</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617542,zirconium basic acetate,鹼式醋酸鋯；鹼式乙酸鋯,,"<Font html:Color=""#000000"">Zr(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">COO)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">OH</Font>",2012-11-26
617543,zirconium basic acetate,鹼式醋酸鋯,,"<Font html:Color=""#000000"">Zr(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">COO)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">OH</Font>",2012-11-26
617544,zirconia,氧化鋯,,"<Font html:Color=""#000000"">ZrO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617545,zirconium,鋯,,Zr,2012-11-26
617546,zinc white,鋅白 {氧化鋅},,ZnO,2012-11-26
617547,ziram,吉闌,,"<Font html:Color=""#000000"">Zn[(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">NCSS]</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617548,zinc vitriol,鋅礬 {硫酸鋅七水合物},,"<Font html:Color=""#000000"">ZnSO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">·7H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font>",2012-11-26
617549,zinc uranyl acetate,[四]乙酸氧鈾(VI)鋅；[四]醋酸氧鈾(VI)鋅,,"<Font html:Color=""#000000"">Zn UO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">CO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617550,zinc valerate,戊酸鋅；纈草酸鋅,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617552,zinc undecylenate,十一碳烯酸鋅,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">20</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617553,zinc thiocyanate,硫氰酸鋅,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617554,zinc thiocyanide,硫氰化鋅,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617555,zinc tellurate,碲酸鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">TeO</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617556,zinc telluride,碲化鋅,,ZnTe,2012-11-26
617557,zinc tetraborate,四硼酸鋅,,ZnB<Sub>4</Sub><Font>O</Font><Sub>7</Sub><Font> &#160;</Font>,2012-11-26
617558,zinc sulfite,亞硫酸鋅,,"<Font html:Color=""#000000"">ZnSO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
