ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
11562663,alumel,鎳鋁合金；亞鋁美{熱電偶用98%Ni，2%Al},,镍铝合金(热电偶材料),2020-12-02
11562664,alumel-chromel thermocouple,鎳鋁-鎳鉻熱電偶；亞鋁美－克鉻美熱電偶,,镍铝-镍铬热电偶,2020-12-02
11562665,alumina brick,氧化鋁磚,,氧化铝砖,2020-12-02
11562666,alumina carbon brick,氧化鋁碳磚,,铝炭砖,2020-12-02
11562667,alumina cement,氧化鋁水泥；礬土水泥,,矾土水泥,2020-12-02
11562668,alumina ceramic,氧化鋁陶瓷,,氧化铝陶瓷,2020-12-02
11562669,alumina chrome brick,氧化鋁鉻磚,,铝铬砖,2020-12-02
11562670,alumina fiber refractory product,氧化鋁纖維耐火製品,,氧化铝耐火纤维制品,2020-12-02
11562671,alumina fiber reinforced intermetallic compound matrix composite,氧化鋁纖維強化介金屬化合物基複材,,氧化铝纤维增强金属间化合物基复合材料,2020-12-02
11562672,alumina fiber reinforcement,氧化鋁纖維強化體,,氧化铝纤维增强体,2020-12-02
11562673,alumina particle reinforcement,氧化鋁顆粒強化體,,氧化铝颗粒增强体,2020-12-02
11562674,alumina particulate reinforced aluminium matrix composite,氧化鋁顆粒強化鋁基複材,,氧化铝颗粒增强铝基复合材料,2020-12-02
11562675,alumina whisker reinforcement,氧化鋁鬚晶強化體,,氧化铝晶须增强体,2020-12-02
11562676,"aluminium {Al, 13}",鋁,,铝,2020-12-02
11562677,aluminium borate whisker reinforced aluminium matrix composite,硼酸鋁鬚晶強化鋁基複材,,硼酸铝晶须增强铝基复合材料,2020-12-02
11562678,aluminium brass,鋁黃銅,,铝黄铜,2020-12-02
11562679,aluminium bronze,鋁青銅,,铝青铜,2020-12-02
11562680,aluminium coated sheet,鍍鋁板,,镀铝钢板,2020-12-02
11562681,aluminium gallium arsenide,砷化鎵鋁,,镓铝砷,2020-12-02
11562682,aluminium gallium indium nitride,氮化銦鎵鋁,,镓铟铝氮,2020-12-02
11562683,aluminium nitride particulate reinforced aluminium matrix composite,氮化鋁顆粒強化鋁基複材,,氮化铝颗粒增强铝基复合材料,2020-12-02
11562684,aluminized steel,滲鋁鋼,,渗铝钢,2020-12-02
11562685,aluminizing,滲鋁法,,滲铝,2020-12-02
11562686,aluminosilicate fiber refractory product,鋁矽酸鹽纖維耐火製品,,硅酸铝耐火纤维制品,2020-12-02
11562687,aluminosilicate glass,鋁矽酸鹽玻璃,,铝硅酸盐玻璃,2020-12-02
11562688,aluminosilicate refractory,鋁矽酸鹽耐火材,,硅酸铝耐火材料,2020-12-02
11562689,aluminum,鋁,,铝,2020-12-02
11562690,aluminum alloy,鋁合金,,铝合金,2020-12-02
11562691,aluminum alloy for integrated circuit down-lead,積體電路下引線鋁合金,,集成电路引线铝合金,2020-12-02
11562692,aluminum alloy for magnetic disk,磁碟鋁合金,,磁盘基片铝合金,2020-12-02
11562693,aluminum borate whisker reinforcement,硼酸鋁鬚晶強化體,,硼酸铝晶须增强体,2020-12-02
11562694,aluminum borosilicate whisker reinforcement,硼矽酸鋁鬚晶強化體,,硼硅酸铝晶须增强体,2020-12-02
11562695,aluminum- copper-silicon cast aluminum alloy,鋁銅矽鑄造鋁合金,,铝铜硅系铸造铝合金,2020-12-02
11562696,aluminum foam,發泡鋁,,泡沫铝,2020-12-02
11562697,aluminum foil,鋁箔,,铝箔,2020-12-02
11562698,aluminum foil backing paper,鋁箔襯紙,,铝箔衬纸,2020-12-02
11562699,aluminum magnesite carbon brick,鋁鎂碳酸鹽碳磚,,铝镁炭砖,2020-12-02
11562700,aluminum nitride,氮化鋁,,氮化铝,2020-12-02
11562701,aluminum nitride particle reinforcement,氮化鋁顆粒強化體,,氮化铝颗粒增强体,2020-12-02
11562702,aluminum paste,鋁膏,,铝膏,2020-12-02
11562703,aluminum silicate fiber reinforced aluminium matrix composite,鋁矽酸鹽纖維強化鋁基複材,,硅酸铝纤维增强铝基复合材料,2020-12-02
11562704,aluminum white copper,鋁白銅,,铝白铜,2020-12-02
11562705,aluminum-based bearing alloy,鋁基軸承合金,,铝基轴瓦合金,2020-12-02
11562706,aluminum-copper cast aluminum alloy,鋁銅鑄造鋁合金,,铝铜系铸造铝合金,2020-12-02
11562707,aluminum-copper wrought aluminum alloy,鋁銅鍛軋鋁合金,,铝铜系变形铝合金,2020-12-02
11562708,aluminum-lead alloy,鋁鉛合金,,铝铅合金,2020-12-02
11562709,aluminum-lithium alloy,鋁鋰合金,,铝锂合金,2020-12-02
11562710,aluminum-magnesium alloy powder,鋁鎂合金粉,,铝镁合金粉,2020-12-02
11562711,aluminum-magnesium cast aluminum alloy,鋁鎂鑄造鋁合金　,,铝镁系铸造铝合金，耐蚀铝合金,2020-12-02
11562712,aluminum-magnesium wrought aluminum alloy,鋁鎂鍛軋鋁合金,,铝镁系变形铝合金，防锈铝LF××,2020-12-02
11562713,aluminum-magnesium-silicon wrought aluminum alloy,鋁鎂矽鍛軋鋁合金,,铝镁硅系变形铝合金，锻铝LD××,2020-12-02
11562714,aluminum-manganese wrought aluminum alloy,鋁錳鍛軋鋁合金,,铝锰系变形铝合金,2020-12-02
11562715,aluminum-plastic composite laminate,鋁塑膠複合積層板,,铝塑复合板,2020-12-02
11562716,aluminum-plastic composite tube,鋁塑膠複合管,,铝塑复合管,2020-12-02
11562717,aluminum-rare earth metal alloy,鋁稀土金屬合金,,稀土铝合金,2020-12-02
11562718,aluminum-silicon carbide brick,鋁矽碳磚,,铝硅炭砖,2020-12-02
11562719,aluminum-silicon cast aluminum alloy,鋁矽鑄造鋁合金,,铝硅系铸造铝合金，硅铝明合金,2020-12-02
11562720,aluminum-silicon wrought aluminum alloy,鋁矽鍛軋鋁合金,,铝硅系变形铝合金,2020-12-02
11562721,aluminum-tin cast aluminum alloy,鋁錫鑄造鋁合金,,铝锡系铸造铝合金,2020-12-02
11562722,aluminum-zinc cast aluminum alloy,鋁鋅鑄造鋁合金,,铝锌系铸造铝合金,2020-12-02
