ID,英文名稱,中文名稱,圖片,備註,更新日期
159787,Quercus glandulifera Bl;Q.serrata Thunb,枹櫟;枹樹;青崗樹;柞木;枹(綱目),,,2012-11-26
159788,Quercus glandalifera var brevipetiolata Nakai,短柄枹櫟,,,2012-11-26
159789,Quercus gilva Bl;Cyclobalanopsis gilva (Bl)Oerst,赤皮稠;赤皮,,,2012-11-26
159790,Quercus gilliana Rehd et Wils,川西櫟,,,2012-11-26
159791,Quercus franchetii Skan,錐連櫟,,,2012-11-26
159792,Quercus flauryi Hick et A Camus;Cyclobalanapsis Fleuryi(Hick et A.Camus)Chun,飯甑椆 ;金鐘飯甑子;飯甑樹,,,2012-11-26
159793,Quercus fabri Hance,白櫟;白反櫟;青剛樹,,,2012-11-26
159794,Quercus engleriana Seem,巴東櫟;小葉青剛,,,2012-11-26
159795,Quercus dentate Thunb;Daimyo oak,炸櫟;槲樹;橡樹;青崗,,,2012-11-26
159796,Quercus delavayi Franch;Cyclobalanopsis delavayi(Franch)Shottky,黃稠;黃櫟,,,2012-11-26
159797,Quercus cocciferoides Hand-Mazz,鐵橡櫟,,,2012-11-26
159798,Quercus chenii Nakai,小葉櫟,,,2012-11-26
159799,Quercus championii Benth;Cyclobalanopsis championii Oerst,嶺南稠;嶺南青剛櫟,,,2012-11-26
159800,Quercus blakei Skan;Cyclobalanopsis blakei(Skan)Schottky,櫟子椆;小葉嶺楣;櫟子樹,,,2012-11-26
159801,Quercus bella Chun et Chiang;Cyclobalanopsis bella(Chun et Chiang)Chun,檳榔椆;美櫟;宜都子,,,2012-11-26
159802,Quercus baronii Skan,橿子櫟;黃疆子;梔子樹;橿子樹,,,2012-11-26
159803,Quercus bambusaefolia Hance;Cyclobalanopsis bambusaefolia (hance)Chun,竹葉椆 ;竹葉櫟,,,2012-11-26
159804,Quercus aqustinii Skan.;Cyclobalanopsis angustinii(Skan)Schottky,掃巴椆;掃巴櫟,,,2012-11-26
159805,Quercus aquifolioides Rehd.et Wils,巴郎櫟,,,2012-11-26
159806,Quercus aliena var.acuteserrata Maxim.,銳齒槲櫟,,,2012-11-26
159807,Quercus aliena Bl.,槲櫟;細皮青剛;軟腳櫟;大葉櫪柴,,,2012-11-26
159808,Quercus acutissima Carr; low-level oak,麻櫟;青剛; 橡樹; 櫟樹,,,2012-11-26
159809,Quercus acuta Thunb.;Japanese evergreen oak,林櫟;血櫧,,,2012-11-26
159810,quercitrin,槲皮,,,2012-11-26
159811,quercite，quercitol,槲皮醇;環己壬醇,,,2012-11-26
159812,quercitanin,槲皮鞣素,,,2012-11-26
159813,quercin,槲皮素,,,2012-11-26
159814,Quercifilix zeylanica,地耳蕨,,,2012-11-26
159815,Quercifilix,地耳蕨屬(三叉蕨科),,,2012-11-26
159816,quercetin,槲皮素;槲黃素,,,2012-11-26
159817,Queensland nut;Australian nut;Macadamia nut;Macadamia ternifolia F.Muell,昆士蘭龍眼;澳洲胡桃,,,2012-11-26
159818,Queensland arrowroot;Canna edulis Ker.,食用美人蕉,,,2012-11-26
159819,quebrachamine,白堅木胺,,,2012-11-26
159820,queen stock;gilli flower;stock;Matthiola,紫羅蘭,,,2012-11-26
159821,quaternary hybrid,四原雜種;四祖雜種,,,2012-11-26
159822,Quaternary period,第四紀,,,2012-11-26
159823,quaternary,第四,,,2012-11-26
159824,Quaternary,第四紀,,,2012-11-26
159825,Quassia Family;Simarubaceae,苦木科,,,2012-11-26
159826,Quassia;Quassia,苦木屬,,,2012-11-26
159827,quassin,苦木素,,,2012-11-26
159828,quasi-static,準靜態的,,,2012-11-26
159829,quasi-organism,準生物,,,2012-11-26
159830,quasi-normals,擬正常型,,,2012-11-26
159831,quasidipolid(Hsu 1957),擬二倍體,,,2012-11-26
159832,quasi-continuous variation,擬連續變異,,,2012-11-26
159833,quasi-continuous character(Grunberg 1952),似連續性狀,,,2012-11-26
159834,quasibivalent (Qstergren & Vigfusson 1953),擬二價體,,,2012-11-26
159835,quartile deviation,四分位差,,,2012-11-26
159836,quartet; tetrad,四分孢子;四分體; 四體,,,2012-11-26
159837,quarternate arrangement,四葉輪生,,,2012-11-26
159838,quarantine,檢疫,,,2012-11-26
159839,quantum yield of photosynthesis,光合成的量子數量,,,2012-11-26
159840,quantum theory of gene,基因量子論,,,2012-11-26
159841,quantum requirement,量子需要量,,,2012-11-26
159842,quantum of light,光量子,,,2012-11-26
159843,quantum evolution(Simpson 1944),量子式演化,,,2012-11-26
159844,quantum efficiency,量子效率,,,2012-11-26
159845,quantum,量子,,,2012-11-26
159846,quantitative variation,數量[的]變異,,,2012-11-26
159847,quantitative relation,量的關係,,,2012-11-26
159848,quantitative inheritance theory,數量遺傳說,,,2012-11-26
159849,quantitative inheritance,數量遺傳,,,2012-11-26
159850,quantitative gene;quantitative factor,數量遺傳學,,,2012-11-26
159851,quantitative character,數量性狀,,,2012-11-26
159852,quantimeter,X線量計,,,2012-11-26
159853,quantasome(park & Pon 1961),量子換能粒體,,,2012-11-26
159854,Quamoclit;star-glory,蔦蘿屬(旋花科),,,2012-11-26
159855,Quamoclit pennata Bojer;cypress vine,蔦蘿,,,2012-11-26
159856,Quamoclit lobata House,墨西哥蔦蘿,,,2012-11-26
159857,Quamoclit coccinea Moench.;scarlet ipomoea;star ipomoea,朱衣蔦蘿,,,2012-11-26
