ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1501928,Director ,主任,,金融保險,14,,2012-11-26
1501929,Deputy Director,副處長,,金融保險,13,,2012-11-26
1501930,Deputy Director,副主任,,金融保險,13,,2012-11-26
1501931,Assistant Director,襄理,,金融保險,12,,2012-11-26
1501932,Assistant Director and Secretary,秘書,,金融保險,12,,2012-11-26
1501933,Assistant Director and Auditor,稽核,,金融保險,12,,2012-11-26
1501934,Senior Specialist,一等專員,,金融保險,12,,2012-11-26
1501935,Specialist,二等專員,,金融保險,11,,2012-11-26
1501936,Chief,科長,,金融保險,11,,2012-11-26
1501937,Deputy Chief,副科長,,金融保險,10,,2012-11-26
1501938,Assistant Auditor,助理稽核,,金融保險,10-11,,2012-11-26
1501939,Assistant Specialist,三等專員,,金融保險,10,,2012-11-26
1501940,Junior Specialist,四等專員,,金融保險,9,,2012-11-26
1501941,Assistant Officer,領組,,金融保險,9,,2012-11-26
1501942,Clerk,辦事員,,金融保險,8,,2012-11-26
1501943,Associate Clerk,助員,,金融保險,7,,2012-11-26
1501944,Assistant Clerk,練習員,,金融保險,6,,2012-11-26
1501945,Junior Clerk,雇員,,金融保險,5,,2012-11-26
1501946,Driver / Technician / Janitor / Messenger,工員,,金融保險,4,,2012-11-26
1501947,Security Guard,警衛,,金融保險,不列等,,2012-11-26
1501948,Chairperson of the Board,董事長,,金融保險,,,2012-11-26
1501949,Director of the Board,董事,,金融保險,,,2012-11-26
1501950,Managing Director of the Board,常務董事,,金融保險,,,2012-11-26
1501951,Supervisor,監察人,,金融保險,,,2012-11-26
1501952,Resident Supervisor,常駐監察人,,金融保險,,,2012-11-26
1501953,President,總經理,,金融保險,,,2012-11-26
1501954,Executive Vice President,副總經理,,金融保險,15,,2012-11-26
1501955,Executive Vice President and General Auditor,總稽核,,金融保險,15,,2012-11-26
1501956,Senior Vice President and Chief Secretary,主任秘書,,金融保險,14,,2012-11-26
1501957,Senior Vice President and General Manager,室主任,,金融保險,14,,2012-11-26
1501958,Senior Vice President and General Manager,部經理,,金融保險,14,,2012-11-26
1501959,Senior Vice President and General Manager,一等分行經理,,金融保險,14,,2012-11-26
1501960,Senior Vice President,專門委員,,金融保險,14,,2012-11-26
1501961,Vice President and Deputy Chief Secretary,副主任秘書,,金融保險,13,,2012-11-26
1501962,Vice President and Deputy General Manager,室副主任,,金融保險,13,,2012-11-26
1501963,Vice President and Deputy General Manager,部副經理,,金融保險,13,,2012-11-26
1501964,Vice President and Deputy General Manager,一等分行副經理,,金融保險,13,,2012-11-26
1501965,Vice President and General Manager,二等分行經理,,金融保險,13,,2012-11-26
1501966,Vice President and General Manager,三等分行經理,,金融保險,13,,2012-11-26
1501967,Vice President,研究員,,金融保險,13,,2012-11-26
1501968,Systems Planning Deputy General Manager,業務規劃師,,金融保險,13,,2012-11-26
1501969,Assistant Vice President and Deputy General Manager,二等分行副經理,,金融保險,12,,2012-11-26
1501970,Assistant Vice President and Deputy General Manager,三等分行副經理,,金融保險,12,,2012-11-26
1501971,Assistant Vice President and Assistant General Manager,高級襄理,,金融保險,12,,2012-11-26
1501972,Assistant Vice President ,高級專員,,金融保險,12,,2012-11-26
1501973,Assistant Vice President and Secretary,秘書,,金融保險,12,,2012-11-26
1501974,Assistant Vice President and Auditor ,稽核,,金融保險,12,,2012-11-26
1501975,Senior Systems Analyst,高級制度分析師,,金融保險,12,,2012-11-26
1501976,Manager,科長,,金融保險,11,,2012-11-26
1501977,Manager,課長,,金融保險,11,,2012-11-26
1501978,Manager,中級襄理,,金融保險,11,,2012-11-26
1501979,Banking Officer,中級專員,,金融保險,11,,2012-11-26
1501980,Secretary,助理秘書,,金融保險,11,,2012-11-26
1501981,Auditor,助理稽核,,金融保險,11,,2012-11-26
1501982,Senior Technician,中級技術師,,金融保險,11,,2012-11-26
1501983,Systems Analyst,制度分析師,,金融保險,11,,2012-11-26
1501984,Deputy Manager,副科長,,金融保險,10,,2012-11-26
1501985,Deputy Manager,初級襄理,,金融保險,10,,2012-11-26
1501986,Deputy Banking Officer,初級專員,,金融保險,10,,2012-11-26
1501987,Assistant Systems Analyst,助理制度分析師,,金融保險,10,,2012-11-26
1501988,Systems Designer,程式設計師,,金融保險,10,,2012-11-26
1501989,Assistant Banking Officer,領組,,金融保險,9,,2012-11-26
1501990,Assistant Systems Designer,助理程式設計師,,金融保險,9,,2012-11-26
1501991,Information Control Officer,資料管制師,,金融保險,9,,2012-11-26
1501992,Clerk,辦事員,,金融保險,8,,2012-11-26
1501993,Associate Clerk,助理員,,金融保險,7,,2012-11-26
1501994,Assistant Clerk,練習員,,金融保險,6,,2012-11-26
1501995,Junior Clerk,雇員,,金融保險,5,,2012-11-26
1501996,Bank Note Sorter,檢券員,,金融保險,5,,2012-11-26
1501997,1.Maintenance Worker; 2.Messenger (送公文); 3.Janitor (清潔工),工友,,金融保險,不列等,,2012-11-26
1501998,Technician,技工,,金融保險,不列等,,2012-11-26
1501999,Driver,駕駛,,金融保險,不列等,,2012-11-26
1502000,Security Chief ,隊長,,金融保險,不列等,,2012-11-26
1502001,Deputy Security Chief,副隊長,,金融保險,不列等,,2012-11-26
1502002,Security Guard,警務員,,金融保險,不列等,,2012-11-26
1502003,Security Supervisor,小隊長,,金融保險,不列等,,2012-11-26
1502004,Subsection Leader,分隊長,,金融保險,不列等,,2012-11-26
1502005,Security Guard,隊員,,金融保險,不列等,,2012-11-26
1502006,Member of the Legislative Yuan,立法委員,,,,,2012-11-26
2275213,Aeronautical communications officer,報務員,,交通部民航局,,,2015-03-23
