ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1501266,Junior Electrical Engineer,電子工程員  ,,交通事業,,,2012-11-26
1501267,Weigh Station Operator ,地磅操作員  ,,交通事業,,,2012-11-26
1501268,Toll Collector,約僱收費員  ,,交通事業,,,2012-11-26
1501269,Assistant Clerk,文書士,,交通事業,,,2012-11-26
1501270,Technical Clerk,材料試驗士,,交通事業,,,2012-11-26
1501271,Technical Assistant,養路士,,交通事業,,,2012-11-26
1501272,Technical Assistant,機務士,,交通事業,,,2012-11-26
1501273,Technical Assistant,工務士,,交通事業,,,2012-11-26
1501274,Materials Staff,料務士,,交通事業,,,2012-11-26
1501275,Associate Clerk,事務士,,交通事業,,,2012-11-26
1501276,Assistant Clerk,業務士,,交通事業,,,2012-11-26
1501277,Technical Assistant,路燈修理士,,交通事業,,,2012-11-26
1501278,Operator,作業手 ,,交通事業,,,2012-11-26
1501279,Foreman,養路領班 ,,交通事業,,,2012-11-26
1501280,Head Mechanic ,修護領班 ,,交通事業,,,2012-11-26
1501281,Official Dispatch Worker ,文書工 ,,交通事業,,,2012-11-26
1501282,Carpenter ,木工 ,,交通事業,,,2012-11-26
1501283,Plumber/Electrician ,水電工 ,,交通事業,,,2012-11-26
1501284,Technical Worker,材試工 ,,交通事業,,,2012-11-26
1501285,Assistant Clerk,事務工 ,,交通事業,,,2012-11-26
1501286,Mason,泥水工 ,,交通事業,,,2012-11-26
1501287,Mechanic ,修護技工 ,,交通事業,,,2012-11-26
1501288,Surveying Worker,測量工 ,,交通事業,,,2012-11-26
1501289,Gardener  ,園藝工 ,,交通事業,,,2012-11-26
1501290,Technical Worker,電機工 ,,交通事業,,,2012-11-26
1501291,Crane Operator ,起重機司機,,交通事業,,,2012-11-26
1501292,Chief Dispatcher  ,主任調度員,,交通事業,,,2012-11-26
1501293,Dispatcher ,調度員,,交通事業,,,2012-11-26
1501294,Locomotive Dispatcher ,機車調度員,,交通事業,,,2012-11-26
1501295,Senior Weatherman ,主任氣象員,,交通事業,8,,2012-11-26
1501296,Senior Flight Operations Officer ,主任航務員,,交通事業,8,,2012-11-26
1501297,Senior Flight Information Officer ,主任航詢員,,交通事業,8,,2012-11-26
1501298,Senior Operator ,主任報務員,,交通事業,8,,2012-11-26
1501299,Senior Controller ,主任管制員,,交通事業,8,,2012-11-26
1501300,Instructor,專任教官,,交通事業,6-8,,2012-11-26
1501301,Pilot ,飛航員,,交通事業,5-7,,2012-11-26
1501302,Flight Operations Officer,飛航業務員,,交通事業,5-7,,2012-11-26
1501303,Flight Operations Officer ,航務員,,交通事業,5-7,,2012-11-26
1501304,Flight Information Officer ,航詢員,,交通事業,5-7,,2012-11-26
1501305,Forecaster ,預報員,,交通事業,5-7,,2012-11-26
1501306,Controller ,管制員,,交通事業,5-7,,2012-11-26
1501307,Weather Observer ,觀測員,,交通事業,5-7,,2012-11-26
1501308,Assistant Officer,助理管制員,,交通事業,4-6,,2012-11-26
1501309,Fire Fighter,消防士,,交通事業,3-5,,2012-11-26
1501310,Senior Forecaster ,主任預報員,,交通事業,8,,2012-11-26
1501311,Senior Engineer ,簡任技正(電子),,交通事業,10,,2012-11-26
1501312,Senior Seismologist,簡任技正(地震),,交通事業,10,,2014-05-12
1501313,Senior Meteorologist ,簡任技正(氣象),,交通事業,10,,2012-11-26
1501314,Skipper,小船駕駛,,交通事業,,,2012-11-26
1501315,First Mate ,大副,,交通事業,,,2012-11-26
1501316,First Engineer,大管輪,,交通事業,,,2012-11-26
1501317,1.Assistant Engineer (薦任); 2.Junior Engineer (委任),工務員,,交通事業,5-7,,2012-11-26
1501318,Seaman,水手,,交通事業,,,2012-11-26
1501319,Boatswain,水手長,,交通事業,,,2012-11-26
1501320,Oiler,加油工,,交通事業,,,2012-11-26
1501321,Materials Officer,材料管理員,,交通事業,4-6,,2012-11-26
1501322,Officer ,巡察員,,交通事業,,,2012-11-26
1501323,Chief Mason,泥工長,,交通事業,,,2012-11-26
1501324,Mason,泥水工,,交通事業,,,2012-11-26
1501325,Dredger Captain,挖泥長,,交通事業,,,2012-11-26
1501326,Warehouse Officer,倉庫管理員,,交通事業,4-6,,2012-11-26
1501327,Deputy Boatswain,副水手長,,交通事業,,,2012-11-26
1501328,Deputy Dredger Captain,副挖泥長,,交通事業,,,2012-11-26
1501329,Accounts Inspector,帳務檢查員,,交通事業,7,,2012-11-26
1501330,Officer ,教務員,,交通事業,5-7,,2012-11-26
1501331,Chief Helmsman,舵工長,,交通事業,,,2012-11-26
1501332,Seaman,船士,,交通事業,,,2012-11-26
1501333,Deck Officer ,船副,,交通事業,,,2012-11-26
1501334,Occupational Health Officer  ,勞工衛生管理員,,交通事業,4-6,,2012-11-26
1501335,Harbor Master ,港務長,,交通事業,,,2012-11-26
1501336,Chief Mechanic,鉗工長,,交通事業,,,2012-11-26
1501337,Chief Electrician,電工長,,交通事業,,,2012-11-26
1501338,Engineer,管輪,,交通事業,,,2012-11-26
1501339,Foreman,領班,,交通事業,,,2012-11-26
1501340,Kitchen Worker,廚工,,交通事業,,,2012-11-26
1501341,Inspector,稽查,,交通事業,5-7,,2012-11-26
1501342,Chief Engineer,輪機長,,交通事業,,,2012-11-26
1501343,Chief Motorman,機工長,,交通事業,,,2012-11-26
1501344,Maintenance Worker  ,雜工,,交通事業,,,2012-11-26
1501345,Junior Pharmacist,藥劑員,,交通事業,4-6,,2012-11-26
1501346,Director ,董事,,交通事業,,,2012-11-26
1501347,Supervisor,監察人,,交通事業,,,2012-11-26
1501348,Vice President,副總經理,,交通事業,,,2012-11-26
1501349,Assistant President,協理,,交通事業,,,2012-11-26
1501350,Chairperson,主任委員 ,,交通事業,,,2012-11-26
1501351,Vice Chairperson,副主任委員 ,,交通事業,,,2012-11-26
1501352,Member of ____ Council,委員   ,,交通事業,,,2012-11-26
1501353,Manager,經理,,交通事業,,,2012-11-26
1501354,Supervising Engineer,主任工程司  ,,交通事業,,,2012-11-26
1501355,Deputy Director,副處長,,交通事業,,,2012-11-26
1501356,Senior Executive Officer,專門委員   ,,交通事業,,,2012-11-26
1501357,Secretary,秘書   ,,交通事業,,,2012-11-26
1501358,Chief Stamp Printing  Supervisor ,主任郵票監印員 ,,交通事業,,,2012-11-26
1501359,Deputy Manager,副理,,交通事業,,,2012-11-26
1501360,Director ,主任,,交通事業,,,2012-11-26
1501361,Auditor,稽核,,交通事業,,,2012-11-26
1501362,Senior Instructor,主任講師      ,,交通事業,,,2012-11-26
1501363,Executive Officer,管理師,,交通事業,,,2012-11-26
1501364,Systems Designer,設計師,,交通事業,,,2012-11-26
1501365,Engineer,工程司,,交通事業,,,2012-11-26
1501366,Instructor,講師,,交通事業,,,2012-11-26
1501367,Associate Executive Officer,副管理師    ,,交通事業,,,2012-11-26
1501368,Associate Engineer,副工程司,,交通事業,,,2012-11-26
1501369,Associate Systems Designer,副設計師,,交通事業,,,2012-11-26
1501370,Stamp Printing Supervisor ,郵票監印員  ,,交通事業,,,2012-11-26
1501371,Postmaster,局長,,交通事業,,,2012-11-26
1501372,Assistant Executive Officer,助理管理師  ,,交通事業,,,2012-11-26
1501373,Assistant Engineer,助理工程司    ,,交通事業,,,2012-11-26
1501374,Assistant Systems Designer,助理設計師,,交通事業,,,2012-11-26
1501375,Deputy Postmaster,副局長,,交通事業,,,2012-11-26
1501376,Assistant Inspector,助理視察員,,交通事業,,,2012-11-26
1501377,Station Chief,站長,,交通事業,,,2012-11-26
1501378,Junior Executive Officer,管理員  ,,交通事業,,,2012-11-26
1501379,Junior Engineer,工程員,,交通事業,,,2012-11-26
1501380,Train Mail Guard,火車郵件押運員,,交通事業,,,2012-11-26
1501381,Systems Design Assistant ,程式管制員,,交通事業,,,2012-11-26
1501382,Operations Assistant ,機器管制員,,交通事業,,,2012-11-26
1501383,Mail Assistant,郵件接送員,,交通事業,,,2012-11-26
1501384,Liaison Staff,郵運聯絡員,,交通事業,,,2012-11-26
1501385,Postal Inspector,郵務稽查,,交通事業,,,2012-11-26
1501386,Assistant Clerk,佐理員,,交通事業,,,2012-11-26
1501387,Counter Clerk,工作員,,交通事業,,,2012-11-26
1501388,Delivery Clerk,工作士,,交通事業,,,2012-11-26
1501389,Chairperson,董事長,,交通事業,,,2012-11-26
1501390,Director,董事,,交通事業,,,2012-11-26
1501391,Supervisor,監察人,,交通事業,,,2012-11-26
1501392,President,總經理,,交通事業,,,2012-11-26
1501393,Senior Executive Vice President,執行副總經理,,交通事業,,,2012-11-26
1501394,Senior Vice President,副總經理,,交通事業,,,2012-11-26
