ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3588853,Vibilia propinqua,鄰片戎,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Amphipoda端足目,Vibiliidae片戎科,Vibilia片戎屬,propinqua,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588854,Sorghum propinquum,擬高梁,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Poales禾本目,Poaceae禾本科,Sorghum蜀黍屬,propinquum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588855,Viburnum propinquum,高山莢_,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Dipsacales川續斷目,Adoxaceae五福花科,Viburnum莢_屬,propinquum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588856,Copris (Microcopris) propinquus,豆蜣螂;矮糞球金龜,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Scarabaeidae金龜子科,Copris (Microcopris)蜣螂屬,propinquus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588857,Hymenopenaeus propinquus,圓突膜對蝦,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Solenoceridae管鞭蝦科,Hymenopenaeus膜對蝦屬,propinquus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588858,Forcipomyia (Lasiohelea) propoia,特別鋏蠓,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Ceratopogonidae蠓科,Forcipomyia (Lasiohelea)鋏蠓屬(蠛蠓亞屬),propoia,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588859,Loxoconcha propontica,石橋彎貝介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Loxoconchidae彎貝介科,Loxoconcha彎貝介屬,propontica,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588860,Calepitrimerus proprius,標準上三脊節蜱,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Trombidiformes絨_目,Eriophyidae節蜱科,Calepitrimerus上三脊節蜱屬,proprius,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588861,Pelagodes proquadraria,副海綠尺蛾;綠翠尺蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Geometridae尺蛾科,Pelagodes,proquadraria,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588862,Pitar prora,船首簾蛤,,Animalia動物界,Mollusca軟體動物門,Bivalvia雙殼綱,Veneroida簾蛤目,Veneridae簾蛤科,Pitar卵蛤屬,prora,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588863,Phylloscopus proregulus,黃腰柳鶯,,Animalia動物界,Chordata脊索動物門,Aves鳥綱,Passeriformes雀形目,Phylloscopidae柳鶯科,Phylloscopus柳鶯屬,proregulus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588864,Sarcophaga prosbaliina,披陽肉蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Sarcophagidae肉蠅科,Sarcophaga肉蠅屬,prosbaliina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588865,Nebularia proscissa,褐雕筆螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Neogastropoda新腹足目,Mitridae筆螺科,Nebularia圓筆螺屬,proscissa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588866,Opegrapha prosodea,孔文衣,,Fungi真菌界,Ascomycota子囊菌門,Ascomycetes子囊菌綱,Arthoniales星裂菌目,Roccellaceae染料衣科,Opegrapha孔文衣屬,prosodea,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588867,Opegrapha prosodea sclerocarpa,孔文衣硬果變種,,Fungi真菌界,Ascomycota子囊菌門,Ascomycetes子囊菌綱,Arthoniales星裂菌目,Roccellaceae染料衣科,Opegrapha孔文衣屬,prosodea,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588868,Halichoeres prosopeion,黑額海豬魚;黑頭龍;柳冷仔;黑額儒艮鯛,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Labridae隆頭魚科,Halichoeres海豬魚屬,prosopeion,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588869,Dischistodus prosopotaenia,黑背盤雀鯛;厚殼仔,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Pomacentridae雀鯛科,Dischistodus盤雀鯛屬,prosopotaenia,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588870,Aulotrachichthys prosthemius,前肛管燧鯛;燧鯛,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Beryciformes金眼鯛目,Trachichthyidae燧鯛科,Aulotrachichthys管燧鯛屬,prosthemius,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588871,Sigela prosticta,細裳蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Erebidae裳蛾科,Sigela,prosticta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588872,Drosophila (Sophophora) prostipennis,黑端翅果蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Drosophilidae果蠅科,Drosophila (Sophophora)果蠅屬,prostipennis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588873,Chamaesyce prostrata,伏生大戟;匍匐大戟,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Malpighiales黃褥花目,Euphorbiaceae大戟科,Chamaesyce地錦草屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588874,Cyathula prostrata,假川牛膝,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Caryophyllales石竹目,Amaranthaceae莧科,Cyathula川牛膝屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588875,Eclipta prostrata,鱧腸,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asterales菊目,Asteraceae菊科,Eclipta鱧腸屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588876,Flemingia prostrata,菲島佛萊明豆,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Fabales豆目,Fabaceae豆科,Flemingia佛來明豆屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588877,Pectis prostrata,伏生香檬菊,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asterales菊目,Asteraceae菊科,Pectis香檬菊屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588878,Ruellia prostrata,匍蘆利草,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Lamiales唇形目,Acanthaceae爵床科,Ruellia蘆利草屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588879,Wedelia prostrata robusta,大天蓬草舅,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asterales菊目,Asteraceae菊科,Wedelia蟛蜞菊屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588880,Wedelia prostrata prostrata,天蓬草舅,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asterales菊目,Asteraceae菊科,Wedelia蟛蜞菊屬,prostrata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588881,Papilio protenor protenor,黑鳳蝶;藍鳳蝶;無尾黑鳳蝶,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Papilionidae鳳蝶科,Papilio鳳蝶屬,protenor,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588882,Papilio protenor liukiuensis,黑鳳蝶沖繩．八重山亞e,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Papilionidae鳳蝶科,Papilio鳳蝶屬,protenor,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588883,Diaphorus protervus,狂暴長足虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Dolichopodidae長足虻科,Diaphorus異長足虻屬,protervus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588884,Parlatoria proteus,黃片盾介殼蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hemiptera半翅目,Diaspididae盾介殼蟲科,Parlatoria片盾介殼蟲屬,proteus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588885,Fissidens protonemaecola,原絲鳳尾苔;綠絲鳳尾苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Fissidentales鳳尾苔目,Fissidentaceae鳳尾苔科,Fissidens鳳尾苔屬,protonemaecola,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588886,Dianemobius protransversus,寬胸雙針蟋,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Orthoptera直翅目,Nemobiidae地蟋蟀科,Dianemobius雙針蟋屬,protransversus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588887,Maxates protrusa,紅緣尖尾尺蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Geometridae尺蛾科,Maxates,protrusa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588888,Chaetoceros protuberans,雙突角毛藻隆起變型,,Chromista原藻界,Ochrophyta褐藻門,Coscinodiscophyceae圓篩藻綱,Centrales中心目,Chaetoceraceae角毛藻科,Chaetoceros角毛藻屬,protuberans,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588889,Melanagromyza provecta,毛角黑潛蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Agromyzidae潛蠅科,Melanagromyza黑潛蠅屬,provecta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588890,Metapenaeopsis provocatoria longiroitris,長角鬥士赤蝦;小蝦,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Penaeidae對蝦科,Metapenaeopsis赤蝦屬,provocatoria,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588891,Athalia proxima,蔬菜葉蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Tenthredinidae葉蜂科,Athalia菜葉蜂屬,proxima,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588892,Euselates proxima,叉斑陷紋金龜,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Scarabaeidae金龜子科,Euselates,proxima,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588893,Nettenchelys proxima,近鴨蛇鰻,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Anguilliformes鰻形目,Nettastomatidae鴨嘴鰻科,Nettenchelys,proxima,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588894,Nezumia proxima,原始奈氏鱈;鱈魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Gadiformes鱈形目,Macrouridae鼠尾鱈科,Nezumia奈氏鱈屬,proxima,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588895,Hygophum proximum,近壯燈魚;燈籠魚;七星魚;光魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Myctophiformes燈籠魚目,Myctophidae燈籠魚科,Hygophum壯燈魚屬,proximum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588896,Rachicerus proximus,大林櫛角樹虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Rachyceridae櫛角樹虻科,Rachicerus櫛角樹虻屬,proximus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588897,Acronicta pruinosa,胡頹子劍紋夜蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Noctuidae夜蛾科,Acronicta劍紋夜蛾屬,pruinosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588898,Acropora pruinosa,灰葉軸孔珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Scleractinia石珊瑚目,Acroporidae軸孔珊瑚科,Acropora軸孔珊瑚屬,pruinosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588899,Gnophomyia (Idiocera) pruinosa,寒霜祖大蚊,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Limoniidae亮大蚊科,Gnophomyia (Idiocera),pruinosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588900,Leptastrea pruinosa,白斑柔星珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Scleractinia石珊瑚目,Fungiidae蕈珊瑚科,Leptastrea柔星珊瑚屬,pruinosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588901,Monilia pruinosa,白霜叢梗孢黴,,Fungi真菌界,Ascomycota子囊菌門,Sordariomycetes糞殼菌綱,Sordariales糞殼菌目,Sordariaceae糞殼菌科,Monilia叢梗孢黴屬,pruinosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588902,Pegadomyia pruinosa,寒霜水虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Stratiomyidae水虻科,Pegadomyia溪流水虻屬,pruinosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588903,Peltigera pruinosa,霜地卷,,Fungi真菌界,Ascomycota子囊菌門,Ascomycetes子囊菌綱,Peltigerales地卷菌目,Peltigeraceae地卷科,Peltigera地卷屬,pruinosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588904,Orthetrum pruinosum neglectum,霜白蜻蜓中印亞種,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Odonata蜻蛉目,Libellulidae蜻蜓科,Orthetrum,pruinosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588905,Orthetrum pruinosum clelia,霜白蜻蜓西里亞種,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Odonata蜻蛉目,Libellulidae蜻蜓科,Orthetrum,pruinosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588906,Xenasma pruinosum,白粉陌菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Polyporales多孔菌目,Xenasmataceae,Xenasma陌菌屬,pruinosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588907,Atrichopogon pruinosus,霜蕊裸蠓,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Ceratopogonidae蠓科,Atrichopogon裸蠓屬,pruinosus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588908,Porcellio pruinosus,多霜臘鼠婦,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Isopoda等足目,Porcellionidae鼠婦科,Porcellio,pruinosus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588909,Monobolodes prunaria,褐寬帶雙尾蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Uraniidae燕蛾科,Monobolodes,prunaria,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588910,Hyalopterus pruni,桃粉蚜,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hemiptera半翅目,Aphididae常蚜科,Hyalopterus桃粉蚜屬,pruni,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588911,Hyphodontia pruni,李絲齒菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Hymenochaetales刺革菌目,Tubulicrinaceae,Hyphodontia絲齒菌屬,pruni,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588912,Microcyclus pruni,墨點櫻桃小環腔菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Mycosphaerellales球腔菌目,Mycosphaerellaceae球腔菌科,Microcyclus櫻桃小環腔菌屬,pruni,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588913,Odonestis pruni,蘋毛蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Lasiocampidae枯葉蛾科,Odonestis,pruni,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588914,Taphrina pruni,李外囊菌,,Fungi真菌界,Ascomycota子囊菌門,Taphrinomycetes外囊菌綱,Taphrinales外囊菌目,Taphrinaceae外囊菌科,Taphrina外囊菌屬,pruni,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588915,Cercoseptoria prunicola,李盤尾孢菌,,Fungi真菌界,Ascomycota子囊菌門,Sordariomycetes糞殼菌綱,Hypocreales肉座菌目,,Cercoseptoria,prunicola,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588916,Phellinus prunicola,李生木層孔菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Hymenochaetales刺革菌目,Hymenochaetaceae刺革菌科,Phellinus木層孔菌屬,prunicola,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588917,Malus prunifolia,圓葉海棠,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Rosales薔薇目,Rosaceae薔薇科,Malus蘋果屬,prunifolia,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588918,Spiraea prunifolia pseudoprunifolia,笑靨花,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Rosales薔薇目,Rosaceae薔薇科,Spiraea繡線菊屬,prunifolia,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588919,Cercospora prunina,桃尾孢菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Mycosphaerellales球腔菌目,Mycosphaerellaceae球腔菌科,Cercospora尾孢菌屬,prunina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588920,Cercoseptoria pruni-persicae,李桃盤尾孢菌,,Fungi真菌界,Ascomycota子囊菌門,Sordariomycetes糞殼菌綱,Hypocreales肉座菌目,,Cercoseptoria,pruni-persicae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588921,Guignardia pruni-persicae,桃球座腔菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Dothideales座囊菌目,Botryosphaeriaceae葡萄座腔菌科,Guignardia球座腔菌屬,pruni-persicae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588922,Leucotelium pruni-persicae,桃不休白雙胞_菌,,Fungi真菌界,Basidiomycota擔子菌門,Pucciniomycetes柄_菌綱,Pucciniales柄_菌目,Pucciniaceae柄_菌科,Leucotelium休白雙胞_菌屬,pruni-persicae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588923,Puccinia pruni-persicae,桃柄_菌,,Fungi真菌界,Basidiomycota擔子菌門,Pucciniomycetes柄_菌綱,Pucciniales柄_菌目,Pucciniaceae柄_菌科,Puccinia柄_菌屬,pruni-persicae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588924,Pseudocercospora pruni-persicicola,桃生假尾孢菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Mycosphaerellales球腔菌目,Mycosphaerellaceae球腔菌科,Pseudocercospora假尾孢菌屬,pruni-persicicola,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588925,Puccinia pruni-spinosae,刺葉櫻柄_菌,,Fungi真菌界,Basidiomycota擔子菌門,Pucciniomycetes柄_菌綱,Pucciniales柄_菌目,Pucciniaceae柄_菌科,Puccinia柄_菌屬,pruni-spinosae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588926,Tranzschelia pruni-spinosae,刺李疣雙孢_菌,,Fungi真菌界,Basidiomycota擔子菌門,Pucciniomycetes柄_菌綱,Pucciniales柄_菌目,Pucciniaceae柄_菌科,Tranzschelia疣雙孢_菌屬,pruni-spinosae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588927,Loxoconcha prunulla,小櫻彎貝介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Loxoconchidae彎貝介科,Loxoconcha彎貝介屬,prunulla,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588928,Entoloma prunuloides,粉褶菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Agaricales傘菌目,Entolomataceae粉褶傘科,Entoloma粉褶傘屬,prunuloides,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588929,Clitopilus prunulus,斜蓋傘,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Agaricales傘菌目,Entolomataceae粉褶傘科,Clitopilus斜蓋傘屬,prunulus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
