ID,英文名稱,中文名稱,圖片,出處,備註,更新日期
6250319,Duty of good faith,善意義務,,公司法學,,2020-01-07
6250320,Duty of good faith and fair dealing,誠信善意與公平交易義務,,保險法學,,2020-01-07
6250321,Duty of loyalty,忠實義務,,公司法學,,2020-01-07
6250322,Duty to defend,抗辯義務,,保險法學,,2020-01-07
6250323,Duty to mitigate,減少損失之義務,,保險法學,,2020-01-07
6250324,Duty to settle,和解義務,,保險法學,,2020-01-07
6250325,Early publication,早期公開,,專利實務,,2020-01-07
6250326,Enablement,據以實現,,專利法條,,2020-01-07
6250327,Endorsement,批單,,保險實務,,2020-01-07
6250328,Endowment,滿期,,保險實務,,2020-01-07
6250329,Enforcement Rules For,保險法施行細則,,保險法規名稱,,2020-01-07
6250330,Enforcement Rules of the Trademark Law,商標法施行細則,,商標法,,2020-01-07
6250331,Equal access theory,資訊平等理論,,證券交易法學,,2020-01-07
6250332,Equipment,設備,,海商法法條,,2020-01-07
6250333,Equitable subordination,衡平居次原則,,公司法學（美）,衡平居次原則係美國最高法院於Taylor v. Standard Gas & Electric Co.案所確立之理論，因被告之從屬公司為「深石」（Deep Rock）石油公司，故一般將此一理論稱為「深石原則」。在本案中，法院認為深石公司身為被告之從屬公司，其在成立之初，資本即已不足，且其業務經營完全受被告公司所控制，經營方法主要為被告公司之利益，因此判決被告公司對深石公司之債權應次於深石公司之其他債權受清償。,2020-01-07
6250334,Equity securities,權益證券,,證券交易法學,,2020-01-07
6250335,Essentially biological processes,主要生物學方法,,專利法條,,2020-01-07
6250336,Estoppel,禁反言,,保險法學,,2020-01-07
6250337,Evidence of insurability,可保證明,,保險法法條,,2020-01-07
6250338,Ex gratia payment,優惠賠款,,保險實務,,2020-01-07
6250339,Examination,審查,,商標法,,2020-01-07
6250340,Examiner,審查人員,,商標法,,2020-01-07
6250341,Exceptions of patent right,專利權不及事項,,專利法條,,2020-01-07
6250342,Exclusion clause,除外條款,,保險實務,,2020-01-07
6250343,Exclusive license,專屬授權,,專利法條,,2020-01-07
6250344,Exclusive license,專屬授權,,商標法,,2020-01-07
6250345,Exclusive right,排他權,,專利法學,,2020-01-07
6250346,Executive shareholder,執行業務股東,,公司法條文,,2020-01-07
6250347,Exempted securities,豁免證券,,證券交易法學,,2020-01-07
6250348,Exempted transaction,豁免交易,,證券交易法學,,2020-01-07
6250349,Exlusive licensee,專屬被授權人,,商標法,,2020-01-07
6250350,Experimental exemption,試驗免責,,專利法學,,2020-01-07
6250351,Export,輸出,,商標法,,2020-01-07
6250352,Extension of patent term,專利權延長,,專利法條,,2020-01-07
6250353,Extraordinary general meeting / EGM,股東臨時會,,公司法條文,,2020-01-07
6250354,Fair price,公平價格,,企業併購法條文,,2020-01-07
6250355,Fair Trade Act,公平交易法,,企業併購法條文,,2020-01-07
6250356,"Fair, reasonable, and non-discriminatory licensing",公平合理不歧視授權,,專利實務,,2020-01-07
6250357,Fidelity insurance,誠實保證保險,,保險法法條,,2020-01-07
6250358,Fiduciary duty,受任人義務,,公司法學,,2020-01-07
6250359,Fiduciary duty theory,信賴關係理論 ； 受任人義務理論,,證券交易法學,,2020-01-07
6250360,Filing date,申請日,,專利法條,,2020-01-07
6250361,Filing date,申請日,,商標法,,2020-01-07
6250362,Final notice,最後通知,,專利法條,,2020-01-07
6250363,Financial,財務,,公司法條文,,2020-01-07
6250364,Financial Holding Company Act,金融控股公司法,,企業併購法條文,,2020-01-07
6250365,Financial Institutions Merger Act,金融機構合併法,,企業併購法條文,,2020-01-07
6250366,Financial statements,財務報表,,公司法條文 ；證券交易法條文,,2020-01-07
6250367,Financial Supervisory Commission,金融監督管理委員會,,證券交易法條文,,2020-01-07
6250368,Fire insurance,火災保險,,保險法法條,,2020-01-07
6250369,Firm-commitment underwriting,確定包銷,,證券交易法條文,,2020-01-07
6250370,First to file principle,先申請主義,,專利實務,,2020-01-07
6250371,Fiscal year,會計年度,,公司法條文,,2020-01-07
6250372,Force majeure,不可抗力,,海商法學,,2020-01-07
6250373,Forecast,預測,,證券交易法條文,,2020-01-07
6250374,Foreign company,外國公司,,公司法條文 ；證券交易法條文 ；企業併購法條文,,2020-01-07
6250375,Formality examination,形式審查,,專利法條,,2020-01-07
6250376,Forward triangular merger,正三角合併,,企業併購法學,,2020-01-07
6250377,Franchise,起款額,,保險實務,,2020-01-07
6250378,Fraud,詐欺,,證券交易法條文,,2020-01-07
6250379,Fraud on the market theory,對市場詐欺理論 ； 詐欺市場理論,,證券交易法學,,2020-01-07
6250380,Freight,運費,,海商法法條,,2020-01-07
6250381,Fronting company,前衛保險公司,,保險實務,簽發保險但實質上未承擔任何投保風險之公司,2020-01-07
6250382,Full disclosure,充分揭露,,專利法條,,2020-01-07
6250383,General average,共同海損,,海商法法條,,2020-01-07
6250384,General average contribution,共同海損分擔額,,海商法法條,,2020-01-07
6250385,General counsel,法務長,,公司實務,,2020-01-07
6250386,Geographical indication,地理標示,,商標法,,2020-01-07
6250387,Global Depositary Receipt / GDR,海外存託憑證,,證券交易實務,,2020-01-07
6250388,Good faith / Uberrime fidei,誠信原則,,保險法學,uberrime fidei為拉丁文,2020-01-07
6250389,Good will,商譽,,企業併購法條文,,2020-01-07
6250390,Government bond,政府債券,,證券交易法條文,,2020-01-07
6250391,Government-owned,國營,,公司實務,,2020-01-07
6250392,Grace period,寬限期間 {保險法條} ； 優惠期 {專利法學},,保險法法條、專利法學,,2020-01-07
6250393,Graphical user interface,圖形化使用者介面,,專利法條,,2020-01-07
6250394,Grounds for patent invalidation,專利舉發理由書,,專利法條,,2020-01-07
6250395,Hamburg Rules,漢堡規則,,海商法學,,2020-01-07
