ID,英文名稱,中文名稱,圖片,出處,備註,更新日期
7197646,Automated teller machine,自動櫃員機,,,,2020-04-01
7197647,Safe deposit box,保管箱,,,,2020-04-01
7197648,Vault,金庫,,,,2020-04-01
7197649,Currency,貨幣,,,,2020-04-01
7197650,Credit card,信用卡,,,,2020-04-01
7197651,Extending credit,徵信,,,,2020-04-01
7197652,Non-accrual loan,催收款,,,,2020-04-01
7197653,Winding-up,清理,,,,2020-04-01
7197654,Receivership,接管,,,,2020-04-01
7197655,Central Depository Insurance Company,中央存款保險公司,,,,2020-04-01
7197656,Deposit insurance,存款保險,,,,2020-04-01
7197657,Rehabilitator,清理人,,,,2020-04-01
7197658,Checking deposit,支票存款,,,,2020-04-01
7197659,Bank debenture,金融債券,,,,2020-04-01
7197660,Financial leasing,融資性租賃,,,,2020-04-01
7197661,Industrial bank,工業銀行,,,,2020-04-01
7197662,Agricultural bank,農業銀行,,,,2020-04-01
7197663,Export-import bank,輸出入銀行,,,,2020-04-01
7197664,Small and Medium-sized enterprise bank,中小企業銀行,,,,2020-04-01
7197665,Real estate credit bank,不動產信用銀行,,,,2020-04-01
7197666,Citizens' bank,國民銀行,,,,2020-04-01
7197667,Bank for a special business purpose,專業銀行,,,,2020-04-01
7197668,Government bond,公債,,,,2020-04-01
7197669,Limited Partnership Act,有限合夥法,,,,2020-04-01
7197670,Limited partnership,有限合夥,,,,2020-04-01
7197671,For-profit juridical person,營利法人,,,,2020-04-01
7197672,General partner,普通合夥人,,,,2020-04-01
7197673,Limited partner,有限合夥人,,,,2020-04-01
7197674,Responsible person of the limited partnership,有限合夥負責人,,,,2020-04-01
7197675,Managerial officer of the limited partnership,有限合夥經理人,,,,2020-04-01
7197676,Liquidator of the limited partnership,有限合夥清算人,,,,2020-04-01
7197677,Representative of the limited partnership,有限合夥代表人,,,,2020-04-01
7197678,Foreign limited partnership,外國有限合夥,,,,2020-04-01
7197679,Limited partnership agreement,有限合夥契約,,,,2020-04-01
7197680,Branch office of the foreign limited partnership,外國有限合夥分支機構,,,,2020-04-01
7197681,Capital contribution amount,出資額,,,,2020-04-01
7197682,Liability type,責任類型,,,,2020-04-01
7197683,Installment of capital contribution,分次出資,,,,2020-04-01
7197684,Cash as capital contribution/capital contribution by cash,現金出資,,,,2020-04-01
7197685,Non-cash contribution,非現金出資,,,,2020-04-01
7197686,Services as capital contribution,勞務出資,,,"Royce de R. Barondes, Services As Capital Contributions: Understanding Kovacik v. Reed, 3 Entrepreneurial Bus. L.J. 1 (2008)",2020-04-01
7197687,Goodwill as capital contribution,信用出資,,,,2020-04-01
7197688,Other interests as capital contribution,其他利益出資,,,,2020-04-01
7197689,Audit by an independent certified public accountant,會計師查核簽證,,,,2020-04-01
7197690,Duration of the limited partnership,有限合夥存續期間,,,,2020-04-01
7197691,Nullification of the limited partnership registration,廢止有限合夥登記,,,,2020-04-01
7197692,Judicial dissolution of the limited partnership,裁定解散有限合夥,,,,2020-04-01
7197693,Agreed causes of dissolution,約定解散事由,,,,2020-04-01
7197694,Retrieval of the capital contribution,取回出資額,,,,2020-04-01
7197695,Unanimous consent of other partners,其他合夥人全體同意,,,,2020-04-01
7197696,Majority vote of all general partners,全體普通合夥人過半數之同意,,,,2020-04-01
7197697,Allocation in proportion to the contribution of each partner,依各合夥人出資額比例分配,,,,2020-04-01
7197698,Withdrawal of the partner,合夥人退夥,,,,2020-04-01
7197699,Negotiable Instruments Act,票據法,,,,2020-04-01
7197700,Negotiable instrument,票據,,,,2020-04-01
7197701,Bill of exchange,匯票,,,,2020-04-01
7197702,Promissory note,本票,,,,2020-04-01
7197703,Check/Cheque (UK),支票,,,,2020-04-01
7197704,Drawer,發票人,,,,2020-04-01
7197705,Drawee,付款人,,,,2020-04-01
7197706,Endorser,背書人,,,,2020-04-01
7197707,Unconditional payment,無條件支付,,,,2020-04-01
7197708,Acceptance,承兌,,,,2020-04-01
7197709,Acceptance for honor,參加承兌,,,,2020-04-01
7197710,Payment for honor,參加付款,,,,2020-04-01
7197711,Payee,收款方,,,,2020-04-01
7197712,Holder,執票人,,,,2020-04-01
7197713,Acceptor,承兌人,,,,2020-04-01
7197714,Transferee,受讓人,,,,2020-04-01
7197715,Fixed future date/Due date (UCC),指定之到期日,,,,2020-04-01
7197716,On demand,見票,,,,2020-04-01
7197717,Authorization,委託,,,,2020-04-01
7197718,Financial institution,金融業者,,,,2020-04-01
7197719,Signing and issuing,簽發,,,,2020-04-01
7197720,Tenor,文義性,,,,2020-04-01
7197721,Obligee,票據權利人,,,,2020-04-01
7197722,Person liable on the negotiable instrument,票據債務人,,,,2020-04-01
7197723,Forgery of  instrument,票據之偽造,,,,2020-04-01
7197724,Forgery of  instrument signature,票上簽名之偽造,,,,2020-04-01
7197725,Alteration,變造,,,,2020-04-01
7197726,In good faith,善意,,,,2020-04-01
7197727,In bad faith,惡意,,,,2020-04-01
7197728,Be canceled or struck out,塗銷,,,,2020-04-01
7197729,Loss of a negotiable instrument,票據喪失,,,,2020-04-01
7197730,Stop-payment notice,止付通知,,,,2020-04-01
7197731,Petition filed for public summons,公示催告,,,,2020-04-01
7197732,Any acts required to be done by a party to a negotiable instrument for the exercise,行使票據上權利,,,,2020-04-01
7197733,Any acts required to be done by a party to a negotiable instrument for the preservation of rights,保全票據上權利,,,,2020-04-01
7197734,Protest of bill,拒絕證書,,,,2020-04-01
7197735,Acceptor of a bill of exchange,匯票承兌人,,,,2020-04-01
7197736,Maker of a promissory note,本票發票人,,,,2020-04-01
7197737,Drawer of the check,支票發票人,,,,2020-04-01
7197738,Right of recourse,追索權,,,,2020-04-01
7197739,Right of repaying the bills interest,利益償還請求權,,,,2020-04-01
7197740,Bill endorsed in blank,空白背書,,,,2020-04-01
7197741,Negotiation by delivery,交付轉讓,,,,2020-04-01
7197742,Negotiation by endorsement,背書轉讓,,,,2020-04-01
7197743,Date of maturity,到期日,,,,2020-04-01
7197744,Referee,預備付款人,,,,2020-04-01
7197745,Bill by evidence of consecutive endorsements,票據背書連續之證明,,,,2020-04-01
7197746,Guaranty,票據保證,,,,2020-04-01
7197747,Bills in a set,複本,,,,2020-04-01
7197748,Duplicates of bills,謄本,,,,2020-04-01
7197749,Presentment,提示,,,,2020-04-01
7197750,Payment certified,照付,,,,2020-04-01
7197751,Payment guaranteed,保付,,,,2020-04-01
7197752,Work,著作,,,,2020-04-01
7197753,Original copy,原件,,,,2020-04-01
7197754,Copies,重製物,,,,2020-04-01
7197755,Expression,表達,,,,2020-04-01
7197756,Idea,思想,,,,2020-04-01
7197757,Idea-expression merger doctrine,思想表達合併原則,,,,2020-04-01
7197758,Scénes á Faire,場景原則,,,,2020-04-01
7197759,Originality,原創性,,,,2020-04-01
7197760,Author,著作人,,,,2020-04-01
7197761,Authorship,著作權,,,,2020-04-01
7197762,Copyright,著作財產權,,,,2020-04-01
7197763,Moral right,著作人格權,,,,2020-04-01
7197764,Literal work,語文著作,,,,2020-04-01
7197765,Musical work,音樂著作,,,,2020-04-01
7197766,Dramatic work,戲劇著作,,,,2020-04-01
7197767,Choreographic work,舞蹈著作,,,,2020-04-01
7197768,Artistic work,美術著作,,,,2020-04-01
7197769,Photographic work,攝影著作,,,,2020-04-01
7197770,Pictorial or graphic work,圖形著作,,,,2020-04-01
7197771,Audiovisual work,視聽著作,,,,2020-04-01
7197772,Sound recording,錄音著作,,,,2020-04-01
7197773,Architectural work,建築著作,,,,2020-04-01
7197774,Computer program,電腦程式著作,,,,2020-04-01
7197775,Derivative work,衍生著作,,,,2020-04-01
7197776,Compilation work,編輯著作,,,,2020-04-01
7197777,Right of publication,公開發表權,,,,2020-04-01
7197778,Right of attribution,姓名表示權,,,,2020-04-01
7197779,Right of integrity,同一性保持權,,,,2020-04-01
7197780,Right of reproduction,重製權,,,,2020-04-01
7197781,Temporary reproduction,暫時性重製,,,,2020-04-01
7197782,Right of public recitation,公開口述權,,,,2020-04-01
7197783,Right of public presentation,公開上映權,,,,2020-04-01
7197784,Right of public performance,公開演出權,,,,2020-04-01
7197785,Right of communication to the public,公開傳輸權,,,,2020-04-01
7197786,Right of public display,公開展示權,,,,2020-04-01
7197787,Distribution right,散布權,,,,2020-04-01
7197788,Rental right,出租權,,,,2020-04-01
7197789,Adaptation right,改作權,,,,2020-04-01
7197790,Right to compile,編輯權,,,,2020-04-01
7197791,Electronic rights-management information,權利管理電子資訊,,,,2020-04-01
7197792,Anti-circumvention technological measure,防盜拷措施,,,,2020-04-01
7197793,Internet service provider,網路服務提供者,,,,2020-04-01
7197794,Service provider of transitory digital network communications,連線服務提供者,,,,2020-04-01
7197795,Service provider of system caching,快速存取服務提供者,,,,2020-04-01
7197796,Service provider of information residing on systems or networks,資訊儲存服務提供者,,,,2020-04-01
7197797,Service provider of information location tools,搜尋服務提供者,,,,2020-04-01
7197798,Fair use,合理使用,,,,2020-04-01
7197799,Transformative use,轉換性使用,,,,2020-04-01
7197800,Collective management organization of copyright,著作權集體管理團體,,,,2020-04-01
7197801,First sale doctrine,第一次銷售原則,,,,2020-04-01
7197802,Berne Convention/Berne Convention for the Protection of Literary and Artistic Works,伯恩公約,,,,2020-04-01
7197803,Work made for hire,受雇著作,,,,2020-04-01
7197804,Work made for commission,受聘著作,,,,2020-04-01
7197805,Joint work,共同著作,,,,2020-04-01
7197806,Copyright duration,著作財產權存續期間,,,,2020-04-01
7197807,Orphan work,孤兒著作,,,,2020-04-01
7197808,Copyright licensing,著作財產權授權,,,,2020-04-01
7197809,Copyright assignment,著作財產權讓與,,,,2020-04-01
7197810,Compulsory licensing,特許實施權,,,,2020-04-01
7197811,Statutory limitations and exceptions of copyright,著作財產權之限制,,,,2020-04-01
7197812,Copyright Review and Mediation Committee,著作權審議及調解委員會,,,,2020-04-01
7197813,Reasonable scope,合理範圍,,,,2020-04-01
7197814,Visual impairment,視覺障礙,,,,2020-04-01
7197815,Perceptual impairment,聽覺障礙,,,,2020-04-01
7197816,Reading impairment,學習障礙,,,,2020-04-01
7197817,Infringement of copyright,著作財產權侵害,,,,2020-04-01
7197818,Infringement of moral right,著作人格權侵害,,,,2020-04-01
7197819,Access,接觸,,,,2020-04-01
7197820,Substantial similarity,實質近似/實質相似,,,,2020-04-01
7197821,Ordinary observer test,通常觀察者測試,,,,2020-04-01
7197822,Indirect infringment of copyright,著作權間接侵害,,,,2020-04-01
7197823,Contributory infringement of copyright,著作權輔助侵害,,,,2020-04-01
7197824,Inducing infringement of copyright,著作權誘引侵害,,,,2020-04-01
7197825,Vicarious liability of copyright infringement,著作權侵害之替代責任,,,,2020-04-01
7197826,Fair trade,公平交易,,,,2020-04-01
7197827,Antitrust,反托拉斯,,,,2020-04-01
7197828,Unfair competition,不公平競爭,,,,2020-04-01
7197829,Fair Trade Act,公平交易法,,,,2020-04-01
7197830,Enforcement Rules of Fair Trade Act,公平交易法施行細則,,,,2020-04-01
7197831,Trading order,交易秩序,,,,2020-04-01
7197832,Consumers' interests,消費者利益,,,,2020-04-01
7197833,Fair competition,公平競爭,,,,2020-04-01
7197834,Enterprise,事業,,,,2020-04-01
7197835,Sole proprietorship,獨資,,,,2020-04-01
7197836,Partnership,合夥,,,,2020-04-01
7197837,Provision of goods or services,提供商品或服務,,,,2020-04-01
7197838,Person or organization engaging in transactions,從事交易之人或團體,,,,2020-04-01
7197839,Trade association organized by businesses,事業所組成之同業公會,,,,2020-04-01
7197840,Trading counterpart,交易相對人,,,,2020-04-01
7197841,Supplier,供給者,,,,2020-04-01
7197842,Purchaser,需求者,,,,2020-04-01
7197843,Trading opportunity,交易機會,,,,2020-04-01
7197844,Relevant market,相關市場,,,,2020-04-01
7197845,Geographic area or coverage wherein enterprises compete,事業從事競爭之區域或範圍,,,,2020-04-01
7197846,Fair Trade Commission,公平交易委員會,,,,2020-04-01
7197847,Monopolistic enterprise,獨占事業,,,,2020-04-01
7197848,No competition,無競爭狀態,,,,2020-04-01
7197849,Dominant position,壓倒性地位,,,,2020-04-01
7197850,Ability to exclude competition,可排除競爭之能力,,,,2020-04-01
7197851,Not in fact engaging in price competition,實際上不為價格之競爭,,,,2020-04-01
7197852,Market share,市場占有率,,,,2020-04-01
7197853,Total sales in the preceding fiscal year,上一會計年度事業總銷售金額,,,,2020-04-01
7197854,Unfair means,不公平之方法,,,,2020-04-01
7197855,Direct or indirect prevention of other enterprises from competing,直接或間接阻礙他事業參與競爭,,,,2020-04-01
7197856,"Improper setting, maintaining or changing",不當之決定、維持或變更,,,,2020-04-01
7197857,Abuses of dominant positions,濫用市場地位,,,,2020-04-01
7197858,Merger,結合,,,,2020-04-01
7197859,Enterprise and another enterprise are merged into one,與他事業合併,,,,2020-04-01
7197860,Controlling interest,控制性持股,,,,2020-04-01
7197861,Voting shares,有表決權之股份,,,,2020-04-01
7197862,Enterprises in the merger,參與結合之事業,,,,2020-04-01
7197863,Filed merger,事業結合之申報,,,,2020-04-01
7197864,Overall economic benefit,整體經濟利益,,,,2020-04-01
7197865,Disadvantages resulted from competition restraint,限制競爭之不利益,,,,2020-04-01
7197866,Imposition of condition,附加條件,,,,2020-04-01
7197867,Imposition of undertaking,附加負擔,,,,2020-04-01
7197868,Concerted action,聯合行為,,,,2020-04-01
7197869,Competing enterprises at the same production and/or marketing stage,具競爭關係之同一產銷階段事業,,,,2020-04-01
7197870,Agreement,協議,,,,2020-04-01
7197871,Other form of mutual understanding,其他方式之合意,,,,2020-04-01
7197872,Other behavior that restricts each other's business activities,其他相互約束事業活動之行為,,,,2020-04-01
7197873,Meeting of minds,意思聯絡,,,,2020-04-01
7197874,Legally binding,有法律拘束力,,,,2020-04-01
7197875,Joint action,共同行為,,,,2020-04-01
7197876,Resale prices,轉售價格,,,,2020-04-01
7197877,Justifiable reasons,正當理由,,,,2020-04-01
7197878,Restriction of compeition,限制競爭,,,,2020-04-01
7197879,Damage of a particular enterprise,損害特定事業,,,,2020-04-01
7197880,Discontinuation of supplying,斷絕供給,,,,2020-04-01
7197881,Discontinuation of purchasing,斷絕購買,,,,2020-04-01
7197882,Discriminatory treatment for another enterprise,對他事業給予差別待遇,,,,2020-04-01
7197883,Inducement with low price,低價利誘,,,,2020-04-01
7197884,Coercion,威脅,,,,2020-04-01
7197885,Inducement with interest,利誘,,,,2020-04-01
7197886,Vertical restriction,垂直限制競爭,,,,2020-04-01
7197887,Mater sufficient to affect trading decisions,足以影響交易決定之事項,,,,2020-04-01
7197888,False,虛偽不實,,,,2020-04-01
7197889,Misleading,引人錯誤,,,,2020-04-01
7197890,Representation,表示,,,,2020-04-01
7197891,Symbol,表徵,,,,2020-04-01
7197892,Advertising agency,廣告代理業,,,,2020-04-01
7197893,Principal of advertisement,廣告主,,,,2020-04-01
7197894,Advertising medium,廣告媒體業,,,,2020-04-01
7197895,Misleading advertisement,引人錯誤廣告,,,,2020-04-01
7197896,Endorser,廣告薦證者,,,,2020-04-01
7197897,Gift,贈品,,,,2020-04-01
7197898,Prize,贈獎,,,,2020-04-01
7197899,Business reputation,營業信譽,,,,2020-04-01
7197900,Deceptive conduct,欺罔之行為,,,,2020-04-01
7197901,Obviously unfair conduct,顯失公平之行為,,,,2020-04-01
7197902,Likelihood of affecting trading order,足以影響交易秩序,,,,2020-04-01
7197903,Leniency rules,寬恕條款,,,,2020-04-01
7197904,Filing of a complaint,提出書面檢舉,,,,2020-04-01
7197905,Informing the competent authority in writing,向主管機關提出書面檢舉,,,,2020-04-01
7197906,Submission of evidence,檢附事證,,,,2020-04-01
7197907,Assisting of investigation,協助調查,,,,2020-04-01
7197908,Dissolution,解散,,,,2020-04-01
7197909,Suspension of business operation,歇業,,,,2020-04-01
7197910,Termination of business operation,停止營業,,,,2020-04-01
7197911,proper conduct in connection with the exercise of rights,行使權利之正當行為,,,,2020-04-01
7197912,Antitrust fund,反托拉斯基金,,,,2020-04-01
7197913,International competition law enforcement agency,國際競爭法執法機關,,,,2020-04-01
21323770,Restriction of the designated goods,指定使用商品之縮減,,,,
21323771,Division of the designated goods,指定使用商品之分割,,,,
21323772,Restriction of the designated services,指定使用服務之縮減,,,,
21323773,Division of the designated services,指定使用服務之分割,,,,
21323774,Generic mark,通用標章,,,,
21323775,Generic term,通用名稱,,,,
21323776,Devoid of distinctiveness / Lack of distinctiveness,欠缺識別性,,,,
21323777,Contrary to public policy,妨害公共秩序,,,,
21323778,Contrary to good morals,妨害善良風俗,,,,
21323779,Geographical indication for wines,葡萄酒地理標示,,,,
21323780,Geographical indication for spirits,蒸餾酒地理標示,,,,
21323781,Acceptance of trademark registration,商標核准審定,,,,
21323782,Date of publication for registration,商標註冊公告日,,,,
21323783,Period of trademark right,商標權期間,,,,
21323784,Expiration,屆滿,,,,
21323785,Internationally used symbol for registration,國際通用註冊符號,,,,
21323786,Industrial or commercial usage,商業交易習慣,,,,
21323787,Honest practices,誠實信用方法(商標),,,,
21323788,Removal of a trademark license from the Register,廢止商標授權登記,,,,
21323789,Possibility to reconstruct or rehabilitate,重建更生之可能,,,,
21323790,Labor union,工會,,,,
21323791,Corporate union,企業工會,,,,
21323792,Industrial union,產業工會,,,,
21323793,Professional union,職業工會,,,,
21323794,Employee,受僱員工,,,,
21323795,Roster of labor insurance,勞工保險投保名冊,,,,
21323796,Reorganization proposal,重整方案,,,,
21323797,Approval of reorganization application,准許重整之聲請,,,,
21323798,Dismissal of reorganization application,駁回重整之聲請,,,,
21323799,Right of retrieval,取回權,,,,
21323800,Right of rescission,解除權,,,,
21323801,Right of set-off,抵銷權,,,,
21323802,Interested party / Concerned person,關係人,,,,
21323803,Meeting of interested parties / Meeting of concerned persons,關係人會議,,,,
21323804,Rights of creditors in reorganization,重整債權,,,,
21323805,Preferred rights of creditors in reorganization,優先重整債權,,,,
21323806,Secured rights of creditors in reorganization,有擔保重整債權,,,,
21323807,Unsecured rights of creditors in reorganization,無擔保重整債權,,,,
21323808,Reorganization procedures,重整程序,,,,
21323809,Security in pledge,股份設質,,,,
21323810,Outstanding voting share,已發行有表決權之股份,,,,
21323811,Par value share / Par value stock,票面金額股,,,,
21323812,No-par (value) share / No-par (value) stock,無票面金額股,,,,
21323813,Low-par (value) share / Low-par (value) stock,低票面金額股,,,,
21323814,Restriction on the exercise of voting power,行使表決權之限制,,,,
21323815,Non-voting share / Non-voting stock,無表決權股,,,,
21323816,Multiple voting right share / Multiple-voting share,複數表決權股,,,,
21323817,Multiple voting right,複數表決權,,,,
21323818,Golden share,黃金股,,,,
21323819,Veto / Veto right / Veto power,否決權,,,,
21323820,Protective provision,保護性條款,,,,
21323821,Share to be converted into multiple common shares,得轉換成複數普通股之特別股,,,,
21323822,Dual-class share / Dual-class stock,雙層股權股,,,,
21323823,Dual-class share structure / Dual-class stock structure / Dual-class structure,雙層股權結構,,,,
21323824,Startup / Emerging business,新創企業,,,,
21323825,Family business / Family-owned business,家族企業,,,,
21323826,Restricted stock / Restricted securities,限制型股票,,,,
21323827,Restricted stock for employees,限制員工權利新股,,,,
21323828,Cause for convening the meeting,召集事由,,,,
21323829,Notice given by means of electronic transmission / Electronic notice / E-notice,電子通知,,,,
21323830,Reduction of capital,減資,,,,
21323831,Cease the status as a public company,停止公開發行,,,,
21323832,Approval for directors to compete (with the company),董事競業許可,,,,
21323833,Surplus profit distributed in the form of new shares,盈餘轉增資,,,,
21323834,Reserve distributed in the form of new shares,公積轉增資/公積撥充資本,,,,
21323835,Essential contents,主要內容,,,,
21323836,Extemporary motion,臨時動議,,,,
21323837,Amendment to the contents of the original proposal,原議案之修正,,,,
21323838,Total number of outstanding shares,已發行股份總數,,,,
21323839,Ex-dividend date,除息日,,,,
21323840,Ex-rights date,除權日,,,,
21323841,Book closure date,停止股票過戶日/停止過戶日,,,,
21323842,Promote public interests,增進公共利益,,,,
21323843,Fulfill social responsibilities,善盡社會責任,,,,
21323844,Electronic meeting / E-meeting / Virtual conference,視訊會議,,,,
21323845,Virtual shareholders' meeting,視訊股東會,,,,
21323846,Hybrid shareholders' meeting,視訊輔助股東會,,,,
21323847,The Act Governing Electronic Payment Institutions,電子支付機構管理條例,,,,
21323848,Electronic payment platform,電子支付平臺,,,,
21323849,Contracted institution,特約機構,,,,
21323850,User,使用者,,,,
21323851,Stored-value card,儲值卡,,,,
21323852,Electronic payment account,電子支付帳戶,,,,
21323853,Non-physical payment instrument,非實體形式之支付工具,,,,
21323854,Collecting and making payments for real transactions as an agent,代理收付實質交易款項,,,,
21323855,Accepting deposits as stored-value funds,收受儲值款項,,,,
21323856,Domestic and foreign small-amount remittance,辦理國內外小額匯兌,,,,
21323857,Payments for multiple purposes,多用途支付使用,,,,
21323858,"Electronic, magnetic, or optical technology to store monetary value",電子、磁力或光學等技術儲存金錢價值,,,,
21323859,Shared terminal devices for contracted institution,端末設備共用,,,,
21323860,Reward points integration and redemption,紅利積點整合及折抵,,,,
21323861,Collecting and making payments as an agent,代理收付款項,,,,
21323862,Stored-value funds,儲值款項,,,,
21323863,Electronic payment institution,電子支付機構 ,,,,
21323864,Payer,付款方,,,,
21323865,Non-bank electronic stored-value cards issuer,非銀行電子票證發行機構,,,,
21323866,Business license,營業執照,,,,
21323867,Transfer,移轉,,,,
21323868,Drawing and utilization,動用及運用,,,,
21323869,Dedicated deposit account,專用存款戶,,,,
21323870,Payment instruction,支付指示,,,,
21323871,Declare trust,交付信託,,,,
21323872,Full bank guarantee,銀行十足之履約保證,,,,
21323873,Trust agreement,信託契約,,,,
21323874,Dedicated deposit account as a trust account,信託專戶,,,,
21323875,Necessary transaction record,必要交易紀錄,,,,
21323876,Business to Consumer,企業對消費者,,,,
21323877,E-cash,電子現金,,,,
21323878,E-check,電子支票,,,,
21323879,Mobile cash,行動錢包,,,,
21323880,Money transmitting service,資金傳輸服務,,,,
21323881,Check cashing,支票兌現,,,,
21323882,Currency exchange,貨幣匯兌,,,,
21323883,Money-services businesses,資金服務業,,,,
21323884,Futures ,期貨,,,,
21323885,Futures trading,期貨交易,,,,
21323886,Futures contract ,期貨契約,,,,
21323887,Option contract ,選擇權契約,,,,
21323888,Leverage contract ,槓桿保證金契約,,,,
21323889,Swap contract ,交換契約,,,,
21323890,Futures commission merchant,期貨商,,,,
21323891,Futures exchange ,期貨交易所,,,,
21323892,Futures clearing house,期貨結算機構,,,,
21323893,Off market offsetting,場外沖銷,,,,
21323894,Trading margin,交易保證金,,,,
21323895,Futures trader,期貨交易人,,,,
21323896,Futures services enterprise,期貨服務事業,,,,
21323897,Futures trust enterprise,期貨信託事業,,,,
21323898,Managed futures enterprise,期貨經理事業,,,,
21323899,Futures advisory enterprise,期貨顧問事業,,,,
21323900,Futures trust fund,期貨信託基金,,,,
21323901,Market surveillance,市場監視,,,,
21323902,Futures market,期貨市場,,,,
21323903,Cross-trading,交叉交易,,,,
21323904,Accommodation trading,配合交易,,,,
21323905,Bucketing,對作,,,,
21323906,Spot commodity,現貨商品,,,,
21323907,Financial technology,金融科技,,,,
21323908,Innovative experimentation,創新實驗,,,,
21323909,Clearing and settlement system,結算制度,,,,
21323910,Open position,持有部位,,,,
21323911,Stock option contract,股票選擇權契約,,,,
21323912,Stock futures contract,股票期貨契約,,,,
21323913,Financial services enterprise,金融服務業,,,,
21323914,Financial consumer,金融消費者,,,,
21323915,Financial consumer dispute,金融消費爭議,,,,
21323916,Ombudsman body,爭議處理機構,,,,
21323917,Suitability,適合度,,,,
21323918,Financial promotion,金融推介,,,,
21323919,High risk product ,高風險商品,,,,
21323920,Ombudsman committee member,評議委員,,,,
21323921,Ombudsman committee,評議委員會,,,,
21323922,Principle of fairness and reasonableness,公平合理原則,,,,
21323923,Mediation,調處,,,,
21323924,Business solicitation ,業務招攬,,,,
21323925,Automatic channel transaction,自動化通路交易,,,,
21323926,Ombudsman statement,評議書,,,,
21323927,Complaint,申訴,,,,
21323928,Conciliation,調解,,,,
21323929,Compromise,和解,,,,
21323930,Qualified institutional investor,專業投資機構,,,,
21323931,Financial Ombudsman Institution,金融消費評議中心,,,,
21323932,Financial Consumer Protection Act,金融消費者保護法,,,,
21323933,Trade secret,營業秘密,,,,
21323934,Trade Secrets Act,營業秘密法,,,,
21323935,Secretive nature,秘密性,,,,
21323936,Actual economic value,實際之經濟價值,,,,
21323937,Potential economic value,潛在之經濟價值,,,,
21323938,Reasonable measures to protect secrecy,合理之保密措施,,,,
21323939,Reasonable compensation,合理報酬,,,,
21323940,Ownership of trade secret,營業秘密之歸屬,,,,
21323941,Joint research,共同研究,,,,
21323942,Joint development,共同開發,,,,
21323943,Jointly-owned trade secret,共有之營業秘密,,,,
21323944,Disposition of trade secret,營業秘密之處分,,,,
21323945,Unanimous approval by all co-owners,共有人之全體同意,,,,
21323946,Justification,正當理由,,,,
21323947,Refuse to consent,拒絕同意,,,,
21323948,Subject matter of pledge,質權之標的,,,,
21323949,Subject matter of compulsory enforcement,強制執行之標的,,,,
21323950,Advocate,辯護人,,,,
21323951,Expert witness,鑑定人,,,,
21323952,Disclosure without due cause,無故洩漏,,,,
21323953,Misappropriation of trade secret,侵害營業秘密,,,,
21323954,Acquisition of a trade secret,取得營業秘密,,,,
21323955,Disclosure of a trade secret,洩漏營業秘密,,,,
21323956,Not knowing due to gross negligence,因重大過失而不知,,,,
21323957,Legal duty to keep confidential a trade secret,依法有守營業秘密之義務,,,,
21323958,Improper means,不正當方法,,,,
21323959,Unauthorized reproduction,擅自重製,,,,
21323960,Breach of obligation to maintain secrecy ,違反保密義務,,,,
21323961,Deleting a possessed trade secret,刪除持有之營業秘密,,,,
21323962,Destroying a possessed trade secret,銷毀持有之營業秘密,,,,
21323963,Concealing a possessed trade secret,隱匿持有之營業秘密,,,,
21323964,Investigation confidentiality order,偵查保密令,,,,
21323965,Investigation content,偵查內容,,,,
21323966,Person subject to an investigation confidentiality order,受偵查保密令之人,,,,
21323967,Confidentiality preservation order,秘密保持命令,,,,
21323968,Trade secret owner,營業秘密所有人,,,,
21323969,International treaty for trade secret protection,保護營業秘密之國際條約,,,,
21323970,Agreement on reciprocal trade secret protection,相互保護營業秘密之協定,,,,
21323971,Integrated circuits,積體電路,,,,
21323972,Layout-design/Topography,電路布局,,,,
21323973,Circuit layout right,電路布局權,,,,
21323974,Electronic circuitry function ,電子電路功能,,,,
21323975,Transistor,電晶體,,,,
21323976,Capacitor,電容器,,,,
21323977,Resistor,電阻器,,,,
21323978,Interconnection,連接線路/導線,,,,
21323979,Semiconducting material,半導體材料,,,,
21323980,Electronic component,電子元件,,,,
21323981,Electronic circuit diagram,電子電路圖,,,,
21323982,Reverse engineering,還原工程,,,,
21323983,Three-dimensional disposition ,立體設計,,,,
21323984,Two-dimensional disposition ,平面設計,,,,
21323985,Creator ,創作人,,,,
21323986,Successor/Assignee,繼受人,,,,
21323987,Integrated circuit product,積體電路成品,,,,
21323988,Manufacturing process of an integrated circuit,積體電路製造方法,,,,
21323989,Registration certificate,登記證書,,,,
21323990,Plagiarism,抄襲,,,,
21323991,Assessment report,鑑定書,,,,
21323992,Cultural and creative industries,文化創意產業,,,,
21323993,Artistic creation ,藝術創作,,,,
21323994,Cultural preservation ,文化保存,,,,
21323995,Citizens' cultural literacy,國民文化素養,,,,
21323996,Intellectual properties,智慧財產,,,,
21323997,Aesthetic literacy,美學素養,,,,
21323998,Visual art industry,視覺藝術產業,,,,
21323999,Music and performance art industry,音樂及表演藝術產業,,,,
21324000,Industry of cultural assets application and exhibition and performance facility,文化資產應用及展演設施產業,,,,
21324001,Handicrafts industry,工藝產業,,,,
21324002,Film industry,電影產業,,,,
21324003,Radio and television broadcast industry,廣播電視產業,,,,
21324004,Publication industry,出版產業,,,,
21324005,Advertisement industry,廣告產業,,,,
21324006,Product design industry,產品設計產業,,,,
21324007,Visual communication design industry,視覺傳達設計產業,,,,
21324008,Designer fashion industry,設計品牌時尚產業,,,,
