ID,英文名稱,中文名稱,圖片,德文,法文,法類/法條,審譯日期,更新日期
21387028,Service upon a foreign juridical person or an association / Service upon a legal person or an association / Service upon a foreign entity,對外國法人或團體之送達,,Zustellung an ausländische juristische Person oder andere Organisation {Ger.},,行政訴訟法,114.03.10,
21387030,Service upon a agent / Service upon a litigation representative / Service upon an attorney,對訴訟代理人之送達,,Zustellung an Prozessbevollmächtigte {Ger.},,行政訴訟法,114.03.10,
21387033,Service by postal delivery,郵務送達,,Zustellung durch Aufgabe zur Post {Ger.},,行政訴訟法,114.04.14,
21387035,Service by deposit,寄存送達,,Ersatzstellung durch Niederlegung {Ger.},,行政訴訟法,114.04.14,
21387037,Service by leaving documents / Service by refusal,留置送達,,Zustellung durch Zurücklassen {Ger.} / Zustellung bei verweigerter Annahme {Ger.},,行政訴訟法,114.04.14,
21387039,Service by publication,公示送達,,Öffentliche Zustellung {Ger.},,行政訴訟法,114.04.14,
21387041,National referendum,全國性公民投票,,nationales Referendum {Ger.},,公民投票法,114.04.14,
21387043,Municipal referendum,地方性公民投票,,kommunales Referendum {Ger.},,公民投票法,114.04.14,
21387045,Elector,投票權人,,Stimmberechtigter {Ger.},,公民投票法,114.04.14,
21387047,Opinion by competent authorities,意見書{相關政府機關},,Stellungnahme der einschlägigen Behörden {Ger.},,公民投票法,114.04.14,
21387049,Referendum press conference,發表會{公民投票},,Pressekonferenz des Referendums {Ger.},,公民投票法,114.04.14,
21387051,Referendum debate,辯論會{公民投票},,Debatte des Referendums {Ger.},,公民投票法,114.04.14,
21387053,Absentee voting,不在籍投票,,,,公民投票法,114.04.14,
21387054,Vote-by-mail,通訊投票,,Briefwahl {Ger.},,公民投票法,114.04.14,
21387056,Electronic (referendum) proposal,電子提案{公民投票},,Elektronischer Antrag auf die Einberufung eines Referendums {Ger.},,公民投票法,114.04.14,
21387058,Collection of electronic signatures,電子連署{公民投票},,Elektronische Unterschriftensammlung {Ger.},,公民投票法,114.04.14,
21387060,Constitution-making,制憲,,Verfassungsgebung {Ger.},,憲法&基本權各論,114.06.16,
21387062,Constitutional amendment,修憲,,Verfassungsänderung {Ger.},,憲法&基本權各論,114.06.16,
21387064,Period of National Mobilization for Suppression of the Communist Rebellion,動員戡亂時期,,Periode der Nationalen Mobilisierung zur Niederschlagung des kommunistischen Aufstands {Ger.},,憲法&基本權各論,114.06.16,
21387066,Martial law / State of martial law,戒嚴,,Kriegsrecht {Ger.} / Kriegszustand {Ger.},,憲法&基本權各論,114.06.16,
21387068,Constitutional convention,憲政慣例,,Verfassungsgewohnheitsrecht {Ger.},,憲法&基本權各論,114.06.16,
21387070,Constitutional change,憲法變遷,,Verfassungswandel {Ger.},,憲法&基本權各論,114.06.16,
21387072,Preamble,憲法前言,,Präambel {Ger.},,憲法&基本權各論,114.06.16,
21387074,Amendments to the Constitution,憲法增修條文,,Zusatzartikel zur Verfassung {Ger.},,憲法&基本權各論,114.06.16,
21387076,Constitution and constitutional law,憲章與憲律,,Verfassung und Verfassungsgesetz {Ger.},,憲法&基本權各論,114.06.16,
21387078,Constitutional amendent referendum,修憲公投,,Referendum zur Verfassungsänderung {Ger.},,憲法&基本權各論,114.06.16,
21387080,Date,期日,,Termin {Ger.},,行政訴訟法,114.06.16,
21387082,Designation of the court date,期日之指定,,Terminsbestimmung {Ger.},,行政訴訟法,114.06.16,
21387084,Notification of the court date,期日之告知,,Terminsmitteilung {Ger.},,行政訴訟法,114.06.16,
21387086,Altering or postponing the court date,期日之變更或延展,,Terminsänderung or Terminsverlegung {Ger.},,行政訴訟法,114.06.16,
21387088,Period,期間,,Frist {Ger.},,行政訴訟法,114.06.16,
21387090,Statutory period,法定期間,,Gesetzliche Frist {Ger.},,行政訴訟法,114.06.16,
21387092,Court-ordered period,裁定期間,,Richterliche Frist {Ger.},,行政訴訟法,114.06.16,
21387094,Peremptory period,不變期間,,Notfrist {Ger.},,行政訴訟法,114.06.16,
21387096,Extension of the period,期間之伸長(延長),,Fristverlängerung {Ger.},,行政訴訟法,114.06.16,
21387098,Shortening of the period,期間之縮短,,Fristkürzung {Ger.},,行政訴訟法,114.06.16,
21387100,Restoration to the status quo ante / Restitutio in integrum,回復原狀,,Wiedereinsetzung in den vorigen Stand {Ger.},,行政訴訟法,114.06.16,
21387102,Court file / Case file,訴訟卷宗,,Prozessakten {Ger.},,行政訴訟法,114.06.16,
21387104,Inspection of court file / Inspection of case file,卷宗閱覽,,Akteneinsicht {Ger.},,行政訴訟法,114.06.16,
21387106,Litigation costs,訴訟費用,,Prozesskosten {Ger.},,行政訴訟法,114.06.16,
21387108,Court fees,裁判費,,Gerichtskosten {Ger.},,行政訴訟法,114.06.16,
21387110,In forma pauperis,訴訟救助,,Prozesskostenhilfe {Ger.},,行政訴訟法,114.06.16,
21387126,co-signer,連署人,,,,公民投票法,113.01.11,
21387132,Content-Based Restriction,針對內容的限制,,inhaltsbezogene Beschränkung {Ger.},,憲法基本權,113.04.29,
21387134,Content-Neutral Restriction,非針對內容的限制,,inhaltsneutrale Beschränkung {Ger.},,憲法基本權,113.04.29,
21387136,"Time, Place, and Manner Restriction",時間、地點與方式的限制,,,,憲法基本權,113.04.29,
21387143,Attorney,訴訟代理人(律師),,,,行政訴訟法,113.06.24,
21395895,,(公益)團體訴訟,,<p>Verbandsklage {Ger.}</p>,,<p>行政訴訟法</p>,<p>113.01.11</p>,
