ID,英文名稱,中文名稱,圖片,德文,日文,法類/法條,審定日期,更新日期
21387775,Possession of narcotics,持有毒品,,Drogenbesitz {Ger.},,刑法263條,114.07.12,
21387777,Possession of opium paraphernalia,持有專供吸食鴉片之器具,,Besitz von Geräten speziell zum Opiumrauchen {Ger.},,刑法,114.07.12,
21387779,Designated Non-Financial Businesses or Professions,指定之非金融事業或人員,,Bestimmte nichtfinanzielle Gewerbe oder Berufspersonal {Ger.},,洗錢防制法,114.07.12,
21387781,Knowingly buying stolen goods,故買贓物,,Wissentlicher Ankauf einer gestohlenen Sache {Ger.},,刑法第34章,114.07.12,
21387783,Narcotics user,施用毒品者,,Drogenkonsument {Ger.},,毒品危害防制條例,114.07.12,
21387785,Narcotics,毒品,,Drogen {Ger.},,毒品危害防制條例,114.07.12,
21387787,Narcotics Hazard Prevention Act,毒品危害防制條例,,Gesetz zur Verhütung von Betäubungsmittelgefahren {Ger.},,毒品危害防制條例,114.07.12,
21387789,Education and advocacy for narcotics prevention,毒品防制教育宣導,,Aufklärung zur Drogenprävention {Ger.},,毒品危害防制條例,114.07.12,
21387791,Money laundering,洗錢,,Geldwäsche {Ger.},,洗錢防制法,114.07.12,
21387793,Anti-Money Laundering Act,洗錢防制法,,Geldwäschebekämpfungsgesetz {Ger.},,洗錢防制法,114.07.12,
21387795,Revealing secrets / Leaking secrets,洩漏秘密,,Offenbaren von Geheimnissen {Ger.},,刑法,114.07.12,
21387798,Injecting morphine for someone,為人施打嗎啡,,Morphiumspitzen für jemanden {Ger.} / Morphium Injektion für jemanden {Ger.},,刑法259條,114.07.12,
21387801,Breach of fiduciary duty,背信,,Ｕntreue {Ger.},,刑法,114.07.26,
21387803,Military court,軍事法院,,Militärgericht {Ger.},,毒品危害防制條例,114.07.12,
21387805,Military detention center,軍事看守所,,Militärhaftanstalt {Ger.},,毒品危害防制條例,114.07.12,
21387807,Military prison,軍事監獄,,Militärgefängnis {Ger.},,毒品危害防制條例,114.07.12,
21387809,Military prosecutor,軍事檢察官,,Militärstaatsanwalt {Ger.},,毒品危害防制條例,114.07.12,
