ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
21381768,tubular-cored metal-arc welding with inert gas shield,包藥銲線MIG銲接,,大地工程及結構,113.06.08,
21381769,tubular-cored wire,包藥銲線,,大地工程及結構,113.06.08,
21381770,tunnel form,隧道模板,,營建管理,114.05.10,
21381771,turnaround document (TAD),周轉文件；回遞文件,,營建管理,113.09.28,
21381772,turnkey project,啓鑰專案；統包專案,,營建管理,113.07.20,
21381773,turnover process,轉換流程；人力替換流程,,營建管理,113.09.28,
21381774,twist distortion,扭轉變形,,大地工程及結構,113.06.08,
21381775,two-electrode welding,雙極銲接,,大地工程及結構,113.06.08,
21381776,U.S. Department of Labor ,美國勞工部,,營建管理,114.03.15,
21381777,U.S. Green Building Council (USGBC),美國綠建築委員會,,營建管理,114.03.15,
21381778,U.S. National CAD Standard (NCS),美國國家電腦輔助繪圖標準,,營建管理,114.03.15,
21381779,UL label,優力安規認證標籤,,營建管理,114.05.10,
21381780,ultra wide plank,超寬木地板材,,營建管理,114.05.10,
21381781,ultrasonic test (UT),超音波檢測,,大地工程及結構,113.06.08,
21381782,unbalanced bid,不平衡標,,營建管理,113.07.20,
21381783,unconfined compressive strength (UCS),無圍壓縮強度,,大地工程及結構,113.06.08,
21381784,unconsolidated-undrained test (UU test),不壓密不排水試驗,,大地工程及結構,113.06.08,
21381785,underbead crack,銲道下方裂縫,,大地工程及結構,113.06.08,
21381786,underflushing,過度研磨,,大地工程及結構,113.06.08,
21381787,undermining,淘空；底蝕,,大地工程及結構,113.06.08,
21381788,Underwriters Laboratories (UL),優力安規認證試驗室,,營建管理,114.05.10,
21381789,unemployment insurance,失業險,,營建管理,113.07.20,
21381790,unexpected condition,非預期情況,,營建管理,113.07.20,
21381791,unforeseen condition,未可預見情況,,營建管理,113.07.20,
21381792,uniaxial compressive strength,單軸壓縮強度,,大地工程及結構,113.06.08,
21381793,uniaxial stress state,單軸應力狀態,,大地工程,113.04.27,
21381794,uniform building code (UBC),美國標準建築規則,,營建管理,113.08.10,
21381795,uniform construction bid,美國標準營建標案,,營建管理,113.08.10,
21381796,uniform construction code (UCC),美國標準營建規則,,營建管理,113.08.10,
21381797,Uniform Construction Index (UCI),統一營建索引[編碼系統],,營建管理,114.03.15,
21381798,Uniform Location of Subject Matter (ULSM),主題文件之統一位置；標的文件之統一位置{契約},,營建管理,114.03.15,
21381799,uniform traffic controls (UTC),統一交通管制規則,,營建管理,114.05.10,
21381800,uniformly distributed porosity,均布孔隙；均布氣孔,,大地工程及結構,113.06.08,
21381801,unilateral mistake,單方錯誤,,營建管理,113.07.20,
21381802,union,工會,,營建管理,113.07.20,
21381803,union hiring hall,工會之招募窗口,,營建管理,113.07.20,
21381804,union security agreement,工會保障協議,,營建管理,113.07.20,
21381805,union shop,工會制事業單位,,營建管理,113.07.20,
21381806,union steward,工會代表；工會執事,,營建管理,113.07.20,
21381807,unit pricing,單價訂定,,營建管理,113.09.28,
21381808,United Facilities Guide Specifications (UFGS),[美國]統一設施指南規範,,營建管理,114.03.15,
21381809,United States-Mexico-Canada Agreement (USMCA),北美自由貿易協定；美墨加協定,,營建管理,113.09.28,
21381810,units completed,完成單元數,,營建管理,113.09.28,
21381811,up/down construction,逆打工法,,營建管理,113.09.28,
21381812,up/up construction,雙順打工法,,營建管理,113.09.28,
21381813,upset price,拍賣底價,,營建管理,113.07.20,
21381814,upward welding,立銲上進,,大地工程及結構,113.06.08,
21381815,US customary unit,美式英制單位；美制單位,,營建管理,113.08.10,
21381816,use and occupancy insurance (U&O),使用與持有保險；營業中斷保險；停工損失保險,,營建管理,114.03.15,
21381817,utility easement,公共設施地役權,,營建管理,114.05.10,
21381818,vandalism,惡意毀損行為,,營建管理,114.03.15,
21381819,vertical integration,垂直整合,,營建管理,114.03.15,
21381820,vertical position,立銲姿勢；垂直位置,,大地工程及結構,113.06.08,
21381821,vertical welding,立銲,,大地工程及結構,113.06.08,
21381822,vertically integrated production,垂直整合生產,,營建管理,114.03.15,
21381823,Veterans Administration (VA),退伍軍人服務處；退輔會,,營建管理,114.03.15,
21381824,visual test (VT),目視檢測；目視檢驗,,大地工程及結構,113.06.08,
21381825,vocational school,職業學校；技職學校,,營建管理,114.03.15,
21381826,wacker,小型土壤夯實機,,營建管理,114.05.10,
21381827,wainscot,護牆版,,營建管理,114.03.15,
21381828,wainscoting,護牆版,,營建管理,114.05.10,
21381829,wall washer,洗牆燈,,營建管理,114.05.10,
21381830,Walsh-Healey Public Contracts Act (PCA),美國沃斯-海利公共契約法,,營建管理,113.07.20,
