ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
21381357,protective device,保護裝置,,營建管理,113.09.28,
21381358,protective filter,保護濾層,,大地工程及結構,113.06.08,
21381359,prying action,槓抬作用；撬起作用,,結構工程,113.04.13,
21381360,Public Building Service (PBS),[美國]公有建築服務處,,營建管理,114.03.15,
21381361,public funding,公有資金,,營建管理,113.09.28,
21381362,public relation,公共關係；公關,,營建管理,113.09.28,
21381363,pull technique,後退銲法,,結構工程,113.04.13,
21381364,punch out,下班打卡,,營建管理,114.05.10,
21381365,punch out list,缺失清單,,營建管理,114.05.10,
21381366,punch thru,貫穿,,營建管理,114.05.10,
21381367,punching,沖孔,,結構工程,113.04.13,
21381368,punitive damages,懲罰性損害賠償；懲罰性損害賠償金,,營建管理,113.07.20,
21381369,purchase recommendation,採購建議,,營建管理,114.03.15,
21381370,purchasing agent,採購代理人；採購經紀人,,營建管理,113.09.28,
21381371,purchasing contract,採購契約,,營建管理,114.03.15,
21381372,purchasing warranty,採購保固,,營建管理,114.03.15,
21381373,push technique,前進銲法,,結構工程,113.04.13,
21381374,putty knife,油灰刀；膩子刀；批刀,,營建管理,114.05.10,
21381375,qualification of bidders,投標資格,,營建管理,113.08.10,
21381376,qualitative requirement,定性要求,,營建管理,114.03.15,
21381377,quality of design,設計品質,,營建管理,114.03.15,
21381378,quality requirement,品質要求,,營建管理,114.03.15,
21381379,queueing theory,排隊理論,,營建管理,113.08.10,
21381380,quick asset,速動資產,,營建管理,113.07.20,
21381381,rabbet,槽口,,營建管理,114.05.10,
21381382,radiating crack,放射狀裂縫；輻射狀裂縫,,結構工程,113.04.13,
21381383,radiograph test (RT),放射性檢測,,結構工程,113.04.13,
21381384,rail girder,軌道梁,,結構工程,113.04.13,
21381385,range estimating,區間估計,,營建管理,113.07.20,
21381386,rank and file,基層人員,,營建管理,113.08.10,
21381387,rat slab,舖底[混凝土]板,,營建管理,114.05.10,
21381388,rated power,額定功率,,營建管理,113.08.10,
21381389,rearc,再起弧,,結構工程,113.04.13,
21381390,rebar chair,鋼筋墊座；鋼筋墊隔器,,營建管理,114.05.10,
21381391,rebar insertion,鋼筋安裝；鋼筋安插,,結構工程,113.04.13,
21381392,recap sheet,彙整表；匯總表,,營建管理,113.07.20,
21381393,reconnaissance,踏勘；勘查；偵察,,營建管理,113.08.10,
21381394,recycling requirement,回收要求,,營建管理,114.03.15,
21381395,redecking,橋面板重新鋪築,,結構工程,113.04.13,
21381396,re-engineering,工程再造,,營建管理,113.09.28,
21381397,reentrant surface,開孔凹角面,,結構工程,113.04.13,
21381398,reference materials,參考材料；參考資料,,營建管理,114.03.15,
21381399,reflected ceiling,天花板反射平面圖；天花板配置圖,,營建管理,114.05.10,
21381400,reflected ceiling plan,天花板反射平面圖；天花板配置圖,,營建管理,114.05.10,
21381401,regulatory compliance,法規符合,,營建管理,114.03.15,
21381402,regulatory requirement,法規要求,,營建管理,114.03.15,
21381403,reheat crack,再熱裂縫{銲接},,結構工程,113.04.13,
21381404,reimbursable contract,成本歸墊契約,,營建管理,113.09.28,
21381405,reinforced concrete pipe (RCP),混凝土管,,營建管理,114.05.10,
21381406,relief valve,釋壓閥；洩壓閥,,營建管理,114.05.10,
21381407,relief vent,釋壓通風管道,,營建管理,114.05.10,
21381408,remedy,補償；救濟,,營建管理,113.07.20,
21381409,repair welding,修補銲接,,結構工程,113.04.13,
21381410,repetitive operation,重複操作；重複作業,,營建管理,113.08.10,
21381411,repetitive scheduling method (RSM),重複排程法,,營建管理,114.03.15,
21381412,reporting service,報表服務,,營建管理,113.07.20,
21381413,request for qualifications (RFQ),資格要求,,營建管理,114.03.15,
21381414,request for quote (RFQ),詢價,,營建管理,114.03.15,
21381415,requisition,申請；徵用,,營建管理,113.08.10,
21381416,research and development (R&D),研究與發展；研發,,營建管理,113.09.28,
21381417,reserved gate system,保留通道系統{罷工},,營建管理,113.07.20,
21381418,residual current circuit breaker (RCCB),漏電斷路器,,營建管理,114.05.10,
21381419,residual current device (RCD),漏電斷路器,,營建管理,114.05.10,
21381420,resistance welding,電阻銲接,,結構工程,113.04.13,
21381421,resource constraint,資源限制,,營建管理,113.08.10,
21381422,resource scheduling,資源排程,,營建管理,113.07.20,
21381423,restart of weld,銲接再起銲點；再起弧點,,結構工程,113.04.13,
21381424,restraint jig,拘束治具,,結構工程,113.04.13,
21381425,retract start technique,後退起銲法,,結構工程,113.04.13,
21381426,review comments,審查意見,,營建管理,114.03.15,
21381427,review process,審查流程,,營建管理,114.03.15,
21381428,revised page method,修訂頁法,,營建管理,114.03.15,
21381429,Richardson Engineering Database,Richardson工料價格資料庫,,營建管理,114.03.15,
21381430,ridge beam,屋脊梁,,營建管理,114.05.10,
21381431,right to work,工作權；勞動權,,營建管理,113.07.20,
21381432,rights at work,職場權利,,營建管理,113.07.20,
21381433,rigid insulation,硬質絕緣；硬質隔熱材,,營建管理,114.05.10,
21381434,ripple effect,漣漪效應,,營建管理,113.07.20,
21381435,rippled casing,波紋收邊,,營建管理,114.05.10,
21381436,riser,立管；豎井,,營建管理,114.05.10,
21381437,rock blasting,岩石鑽炸,,營建管理,113.08.10,
21381438,rock cutter,岩石切割機,,營建管理,113.08.10,
21381439,rock ripper,岩石劈裂鑿,,營建管理,113.08.10,
21381440,rock ripping bucket,岩石劈裂鏟,,營建管理,113.08.10,
21381441,rock saw,鋸石機,,營建管理,113.08.10,
21381442,rolled section,輥軋斷面,,結構工程,113.04.13,
21381443,roller bend test,輥輪彎曲試驗,,結構工程,113.04.13,
21381444,roof cricket,屋頂排水坡；防水導流坡；屋脊導水坡,,營建管理,114.05.10,
21381445,roof curb,屋頂凸緣,,營建管理,114.05.10,
21381446,roof drain,屋頂排水,,營建管理,114.05.10,
21381447,roof hatch,屋頂進出口,,營建管理,114.05.10,
21381448,roofer,屋頂工,,營建管理,113.09.28,
21381449,rooftop unit (RTU),屋頂設備機組,,營建管理,114.05.10,
21381450,root bend test,背彎試驗,,結構工程,113.04.13,
21381451,root bound,根盆縛,,營建管理,114.05.10,
21381452,root concavity,根部凹陷,,結構工程,113.04.13,
21381453,root crack,根部裂縫,,結構工程,113.04.13,
21381454,root face,根面,,結構工程,113.04.13,
21381455,root gap of fillet weld,填角銲道根部間隙,,結構工程,113.04.13,
21381456,root opening,根部間隙,,結構工程,113.04.13,
21381457,root pruning,根系修剪；斷根,,營建管理,114.05.10,
21381458,rototill,鬆土；翻土,,營建管理,114.05.10,
21381459,rototiller,鬆土機；旋耕機,,營建管理,114.05.10,
21381460,rough opening (RO),門窗粗開口；門窗毛胚開口,,營建管理,114.05.10,
21381461,rough order of magnitude (ROM) estimate,粗略估價；粗估,,營建管理,113.09.28,
21381462,rust grade,銹蝕度,,結構工程,113.04.13,
21381463,S corporation,S公司{美國},,營建管理,113.09.28,
21381464,sacrificial primer,鋅粉底漆,,結構工程,113.04.13,
21381465,safety code,安全法規,,營建管理,113.07.20,
21381466,safety data sheet (SDS),安全資料表,,營建管理,113.09.28,
21381467,safety legislation,安全法規立法,,營建管理,113.07.20,
21381468,safety program,安全計畫,,營建管理,113.07.20,
21381469,safety standard,安全標準,,營建管理,113.07.20,
21381470,safety training,安全訓練,,營建管理,113.07.20,
21381471,sag rod,防垂拉條,,結構工程,113.04.13,
21381472,salvage,殘值；殘料,,營建管理,113.08.10,
21381473,sanitary manhole,衛生下水道人孔,,營建管理,114.05.10,
21381474,sash limiter,開窗限制器,,營建管理,114.05.10,
21381475,sash lock,窗栓,,營建管理,114.05.10,
21381476,sash opening (SO),窗扇開口,,營建管理,114.05.10,
21381477,sash window,上下提拉窗；上下滑窗,,營建管理,114.05.10,
21381478,saturated density,飽和密度,,大地工程及結構,113.06.08,
21381479,savings clause,保留條款；成本節省條款,,營建管理,114.05.10,
21381480,saw tooth roof,鋸齒型屋頂,,營建管理,114.05.10,
21381481,scaled surface,黑皮；鏽皮；表面氧化層,,結構工程,113.04.13,
21381482,scallop,銲接孔；扇形孔,,結構工程,113.04.13,
21381483,scheduler,排程工程師,,營建管理,113.09.28,
21381484,scheduling engineer,排程工程師,,營建管理,113.08.10,
21381485,scissor lift,剪叉式升降機,,營建管理,114.05.10,
21381486,seal welding,封銲；封口銲,,結構工程,113.04.13,
21381487,Second Injury Fund (SIF),二次傷害基金,,營建管理,113.07.20,
21381488,secondary boycott,間接抵制{抵制上下游供貨、取貨},,營建管理,113.07.20,
21381489,secondary electric service,二次供電服務,,營建管理,114.05.10,
21381490,section drawing,剖面圖；斷面圖,,營建管理,114.03.15,
21381491,section test,剖面試驗；斷面試驗,,結構工程,113.04.13,
21381492,seismic effect,震波效應；地震效應,,營建管理,113.08.10,
21381493,seismic exploration,震波探勘,,營建管理,113.08.10,
21381494,seismicity rating,地震分級,,結構工程,113.04.13,
21381495,self closing hinge,自動回復鉸鏈；自動回歸鉸鏈,,營建管理,114.05.10,
21381496,self-shielded flux cored arc welding (FCAW-S),自遮護包藥銲線電弧銲接,,結構工程,113.04.13,
21381497,semi top down construction,半逆打工法,,營建管理,113.09.28,
21381498,semi-automatic welding,半自動銲接,,結構工程,113.04.13,
21381499,semi-stub abutment,半矮墩式橋台,,結構工程,113.04.13,
21381500,separate-gate doctrine,分別通道主義{罷工},,營建管理,113.07.20,
21381501,sequence of activities,作業序列,,營建管理,113.08.10,
21381502,servicability,服務性,,結構工程,113.04.13,
21381503,service sink,工作水槽,,營建管理,114.03.15,
21381504,set aside,預留,,營建管理,113.07.20,
21381505,setting bed,水泥砂漿舖底,,營建管理,114.05.10,
21381506,shared savings clause,保留條款；成本節省條款,,營建管理,114.05.10,
21381507,shear connection,剪力接合；剪力接頭,,營建管理,114.05.10,
21381508,shear flexible grillage,可撓剪力格架,,結構工程,113.04.13,
21381509,shear stud,剪力釘,,結構工程,113.04.13,
21381510,sheet piling abutment,板樁式橋台,,結構工程,113.04.13,
21381511,sheetmetal worker,鈑金工,,營建管理,113.09.28,
21381512,Sherman Antitrust Act,美國謝爾曼法{反壟斷法},,營建管理,113.07.20,
21381513,shielded metal arc welding (SMAW),被覆金屬電弧銲接,,結構工程,113.04.13,
21381514,shielding gas,遮護氣體,,結構工程,113.04.13,
21381515,shop splice,工廠續接；工廠搭接,,結構工程,113.04.13,
21381516,shop steward,勞工代表；勞工執事,,營建管理,113.07.20,
21381517,short circuiting transfer,短路移行,,結構工程,113.04.13,
21381518,short slotted hole,短槽孔,,結構工程,113.04.13,
21381519,shortform specification,簡式規範,,營建管理,114.03.15,
21381520,shotgun lawsuit,大量興訴,,營建管理,114.03.15,
21381521,shrinkage cavity,收縮凹陷；收縮孔,,結構工程,113.04.13,
21381522,siamese connection,消防連結送水口,,營建管理,114.05.10,
21381523,side bend test,側彎試驗,,結構工程,113.04.13,
21381524,sidelite,門邊側窗,,營建管理,114.05.10,
21381525,sign and signal,標誌與號誌,,營建管理,113.09.28,
21381526,simulated divided lite,擬真格子窗,,營建管理,114.03.15,
21381527,single hung,單吊窗,,營建管理,114.05.10,
21381528,single ply roofing,單次施作複層屋頂工法,,營建管理,114.05.10,
21381529,single white line (SWL),單白標線,,營建管理,114.05.10,
21381530,single-electrode welding,單極銲接,,結構工程,113.04.13,
21381531,single-point estimating,單點估計,,營建管理,113.07.20,
21381532,single-prime contract,單一主契約,,營建管理,114.03.15,
21381533,site clearance,整地,,營建管理,113.08.10,
21381534,site reconnaissance,工址踏勘,,營建管理,114.03.15,
21381535,site visit,現場訪視；工地巡察,,營建管理,113.07.20,
21381536,site welding,現場銲接；工地銲,,結構工程,113.04.13,
21381537,six-tenths factor rule (0.6 rule),十分之六準則{估價},,營建管理,114.03.15,
21381538,sketch log,草圖紀錄,,營建管理,114.05.10,
21381539,skew deck,斜交板；斜交橋面板,,結構工程,113.04.13,
21381540,skydome,大型天幕體育場館；巨蛋,,營建管理,113.09.28,
21381541,slag inclusion,夾渣,,結構工程,113.04.13,
21381542,slag residue,銲渣殘留,,結構工程,113.04.13,
21381543,slot weld,塞槽銲道,,結構工程,113.04.13,
21381544,slot welding,塞槽銲,,結構工程,113.04.13,
21381545,smoke detector,偵煙器,,營建管理,114.05.10,
21381546,smoke hatch,排煙天窗,,營建管理,114.05.10,
21381547,snooper,橋檢車,,結構工程,113.04.13,
21381548,snug-tight,鋼板密貼狀態,,結構工程,113.04.13,
21381549,social value,社會價值；公益價值,,營建管理,114.03.15,
21381550,Society of American Value Engineers (SAVE),美國價值工程師學會,,營建管理,113.07.20,
21381551,Society of Women Engineers (SWE),女性工程師協會,,營建管理,114.03.15,
21381552,soft wall,軟裝牆,,營建管理,114.05.10,
21381553,soil binder,土壤黏結料,,大地工程及結構,113.06.08,
21381554,soil compaction,土壤夯實,,營建管理,113.08.10,
21381555,soil densification,土壤緻密,,營建管理,113.08.10,
21381556,soil freezing,凍土工法；冷凍工法,,營建管理,113.08.10,
21381557,soil modification,土壤改良,,營建管理,114.05.10,
21381558,soil stockpile,土方暫置,,營建管理,114.03.15,
21381559,soil test,土壤試驗,,營建管理,113.08.10,
21381560,soldier course,立砌層{砌磚},,營建管理,114.05.10,
21381561,sole proprietorship,獨資,,營建管理,113.09.28,
21381562,sole source procurement,單一來源採購,,營建管理,114.03.15,
21381563,solid density,固體密度,,大地工程及結構,113.06.08,
21381564,solid inclusion,固體夾雜物；固體內含物,,結構工程,113.04.13,
21381565,solid wire,實心銲線,,結構工程,113.04.13,
21381566,sound transmission class rating (STC Rating),STC隔音等級,,營建管理,114.05.10,
21381567,sound wave,聲波,,營建管理,113.08.10,
21381568,soundproofing,隔音,,營建管理,114.05.10,
21381569,source quality control,源頭品質控制,,營建管理,114.03.15,
21381570,span of control,控制幅度,,營建管理,113.08.10,
21381571,span-by-span construction,逐跨施工,,結構工程,113.04.13,
21381572,span-to-depth ratio,跨深比,,結構工程,113.04.13,
21381573,sparky,電匠,,營建管理,114.05.10,
21381574,spatter,銲濺物,,結構工程,113.04.13,
21381575,spec mix,規格配比,,營建管理,114.05.10,
21381576,special inspector,獨立檢查員,,營建管理,114.05.10,
21381577,special service,特別服務,,營建管理,114.03.15,
21381578,specialization,專業化,,營建管理,113.09.28,
21381579,specific performance,設定履行；強制履行,,營建管理,113.09.28,
21381580,Specifications Consultants in Independent Practice (SCIP),獨立專業規範顧問,,營建管理,114.03.15,
21381581,Specifications Kept Intact (SpecsIntact),{美軍}規範自動備置系統,,營建管理,114.03.15,
21381582,specifications organizations,規範組織,,營建管理,114.03.15,
21381583,specifier,說明符號,,營建管理,114.03.15,
