ID,英文名稱,中文名稱,圖片,所在國,經緯坐標,備註,更新日期
3016083,Thaon-les-Vosges,塔昂弗日,,法國,48° 15′ N 6° 25′ E,,2017-06-09
3016084,Thar(Great Indian) Des.,塔爾沙漠(大印度沙漠),,印度/巴基斯坦,27° 00′ N 71° 00′ E,,2017-06-09
3016085,Thargomindah,薩哥民達,,澳大利亞,27° 59′ S 143° 49′ E,,2017-06-09
3016086,Tharsis,塔爾西斯,,西班牙,37° 36′ N 7° 07′ W,,2017-06-09
3016087,"Tharsuinn, Beinn",哈蘇因丘,,英國,57° 27′ N 5° 14′ W,,2017-06-09
3016088,"Tharthar, Buhayrat ath(Tharthar, Mileh)",薩薩湖,,伊拉克,34° 00′ N 43° 15′ E,,2017-06-09
3016089,Tharyarwady (Tharrawaddy),沙耶瓦迪,,緬甸,17° 39′ N 95° 48′ E,,2017-06-09
3016090,"Thasos, Nisos (Thassos I.)",薩索斯島,,希臘,40° 40′ N 24° 40′ E,,2017-06-09
3016091,"Thasou, Diavlos (Thasos Str.)",薩索斯海峽,,希臘,40° 49′ N 24° 42′ E,,2017-06-09
3016092,Thatcher,撤切爾,,美國,32° 50′ N 109° 45′ W,,2017-06-09
3016093,Thaton,直通,,緬甸,16° 55′ N 97° 22′ E,,2017-06-09
3016094,Thatta,塔塔,,巴基斯坦,24° 45′ N 67° 55′ E,,2017-06-09
3016095,Thaungdut,當都,,緬甸,24° 26′ N 94° 42′ E,,2017-06-09
3016096,Thayer,塞爾,,美國,39° 32′ N 89° 45′ W,,2017-06-09
3016097,Thayetmyo,德耶謬,,緬甸,19° 19′ N 95° 11′E,,2017-06-09
3016098,Thazi,達西,,緬甸,20° 51′ N 96° 05′ E,,2017-06-09
3016099,The Dalles,達爾斯,,美國,45° 36′ N 121° 11′ W,,2017-06-09
3016100,The Oaks,歐克斯,,澳大利亞,34° 04′ S 150° 34′ E,,2017-06-09
3016101,The Pas,帕斯,,加拿大,53° 49′ N 101° 15′ W,,2017-06-09
3016102,The Twins,雙子鎮,,澳大利亞,31° 13′ S 118° 34′ E,,2017-06-09
3016103,Thelon R.,塞隆河,,加拿大,64° 15′ N 102° 00′ W,,2017-06-09
3016104,Thelus,泰呂,,法國,50° 21′ N 2° 48′ E,,2017-06-09
3016105,Theodore,夕奧多,,澳大利亞,24° 57′ S 150° 05′ E,,2017-06-09
3016106,Theodore Roosevelt L.,夕奧多羅斯福湖,,美國,33° 40′ N 111° 09′ W,,2017-06-09
3016107,"Thermai, G. of",塞爾麥灣,,希臘,40° 23′ N 22° 47′ E,,2017-06-09
3016108,Thermopolis,色摩波利斯,,美國,43° 38′ N 108° 12′ W,,2017-06-09
3016109,Thermopylae,塞摩匹來山口,,希臘,38° 48′ N 22° 32′ E,,2017-06-09
3016110,Thesprotia,塞斯普羅提亞,,希臘,39° 30′ N 20° 23′ E,,2017-06-09
3016111,Thessalalon,塞薩拉隆,,加拿大,46° 15′ N 83° 33′ W,,2017-06-09
3016112,Thessalia,塞薩利亞,,美國,37° 15′ N 80° 47′ W,,2017-06-09
3016113,Thessaloniki(Salonica）,塞薩洛尼基(薩洛尼卡）,,希臘,40° 38′ N 22° 57′ E,,2017-06-09
3016114,Thetford,塞福,,英國,52° 25′ N 0° 45′ E,,2017-06-09
3016115,Thetford-Mines,塞福邁恩,,加拿大,46° 06′ N 71° 18′ W,,2017-06-09
3016116,Theux,特城,,比利時,50° 32′ N 5° 49′ E,,2017-06-09
3016117,Thibaudeau,提保多,,加拿大,50° 00′ N 73° 39′ W,,2017-06-09
3016118,Thibodaux,提波多,,美國,29° 47′ N 90° 49′ W,,2017-06-09
3016119,Thickwood Hills,提克塢丘陵,,加拿大,53° 05′ N 107° 35′ W,,2017-06-09
3016120,Thief River Falls,夕夫里弗﹝弗斯﹞,,美國,48° 07′ N 96° 10′ W,,2017-06-09
3016121,Thiel(Tiel),提耶爾,,塞內加爾,15° 49′ N 13° 30′ W,,2017-06-09
