ID,英文詞彙,中文名詞,更新日期
21378590,extreme ultraviolet lithography；EUV lithography,極紫外光機,
21378591,legacy semiconductor；legacy chip；mature-node chip,傳統半導體,
21378592,mature process；established semiconductor manufacturing process,(半導體) 成熟製程,
21378593,reclaimed water；recycled water,再生水,
21378594,excess water consumption surcharge,耗水費,
21378595,transitional half-rate period,減半徵收緩衝期,
21378596,cross-industry talent,跨界人才,
21378597,asymmetric warfare capabilities,不對稱戰力,
21378598,zero-sum game  ,零和遊戲      ,
21378599,positive-sum game,正和關係,
21378600,integrated circuit (IC),積體電路,
21378601,polycrystalline silicon；polysilicon；poly-Si,多晶矽,
21378602,amorphous silicon (a-Si),非晶矽,
21378603,monocrystalline silicon；monosilicon；mono-Si,單晶矽,
21378604,silicon ingot,矽晶棒,
21378605,wafer lapping,晶圓研光,
21378606,wafer etching,晶圓蝕刻,
21378607,wafer annealing ,晶圓退火,
21378608,wafer polishing,晶圓拋光,
21378609,thermal oxidation,熱氧化法,
21378610,chemical vapor deposition (CVD),化學氣相沉積法,
21378611,physical vapor deposition (PVD),物理氣相沉積法,
21378612,photolithography；optical lithography,微影製程(或稱光刻製程),
21378613,photoresist coating,光阻塗佈,
21378614,spin coating,旋轉塗佈,
21378615,spray coating,噴射塗佈,
21378616,ion implantation,離子佈植,
21378617,yield rate,良率,
21378618,defect rate,不良率,
21378619,die；bare die,裸晶,
21378620,wafer probing；chip probing (CP),晶圓針測,
21378621,wafer dicing,晶圓切割,
21378622,die attach；die bonding,黏晶,
21378623,wire bonding,打線接合,
21378624,molding；encapsulation,封膠,
21378625,decapsulation,去膠,
21378626,marking,印字,
21378627,post-packaging test,封裝後檢測,
21378628,pin；lead pin,引腳,
21378629,solder ball,錫球,
21378630,interposer,中介層,
21378631,micro bump,微凸塊,
21378632,through-silicon via (TSV),矽穿孔,
21378633,doping {semiconductor},摻雜,
21378634,dopant,摻雜劑,
21378635,substrate,基板,
21378636,access to markets,市場准入,
21378637,ad valorem tariff,從價關稅,
21378638,America First,美國優先 ,
21378639,American Manufacturing Program (AMP) ,美國製造計畫,
21378640,balance of trade,貿易差額,
21378641,base tariff,基準關稅,
21378642,CHIPS and Science Act ,CHIPS 與科學法,
21378643,reciprocal tariff,對等關稅,
21378644,escalating tariffs,累進關稅,
21378645,infant industry protection,保護新創產業,
21378646,innovation-driven development strategy,創新引領發展策略,
21378647,just-in-time (JIT) inventory,即時生產庫存管理；JIT庫存管理,
21378648,Liberation Day tariffs,解放日關稅,
21378649,multiple tariffs ,多重關稅,
21378650,multisourcing,多元供應,
21378651,One Big Beautiful Bill Act (OBBBA； BBB),大而美法案,
21378652,predictive maintenance,預測性維護,
21378653,retaliatory measure,反制措施,
21378654,retaliatory tariff,報復性關稅,
21378655,supply chain diversification,供應鏈多元化,
21378656,tariff jumping,規避關稅,
21378657,tariff stacking,疊加關稅,
21378658,value stream mapping (VSM),價值流程圖,
21378659,multimodal model,多模態模型,
21378660,automated machine learning (AutoML),自動機器學習,
21378661,Stargate Project,星際之門計劃,
21378662,Servers and Modular Data Center,伺服器與模組化資料中心,
