ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2440318,controllability of aircraft,航空器（飛機）操縱性,,飞行器操纵性,2015-09-16
2440319,aircraft stability,航空器（飛機）穩定性,,飞机稳定性,2015-09-16
2440320,hovering,滯空,,悬停,2015-09-16
2440321,flight safety structure,飛行安全結構,,飞行安全结构,2015-09-16
2440322,aeronautic acoustics,航空聲學,,航空声学,2015-09-16
2440323,aircraft noise,航空器（飛機）噪音,,飞行器噪声,2015-09-16
2440324,flight mission profile,飛行任務剖面,,飞行任务剖面,2015-09-16
2440325,load,負載,,载荷,2015-09-16
2440326,Runway roughness,跑道粗糙度,,跑道粗糙度,2015-09-16
2440327,aircraft propulsion system,航空器（飛機）推進系統,,航空推进系统,2015-09-16
2440328,aircraft powerplant,航空器（飛機）發動機,,航空器动力装置,2015-09-16
2440329,aero-engine/aircraft engine,航空器（飛機）引擎；航空器（飛機）發動機,,航空发动机,2015-09-16
2440330,turboshaft engine,渦輪軸發動機,,涡轮轴发动机,2015-09-16
2440331,aircraft electrical system,航空器（飛機）電力系統,,飞机电气系统,2015-09-16
2440332,aircraft electrical power system,航空器（飛機）供電系統,,飞机供电系统,2015-09-16
2440333,aircraft electrical power generating system,航空器（飛機）電源系統,,飞机电源系统,2015-09-16
2440334,aircraft lighting system,航空器（飛機）照明系統,,飞机照明系统,2015-09-16
2440335,pneumatic system of aircraft,航空器（飛機）氣動系統,,飞机气压系统,2015-09-16
2440336,deploying speed of drag parachute,阻力傘展開速度,,放伞速度,2015-09-16
2440337,aircraft fuel,航空器（飛機）燃料,,航空燃油,2015-09-16
2440338,gravity refuelling,重力加油,,重力加油,2015-09-16
2440339,pressure refuelling,壓力加油,,压力加油,2015-09-16
2440340,in-flight fuel jettison,空中放油,,空中应急放油,2015-09-16
2440341,altitude correction,高度修正,,姿态修正,2015-09-16
2440342,density altitude,密度修正,,密度修正,2015-09-16
2440343,in-flight refuelling system,空中加油系統,,空中加油系统,2015-09-16
2440344,in-flight refuelling system of receiver aircraft,航空器空中加油系統,,空中受油系统,2015-09-16
2440345,flight control system,飛行操控系統,,飞行控制系统,2015-09-16
2440346,attitude hold,姿態保持,,姿态保持,2015-09-16
2440347,heading hold,航向保持,,航向保持,2015-09-16
2440348,altitude hold,高度保持,,高度保持,2015-09-16
2440349,trajectory control,航跡保持,,轨迹保持,2015-09-16
2440350,multi-mode control,多功能（模式）控制,,多模态控制,2015-09-16
2440351,airplane balance speed,飛機平衡速度,,飞机平衡速度,2015-09-16
2440352,pilot-in-the-loop,自動駕駛迴路{加拿大國家研究院（NRC）},,人机闭环,2015-09-16
2440353,flight boundary limit,飛行邊際限制；飛行邊界限制,,飞行边界限制,2015-09-16
2440354,flight management system,飛行管理系統,,飞行管理系统,2015-09-16
2440355,aircraft instrument,航空器儀表,,航空仪表,2015-09-16
2440356,parameters of flight status,飛航參數,,飞行状态参数,2015-09-16
2440357,flight instrument,飛行儀表,,飞行仪表,2015-09-16
2440358,navigation instrument,導航儀表；助航儀表,,导航仪表,2015-09-16
2440359,radio altimeter,無線電高度表,,无线电高度表,2015-09-16
2440360,airspeed indicator and mach meter,空速表與馬赫表,,空速表与马赫数表,2015-09-16
2440361,servo instrument,伺服儀表,,伺服仪表,2015-09-16
2440362,rate of climb indicator,升降速率表,,升降速度表,2015-09-16
2440363,gyro horizon,陀螺狀態儀,,陀螺地平仪,2015-09-16
2440364,attitude director indicator(ADI),狀態儀；姿態指示儀,,指引地平仪,2015-09-16
2440365,flight director system,飛航指引系統,,飞行指引系统,2015-09-16
2440366,three-axis attitude director indicator,三軸姿態指示儀,,全姿态指引仪,2015-09-16
2440367,compass and heading instrument,羅盤與方向儀,,罗盘与航向仪表,2015-09-16
2440368,navigation clock,航行時鐘,,导航时钟,2015-09-16
2440369,gyro magnetic compass,電羅盤；陀螺磁羅盤,,陀螺磁罗盘,2015-09-16
2440370,strapdown solid-state magnetic compass,固裝式固態磁羅盤,,捷联式固态磁罗盘,2015-09-16
2440371,directional gyroscope,定向陀螺儀；方位陀螺儀,,航向陀螺,2015-09-16
2440372,vertical gyroscope,垂直陀螺儀,,垂直陀螺,2015-09-16
2440373,avionics,航空電子[學],,航空电子,2015-09-16
2440374,avionics system,航空電子系統,,航空电子系统,2015-09-16
2440375,mission management system,任務管理系統,,任务管理系统,2015-09-16
2440376,navigation,導航；領航；助航,,导航,2015-09-16
2440377,autonomous navigation,自主導航；自律導航,,自主导航,2015-09-16
2440378,relative navigation,相對導航,,相对导航,2015-09-16
2440379,radio navigation,無線電導航,,无线电导航,2015-09-16
2440380,Inertial navigation system,慣性導航,,惯性导航系统,2015-09-16
2440381,terrain-aided navigation(TAN),地形輔助導航,,地形辅助导航,2015-09-16
2440382,satellite navigation,衛星導航,,卫星导航,2015-09-16
2440383,doppler navigation,都卜勒導航,,多普勒导航,2015-09-16
2440384,Global Positioning System(GPS),全球定位系統,,全球定位系统,2015-09-16
2440385,automatic direction finder,自動測向儀；自動定向器,,自动侧向仪,2015-09-16
2440386,gimbaled inertial navigation system,環架式慣性導航系統,,平台惯导系统,2015-09-16
2440387,strapdown navigation system,固裝式導航系統,,捷联惯导系统,2015-09-16
2440388,attitude and heading reference system,姿態航向參考系統,,姿态航向基准系统,2015-09-16
2440389,integrated navigation,整合導航,,组合导航,2015-09-16
2440390,gyroscope,陀螺儀；迴轉儀,,陀螺仪,2015-09-16
2440391,accelerometer,加速表；加速儀,,加速度计,2015-09-16
2440392,mems inertial sensor,微機電慣性感測器,,微机电惯性传感器,2015-09-16
2440393,initial alignment,初始校準,,初始对准,2015-09-16
2440394,transfer alignment,轉移校準；轉換校準,,传递对准,2015-09-16
2440395,in-flight alignment,空中校準,,空中对准,2015-09-16
2440396,great circle course,大圓航線,,大圆航线,2015-09-16
2440397,regional navigation(RNAV),區域導航；區域航行,,区域导航,2015-09-16
2440398,Position Location Reporting System(PLRS),位置報告系統,,定位报告系统,2015-09-16
2440400,flight data recorder(FDR),飛航資料記錄器；黑盒子,,飞行数据记录器,2015-09-16
2440401,aircraft condition monitoring system,航空器（飛機）狀況監視系統,,飞机状态监控系统,2015-09-16
2440402,flight data management system(FDMS),飛行資料管理系統,,飞行数据管理系统,2015-09-16
2440403,flight data acquisition unit(FDAU),飛行資料擷取單元,,飞行数据采集单元,2015-09-16
2440404,crash survivable memory unit(CSMU),墜機殘存記憶單元,,坠毁幸存存储单元,2015-09-16
2440405,air traffic management(ATM),飛航管理,,空中交通管理,2015-09-16
2440406,airspace management(ASM),空域管理,,空域管理,2015-09-16
2440407,air traffic flow management,空中流量管理；飛航流量管理,,空中交通流量管理,2015-09-16
2440408,air traffic services,飛航服務,,空中交通服务,2015-09-16
2440409,aeronautical meteorological service,航空氣象服務,,航空气象服务,2015-09-16
2440410,flight information service(FIS),飛航諮詢服務,,飞行情报服务,2015-09-16
2440411,free flight,自由飛行；自由航線飛行,,自由飞行,2015-09-16
2440412,autoland,自動降落；自動著陸,,自动着陆,2015-09-16
2440413,traffic alert and collision avoidance system(TCAS),航線警告與防撞系統,,交通告警与避撞系统,2015-09-16
2440414,aircraft icing,航空器（飛機）結冰,,飞机结冰,2015-09-16
2440415,cabin dew point,客艙露點,,座舱露点,2015-09-16
2440416,aviation life saving/escape/survival/rescue,航空逃生；航空求生；航空救生,,航空救生,2015-09-16
2440417,helicopter crew escape,直昇機組員逃生,,直升机乘员救生,2015-09-16
2440418,passenger and crew escape,旅客和組員逃生,,旅客机乘员救生,2015-09-16
2440419,"seat incidence angle ,incidence angle of seat",座椅安全角,,座椅安全角,2015-09-16
2440420,ejection angle/angle of ejection,彈射角,,弹射角,2015-09-16
2440421,ejection,彈射,,弹射,2015-09-16
2440422,escape equipment/survival equipment /search and rescue equipment/life saving equipment,逃生裝備；求生裝備；搜救裝備；救生裝備,,航空救生设备,2015-09-16
2440423,survival kit/survival pack,求生包；救生包,,救生包,2015-09-16
2440424,seat harness/seat belt/seat safe strap,座椅安全帶,,座椅安全带,2015-09-16
2440425,integrate flight garment,整合型飛行衣,,多功能飞行服,2015-09-16
2440426,flying ejection seat/flyaway ejedtion seat,飛行彈射座椅,,飞行弹射座椅,2015-09-16
2440427,parachute extractor gun,降落傘拉彈槍,,射伞枪,2015-09-16
2440428,parachute,降落傘,,降落伞,2015-09-16
2440429,bailout,跳傘,,跳伞,2015-09-16
2440430,pilot parachute,引導傘,,引导伞,2015-09-16
2440431,emergency parachute,緊急降落傘,,救生伞,2015-09-16
2440432,drag parachute/barke parachute,阻力傘,,阻力伞,2015-09-16
2440433,parachute opening,開傘,,开伞,2015-09-16
2440434,time at pickup altitude,留空時間,,留空时间,2015-09-16
2440435,minimum safety altitude,最低安全高度,,最低安全高度,2015-09-16
2440436,aircraft oxygen supply systems,航空器（飛機）供氧系統,,飞机供氧系统,2015-09-16
2440437,steady descent,穩定下降,,稳定下降,2015-09-16
2440438,rocket sled test,火箭滑道試驗,,火箭滑车试验,2015-09-16
2440439,flight,飛行,,飞行,2015-09-16
2440440,training flight,訓練飛行,,训练飞行,2015-09-16
2440441,instuctional flight,教練飛行,,带飞,2015-09-16
2440442,solo flight,單飛,,单飞,2015-09-16
2440443,chase flying,伴隨飛行,,伴飞,2015-09-16
2440444,formation flight,編隊飛行,,编队飞行,2015-09-16
2440445,ferrying flight,轉場飛行；飛渡飛行,,转场飞行,2015-09-16
2440446,visual flight,目視飛行,,目视飞行,2015-09-16
2440447,instrument flight,儀器飛行,,仪表飞行,2015-09-16
2440448,day flight,白晝飛行,,昼间飞行,2015-09-16
2440449,night flight,夜間飛行,,夜间飞行,2015-09-16
2440450,visual meteorological condition (vmc)flight,目視飛行,,简单气象飞行,2015-09-16
2440451,instrument meteorological condition (imc)flight,儀器飛行,,复杂气象飞行,2015-09-16
2440452,all weather flight,全天候飛行,,全天候飞行,2015-09-16
2440453,flying display,飛行顯示；飛行表演,,飞行表演,2015-09-16
2440454,maneuvering flight,操控飛行,,机动飞行,2015-09-16
2440455,flight at high angles of attack,大衝角飛行；大攻角飛行,,大迎角飞行,2015-09-16
2440456,aerobatic flight,特技飛行,,特技飞行,2015-09-16
2440457,dive,俯衝,,俯冲,2015-09-16
2440458,steep climb,竄升,,急跃升,2015-09-16
2440459,roll,滾轉,,横滚,2015-09-16
2440460,loop,跟斗；觔斛,,筋斗,2015-09-16
2440461,turn,轉彎,,盘旋,2015-09-16
2440462,sideslip,側滑,,侧滑,2015-09-16
2440463,side flight,側飛,,侧飞,2015-09-16
2440464,inverted flight,倒飛,,倒飞,2015-09-16
2440465,backward flight,向後飛行,,后飞,2015-09-16
2440466,tail-slide,尾墜,,尾冲,2015-09-16
2440467,special plane flight,特種飛機飛行,,专机飞行,2015-09-16
2440468,scheduled flight,定期航班,,航班飞行,2015-09-16
2440469,high altitude flight,高空飛行,,高空飞行,2015-09-16
2440470,low altitude flight,低空飛行,,低空飞行,2015-09-16
2440471,very low altitude flight,超低空飛行,,超低空飞行,2015-09-16
2440472,flight hour,飛行時數,,飞行小时,2015-09-16
2440473,pilot,駕駛員；飛行員,,飞行员,2015-09-16
2440474,test pilot,試飛員,,试飞员,2015-09-16
2440475,captain,正駕駛,,机长,2015-09-16
2440476,copilot,副駕駛,,副驾驶员,2015-09-16
2440477,navigator,領航員,,领航员,2015-09-16
2440478,flight personnel,空勤人員,,空勤人员,2015-09-16
2440479,ground personnel,地勤人員,,地勤人员,2015-09-16
2440480,airplane group,機隊,,机队,2015-09-16
2440481,flight speed,飛行速度,,飞行速度,2015-09-16
2440482,flight altitude,飛行高度,,飞行高度,2015-09-16
2440483,absolute altitude,絕對高度,,绝对高度,2015-09-16
2440484,relative height,相對高度,,相对高度,2015-09-16
2440485,glide,滑翔,,滑翔,2015-09-16
2440486,take-off,起飛,,起飞,2015-09-16
2440487,climbing,爬升,,爬升,2015-09-16
2440488,cruising,巡航,,巡航,2015-09-16
2440489,escort,護航,,护航,2015-09-16
2440490,approach,進場,,进场,2015-09-16
2440491,landing,落地；降落；著陸,,着陆,2015-09-16
2440492,go-around,重飛,,复飞,2015-09-16
2440493,forced landing,迫降,,迫降,2015-09-16
2440494,aerodynamic glide,空氣動力滑翔,,空滑,2015-09-16
2440496,loss of orientation,迷航,,迷航,2015-09-16
2440497,return,返航,,返航,2015-09-16
2440498,range,航程；距離,,航程,2015-09-16
2440499,flight path,飛行軌跡,,航迹,2015-09-16
2440500,flight accident,飛行失事,,飞行事故,2015-09-16
2440501,in-flight flame-out,空中停車,,空中停车,2015-09-16
2440502,aircraft crash,飛機失事,,失事,2015-09-16
2440503,flight control,飛行管制,,飞行指挥,2015-09-16
2440504,flight control office,飛行管制室,,飞行指挥所,2015-09-16
2440505,aircraft controller,飛機管制員,,飞行指挥员,2015-09-16
2440506,airborne command post,空中指揮所,,空中指挥所,2015-09-16
2440507,aeronautical map,航行地圖,,航行地图,2015-09-16
2440508,flight plan,飛行計畫,,飞行计划,2015-09-16
2440509,flight situation,飛行狀況,,飞行动态,2015-09-16
2440510,the number of an airdrome mission,飛行任務編號,,飞行场次,2015-09-16
2440511,runway visual range,跑道目視距離,,跑道能见距离,2015-09-16
2440512,aircraft bumpiness,飛機顛簸,,飞机颠簸,2015-09-16
2440513,aircraft contrail,飛機凝結尾,,飞机尾迹,2015-09-16
2440514,aerodrome clear space,機場淨空,,机场净空,2015-09-16
2440515,flight test,試飛；飛行測試,,飞行试验,2015-09-16
2440516,development flight test,研發階段試飛,,调整试飞,2015-09-16
2440517,evaluation flight test,評估試飛,,鉴定试飞,2015-09-16
2440518,delivery flight test,交機試飛,,出厂试飞,2015-09-16
2440519,acceptance flight test,接機試飛；驗收試飛,,验收试飞,2015-09-16
2440520,research flight test,研發試飛,,研究性试飞,2015-09-16
2440521,demonstration flight test,示範試飛,,验证试飞,2015-09-16
2440522,combined flight test,綜合試飛,,综合试飞,2015-09-16
2440523,flight rules,飛航規則,,飞行规则,2015-09-16
2440524,airspace,空域,,空域,2015-09-16
2440525,air route,航線,,航路,2015-09-16
2440526,air route segment,航段,,航段,2015-09-16
2440527,prohibited airspace,禁航區,,空中禁区,2015-09-16
2440528,restricted airspace,限航區,,空中限制区,2015-09-16
2440529,air corridor,空中走廊,,空中走廊,2015-09-16
2440530,dangerous airspace,危險空域,,空中危险区,2015-09-16
2440531,holding airspace,待命空域,,等待空域,2015-09-16
2440532,flight control,飛行管制,,飞行管制,2015-09-16
2440533,flight control area,飛行管制區,,飞行管制区,2015-09-16
2440534,flight separation,飛行隔離,,飞行间隔,2015-09-16
2440535,safe altitude,安全高度,,安全高度,2015-09-16
2440536,flight support,飛行支援,,飞行保障,2015-09-16
2440537,aircraft identification mark,航空器（飛機）識別標誌,,航空器识别标志,2015-09-16
2440538,air traffic control,飛航管制,,空中交通管制,2015-09-16
2440539,airfield,飛行場,,机场,2015-09-16
2440540,air station,航空站,,航站,2015-09-16
2440541,airport；aerodrome,機場；航空站,,航空港,2015-09-16
2440542,alternate airfield,備降機場,,预备机场,2015-09-16
2440543,heliport,直升機機場,,直升机场,2015-09-16
2440544,aerodrome capacity saturation,機場（航空站）容量飽和,,机场饱和,2015-09-16
2440545,diversion airfield,轉降機場,,备降机场,2015-09-16
2440546,flight area,飛行空域,,飞行区,2015-09-16
2440547,runway,跑道,,跑道,2015-09-16
2440548,taxiway,滑行道,,滑行道,2015-09-16
2440549,high way runway,高速公路跑道,,公路跑道,2015-09-16
2440550,emergency take-off runway,緊急起飛跑道,,应急起飞跑道,2015-09-16
2440551,off-duty runway,停用跑道,,备用跑道,2015-09-16
2440552,emergency strip,緊急使用地帶,,迫降场,2015-09-16
2440553,apron,停機坪,,停机坪,2015-09-16
2440554,aircraft refuelling area,航空器（飛機）加油,,加油坪,2015-09-16
2440555,aircraft maintenance area,航空器（飛機）維護區,,修机坪,2015-09-16
2440556,runway end safety area,跑道頭清除區；跑道頭緩衝區；跑道頭安全區,,跑道端安全区,2015-09-16
2440557,flight area mark,飛行區域標誌,,飞行区标志,2015-09-16
2440558,airfield support facilities,飛行場支援裝備,,机场保障设施,2015-09-16
2440559,control tower,塔台,,塔台,2015-09-16
2440560,airfield meteorological station,飛行場氣象站,,机场气象台,2015-09-16
2440561,airfield lighting,飛行場燈光,,机场灯光,2015-09-16
2440562,airfield marking light,飛行場標示燈光,,机场灯标,2015-09-16
2440563,navigation station,助航台；導航台,,导航台,2015-09-16
2440564,hangar,棚廠,,机库,2015-09-16
2440565,cave hangar,機庫,,飞机洞库,2015-09-16
2440566,aviation materials warehouse,航材庫,,航材库,2015-09-16
2440567,airport lounge,候機室,,候机厅,2015-09-16
2440568,passenger boarding bridge,空橋,,登机桥,2015-09-16
2440569,boarding ladder,登機梯,,登机梯,2015-09-16
2440570,ferry bus,接駁車；接駁巴士,,摆渡车,2015-09-16
2440571,aircraft integrated logistics support,航空器（飛機）整體後勤支援,,飞机综合保障,2015-09-16
2440572,aircraft availability,航空器（飛機）可用度,,飞机可用度,2015-09-16
2440573,aircraft maintenance group,航空器（飛機）修護大隊；航空器（飛機）維護大隊,,机务大队,2015-09-16
2440574,aircraft maintenance personnel,航空器（飛機）修護人員；航空器（飛機）維護人員,,机务人员,2015-09-16
2440575,ground crew,地勤人員；地勤組員,,地勤机组,2015-09-16
2440576,aircraft maintenance,航空器（飛機）修護；航空器（飛機）維護,,飞机维修,2015-09-16
2440577,aircraft rountine maintenance,航空器（飛機）例行修護；航空器（飛機）例行維護,,飞机维护,2015-09-16
2440578,aircraft repair,航空器（飛機）修護,,飞机修理,2015-09-16
2440579,aircraft failure,航空器（飛機）故障,,飞机故障,2015-09-16
2440580,aircraft modification,航空器（飛機）改裝,,飞机改装,2015-09-16
2440581,aircraft calibration,航空器（飛機）校驗,,飞机校验,2015-09-16
2440582,aircraft sealing-up,航空器（飛機）封存,,飞机封存,2015-09-16
2440583,aircraft service life extension,航空器（飛機）延壽,,飞机延寿,2015-09-16
2440584,hot refueling for aircraft,航空器（飛機）熱加油,,飞机热加油,2015-09-16
2440585,preflight inspection,飛行前檢查,,飞行前检查,2015-09-16
2440586,postflight inspection,飛行後檢查,,飞行后检查,2015-09-16
