ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3578853,Absentia lanyuensis,蘭嶼缺毛節蜱,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Trombidiformes絨_目,Eriophyidae節蜱科,Absentia缺毛節蜱屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578854,Aceria lanyuensis,蘭嶼瘤節蜱,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Trombidiformes絨_目,Eriophyidae節蜱科,Aceria瘤節蜱屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578855,Argyrodes lanyuensis,蘭嶼寄居姬蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Theridiidae姬蛛科,Argyrodes,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578856,Ascogregarina lanyuensis,蘭嶼簇蟲,,Protozoa原生生物界,Apicomplexa頂複合器門,Gregarinea簇蟲綱,Eugregarinida真簇蟲目,Lecudinidae衣孢蟲科,Ascogregarina簇蟲屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578857,Cissus lanyuensis,蘭嶼粉藤,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Vitales葡萄目,Vitaceae葡萄科,Cissus粉藤屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578858,Culicoides (Culicoides) lanyuensis,蘭嶼庫蠓,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Ceratopogonidae蠓科,Culicoides (Culicoides)庫蠓屬 (庫蠓亞屬),lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578859,Forcipomyia (Lasiohelea) lanyuensis,蘭嶼鋏蠓,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Ceratopogonidae蠓科,Forcipomyia (Lasiohelea)鋏蠓屬(蠛蠓亞屬),lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578860,Gracilentulus lanyuensis,蘭嶼格蚖,,Animalia動物界,Arthropoda節肢動物門,Entognatha內口綱,Protura原尾目,Acerentomidae蚖科,Gracilentulus格蚖屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578861,Japonia lanyuensis,蘭嶼東洋蝸牛,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Mesogastropoda中腹足目,Cyclophoridae山蝸牛科,Japonia東洋蝸牛屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578862,Leiodytes lanyuensis,蘭嶼點刻龍蝨,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Dytiscidae龍蝨科,Leiodytes點刻龍蝨屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578863,Maesa lanyuensis,蘭嶼山桂花,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Ericales杜鵑花目,Primulaceae報春花科,Maesa山桂花屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578864,Nervilia lanyuensis,蘭嶼脈葉蘭,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asparagales天門冬目,Orchidaceae蘭科,Nervilia脈葉蘭屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578865,Norma lanyuensis,蘭嶼六節足節蜱,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Trombidiformes絨_目,Diptilomiopidae_羽爪節蜱科,Norma六節足節蜱屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578866,Nothochodaeus lanyuensis,蘭嶼紅金龜,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Ochodaeidae紅金龜科,Nothochodaeus紅金龜屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578867,Octonoba lanyuensis,蘭嶼渦蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Uloboridae渦蛛科,Octonoba,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578868,Orthopodomyia lanyuensis,蘭嶼直蚊,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Culicidae蚊科,Orthopodomyia直蚊屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578869,Parasteatoda lanyuensis,蘭嶼姬蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Theridiidae姬蛛科,Parasteatoda,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578870,Phaulacus lanyuensis,蘭嶼單針節蜱,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Trombidiformes絨_目,Eriophyidae節蜱科,Phaulacus,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578871,Pithemera lanyuensis,蘭嶼近環蚓,,Animalia動物界,Annelida環節動物門,Clitellata環帶綱,Haplotaxida單向蚓目,Megascolecidae鉅蚓科,Pithemera近環蚓屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578872,Platyrhaphe lanyuensis,蘭嶼小山蝸牛,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Mesogastropoda中腹足目,Cyclophoridae山蝸牛科,Platyrhaphe小山蝸牛屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578873,Pseudohansfordia lanyuensis,蘭嶼假漢斯黴,,Fungi真菌界,Ascomycota子囊菌門,,,,Pseudohansfordia假漢斯黴屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578874,Rhinogobius lanyuensis,蘭嶼吻_虎;蘭嶼吻_虎魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Gobiidae_虎科,Rhinogobius吻_虎屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578875,Rubus lanyuensis,蘭嶼懸鉤子,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Rosales薔薇目,Rosaceae薔薇科,Rubus懸鉤子屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578876,Stactobiella lanyuensis,蘭嶼擬滴石蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Trichoptera毛翅目,Hydroptilidae姬石蛾科,Stactobiella擬滴石蛾屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578877,Strobilanthes lanyuensis,蘭嶼馬蘭,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Lamiales唇形目,Acanthaceae爵床科,Strobilanthes馬藍屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578878,Typhlodromus lanyuensis,蘭嶼盲走_,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Mesostigmata中氣門_目,Phytoseiidae捕植_科,Typhlodromus盲走_屬,lanyuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578879,Phasmotaenia lanyuhensis,蘭嶼筒胸竹節蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Phasmida竹節蟲目,Phasmatidae竹節蟲科,Phasmotaenia筒胸竹節蟲屬,lanyuhensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578880,Abelmoschus lanyunatus,白水木,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Malvales錦葵目,Malvaceae錦葵科,Abelmoschus秋葵屬,lanyunatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578881,Hermanites laochuani,老泉海梅介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Hemicytheridae半花介科,Hermanites海梅介屬,laochuani,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578882,Parakrithella laoma,老馬小副克里介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Cytherideidae荊花介科,Parakrithella小副克里介屬,laoma,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578883,Paranesidea laomaena,老馬副脊介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Bairdiidae土菱介科,Paranesidea副脊介屬,laomaena,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578884,Indoaleyrodes laos,印度粉蝨,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hemiptera半翅目,Aleyrodidae粉蝨科,Indoaleyrodes印度粉蝨屬,laos,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578885,Aerobryidium laosiense,寮國毛扭苔;波葉假懸苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Leucodontales白齒苔目,Meteoriaceae蔓苔科,Aerobryidium毛扭苔屬,laosiense,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578886,Coccygomimus laothoe,天蛾黑瘤姬蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Ichneumonidae姬蜂科,Coccygomimus黑瘤姬蜂屬,laothoe,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578887,Polygonum lapathifolium,早苗蓼,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Caryophyllales石竹目,Polygonaceae蓼科,Polygonum蓼屬,lapathifolium,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578888,Sinotaia lapidea,雙帶石田螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Mesogastropoda中腹足目,Viviparidae田螺科,Sinotaia石田螺屬,lapidea,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578889,Ethmia lapidella,厚殼樹篩蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Depressariidae扁腹蛾科,Ethmia,lapidella,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578890,Eosentomon lapilloculi,珠眼古蚖,,Animalia動物界,Arthropoda節肢動物門,Entognatha內口綱,Protura原尾目,Eosentomidae古蚖科,Eosentomon古蚖屬,lapilloculi,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578891,Arctium lappa,牛蒡,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asterales菊目,Asteraceae菊科,Arctium牛蒡屬,lappa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578892,Centotheca lappacea,假淡竹葉,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Poales禾本目,Poaceae禾本科,Centotheca假淡竹葉屬,lappacea,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578893,Xanthiosphaera lappacea,刺牛蒡球蟲,,Protozoa原生生物界,Sarcomastigophora肉質鞭毛蟲門,Heliozoa真正太陽蟲綱,,,Xanthiosphaera,lappacea,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578894,Ascochyta lappae,牛蒡囊二孢菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Mycosphaerellales球腔菌目,Mycosphaerellaceae球腔菌科,Ascochyta囊二孢菌屬,lappae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578895,Phyllosticta lappae,牛蒡葉點黴,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Dothideales座囊菌目,Botryosphaeriaceae葡萄座腔菌科,Phyllosticta葉點黴屬,lappae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578896,Limosa lapponica menzbieri,斑尾鷸(中部亞種);斑尾鷸;斑尾塍_,,Animalia動物界,Chordata脊索動物門,Aves鳥綱,Charadriiformes_形目,Scolopacidae鷸科,Limosa塍鷸屬,lapponica,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578897,Limosa lapponica baueri,斑尾鷸(東部亞種);斑尾鷸;斑尾塍_,,Animalia動物界,Chordata脊索動物門,Aves鳥綱,Charadriiformes_形目,Scolopacidae鷸科,Limosa塍鷸屬,lapponica,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578898,Calcarius lapponicus coloratus,鐵爪_,,Animalia動物界,Chordata脊索動物門,Aves鳥綱,Passeriformes雀形目,Calcariidae鐵爪_科,Calcarius鐵爪_屬,lapponicus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578899,Puccinia lapsanae,稻槎菜柄_菌,,Fungi真菌界,Basidiomycota擔子菌門,Pucciniomycetes柄_菌綱,Pucciniales柄_菌目,Pucciniaceae柄_菌科,Puccinia柄_菌屬,lapsanae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578900,Notoseila laqueata,千層塔蟹寓螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Heteropoda異足目,Cerithiopsidae右錐螺科,Notoseila塔蟹寓螺屬,laqueata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578901,Enicospilus laqueatus,大骨細顎姬蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Ichneumonidae姬蜂科,Enicospilus細顎姬蜂屬,laqueatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578902,Macrobrachium lar,貪食沼蝦,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Palaemonidae長臂蝦科,Macrobrachium沼蝦屬,lar,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578903,Amblyseius largoensis,拉哥鈍綏_,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Mesostigmata中氣門_目,Phytoseiidae捕植_科,Amblyseius鈍綏_屬,largoensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578904,Trichaptum laricinum,落葉松附毛菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Polyporales多孔菌目,Polyporaceae多孔菌科,Trichaptum附毛菌屬,laricinum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578905,Melampsora laricis-epitea,松柳柵_菌,,Fungi真菌界,Basidiomycota擔子菌門,Urediniomycetes_菌綱,Uredinales_菌目,Melampsoraceae柵_菌科,Melampsora柵_菌屬,laricis-epitea,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578906,Bryohaplocladium larminatii,薄葉小羽苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Hypnales灰苔目,Leskeaceae薄羅苔科,Bryohaplocladium小羽苔屬,larminatii,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578907,Haplocladium larminatii,薄葉小羽苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Hypnales灰苔目,Thuidiaceae羽苔科,Haplocladium小羽苔屬,larminatii,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578908,Liris larroides taiwanus,齒爪脊小唇泥蜂臺灣亞,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Crabronidae銀口蜂科,Liris脊小唇泥蜂屬,larroides,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578909,Fusarium larvarum,蠕孢鐮孢菌,,Fungi真菌界,Ascomycota子囊菌門,Sordariomycetes糞殼菌綱,Hypocreales肉座菌目,Nectriaceae叢赤殼科,Fusarium鐮孢菌屬,larvarum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578910,Chlamys larvata,疏鱗海扇蛤,,Animalia動物界,Mollusca軟體動物門,Bivalvia雙殼綱,Pterioida鶯蛤目,Pectinidae海扇蛤科,Chlamys錦海扇蛤屬,larvata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578911,Paguma larvata taivana,白鼻心;果子貍;果子狸,,Animalia動物界,Chordata脊索動物門,Mammalia哺乳綱,Carnivora食肉目,Viverridae靈貓科,Paguma花面狸屬,larvata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578912,Cheiracanthium lascivum,活潑紅螯蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Eutichuridae 紅螯蛛科,Cheiracanthium,lascivum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578913,Cornucoquimba lashiar,拉線角殼灰介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Hemicytheridae半花介科,Cornucoquimba角殼灰介屬,lashiar,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578914,Clematis lasiandra,小木通,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Ranunculales毛茛目,Ranunculaceae毛茛科,Clematis鐵線蓮屬,lasiandra,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578915,Cercospora lasianthi,雞屎樹尾孢菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Mycosphaerellales球腔菌目,Mycosphaerellaceae球腔菌科,Cercospora尾孢菌屬,lasianthi,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578916,Uredo lasianthi,_屎樹夏孢_菌,,Fungi真菌界,Basidiomycota擔子菌門,Urediniomycetes_菌綱,Uredinales_菌目,,Uredo,lasianthi,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578917,Cercospora lasianthicola,雞屎樹生尾孢菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Mycosphaerellales球腔菌目,Mycosphaerellaceae球腔菌科,Cercospora尾孢菌屬,lasianthicola,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578918,Solanum lasiocarpum,羊不食;毛茄,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Solanales茄目,Solanaceae茄科,Solanum茄屬,lasiocarpum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578919,Aster lasiocladus,絨山白蘭,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asterales菊目,Asteraceae菊科,Aster紫菀屬,lasiocladus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578920,Trichiorhyssemus lasionotus,毛沙蜉金龜;顆胸微馬糞金龜,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Scarabaeidae金龜子科,Trichiorhyssemus毛沙蜉金龜屬,lasionotus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578921,Melanagromyza lasiops,披毛黑潛蠅;毛眼黑潛蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Agromyzidae潛蠅科,Melanagromyza黑潛蠅屬,lasiops,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578922,Adinandra lasiostyla,毛柱楊桐,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Ericales杜鵑花目,Pentaphylacaceae五列木科,Adinandra楊桐屬,lasiostyla,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578923,Brachymeria lasus,廣大腿小蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Chalcididae小蜂科,Brachymeria大腿小蜂屬,lasus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578924,Odontestra laszlogabi,白眉矢夜蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Noctuidae夜蛾科,Odontestra,laszlogabi,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578925,Alboglossiphonia lata,寬身白舌蛭,,Animalia動物界,Annelida環節動物門,Clitellata環帶綱,Rhynchobdellida有吻蛭目,Glossiphoniidae舌蛭科,Alboglossiphonia白舌蛭屬,lata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578926,Caberea lata,美髯松苔蟲,,Animalia動物界,Bryozoa苔蘚動物門,Stenolaemata窄唇綱,Cheilostomata唇口目,Cabereidae松苔蟲科,Caberea松苔蟲屬,lata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578927,Calliphora lata,寬大麗蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Calliphoridae麗蠅科,Calliphora麗蠅屬,lata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578928,Cervoglenea lata,粗星天牛,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Cerambycidae天牛科,Cervoglenea,lata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578929,Coelioxys lata,紹德尖腹蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Megachilidae切葉蜂科,Coelioxys尖腹蜂屬,lata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
