ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3252256,"Krenz, Jan",克連茲,,1926-,波蘭,指揮；作曲,,2017-08-08
3252257,"Kreutzer, Conradin","克羅采,孔拉丁",,1780-1849,德國,作曲,,2017-08-08
3252258,"Kreutzer, Rodolphe","克羅采,羅道夫",,1766-1831,法國,小提琴；作曲,,2017-08-08
3252259,"Krieger, Adam","克利格,亞當",,1634-1666,德國,作曲,,2017-08-08
3252260,"Krieger, Johann","克利格,約翰",,1651-1735,德國,作曲；管風琴,,2017-08-08
3252261,"Krieger, Johann Philipp","克利格,菲利普",,1649-1725,德國,作曲；管風琴,,2017-08-08
3252262,"Krips, Henry","克利普斯,亨利",,1912-1987,澳大利亞,指揮,奧裔,2017-08-08
3252263,"Krips, Josef","克利普斯,約瑟夫",,1902-1974,奧地利,指揮,,2017-08-08
3252264,"Kröll, Georg",柯羅爾,,1934-,德國,作曲,,2017-08-08
3252265,"Krombholc, Jaroslav",克隆姆霍爾茨,,1918-1983,捷克,指揮,,2018-04-17
3252266,"Krommer, Franz",克隆莫,,1759-1831,捷克,作曲；小提琴,,2017-08-08
3252267,"Krueger, Karl",克呂格,,1894-1979,美國,指揮,德裔,2017-08-08
3252268,"Kruisbrink, Annette",克呂斯布林克,,1958-,荷蘭,作曲,,2017-08-08
3252269,"Krumpholtz, Jean-Baptiste","克隆弗茲,詹",,1742-1790,捷克,豎琴；作曲,,2017-08-08
3252270,"Krumpholtz, Wenzel","克倫霍爾茲,溫則爾",,1750--1817,奧地利,小提琴；作曲,捷裔,2017-08-08
3252271,"Krumpholz, Johann Baptist","克倫霍爾茲,約翰",,1745-1790,法國,作曲；豎琴,捷裔,2017-08-08
3252272,"Kruse, Bjørn","克魯則,比約恩",,1946-,英國,作曲,,2017-08-08
3252273,"Kruse, Johann","克魯則,約翰",,1859-1927,澳大利亞,小提琴,,2017-08-08
3252274,"Krygell, Johan Adam",克里傑爾,,1835-1915,丹麥,作曲,,2017-08-08
3252275,"Kryzhanovsky, Ivan Ivanovich",克利札諾夫斯基,,1867-1924,俄國,作曲,,2017-08-08
3252276,"Kubelik, Jan","庫貝利克,楊",,1880-1940,捷克,小提琴；作曲,,2017-08-08
3252277,"Kubelik, Rafael","庫貝利克,拉斐爾",,1914-1996,捷克,指揮；作曲,,2017-08-08
3252278,"Kubik, Gail",庫比克,,1914-1987,美國,作曲,,2017-08-08
3252279,"Kubo, Yoshikazu",久保義一,,1954-,日本,小號,,2017-08-08
3252280,"Kucij, Timothy",庫奇,,1954-,美國,作曲,,2017-08-08
3252281,"Kuehn, Mikel",庫恩,,1967-,美國,作曲,,2017-08-08
3252282,"Kuhlau, Friedrich Daniel Rudolf",庫勞,,1786-1832,德國,作曲,,2017-08-08
3252283,"Kuhnau, Johann",庫瑙,,1660-1722,德國,作曲,,2017-08-08
3252284,"Kulenkampff, Georg",庫倫康普夫,,1898-1984,德國,小提琴,,2017-08-08
3252285,"Kulenty, Hanna",庫倫蒂,,1961-,波蘭,作曲,,2017-08-08
3252286,"Kuljuntausta, Petri",庫雍陶斯塔,,1961-,芬蘭,作曲,,2017-08-08
3252287,"Kullak, Theodor",庫拉克,,1818-1882,德國,鋼琴,,2017-08-08
3252288,"Kullman, Charles",庫爾曼,,1903-1983,美國,聲樂,男高音,2017-08-08
3252289,"Kummer, Friedrich August",庫莫,,1797-1879,德國,作曲,,2017-08-08
3252290,"Kumok, Jorge","庫莫克,霍爾黑",,1931-,阿根廷,作曲,,2017-08-08
3252291,"Kumok, Josef","庫莫克,約瑟夫",,18??-19??,波希米亞,作曲,,2017-08-08
3252292,"Kunst, Jos",昆斯特,,1936-1996,荷蘭,作曲,,2017-08-08
3252293,"Kunz, Erich",昆茲,,1909-1995,奧地利,聲樂,男中音,2017-08-08
3252294,"Kupferman, Meyer",庫普菲曼,,1926-2003,美國,作曲,,2017-08-08
3252295,"Kuramoto, Takahiro",倉本高弘,,1960-,日本,作曲,,2017-08-08
3252296,"Kurka, Robert",寇卡,,1921-1957,美國,作曲,,2017-08-08
3252297,"Kurtág, Győrgy",庫塔格,,1926-,匈牙利,作曲,羅馬尼亞裔,2017-08-08
3252298,"Kurtz, Efrem",寇爾茨,,1900-1995,美國,指揮,俄裔,2018-04-17
3252299,"Kurz, Ivan","庫爾茲,伊凡",,1947-,捷克,作曲,,2017-08-08
3252300,"Kurz, Selma","庫爾茲,塞爾瑪",,1874-1933,奧地利,聲樂,女高音,2017-08-08
3252301,"Kusser, Johann Sigismund",庫賽爾,,1660-1727,德國,作曲,匈裔,2017-08-08
3252302,"Kuula, Toivo",庫拉,,1883-1918,芬蘭,作曲；指揮,,2017-08-08
3252303,"Kuyper, Elisabeth",克伊珀,,1877-1953,荷蘭,作曲,,2017-08-08
3252304,"Kvapil, Jaroslav",克瓦皮爾,,1892-1958,捷克,作曲；指揮,,2017-08-08
3252305,"Kvěch, Otomar",克維奇,,1950-,捷克,作曲,,2017-08-08
3252306,"Kyburz, Hanspeter",基布茲,,1960-,瑞士,作曲,,2017-08-08
3252307,"La Berge, Anne",拉貝吉,,1955-,美國,作曲,,2017-08-08
3252308,"La Cour, Niels",拉庫爾,,1944-,丹麥,作曲,,2017-08-08
3252309,"La Forge, Frank",拉霍爾吉,,1879-1953,美國,鋼琴；作曲,,2017-08-08
3252310,"La Montaine, John",拉蒙恬內,,1920-2013,美國,作曲,,2017-08-08
3252311,"Lablache, Luigi",拉布拉凱,,1794-1858,義大利,聲樂,男低音,2017-08-08
3252312,"Labroca, Mario",拉布洛卡,,1896-1973,義大利,作曲；著作,,2017-08-08
3252313,"Labunski, Felix","拉本斯基,菲利克斯",,1892-1979,美國,作曲；著作,波裔,2017-08-08
3252314,"Labunski, Wiktor","拉本斯基,維克多",,1895-1974,美國,鋼琴；作曲,波裔,2017-08-08
3252315,"Lacaze, Sophie",拉卡芝,,1963-,法國,作曲,,2017-08-08
3252316,"Lacerda, Francisco de",拉薩達,,1869-1934,葡萄牙,作曲,,2017-08-08
3252317,"Lachenmann, Helmut",拉亨曼,,1935-,德國,作曲,,2017-08-08
3252318,"Lachert, Piotr de Peslin",拉赫特,,1938-,波蘭,作曲,,2017-08-08
3252319,"Lachner, Franz Paul",拉赫納,,1803-1890,德國,作曲；指揮,,2017-08-08
