ID,英文名稱,中文名稱,圖片,備註,更新日期
2711558,co-education,男女混合教育,,,2016-10-04
2711559,coefficient of correlation,相關係數,,,2016-10-04
2711560,coefficient of variation,變異係數,,,2016-10-04
2711561,collaboration between industry and school,產學合作,,,2016-10-04
2711562,Collaboration Plan,攜手計畫,,,2016-10-04
2711563,collaboration transition class,合作式中途班,,,2016-10-04
2711564,collaboration transition school,合作式中途學校,,,2016-10-04
2711565,collateral reading,補充閱讀,,,2016-10-04
2711566,collecting instinct,搜集本能,,,2016-10-04
2711567,collective education,集體教育,,,2016-10-04
2711568,college,學院,,,2016-10-04
2711569,College of Advanced Technology {=CAT},高級技術學院 {英}；進階技術學院 {英},,英國教育學,2016-10-04
2711570,college of business administration,工商管理學院,,,2016-10-04
2711571,college of commerce,商學院,,,2016-10-04
2711572,college of education,教育學院,,,2016-10-04
2711573,College of Further Education {=College of FE},擴充教育學院 {英},,英國教育學,2016-10-04
2711574,college of law,法學院,,,2016-10-04
2711575,college of letters and science,文理學院,,,2016-10-04
2711576,college of liberal arts,文學院,,,2016-10-04
2711577,college of medicine,醫學院,,,2016-10-04
2711578,college of preceptors,師範學院,,,2016-10-04
2711579,college of science,理學院,,,2016-10-04
2711580,college preparatory department,大學預科,,,2016-10-04
2711581,colonial education,殖民地教育,,,2016-10-04
2711582,color discrimination test,辨色測驗,,,2016-10-04
2711583,color-blindness,色盲,,,2016-10-04
2711584,color-contrast,色彩對比,,,2016-10-04
2711585,colored school,黑人學校 {美},,,2016-10-04
2711586,color-mixture,色彩混合,,,2016-10-04
2711587,color-sensation,色覺,,,2016-10-04
2711588,combative instinct,爭鬥本能,,,2016-10-04
2711589,commencement,畢業典禮；畢業式；開始,,,2016-10-04
2711590,commercial education,商業教育,,,2016-10-04
2711591,commissioner of education,州教育廳長 {美},,,2016-10-04
2711592,commissioner on education,教育委員 {英},,英國教育學,2016-10-04
2711593,committee for aboriginal education,原住民民族教育審議委員會,,,2016-10-04
2711594,Committee of School Curriculum Development,學校課程發展委員會,,,2016-10-04
2711595,Committee of Teacher Grievances,教師申訴評議委員會,,,2016-10-04
2711596,Committee of Vice-Chancellors and Principals {=CVCP},大學校長委員會 {英},,英國教育學,2016-10-04
