ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2458538,georgette crepe,喬琪縐紗,,乔其纱　,2015-09-16
2458539,georgette velvet,喬琪絲絨,,乔其绒　,2015-09-16
2458540,geotextile,地工織物,,土工布　,2015-09-16
2458541,ghatpot,綾,,绫,2015-09-16
2458542,thin silk,綾,,绫,2015-09-16
2458543,gigging,起絨，拉毛,,拉毛,2015-09-16
2458544,gingham,格子布,,方格色织布,2015-09-16
2458545,gloves,手套,,手套,2015-09-16
2458546,golden yarns,金色紗線,,金银线,2015-09-16
2458547,grading,型號放縮、分級、分等,,放码,2015-09-16
2458548,gray goods,胚布,,坯布,2015-09-16
2458549,grounding,打底,,打底,2015-09-16
2458550,gunny (cloth),粗麻袋布；粗麻打包布,,麻布,2015-09-16
2458551,gym outfit,體操服,,体操服　,2015-09-16
2458552,hand feel,手感,,手感　,2015-09-16
2458553,handkerchief,手帕,,手帕　,2015-09-16
2458554,harris,海力斯,,海力斯,2015-09-16
2458555,head gear,帽子,,帽　,2015-09-16
2458556,heald,綜片；綜絲；綜線,,综　,2015-09-16
2458557,health care fibre,保健纖維,,保健纤维　,2015-09-16
2458558,hem,縫邊；貼邊；下擺,,裤口,2015-09-16
2458559,hem type,下擺樣式,,摆型　,2015-09-16
2458560,hemp,大麻,,大麻,2015-09-16
2458561,herring bone,山形斜紋嗶嘰，人字呢,,海力蒙,2015-09-16
2458562,herringbone woollen,人字呢,,人字呢　,2015-09-16
2458563,hook needle,鈎針,,钩针,2015-09-16
2458564,hopsack,方平織物；蓆紋呢,,板司呢　,2015-09-16
2458565,hopsack weave,方平組織,,席纹组织　,2015-09-16
2458566,hose,襪子；軟管；水龍帶,,袜　,2015-09-16
2458567,house wear,家居服,,家居服,2015-09-16
2458568,interfacing,襯頭,,内衬　,2015-09-16
2458569,intertwine,撚合；纏結,,交织,2015-09-16
2458570,jacket,夾克；短外套,,夹克,2015-09-16
2458571,jacquard weave,提花組織,,提花　,2015-09-16
2458572,jeans,牛仔衣褲,,牛仔裤　,2015-09-16
2458573,jodhpurs,馬褲(指小腳管),,马裤　,2015-09-16
2458574,judo suit,柔道服,,柔道服　,2015-09-16
2458575,jute,黃麻,,黄麻,2015-09-16
2458576,kenaf,洋麻；槿麻,,洋麻,2015-09-16
2458577,khaki drill,卡其布,,卡其布,2015-09-16
2458578,knitting,針織；編織,,针织　,2015-09-16
2458579,knitting wool yarn,針織用毛紗,,毛线　　,2015-09-16
2458580,layout,配置,,排料　,2015-09-16
2458581,leather tanned hide,皮革揉製皮,,皮革　,2015-09-16
2458582,leno,紗羅；紗羅織物,,罗,2015-09-16
2458584,level dyeing,均染；均勻染色,,匀染,2015-09-16
2458585,lining,裡布,,衬布,2015-09-16
2458586,lining fabric,裡布織物,,里料,2015-09-16
2458587,long socks,長筒襪,,长筒袜,2015-09-16
2458588,loom,梭織機,,织机　,2015-09-16
2458589,lower hem of a gown,袍服下擺,,衣摆　　,2015-09-16
2458590,make a dress,裁縫,,裁缝,2015-09-16
2458591,mandarin jacket,馬褂；對襟繡花上裝,,马褂　,2015-09-16
2458592,marker,碼克,,排料　,2015-09-16
2458593,material for clothing,衣料,,衣料　　,2015-09-16
2458594,maternity dress,孕婦裝,,孕妇装　,2015-09-16
2458595,matt,方平組織；無光澤的,,消光,2015-09-16
2458596,matt weave,方平組織,,席纹组织　,2015-09-16
2458597,mattress covers,床罩,,床罩,2015-09-16
2458598,melt spinning,熔融紡絲,,熔融纺丝,2015-09-16
2458599,melton,墨爾登呢,,麦尔登呢,2015-09-16
2458600,men’s clothing,男裝,,男裤　,2015-09-16
2458601,men’s wear,男裝,,男装　,2015-09-16
2458602,mercerized cotton,絲光棉,,丝光棉,2015-09-16
2458603,mercerized yarn,絲光紗,,丝光纱线　,2015-09-16
2458604,Merino wool,美利諾綿羊毛,,美利奴羊毛　,2015-09-16
2458605,microfibre,超細纖維,,超细纤维,2015-09-16
2458606,milling,縮絨,,缩绒　,2015-09-16
2458607,mingle,混色,,交织,2015-09-16
2458608,miniskirt,迷你裙,,超短裙,2015-09-16
2458609,mitten,合指手套,,手套>,2015-09-16
2458610,mohair,馬海毛；安哥拉山羊毛,,马海毛,2015-09-16
2458611,mortarboard,學士帽,,学位帽　,2015-09-16
2458612,mothproofing,防蛀加工,,防蛀整理,2015-09-16
2458613,mourning dress,喪服,,丧服　,2015-09-16
2458614,mulberry silk,家蠶絲；桑蠶絲,,桑蚕丝　,2015-09-16
2458615,mule,走錠精紡機,,走锭细纱机　,2015-09-16
2458616,narrow fabric,窄幅織物,,织带,2015-09-16
2458617,natural fibre,天然纖維,,天然纤维　,2015-09-16
2458618,navy cloth,海軍服,,海军呢,2015-09-16
2458619,neckerchief,圍巾,,围巾　,2015-09-16
2458620,nep,棉結；毛結；麻結,,毛粒　,2015-09-16
2458621,non-woven,非織物,,非织造布,2015-09-16
2458622,nubby yarn,竹結紗,,结子纱线,2015-09-16
2458623,one / two piece making up the front of a Chinese jacket / gown,衣襟,,衣襟　　,2015-09-16
2458624,one piece dress,連衫裙,,连衣裙,2015-09-16
2458625,open end spinning,開端式紡紗,,气流纺纱,2015-09-16
2458626,openwork,透孔織物,,透孔织物　,2015-09-16
2458627,operate a number of looms,操作梭織機,,挡车,2015-09-16
2458628,organdy,蟬翼紗,,蝉翼纱,2015-09-16
2458629,outer garment,外衣,,外套　,2015-09-16
2458630,outerwear,外衣,,外套　,2015-09-16
2458631,overcoat,外套,,短大衣,2015-09-16
2458632,oxford,牛津布,,牛津布　,2015-09-16
2458633,palace,豪華織物,,派力司　,2015-09-16
2458634,pantyhose,褲襪,,连裤袜,2015-09-16
2458635,pattern,織紋,,织花　,2015-09-16
2458636,piece dyeing,疋染,,匹染　,2015-09-16
2458637,piecing-up,接頭,,接头,2015-09-16
2458638,pilling,起毬,,起球　,2015-09-16
2458639,pinafore,圍裙；圍兜；涎圍,,围裙　,2015-09-16
2458640,piping,嵌邊,,滚边,2015-09-16
2458641,pirnless loom,無梭織機,,无梭织机　,2015-09-16
2458642,placket,開襟；開叉,,衩,2015-09-16
2458643,plaid,格子圖案；方格布,,方格布,2015-09-16
2458644,plain cloth,平紋布,,平布　,2015-09-16
2458645,plain satin,素緞,,软缎,2015-09-16
2458646,plain weave,平紋組織,,平纹　,2015-09-16
2458647,plant fibre,植物纖維,,植物纤维　,2015-09-16
2458648,pleats,褶襉,,褶裥　,2015-09-16
2458649,plush,長毛絨；毛圈組織,,长毛绒,2015-09-16
2458650,pneumatic loom,噴氣式織機,,喷水织机　,2015-09-16
2458651,pocket,口袋,,衣兜　,2015-09-16
2458652,pocket type,口袋樣式,,袋型,2015-09-16
2458653,polyamide fibre,聚醯胺纖維,,锦纶,2015-09-16
2458654,polyethylene terephthalate fibre,聚對苯二甲酸乙二酯纖維,,涤纶,2015-09-16
2458655,polypropylene fiber,聚丙烯纖維,,丙纶　,2015-09-16
2458656,polyurethane fibre,聚氨基甲酸酯纖維,,氨纶　,2015-09-16
2458657,pongee,府綢；繭綢,,柞丝绸,2015-09-16
2458658,poplin,府綢,,府绸,2015-09-16
2458659,power woven habotai,紡綢,,电力纺,2015-09-16
2458660,printing,印花,,印花　,2015-09-16
2458661,printing and dyeing,印染,,印染　,2015-09-16
2458662,projectile loom,片梭織機；小鋼梭織機,,片梭织机,2015-09-16
2458663,rabbit hair,兔毛,,兔毛　,2015-09-16
2458664,raising,起絨；拉絨；刮絨,,拉绒,2015-09-16
2458665,rapier loom,劍桅式織機,,剑杆织机,2015-09-16
2458666,raw cotton,原棉,,原棉　,2015-09-16
2458667,raw silk,生絲,,生丝,2015-09-16
2458668,raw wool,原毛,,原毛　＝油毛　,2015-09-16
2458669,reed,鋼筘,,筘,2015-09-16
2458670,reeling,搖紗工程,,缫丝,2015-09-16
2458671,reeling,搖紗工程,,摇纱　,2015-09-16
2458672,resin finishing,樹脂加工,,树脂整理　,2015-09-16
2458673,retting,浸漬；漚麻,,沤麻　,2015-09-16
2458674,rib,羅紋組織（針織)；重平組織(梭織),,罗纹,2015-09-16
2458675,rib cuff,羅紋袖口；羅口,,罗口,2015-09-16
2458676,ring spinning,環錠式精紡,,环锭纺纱,2015-09-16
2458677,roller printing,滾筒印花,,滚筒印花,2015-09-16
2458678,rover,粗紗,,粗纱,2015-09-16
2458679,sailor suit,水手服,,水手服　,2015-09-16
2458680,satin,緞紋,,缎(緞),2015-09-16
2458681,satin brocade,織錦緞,,织锦缎　,2015-09-16
2458682,satin weave,緞紋組織,,缎纹,2015-09-16
2458683,satin-backed ribbon,緞帶,,缎带,2015-09-16
2458684,scarf,圍巾,,围巾　,2015-09-16
2458685,scotch plaids,蘇格蘭格子花紋,,苏格兰格子呢　,2015-09-16
2458686,scouring and bleaching,精練漂白,,练漂,2015-09-16
2458687,screen printing,網版印花,,筛网印花　,2015-09-16
2458688,scutching,清棉,,清棉　,2015-09-16
2458689,self-twist yarn,自撚紗,,自捻纱　,2015-09-16
2458690,selvedge,布邊；織邊,,织边　,2015-09-16
2458691,serge,嗶嘰,,哔叽　,2015-09-16
2458692,set,定型；調整,,定形,2015-09-16
2458693,setting,隔距；規定穿筘密度,,定形,2015-09-16
2458694,sewing machine,縫紉機；針車,,缝纫机,2015-09-16
2458695,shadow stripes,陰陽條子織物,,影条　,2015-09-16
2458696,shawl,披肩,,围巾　,2015-09-16
2458697,sheep wool,綿羊毛,,绵羊毛　,2015-09-16
2458698,sheep wool,綿羊毛,,羊毛,2015-09-16
2458699,sheet,床單；薄板,,床单,2015-09-16
2458700,shell fabric,面料,,面料,2015-09-16
2458701,short shorts,熱褲,,超短裤,2015-09-16
2458702,shorts,短褲,,短裤,2015-09-16
2458703,shot silk,亮光綢,,闪光绸　,2015-09-16
2458704,shrinkproof,防縮,,防缩,2015-09-16
2458705,shuttle,梭子，梭,,梭子　,2015-09-16
2458706,shuttleless loom,無梭織機,,无梭织机　,2015-09-16
2458707,silk,絹,,绢,2015-09-16
2458708,silk cloth,絲綢布料,,丝绸,2015-09-16
2458709,silk fabric,絲綢；絹；絲織物,,绸,2017-07-20
2458711,silk knitwear,蠶絲針織衣,,丝织品,2015-09-16
2458712,silk ribbon,絲帶,,丝带　,2015-09-16
2458713,silk stockings,絲襪,,丝袜,2015-09-16
2458714,silk thread (for sewing),絲線,,丝线,2015-09-16
2458715,silk yarn,蠶絲紗,,丝线,2015-09-16
2458716,silks and satins,綢緞,,绸缎,2015-09-16
2458717,silky lustre (of mercerized cottonfabrics),絲光,,丝光,2015-09-16
2458718,singeing,燒毛加工,,烧毛　,2015-09-16
2458719,sizing,漿紗；上漿,,上浆　,2015-09-16
2458720,ski wear,滑雪衣,,滑雪服,2015-09-16
2458721,skirt,裙子；衣服邊,,裙　,2015-09-16
2458722,sleeve,袖,,袖　,2015-09-16
2458723,sleeve type,袖型；袖樣式,,袖型　,2015-09-16
2458725,slip,連身襯裙,,衬裙,2015-09-16
2458726,sliver,(短)纖維條,,毛条　,2015-09-16
2458727,socks,短襪,,短袜,2015-09-16
2458728,socks with rib tops,羅口短襪,,短袜,2015-09-16
2458729,soft plainweave silk fabric,軟平紋組織綢緞,,纺绸,2015-09-16
2458730,soft plainweave silk fabric made in Hangzhou,杭州絲綢,,杭纺,2015-09-16
2458731,space suit,太空衣,,航天服,2015-09-16
2458732,special figure garment,特殊體型服裝,,特体服装　,2015-09-16
2458733,spindle,錠子,,锭,2015-09-16
2458735,spinning,紡絲；紡紗；精纺,,精纺,2015-09-16
2458736,sports wear,運動服,,运动服　,2015-09-16
2458737,spun silk,絹絲紡綢,,绢丝,2015-09-16
2458738,staple fibre,棉狀纖維，短纖維,,短纤维,2015-09-16
2458739,starch,澱粉；漿料,,浆,2015-09-16
2458740,starching,上漿,,棉布～,2015-09-16
