ID,英文名稱,中文名稱,圖片,德文,日文,出處,章條,備註,更新日期
21324630,Best interests of the minor,未成年子女最佳利益,,Beste Interessen der Minderjährigen / Wohl der Minderjährigen,未成年の子どもの最善の利益,家事事件法,,,
21324631,Juvenile and Family Court,少年及家事法院,,Jugend- und Familiengericht,少年と家庭裁判所,家事事件法,,,
21324632,Family division of the Court,家事法庭,,Familienabteilung eines Gerichts,家庭裁判所,家事事件法,,,
21324633,Matters for declaratory judgments on marriage nullity,確認婚姻無效事件,,Ehesachen zur Feststellung für Ehenichtigkeit,婚姻無効の確認事件,家事事件法,,,
21324634,Matters for declaratory judgments on marriage continuity,確認婚姻關係存在事件,,Ehesachen zur Feststellung für das Bestehen einer Ehe,婚姻関係存在の確認事件,家事事件法,,,
21324635,Matters for declaratory judgments on nonexistence of marriage,確認婚姻關係不存在事件,,Ehesachen zur Feststellung für das Nichtbestehen einer Ehe,婚姻関係不存在の確認事件,家事事件法,,,
21324636,Matters for declaratory judgments on the paternity of a child born after mother's remarriage,確定母再婚後所生子女生父事件,,Abstammungssachen auf die Vaterschaftsfeststellung bei Wiederverheiratung der Mutter ,（母の再婚後）父を定めることを目的とする事件,家事事件法,,,
21324637,Matters for declaratory judgements on the continuity of parent-child relations,確認親子關係存在事件,,Abstammungssachen auf die Feststellung des Bestehens der Eltern-Kind-Beziehung ,親子関係存在の確認事件,家事事件法,,,
21324638,Matters for declaratory judgements on nonexistence of parent-child relations,確認親子關係不存在事件,,Abstammungssachen auf die Feststellung des Nichtbestehen der Eltern-Kind-Beziehung,親子関係不存在の確認事件,家事事件法,,,
21324639,Matters for declaratory judgements on the continuity of adoption relations,確認收養關係存在事件,,Adoptionssachen auf die Feststellung des Bestehen des Annahmeverhältnis,養親子関係存在の確認事件,家事事件法,,,
21324640,Matters for declaratory judgements on the nonexistence of adoption relations,確認收養關係不存在事件,,Adoptionssachen auf die Feststellung des Nichtbestehen des Annahmeverhältnis,養親子関係不存在の確認事件,家事事件法,,,
21324641,Matters of the annulment of marriage,撤銷婚姻事件,,Eheaufhebungssachen,婚姻の取消し事件,家事事件法,,,
21324642,Matters of divorce,離婚事件,,Scheidungssachen,離婚事件,家事事件法,,,
21324643,Matters of the denial of legitimacy,否認子女事件,,Abstammungssachen auf die Vaterschaftsanfechtung,嫡出否認の事件,家事事件法,,,
21324644,Matters of the acknowledgement of a child,認領子女事件,,Abstammungssachen auf die Vaterschaftsanerkennung,子の認知事件,家事事件法,,,
21324645,Matters of the revocation of adoption,撤銷收養事件,,Adoptionssachen auf die Anfechtung des Annahmeverhältnis,養子縁組の取消し事件,家事事件法,,,
21324646,Matters of the revocation of terminating adoption,撤銷終止收養事件,,Adoptionssachen auf die Anfechtung der Aufhebung des Annahmeverhältnis,離縁の取消し事件,家事事件法,,,
21324647,Matters of compensation in dissolution of engagement,解除婚約之損害賠償事件,,Schadensersatzsachen bei Rücktritt vom Verlöbnis,婚約破棄による損害賠償事件,家事事件法,,,
21324648,Matters of restoration of gifts for engagement,返還婚約贈與物事件,,Verfahren für die Rückgabe der Geschenke vom Verlöbnis,婚約破棄後の贈与物返還請求事件,家事事件法,,,
21324649,Matters of compensation for divorce judgement,離婚之損害賠償事件,,Schadensersatzsachen bei der Scheidung,離婚の損害賠償事件,家事事件法,,,
21324650,Matters of distribution for matrimonial property,夫妻財產分配事件,,Güterrechtssachen / Verfahren über güterlicher Ausgleich,財産分与事件,家事事件法,,,
21324651,Matters of compensation in guardianship,因監護所生損害賠償事件,,Schadenersatzsache bei der Vormundschaft,後見による損害賠償事件,家事事件法,,,
21324652,Matters for declaratory judgements on the validity of a will,確認遺囑真偽事件,,Feststellungsklage auf die Wirksamkeit des Testaments,遺言の有効・無効の確認事件,家事事件法,,,
21324653,Matters of declaration of death,宣告死亡事件,,Todeserklärungssachen,死亡宣告事件,家事事件法,,,
21324654,Matters of annulment of declaration of death,撤銷死亡宣告事件,,Verfahren bei der Aufhebung der Todeserklärung,死亡宣告取消し事件,家事事件法,,,
21324655,Matters of receivership for the missing person,失蹤人財產管理事件,,Verfahren bei der Vermögensverwaltung für den Verschollenen,不在者財産管理事件,家事事件法,,,
21324656,Matters of declaration of guardianship,監護宣告事件,,Vormundsachen,後見開始の宣告事件,家事事件法,,,
21324657,Matters of declaration of assistance／Curatorship,輔助宣告事件,,Betreuungssachen,保佐開始の宣告事件,家事事件法,,,
21324658,Matters of designation of a guardian,定監護人事件,,Bestellungsverfahren der Vormünder,後見人の選任事件,家事事件法,,,
21324659,Matters of appointment of a special agent,選任特別代理人事件,,Bestellungsverfahren des besonderen Vertreters,特別代理人選任事件,家事事件法,,,
21324660,Matters of approval of adoption,認可收養事件,,Genehmigungssache für die Adoption,養子縁組許可事件,家事事件法,,,
21324661,Matters of approval of terminating an adoption,認可終止收養事件,,Verfahren bei der Aufhebung der Genehmigung für die Adoption,未成年者に関する協議離縁許可事件,家事事件法,,,
21324662,Matters of permission for terminating an adoption,許可終止收養事件,,Verfahren bei der Anordnung der Aufhebung für die Adoption,養親の死後離縁許可事件,家事事件法,,,
21324663,Matters of kinship council,親屬會議事件,,Verfahren über den Familienrath/ Verfahren über den Verwandtenrat,親族会事件,家事事件法,,,
21324664,Matters of the waiver of inheritance,拋棄繼承事件,,Verfahren über die Ausschlagung der Erbschaft,相続放棄事件,家事事件法,,,
21324665,Matters of appointment of the executor of a will,指定遺囑執行人事件,,Bestellungsverfahren über den Testamentsvollstrecker,遺言執行者を指定する事件,家事事件法,,,
21324666,Matters of child and juvenile protection and placement,兒童、少年保護安置事件,,Unterbringungssache und Verfahren über die Schutzanordnung von Kindern und Jungendlichen,児童または少年保護の一時保護と措置の事件,家事事件法,,,
21324667,Matters of protection and placement of persons with disabilities,身心障礙者保護安置事件,,Unterbringungssache und Verfahren über die Schutzanordnung von Behinderten,心身障碍者保護の一時保護と措置の事件,家事事件法,,,
21324668,Matters of discontinuing emergency placement,停止緊急安置事件,,Aufhebung der dringenden Unterbingungssachen,緊急措置を停止する事件,家事事件法,,,
21324669,Matters of discontinuing compulsory hospitalization,停止強制住院事件,,Aufhebung der Zwangsunterbringungssachen im Krankenhaus,強制入院を停止する事件,家事事件法,,,
21324670,Matters of civil protection order,民事保護令事件,,Verfahren über den zivilrechtlichen Schutz vor Gewalt,民事保護命令事件,家事事件法,,,
21324671,Matters of alimony on divorce/Matters of maintenance on divorce,離婚之給與贍養費事件,,Unterhaltssachen bei der Scheidung,離婚後の夫婦間の扶養費を請求する事件,家事事件法,,,
21324672,Matters of matrimonial cohabitation,夫妻同居事件,,Verfahren über das eheliche Zusammenleben,夫婦同居に関する事件,家事事件法,,,
21324673,Matters of designation of matrimonial domicile,指定夫妻住所事件,,Ehewohnungssachen/Verfahren über die Zuweisung der Ehewohnung,夫婦の住所を指定する事件,家事事件法,,,
21324674,Matters of informing matrimonial property status,報告夫妻財產狀況事件,,Verfahren auf die Auskunft zum Vermögen während der Ehezeit,夫婦の財産状況報告を請求する事件,家事事件法,,,
21324675,Matters of the payment for living expenses for the family,給付家庭生活費用事件,,Unterhaltungssachen für die Lebenskosten der Familie,婚姻費用の分担を請求する事件,家事事件法,,,
21324676,Matters of changing a child's family name,變更子女姓氏事件,,Verfahren über die Änderung des Familiennamen von Minderjährigen,子の氏を変更する事件,家事事件法,,,
21324677,Matters of exercising parental rights and duties for a minor,定對於未成年子女權利義務之行使負擔事件,,Kindschaftssache für die elterliche Sorge,未成年の子に対する権利義務を行使または負担することを定める事件／親権に関する事件,家事事件法,,,
21324678,Matters of a child handover,交付子女事件,,Verfahren zur Kindesherausgabe,子の引渡し事件,家事事件法,,,
21324679,Matters of declaration for suspension of parental rights and duties,宣告停止親權事件,,Verfahren zum Ruhen der elterlichen Sorge/ Verfahren zum Sorgerechtsentzug ,親権停止（喪失）事件,家事事件法,,,
21324680,Matters of declaration for termination of guardianship,宣告停止監護權事件,,Verfahren zum Vormundrechtsentzug / Verfahren zur Ablösung einer Vormundschaft,監護権停止（喪失）事件,家事事件法,,,
21324681,Matters of informing property status of the ward,監護人報告財產狀況事件,,Verfahren auf die Auskunft zur Vermögenslage des Mündels durch Vormund,被後見人の財産状況を報告する事件,家事事件法,,,
21324682,Matters of remuneration for the guardian,監護人報酬事件,,Vergütungssachen des Vormundes,後見人の報酬事件,家事事件法,,,
21324683,Matters of support / Maintenance,扶養事件,,Unterhaltssachen,扶養事件,家事事件法,,,
21324684,Matters of declaration for the termination of adoption,宣告終止收養關係事件,,Aufhebung der Adoptionssachen durch gerichtlichen Beschluss,裁判離縁事件,家事事件法,,,
21324685,Gender equality,性別平權,,Geschlechtergleichkeit,ジェンダー平等,家事事件法,,,
21324686,Capacity to proceed,程序能力,,Verfahrensfähigkeit,手続行為能力,家事事件法,,,
21324687,Mental capacity,意思能力,,Einsichtsfähigkeit,意思能力,家事事件法,,,
21324688,Guardian ad litem,程序監理人,,Verfahrensbeistand/Verfahrenspfleger,手続保護人 / 訴訟後見人,家事事件法,,,
21324689,Family investigation officer,家事調查官,,Rechtspfleger in Familiensachen/Familiengerichtshilfe ,家庭裁判所調査官,家事事件法,,,
21324690,Matters of family mediation,家事調解事件,,Mediation in Familensachen,家事調停事件,家事事件法,,,
21324691,Family mediator,家事調解委員,,Mediator in Familiensachen,家事調停委員,家事事件法,,,
21324692,Provisional injunction,暫時處分,,Einstweilige Anordnung,仮処分,家事事件法,,,
21324693,Adoption agency,收出養媒合服務者,,Adoptionsvermittlungsstelle,養子縁組あっせん事業者,家事事件法,,,
21324694,Adoption assessment report,收出養評估報告,,Adoptionseignungsbericht,養子縁組あっせん事業者による評価報告,家事事件法,,,
21324695,Estate administrator,遺產管理人,,Nachlassverwalter,遺産管理人,家事事件法,,,
21324696,Property administrator ,財產管理人,,Vermögensverwalter,財産管理人,家事事件法,,,
