ID,英文名稱,中文名稱,圖片,德文,日文,出處,章條,備註,更新日期
7197180,Regulations for prevention of sexual harassment on campus,校園性騷擾防治規定,,,,性別平等教育法,第5條,,2020-04-01
7197181,Reinvestigation,重新調查,,,,性別平等教育法,第33條,,2020-04-01
7197182,Reject the application,不予受理,,,,性別平等教育法,第29條,,2020-04-01
7197183,Relevant scholars,相關學者,,,,人工生殖法,第4條,,2020-04-01
7197184,Relevant specialists,相關專家,,,,人工生殖法,第4條,,2020-04-01
7197185,Repetitive interrogation,重複詢問,,,,性別平等教育法,第22條,,2020-04-01
7197186,Report,檢舉,,,,性別平等教育法,第28條,,2020-04-01
7197187,Report according to law,依法告發,,,,性別平等教育法,第36-1條,,2020-04-01
7197188,Report of the investigation and suggestions for handling,調查報告及處理建議,,,,性別平等教育法,第31條,,2020-04-01
7197189,Representatives from NGO/NPO,民間團體代表,,,,性別平等教育法,第7條、第8條,,2020-04-01
7197190,Representatives of civil groups,民間團體代表,,,,人工生殖法,第4條,,2020-04-01
7197191,Reproductive cell / Gamete,生殖細胞,,,,人工生殖法,第2條,,2020-04-01
7197192,Reproductive medicine,生殖醫學,,,,人工生殖法,第2條,,2020-04-01
7197193,Right to education of pregnant students,懷孕學生之受教權,,,,性別平等教育法,第14-1條,,2020-04-01
7197194,Right to work,工作權,,,,性別平等教育法,第24條,,2020-04-01
7197195,Rights and responsibilities,權利義務,,,,人工生殖法,第9條,,2020-04-01
7197196,Sale of reproductive cells or embryos,生殖細胞或胚胎之買賣,,,,人工生殖法,第31條,,2020-04-01
7197197,Savior baby / Rescue baby,救人寶寶,,,,人工生殖法,,,2020-04-01
7197198,Senior high schools,高級中等學校,,,,性別平等教育法,第17條,,2020-04-01
7197199,Sex selection of embryos,選擇胚胎性別,,,,人工生殖法,第16條,,2020-04-01
7197200,Sexual assault,性侵害,,,,性別平等教育法,第2條,,2020-04-01
7197201,Sexual assault crime prevention act,性侵害犯罪防治法,,,,性別平等教育法,第2條,,2020-04-01
7197202,Sexual assault on campus,校園性侵害事件,,,,性別平等教育法,第2條,,2020-04-01
7197203,Sexual bullying,性霸凌,,,,性別平等教育法,第2條,,2020-04-01
7197204,Sexual bullying on campus,校園性霸凌事件,,,,性別平等教育法,第2條,,2020-04-01
7197205,Sexual harassment,性騷擾,,,,性別平等教育法,第2條,,2020-04-01
7197206,Sexual harassment on campus,校園性騷擾事件,,,,性別平等教育法,第2條,,2020-04-01
7197207,Sexual orientation,性傾向,,,,性別平等教育法,第2條,,2020-04-01
7197208,Significant flaws in the investigation procedure,調查程序有重大瑕疵,,,,性別平等教育法,第32條,,2020-04-01
7197209,Single cell,單一體細胞,,,,人工生殖法,第2條,,2020-04-01
7197210,Social ethics,國民倫理；社會倫理,,,,人工生殖法,第1條、第4條,,2020-04-01
7197211,Social health,國民健康,,,,人工生殖法,第1條,,2020-04-01
7197212,Special education objectives,特定教育目標,,,,性別平等教育法,第13條,,2020-04-01
7197213,Sperm,精子,,,,人工生殖法,第2條,,2020-04-01
7197214,Sperm donation,精子捐贈,,,,人工生殖法,第11條,,2020-04-01
7197215,Staff appraisal committee at school level,學校考績委員會,,,,性別平等教育法,第16條,,2020-04-01
