ID,英文名詞,中文名詞,德文,法類/法條,審定日期,更新日期
21396261,Total monthly salary,月薪資總額,Gesamtsumme des monatlichen Arbeitsentgelts,職災保險法第17條第1項,113/8/2通過,
21396262,Total permanent disability,完全失能,Vollständige Erwerbsfähigkeitsminderung,職災保險法第43條第2項,113/9/27通過,
21396263,Unemployment benefit,失業給付, Arbeitslosengeld,社會救助法第5條之1第1項第1款第2目,4/25通過,
21396264,Universal design,通用設計,Universelles Design,社會福利基本法第24條,4/12通過,
21396265,Unpaid leave,留職停薪,Unbezahlter Urlaub,職災保險法第88條,114/2/21通過,
21396266,Veteran,榮民,Veteran,全民健康保險法第10條第1項第6款第1目,114.9.12通過,
21396267,Veteran's survivor,榮民遺眷,Hinterbliebene von Veteran,全民健康保險法第10條第1項第6款第1目,114.9.12通過,
21396268,Visit,訪視,Hausbesuch,社會救助法第5條第3項第9款,3/28通過,
21396269,Vocational evaluation / Vocational assessment,職業輔導評量,Berufsfähigkeitsbewertung,職災保險法第64條第1項第4款,113/12/13通過114/09/12修正,
21396270,Vocational rehabilitation,職業重建,Rehabilitation zur Teilhabe am Arbeitsleben,職災保險法第64條第1項第4款,113/10/18通過,
21396271,Vocational training,職業訓練,Beruftliche Ausbildung,社會福利基本法第10條,1/26通過,
21396272,Vocational training institution/ Occupational training institution,職業訓練機構,Berufsausbildungsinstitut,職災保險法第8條,113/6/7通過,
21396273,Voluntary service,志願服務,Ehrenamltiche Tätigkeit,社會福利基本法第26條,4/12通過,
21396274,Welfare service,福利服務,Dienstleistung,社會福利基本法第2條,112/12/1通過,
21396275,Work capability; Ability to earn,工作能力,Arbeitsfähigkeit; Erwerbsfähigkeit,職災保險法第48條,113/9/27通過,
21396276,Work-relief program / Workfare program,以工代賑,Workfare Programm,社會救助法第15條第1項,4/25通過,
