ID,英文詞彙,中文名詞,備註,更新日期
21390522,efficiency of seat utilization,客座利用率,鐵路,
21390523,electric brake,電力煞車,鐵路,
21390524,electric locomotive,電力機車,鐵路,
21390525,electrical and mechanical work,機電工程,鐵路,
21390526,electrification rate,電化率,鐵路,
21390527,electrified railway,電化鐵路,鐵路,
21390528,electrified section,電化區間,鐵路,
21390529,electronic interlocking system,電子聯鎖系統,鐵路,
21390530,elevated railway,高架鐵路,鐵路,
21390531,elevated station,高架車站,鐵路,
21390532,emergency brake,緊急煞車,鐵路,
21390533,emergency response plan,緊急應變計畫,鐵路,
21390534,empty weight,空車重量,鐵路,
21390535,encoder,編碼器,鐵路,
21390536,end platform,端末月台,鐵路,
21390537,engine defect,機車故障,鐵路,
21390538,engine run-around track,機迴線,鐵路,
21390539,entrance gate,進口[驗票]閘門,鐵路,
21390540,entrance/exit,入/出口,鐵路,
21390541,entrance/exit track,進/出庫線；進/出場線,鐵路,
21390542,event tree analysis (ETA),事件樹分析,鐵路,
21390543,exit,出口,鐵路,
21390544,exit gate,出口[驗票]閘門,鐵路,
21390545,expansion adjusting rail,伸縮調整軌,鐵路,
21390546,expansion gap,伸縮縫；伸縮間距,鐵路,
21390547,expansion joint,伸縮縫；伸縮接頭{鐵路},鐵路,
21390548,extra train,臨時車次；加班車次,鐵路,
21390549,facing,面飾；上塗料,鐵路,
21390550,fail safe,失效自趨安全,鐵路,
21390551,failure,失效,鐵路,
21390552,"failure modes, effects and criticality analysis (FMECA)",失效模式、效應及關鍵性分析,鐵路,
21390553,"failure reporting, analysis and corrective action system (FRACAS)",失效報告、分析及改正措施系統,鐵路,
21390554,fastening,扣件{鐵路}；接合；接合件,鐵路,
21390555,fastening temperature,[鋼軌]鎖定溫度,鐵路,
21390556,fault tree analysis (FTA),故障樹分析,鐵路,
21390557,feeder bus,接駁公車,鐵路,
21390558,feeder mode,接駁運具,鐵路,
21390559,final inspection,履勘；最終檢驗,鐵路,
21390560,fish plate,魚尾板,鐵路,
21390561,fixed block system,固定閉塞制,鐵路,
21390562,flange,翼板；軸盤；凸緣；法蘭；輪緣{鐵路車輪},鐵路,
21390563,flat yard,平面調車場,鐵路,
21390564,fleeting control,列車跟隨控制,鐵路,
21390565,following train (FT),續行列車,鐵路,
21390566,forward,前行運轉{鐵路},鐵路,
21390567,fouling point,警衝標,鐵路,
21390568,franchising,特許經營,鐵路,
21390569,free area,非付費區,鐵路,
21390570,freight line,貨運線,鐵路,
21390571,frog,表面凹陷；岔心{鐵路},鐵路,
21390572,front rod,尖端連接桿,鐵路,
21390573,gangway,車間通道{鐵路},鐵路,
21390574,gauge widening,軌距加寬,鐵路,
21390575,gear ratio,齒輪比,鐵路,
21390576,glued insulation joint,膠接絕緣接頭,鐵路,
21390577,grade resistance,坡度阻力,鐵路,
21390578,grade separated crossing,立體交叉,鐵路,
21390579,gradient,坡度；梯度,鐵路,
21390580,gravity yard,重力調車場,鐵路,
21390581,guard rail,護軌,鐵路,
21390582,hand brake,手動煞車,鐵路,
21390583,hand signal,手作號誌,鐵路,
21390584,hauling weight,牽引重量,鐵路,
21390585,hazard,危害；危險,鐵路,
21390586,hazard and operability study (HAZOP),危害與可操作性分析,鐵路,
21390587,head-on collision,正面衝撞；正面碰撞；對撞,鐵路,
21390588,headway,間距｛車流｝；班距 {鐵路、公車},鐵路,
21390589,high speed,高速,鐵路,
21390590,high speed rail,高速鐵路,鐵路,
21390591,home signal,進站號誌,鐵路,
21390592,hump yard,駝峰調車場,鐵路,
21390593,hunting,蛇行運動{鐵路},鐵路,
21390594,idle running distance,列車煞車反應距離；空走距離,鐵路,
21390595,idle running time,列車煞車反應時間；空走時間,鐵路,
21390596,independent verification and validation (IV&V),獨立驗證與認證,鐵路,
21390597,industry railway,產業鐵路；專用鐵路,鐵路,
21390598,information office,服務台；詢問處,鐵路,
21390599,infrastructure plan,基礎設施計畫,鐵路,
21390600,inspection and repair shop,檢車段{鐵路},鐵路,
21390601,inspection pit,檢修坑,鐵路,
21390602,insulated joint,絕緣接頭,鐵路,
21390603,insulated track circuit,有絕緣軌道電路,鐵路,
21390604,intercity railway,城際鐵路,鐵路,
21390605,interlocked manual block system,手控聯鎖閉塞制,鐵路,
21390606,interlocking,聯鎖,鐵路,
21390607,interlocking device,聯鎖裝置,鐵路,
21390608,intermediate station,中間站,鐵路,
21390609,intermodal transportation,複合運輸,鐵路,
21390610,International Union of Railways (UIC),國際鐵路聯盟,鐵路,
21390611,island platform,島式站台；島式月台,鐵路,
21390612,jerk,加速度之時變量；急衝度；抖動；脈衝度,鐵路,
21390613,joint bar,魚尾鈑{鐵路},鐵路,
21390614,journey time,旅行時間,鐵路,
21390615,junction station,分歧站；會合站,鐵路,
21390616,kinematic envelope,動態包絡線,鐵路,
21390617,ladder track,梯形線,鐵路,
21390618,lead track,[調車]拖上線,鐵路,
21390619,leading train,先行列車,鐵路,
21390620,leakage cable,漏波電纜,鐵路,
21390621,level crossing accident,平交道事故,鐵路,
21390622,level crossing alarm,平交道警報器,鐵路,
21390623,level crossing barrier,平交道遮斷器,鐵路,
21390624,level crossing protection,平交道保安裝置,鐵路,
21390625,light rail rapid transit (LRRT),輕軌捷運,鐵路,
21390626,light running,單機車頭運轉,鐵路,
21390627,line,[鐵路]路線,鐵路,
21390628,line operation,路線別運轉,鐵路,
21390629,load curve,載重曲線,鐵路,
21390630,load factor,承載率｛交通｝；載客率{交通}；載重因素｛結構｝,鐵路,
21390631,loading and unloading track,裝卸線,鐵路,
21390632,loading gauge,[軌道]車輛斷面界限,鐵路,
21390633,local control panel,就地控制盤,鐵路,
21390634,local railway,地方營鐵路{地方鐵路},鐵路,
21390635,lock rod,鎖定桿,鐵路,
21390636,locking,鎖定,鐵路,
21390637,locomotive,[軌道]機車,鐵路,
21390638,locomotive turntable,機車轉盤,鐵路,
21390639,long distance operation,長程運轉,鐵路,
21390640,longitudinal level,[軌道]縱向高差,鐵路,
21390641,loose brake,鬆軔,鐵路,
21390642,magnetic levitation (maglev),磁浮；磁浮列車,鐵路,
21390643,main line,正線；主線；幹線,鐵路,
21390644,main track,正線；主線；幹線,鐵路,
21390645,maintenance depot,維修基地,鐵路,
21390646,maintenance plan,維修計畫,鐵路,
21390647,make-up station,編組站,鐵路,
21390648,make-up track,編組線,鐵路,
21390649,manual block system,人工閉塞制,鐵路,
21390650,marshalling,調車,鐵路,
21390651,marshalling yard,貨車調車場；貨車場,鐵路,
21390652,marshalling yard with pass-through main tracks,正線貫通式貨車場,鐵路,
21390653,marshalling yard with run-around main tracks,正線環抱式貨車場,鐵路,
21390654,marshlling yard with lateral main tracks,正線偏側式貨車場,鐵路,
21390655,mass rapid transit (MRT),大眾捷運,鐵路,
21390656,master conductor,列車長,鐵路,
21390657,maximum load section (MLS),最大運量區間,鐵路,
21390658,maximum loading rate,最大承載率,鐵路,
21390659,maximum speed,最高速率,鐵路,
21390660,mechanical brake,機械煞車,鐵路,
21390661,mechanical interlocking system,機械聯鎖系統,鐵路,
21390662,meeting station,交會站,鐵路,
21390663,messenger system,[權宜行車]傳令系統,鐵路,
21390664,metro,都會區鐵路,鐵路,
21390665,metropolitan railway,都會區鐵路,鐵路,
21390666,minimum curve radius,最小曲線半徑,鐵路,
21390667,minimum headway,最小時隔；最小間距,鐵路,
21390668,mixed line,客貨兩用線,鐵路,
21390669,monorail rapid transit,單軌捷運,鐵路,
21390670,mortor torque,馬達扭力,鐵路,
21390671,motive power car,動力車,鐵路,
21390672,motor/trailer ratio,動力車/拖車比,鐵路,
21390673,moving block system,移動閉塞制,鐵路,
21390674,mud-pumping,[道碴]噴泥,鐵路,
21390675,multiple track,複線,鐵路,
21390676,multiple track rate,複線率,鐵路,
21390677,narrow gauge railway,窄軌鐵路,鐵路,
21390678,national railway,國營鐵路,鐵路,
21390679,neutral section,[軌道供電]中性區間,鐵路,
21390680,nighttime female waiting area,夜間婦女候車區,鐵路,
21390681,non-adhesion railway,非黏著式鐵路,鐵路,
21390682,non-block operation,非閉塞運轉,鐵路,
21390683,non-electrified section,非電化區間,鐵路,
21390684,non-insulated track circuit,無絕緣軌道電路,鐵路,
21390685,normal lock,定位鎖定,鐵路,
21390686,normal operation,前行運轉,鐵路,
21390687,notching curve,[引擎牽引力]段位曲線,鐵路,
21390688,number of cars in terms of 10-ton load,換算十噸車數,鐵路,
21390689,number of rotations,[牽引馬達]轉數,鐵路,
21390690,number of tonnage in terms of a specific weight,換算[特定重量]噸數,鐵路,
21390691,number of train,列車組數,鐵路,
21390692,on job training (OJT),在職訓練,鐵路,
21390693,on time,[列車]準點,鐵路,
21390694,one side platform,單側月台,鐵路,
21390695,on-time operation,準點運轉,鐵路,
21390696,on-time percentage,[列車]準點率,鐵路,
21390697,open line,[站間]開放行車線,鐵路,
21390698,operating mileage,營業里程,鐵路,
21390699,operating section,行車區間,鐵路,
21390700,operation adjustment,運轉整理；運轉調整,鐵路,
21390701,operation control center (OCC),行控中心,鐵路,
21390702,operation facility,營運設施,鐵路,
21390703,operation plan,營運計畫,鐵路,
21390704,operation speed,運轉速率；行駛速率,鐵路,
21390705,operational accident rate,行車事故率,鐵路,
21390706,opposite joint,對接式接頭,鐵路,
21390707,opposite train,對向列車,鐵路,
21390708,outside rail,[曲線]外軌,鐵路,
21390709,overhead catenary system (OCS),架空線系統,鐵路,
21390710,overrun,冒進[號誌]；冒進[區間],鐵路,
21390711,paid area,付費區,鐵路,
21390712,pantograph,集電弓；縮放儀,鐵路,
21390713,parallel diagram,平行列車運行圖,鐵路,
21390714,passage,通道,鐵路,
21390715,passenger agent (PA),站務員,鐵路,
21390716,passenger agent office (PAO),站務室,鐵路,
21390717,passenger car scheduling,客車排班,鐵路,
21390718,passenger information display system (PIDS),旅客資訊顯示系統,鐵路,
21390719,passenger line,客運線,鐵路,
21390720,passenger-car-kilometers,客車公里,鐵路,
21390721,passenger-kilometers,延人公里,鐵路,
21390722,passing tonnage,通過噸數,鐵路,
21390723,peak hour,尖峰小時,鐵路,
21390724,peak hour volume,尖峰小時運量,鐵路,
21390725,peak period,尖峰期間,鐵路,
21390726,pedestrian walk,人行道,鐵路,
21390727,permanent way,鐵路路線,鐵路,
21390728,permissive signal,權宜號誌,鐵路,
21390729,permissive speed,容許速率,鐵路,
21390730,pilot block system,嚮導閉塞制,鐵路,
21390731,pilot communication block system,嚮導通訊閉塞制,鐵路,
21390732,pilot with time interval system,嚮導隔時法,鐵路,
21390733,piloting operation,[號誌]引導運轉,鐵路,
21390734,platform,載台；平台；月台,鐵路,
21390735,platform cross passage,月台連絡通道,鐵路,
21390736,platform door,月台門,鐵路,
21390737,platform emergency stop plunger,月台緊急停車裝置,鐵路,
21390738,platform end door,月台端門,鐵路,
21390739,platform fence,月台柵欄,鐵路,
21390740,platform level,月台層,鐵路,
21390741,platform monitor (PM),月台監視器,鐵路,
21390742,platform screen door (PSD),月台門,鐵路,
21390743,platform shed,月台遮棚,鐵路,
21390744,pocket track,袋狀軌；中央避車線,鐵路,
21390745,point rail,尖軌,鐵路,
21390746,position light signal,燈列式號誌,鐵路,
21390747,power car,動力車,鐵路,
21390748,powering operation,動力運行,鐵路,
21390749,preceding train,先行列車,鐵路,
21390750,pre-stressed concrete sleeper,預力混凝土枕,鐵路,
21390751,primary suspension system,主懸承系統,鐵路,
21390752,private railway,民營鐵路；私有鐵道,鐵路,
21390753,public address system (PA),大眾廣播系統,鐵路,
21390754,public area,公共區,鐵路,
21390755,public railway,公用鐵路,鐵路,
21390756,punctuality,[列車]準點,鐵路,
21390757,push-pull operation,推拉式運轉,鐵路,
21390758,quadruple track,雙複線,鐵路,
21390759,radio base station,無線電基地台,鐵路,
21390760,radio system,無線電系統,鐵路,
21390761,radio-based block system,通訊閉塞制,鐵路,
21390762,rail anchor,鋼軌防爬器,鐵路,
21390763,rail bonding wire,鋼軌聯軌線,鐵路,
21390764,rail brace,軌撐,鐵路,
21390765,rail failure,鋼軌損傷,鐵路,
21390766,rail guard,排障器,鐵路,
21390767,rail spike,鋼軌道釘,鐵路,
21390768,rail wear,鋼軌磨耗,鐵路,
21390769,rail-defect detector,鋼軌探傷車,鐵路,
21390770,railway,鐵路；鐵道,鐵路,
21390771,railway accident,鐵路事故,鐵路,
21390772,railway act,鐵路法,鐵路,
21390773,railway operator,鐵路營運機構,鐵路,
21390774,raking collision,列車邊撞,鐵路,
21390775,rear-end collision,追撞,鐵路,
21390776,recommended speed,建議速率,鐵路,
21390777,regenerative braking system,再生[電力]煞車,鐵路,
21390778,regular running time,正規運轉時間,鐵路,
21390779,regular train,正規車班,鐵路,
21390780,relay interlocking system,繼電聯鎖系統,鐵路,
21390781,remarshalling line,重編線,鐵路,
21390782,repeater of starting signal,複置出發號誌,鐵路,
21390783,rerailing device,復軌器,鐵路,
21390784,rescheduling,改點；重新排班,鐵路,
21390785,reserved car,備用車,鐵路,
21390786,restricted speed,限制速率,鐵路,
21390787,revenue service time (RST),營業時間,鐵路,
21390788,reverse curve,反[向]曲線,鐵路,
21390789,reverse operation,退行運轉；倒車運轉,鐵路,
21390790,reverse position,[道岔]反位,鐵路,
21390791,reverse running,逆向運轉,鐵路,
21390792,reversing siding,折返[側]線,鐵路,
21390793,reversing triangle,[轉向]三角線,鐵路,
21390794,ride quality,搭乘品質,鐵路,
21390795,ridership,載客量,鐵路,
21390796,risk,風險,鐵路,
21390797,rolling stock,軌道車輛 {集合名詞},鐵路,
21390798,rolling stock and crew utilization plan,車輛與人員運用計畫{鐵路},鐵路,
21390799,rolling stock depot,機廠；車輛基地,鐵路,
21390800,rolling stock plan,車輛計畫,鐵路,
21390801,route,路線,鐵路,
21390802,route authorization,路線授權,鐵路,
21390803,route cancel,路線取消,鐵路,
21390804,route indicator,路線指示牌｛公路｝；進路指示器｛鐵路｝,鐵路,
21390805,route planning,路線規劃,鐵路,
21390806,route release,路線解鎖,鐵路,
21390807,route selection,選線,鐵路,
21390808,route signal,進路號誌,鐵路,
21390809,run away,溜逸{鐵路},鐵路,
21390810,run into wrong line,進入錯線,鐵路,
21390811,running direction,行車方向,鐵路,
21390812,running resistance,行駛阻力,鐵路,
21390813,running surface of rail,鋼軌踏面,鐵路,
21390814,safety case,安全檔案,鐵路,
21390815,safety integrity level (SIL),安全完整度等級,鐵路,
21390816,safety siding,安全側線,鐵路,
21390817,same platform transfer,同月台轉乘,鐵路,
21390818,sanding,砂磨；撒砂,鐵路,
21390819,schedule speed,表定速率,鐵路,
21390820,schedule time,表定時間,鐵路,
21390821,scissors crossover,剪式橫渡線；交叉橫渡線,鐵路,
21390822,scotch block,止車楔；阻輪器,鐵路,
21390823,seamless transfer,無縫轉乘,鐵路,
21390824,searchlight signal,單燈式號誌,鐵路,
21390825,seat arrangement,座位配置,鐵路,
21390826,seating and standing capacity,載客容量,鐵路,
21390827,secondary suspension system,次懸承系統,鐵路,
21390828,section insulator,區間絕緣器,鐵路,
21390829,section traffic volume,區間運量,鐵路,
21390830,sectional route lock,分段路線鎖定,鐵路,
21390831,semaphore signal,臂[木]式號誌；揚旗號誌,鐵路,
21390832,service area,服務地區；服務圈,鐵路,
21390833,service brake,常態制動,鐵路,
21390834,service suspension,停駛,鐵路,
21390835,service time,營運時間,鐵路,
21390836,short distance operation,短程運轉,鐵路,
21390837,shunting,調車,鐵路,
21390838,shunting signal,調車號誌,鐵路,
21390839,shunting yard,[鐵路]貨車調車場；[鐵路]貨車場,鐵路,
21390840,shuttle service,往復運轉,鐵路,
21390841,side collision,側面衝撞,鐵路,
21390842,side platform,側式月台,鐵路,
21390843,siding,外牆板{建築}；側線{鐵路},鐵路,
21390844,sight distance,視距,鐵路,
21390845,signal,號誌；號誌機,鐵路,
21390846,signal breakdown,號誌故障,鐵路,
21390847,signal relay,號誌繼電器,鐵路,
21390848,signal station,號誌站,鐵路,
21390849,simple catenary system,單純懸垂式,鐵路,
21390850,simple marshalling yard,單式[貨車]調車場,鐵路,
21390851,simple station,簡易站,鐵路,
21390852,single driver operation,單人運轉,鐵路,
21390853,single switch,單動轉轍器,鐵路,
21390854,single track,單線,鐵路,
21390855,single track operation,單線運轉,鐵路,
21390856,skid,滑走；滑行,鐵路,
21390857,slab track,版式軌道,鐵路,
21390858,slip,空轉；滑脫；滑移,鐵路,
21390859,sloping ramp,斜坡道,鐵路,
21390860,slow operation,慢行運轉,鐵路,
21390861,space interval system,隔地制,鐵路,
21390862,spacing,列車間隔,鐵路,
21390863,speed limit,速限,鐵路,
21390864,speed signal,速率號誌,鐵路,
21390865,speed up,提速；加速,鐵路,
21390866,stacked platform,疊式月台,鐵路,
21390867,staffless station,無人車站；招呼站{傳統鐵路},鐵路,
21390868,standard gauge railway,標準軌鐵路,鐵路,
21390869,standard length rail,定尺鋼軌,鐵路,
21390870,starting resistance,出發阻力；起動阻力,鐵路,
21390871,starting signal,出發號誌,鐵路,
21390872,starting tractive force,起動牽引力,鐵路,
21390873,static gauge,靜態軌距,鐵路,
21390874,static test,靜態測試,鐵路,
21390875,station,車站,鐵路,
21390876,station area,車站專用區；站區,鐵路,
21390877,station area development,站區開發,鐵路,
21390878,station building,車站大樓；站屋,鐵路,
21390879,station crew,站務員,鐵路,
21390880,station master,站長,鐵路,
21390881,station spacing,車站間距,鐵路,
21390882,steam locomotive,蒸汽機車,鐵路,
21390883,steepest gradient,最陡坡度,鐵路,
21390884,stick lock,延遲解鎖鎖定,鐵路,
21390885,stock rail,道岔主軌,鐵路,
21390886,stopping order,停車指令,鐵路,
21390887,storage track,儲車軌,鐵路,
21390888,stub track,止衝擋線；止衝擋軌道,鐵路,
21390889,stub type station,端末式車站,鐵路,
21390890,sub-ballast,底層道碴,鐵路,
21390891,subsidiary business,附屬事業,鐵路,
21390892,subsidiary signal,從屬號誌,鐵路,
21390893,substation,變電站,鐵路,
21390894,superelevation,超高{鐵路}；超高度{公路},鐵路,
21390895,supported joint,托接式接頭,鐵路,
21390896,surveillance camera system,監視系統,鐵路,
21390897,suspended joint,懸接式接頭,鐵路,
21390898,suspended line,中斷路線,鐵路,
21390899,sustainable development,永續發展,鐵路,
21390900,sustainable transportation,永續運輸,鐵路,
21390901,switch angle,岔心角；轍叉角,鐵路,
21390902,switch indicator,轉轍器標誌,鐵路,
21390903,switch machine,電動轉轍器,鐵路,
21390904,switch rail,轉轍軌；道岔尖軌,鐵路,
21390905,switch rod,轉轍拉桿,鐵路,
21390906,switch sleeper,岔枕,鐵路,
21390907,system assurance,系統保證,鐵路,
21390908,system availability,系統妥善率；系統可用率,鐵路,
21390909,system maintainability,系統維護度,鐵路,
21390910,system safety,系統安全,鐵路,
21390911,tablet instrument block system,電氣路牌閉塞制,鐵路,
21390912,tare weight,淨車重量；空車重量,鐵路,
21390913,target distance,目標距離,鐵路,
21390914,target speed,目標速率,鐵路,
21390915,technical running time,技術運轉時間；最小運轉時間,鐵路,
21390916,temporary signal,臨時號誌,鐵路,
21390917,temporary station,臨時站,鐵路,
21390918,temporary stop,臨時停車,鐵路,
21390919,terminal station,終端站；終點站,鐵路,
21390920,terrestrial trunked radio (TETRA),數位多頻道中繼無線電系統,鐵路,
21390921,test track,試車線,鐵路,
21390922,thermite welding,熱劑銲接,鐵路,
21390923,third rail,第三軌,鐵路,
21390924,three-aspect signal,三位式號誌,鐵路,
21390925,through track,通過線,鐵路,
21390926,through type station,通過式車站,鐵路,
21390927,throwing of switch under cars,車底轉轍,鐵路,
21390928,ticket office,售票區,鐵路,
21390929,tie,箍筋{柱採用}；拉桿{壓拉桿採用}；軌枕,鐵路,
21390930,tie plate,軌枕墊板；繫板,鐵路,
21390931,tilting train,傾斜式列車,鐵路,
21390932,time interval system,隔時制,鐵路,
21390933,time lock,時間鎖定,鐵路,
21390934,timetable,班次時刻表；行車時刻表,鐵路,
21390935,timetable recovery,時刻表回正,鐵路,
21390936,tongue rail,轍尖軌,鐵路,
21390937,tonnage rating,牽引[重量]定數,鐵路,
21390938,tour guide center,旅遊服務中心,鐵路,
21390939,track,軌道,鐵路,
21390940,track bed,道床,鐵路,
21390941,track circuit,軌道電路,鐵路,
21390942,track irregularity,軌道不整,鐵路,
21390943,track layout,軌道配置,鐵路,
21390944,track lifting,起軌；軌道抬升,鐵路,
21390945,track occupancy diagram,站內軌道使用圖,鐵路,
21390946,track skeleton,軌框,鐵路,
21390947,track switching,軌道切換,鐵路,
21390948,trackslab-mat,軌道版墊,鐵路,
21390949,traction supply substation (TSS),牽引動力變電站,鐵路,
21390950,traction system,牽引驅動系統,鐵路,
21390951,tractive effort,牽引力,鐵路,
21390952,tractive force,牽引力,鐵路,
21390953,traffic demand,交通需求,鐵路,
21390954,traffic direction,行車方向,鐵路,
21390955,trailer,拖車；無動力車輛,鐵路,
21390956,trailing,背向[岔尖],鐵路,
21390957,train,列車,鐵路,
21390958,train accident,行車事故,鐵路,
21390959,train approach indicator for level crossing,平交道列車接近指示器,鐵路,
21390960,train attendant,列車乘務員,鐵路,
21390961,train collision,列車碰撞,鐵路,
21390962,train consist,列車編組,鐵路,
21390963,train crew,列車組員,鐵路,
21390964,train delay,列車延滯,鐵路,
21390965,train density,班次密度,鐵路,
21390966,train departure and arrival section,列車行駛區間,鐵路,
21390967,train fire,列車火災,鐵路,
21390968,train frequency,班次頻率,鐵路,
21390969,train information display system (TIDS),列車資訊顯示系統,鐵路,
21390970,train information system (TIS),列車資訊系統,鐵路,
21390971,train line (TL),列車控制訊號線,鐵路,
21390972,train load,列車載重,鐵路,
21390973,train make-up,列車編組,鐵路,
21390974,train number,列車碼,鐵路,
21390975,train operation,列車運轉,鐵路,
21390976,train operation control,列車運行管理,鐵路,
21390977,train operation plan,列車運轉計畫,鐵路,
21390978,train performance,列車績效,鐵路,
21390979,train performance diagram,列車運轉曲線圖,鐵路,
21390980,train preparation platform,列車整備月台,鐵路,
21390981,train preparation tracks,整備線群,鐵路,
21390982,train resistance,列車阻力,鐵路,
21390983,train scheduling,列車排點；列車排班,鐵路,
21390984,train separation,列車分離,鐵路,
21390985,train service plan,列車服務計畫,鐵路,
21390986,train service type,列車服務型式,鐵路,
21390987,train stop indicator,列車停車標誌,鐵路,
21390988,train timetabling,列車排點；列車排班,鐵路,
21390989,train traveler evacuation,列車旅客疏散,鐵路,
21390990,train unit,列車單元,鐵路,
21390991,train weight,列車重量,鐵路,
21390992,training program,訓練計畫,鐵路,
21390993,train-set,列車組,鐵路,
21390994,tramway,路面電車,鐵路,
21390995,transfer,轉乘,鐵路,
21390996,transfer at different platforms,不同月台轉乘,鐵路,
21390997,transfer facility,轉乘設施,鐵路,
21390998,transfer station,轉運站；中轉站,鐵路,
21390999,transfer table,遷車台,鐵路,
21391000,transfer track,轉換軌,鐵路,
21391001,transfer track zone,[列車]轉換軌道區,鐵路,
21391002,transition curve,介曲線；緩和曲線,鐵路,
21391003,transponder,應答器,鐵路,
21391004,transportation capacity,運輸能量；運輸容量,鐵路,
21391005,transportation efficiency,運輸效率,鐵路,
21391006,traveling time,旅行時間,鐵路,
21391007,trunk line,幹線,鐵路,
21391008,tunnel resistance,隧道阻力,鐵路,
21391009,turnback,列車回轉；列車調頭,鐵路,
21391010,turnback track,折返線,鐵路,
21391011,turnout,避讓車道｛公路｝；道岔｛鐵路},鐵路,
21391012,turnout angle,岔心角；轍叉角,鐵路,
21391013,turntable,旋轉台；轉車台；轉車盤,鐵路,
21391014,two-aspect signal,二位式號誌,鐵路,
21391015,ultrasonic detector,超音波檢測器；超音波探傷機{鐵路},鐵路,
21391016,uncoupling,去耦合{力學}；解耦合{力學}；摘解{鐵路}；脫鉤{鐵路},鐵路,
21391017,underground station,地下站,鐵路,
21391018,universal design,通用設計,鐵路,
21391019,unladen weight,空車重量,鐵路,
21391020,unpaid area,非付費區,鐵路,
21391021,upward line,上行線,鐵路,
21391022,urban railway,都會區鐵路,鐵路,
21391023,variation plan,[因應需求]變動計畫,鐵路,
21391024,vehicle defect,車輛缺失故障,鐵路,
21391025,ventilation and air-conditioning apparatus,通風與空調裝置,鐵路,
21391026,vertical curve,豎曲線,鐵路,
21391027,vestibule diaphragm,風擋,鐵路,
21391028,vital circuit,維生電路,鐵路,
21391029,vital relay,維生繼電器,鐵路,
21391030,waiting for section clear,等候清道,鐵路,
21391031,waiting hall,候車大廳,鐵路,
21391032,waiting room,等候室；候車室,鐵路,
21391033,waiting station,待避站,鐵路,
21391034,waiting track,待避線,鐵路,
21391035,waiting train,待避列車,鐵路,
21391036,warehouse track,倉庫線,鐵路,
21391037,way out,出口,鐵路,
21391038,wayside fire,沿線火災,鐵路,
21391039,wayside marker,路側標誌,鐵路,
21391040,wheel detector,輪軸偵測器,鐵路,
21391041,wheel tread,車輪踏面,鐵路,
21391042,wheelbase,軸距,鐵路,
21391043,wide gauge railway,寬軌鐵路,鐵路,
21391044,wing rail,翼軌,鐵路,
21391045,wooden sleeper,木枕,鐵路,
21391046,workshop,機廠,鐵路,
21391047,wye track,[轉向]三角線,鐵路,
21391048,yard operation,車場內運轉,鐵路,
21391049,yard track,車場軌道,鐵路,
21391050,yaw-damper,抗搖擺減震器,鐵路,
