ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2445178,"aquafarm,  aqaculture farm",同上,,水产养殖场 〈渔〉,2015-09-16
2445179,aquaculture industry,水產養殖業,,水产养殖业  〈渔〉,2015-09-16
2445180,aquatic product industry； fishery,水產業,,水产业  〈渔〉,2015-09-16
2445181,(red-eye) mullet (Liza haematocheila),烏魚(龜鮻),,梭鱼  〈渔〉,2015-09-16
2445182,swimming crab (Portunus trituberculatus),三疣梭子蟹,,梭子蟹〈渔〉,2015-09-16
2445183,feeding ground,攝食場,,索饵场 〈渔〉,2015-09-16
2445184,Taihu lake icefish (Neosalanx taihuensis),太湖新銀魚,,太湖新银鱼 =小银鱼〈渔〉,2015-09-16
2445185,Siamese fighter (Betta splendens),五彩博魚,,泰国斗鱼 〈渔〉,2015-09-16
2445186,fish detector；fish finder,魚探儀,,探鱼仪  〈渔〉,2015-09-16
2445187,mud snail (Cipingopaludina chinensis),田螺,,田螺 〈渔〉,2015-09-16
2445188,to feed,投餌,,投饵  〈渔〉,2015-09-16
2445189,Wuchang fishbream；blunt snout bream  (Megalobrama  amblycephala),團頭魴,,团头鲂  =武昌鱼 〈渔〉,2015-09-16
2445190,"globefish ,balloonfish, puffer",鲀 ；河豚,,鲀 〈渔〉 →河豚,2015-09-16
2445191,"fishing net, fishing gear or tackle",漁網；漁具,,网具  〈渔〉,2015-09-16
2445192,(net) cage,箱網,,网箱 〈渔〉,2015-09-16
2445193,net-pen cage fish culture,箱網養殖,,网箱养鱼,2015-09-16
2445194,culture in net cage,箱網養殖,,网箱养殖,2015-09-16
2445195,lancelet (Branchiostoma  belcheri ),文昌魚(白氏鰓口文昌魚),,文昌鱼 〈渔〉,2015-09-16
2445196,hard clam (Meretrix meretrix),文蛤,,文蛤  =花蛤 〈渔〉,2015-09-16
2445197,snakehead (fish) (Channa argusmaculata),鱧魚；雷魚,,乌鳢 =黑鱼 〈渔〉,2015-09-16
2445199,shrimp,蝦,,虾〈渔〉,2015-09-16
2445200,shrimp,蝦,,毛虾,2015-09-16
2445201,prawn,對蝦,,对虾,2015-09-16
2445203,mantis shrimp; squilla   generic term for genus Oratosquilla oratoria),螳螂蝦；蝦蛄,,虾蛄 =皮皮虾 〈渔〉,2015-09-16
