ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2441218,sun sensor,太陽感測器,,太阳敏感器,2015-09-16
2441219,sunspot,太陽黑子,,太阳黑子,2015-09-16
2441220,sunspot magnetic field,太陽黑子磁場,,黑子磁场,2015-09-16
2441221,sun-synchronous orbit,太陽同步軌道,,太阳同步轨道,2015-09-16
2441222,sun-synchronous satellite,太陽同步衛星,,太阳同步卫星,2015-09-16
2441223,supermicro computer,超微型電腦,,超微型计算机,2015-09-16
2441224,supersonic flow,超音速流,,超声速流,2015-09-16
2441225,swing by moon（or planet）trajectory,月球(行星)拋射軌跡,,月球或行星绕行轨道,2015-09-16
2441226,tactical communication satellite,戰術通訊衛星,,战术通讯卫星,2015-09-16
2441227,take-off zero,起飛零點,,起飞零点,2015-09-16
2441228,tandem booster,串聯助推器,,串联式助推器,2015-09-16
2441229,tandem launch vehicle,串聯式發射載具,,串联式运载火箭,2015-09-16
2441230,television guidance,電視導引,,电视制导,2015-09-16
2441231,television seeker,電視尋標器,,电视导引头,2015-09-16
2441232,television tracking technique,電視追蹤技術,,电视跟踪技术,2015-09-16
2441233,terminal guidance of interplanetary flight,行星際飛行終端導引,,星际航行末制导,2015-09-16
2441234,terrain contour matching guidance,地形輪廓比對導引,,地形匹配制导,2015-09-16
2441235,terrain contour matching guidance system,地形輪廓比對導引系統,,地形匹配制导系统,2015-09-16
2441236,terrain contour matching（TERCOM）technique,地形輪廓比對（TERCOM）技術,,地形等高线匹配技术,2015-09-16
2441237,theoretical specific impulse,理論比衝值,,理论比冲,2015-09-16
2441238,thermal protection shield,防熱層,,防热层,2015-09-16
2441239,third  cosmic velocity,第三宇宙速度,,第三宇宙速度,2015-09-16
2441240,three-axis stabilization control technology,三軸穩定控制技術,,三轴稳定控制技术,2015-09-16
2441241,thrust coefficient,推力係數,,推力系数,2015-09-16
2441242,thrust termination,推力終止,,推力终止,2015-09-16
2441243,time of launch preparation,發射準備時間,,发射准备时间,2015-09-16
2441244,time of perigee passage,過近地點時刻,,过近地点时刻,2015-09-16
2441245,time resolution,時間解析度,,时间分辨率,2015-09-16
2441246,time synchronization,時間同步,,时间同步,2015-09-16
2441247,timed shutdown,定時關機,,定时关机,2015-09-16
2441248,timing accuracy,定時精準度,,授时精度,2015-09-16
2441249,timing systen,計時系統,,时间统一系统,2015-09-16
2441250,track of subsatellite point,衛星投影點軌跡,,星下点轨迹,2015-09-16
2441251,tracking and data relay satellite,追蹤與數據中繼衛星,,跟踪与数据中继卫星,2015-09-16
2441252,"tracking, telemetry and command",追蹤、遙傳和指令,,航天测控,2015-09-16
2441253,transfer orbit,轉移軌道,,转移轨道,2015-09-16
2441254,transonic flow,穿音速流,,跨声速流,2015-09-16
2441255,transponder,轉發器,,应答机,2015-09-16
2441256,troposphere,對流層,,对流层,2015-09-16
2441257,truck mode launch,卡車模式發射,,车态发射,2015-09-16
2441258,turbulence effect,亂流效應,,湍流效应,2015-09-16
2441259,ultraviolet attitude sensor,紫外線姿態感測器,,紫外敏感器,2015-09-16
2441260,umbilical tower,發射塔,,脐带塔,2015-09-16
2441261,underground launching silo,地下發射筒倉,,地下发射井,2015-09-16
2441262,underwater launching,水下發射,,水下运载器发射,2015-09-16
2441263,unguided rocket,無控火箭,,无控火箭,2015-09-16
2441264,unpowered phase,無動力階段,,被动段,2015-09-16
2441265,upper atmosphere,高層大氣,,高层大气,2015-09-16
2441266,upper atmospheric wind shear,高層大氣風切,,高空风切变,2015-09-16
2441267,vacuum specific impulse,真空比衝值,,真空比冲,2015-09-16
2441268,vacuum thrust,真空推力,,真空推力,2015-09-16
2441269,variable structure control,可變結構控制,,变结构控制,2015-09-16
2441270,variable thrust rocket engine,可變推力火箭發動機,,变推力火箭发动机,2015-09-16
2441271,vehicle body coordinate system,載具本體坐標系,,飞行器本体坐标系,2015-09-16
2441272,velocity ratio,速度比,,速度比,2015-09-16
2441273,Venus exploration,金星探索；金星探測,,金星探测,2015-09-16
2441274,Venus landing,金星著陸,,金星着陆,2015-09-16
2441275,Venus probe,金星探測器,,金星探测器,2015-09-16
2441276,vertical landing,垂直著陸,,垂直着陆,2015-09-16
