ID,英文名稱,中文名稱,圖片,職等,直轄、縣市政府類別,機關名稱,所屬機關名稱中文,所屬機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,一級單位主管職稱中文,一級單位主管職稱英譯,職等.1,二級單位名稱中文,二級單位名稱英譯,備註,更新日期
1500567,Chief,組長,,6-7,直轄市政府(以高雄市為例),民政局,殯葬管理所,Mortuary Services Office,組,Section,,,,,,,2012-11-26
1500568,Chief,課長,,7,直轄市政府(以高雄市為例),財政局,集中支付處,Disbursement Office,課,Section,,,,,,,2012-11-26
1500569,Chief,組長,,7,直轄市政府(以高雄市為例),財政局,動產質借所,Collateral Office,組,Section,,,,,,,2012-11-26
1500570,Chief,組長 ,,7,直轄市政府(以高雄市為例),教育局,體育場,Stadium,組,Section,,,,,,,2012-11-26
1500571,Chief,主任,,6-7,直轄市政府(以高雄市為例),教育局,體育場,Stadium,室,Section,,,,,,,2012-11-26
1500572,Chief,科長,,8,直轄市政府(以高雄市為例),建設局,市場管理處,Market Administration Office,科,Section,,,,,,,2012-11-26
1500573,Chief,主任,,8,直轄市政府(以高雄市為例),建設局,市場管理處,Market Administration Office,室,Section,,,,,,,2012-11-26
1500574,Chief,組長,,7,直轄市政府(以高雄市為例),建設局,風景區管理所,Scenic Area Administration Office,組,Section,,,,,,,2012-11-26
1500575,Personnel Officer,人事管理員,,7,直轄市政府(以高雄市為例),建設局,風景區管理所,Scenic Area Administration Office,組,Section,,,,,,,2012-11-26
1500576,Accounting Officer,會計員,,7,直轄市政府(以高雄市為例),建設局,風景區管理所,Scenic Area Administration Office,組,Section,,,,,,,2012-11-26
1500577,Chief,課長,,7,直轄市政府(以高雄市為例),建設局,家畜衛生檢驗所,Animal Health and Inspection Institute,課,Section,,,,,,,2012-11-26
1500578,Chief,主任,,7,直轄市政府(以高雄市為例),工務局,新建工程處,Construction Office,工務所, Branch ,,,,,,,2012-11-26
1500579,Chief,主任,,8,直轄市政府(以高雄市為例),工務局,養護工程處,Maintenance Office,室,Section,,,,,,,2012-11-26
1500580,Chief,廠長,,8,直轄市政府(以高雄市為例),工務局,養護工程處,Maintenance Office,保養廠,Maintenance Works,,,,,,,2012-11-26
1500581,Chief,主任,,8,直轄市政府(以高雄市為例),工務局,下水道工程處,Sewage Systems Office,室,Section,,,,,,,2012-11-26
1500582,Chief,廠長,,9,直轄市政府(以高雄市為例),工務局,下水道工程處,Sewage Systems Office,中區污水處理廠,Central District Sewage Treatment Plant,,,,,,,2012-11-26
1500583,Captain,隊長,,8,直轄市政府(以高雄市為例),工務局,下水道工程處,Sewage Systems Office,維護工程隊,Equipment Maintenance Brigade,,,,,,,2012-11-26
1500584,Chief,組長,,7,直轄市政府(以高雄市為例),工務局,違章建築處理大隊,Building Violations Enforcement Corps,組,Section,,,,,,,2012-11-26
1500585,Chief,組長,,7,直轄市政府(以高雄市為例),社會局,仁愛之家,Ren'ai Senior Citizens' Home,組,Section,,,,,,,2012-11-26
1500586,Chief,課長,,7,直轄市政府(以高雄市為例),社會局,長青綜合服務中心,Senior Citizens' Service Center,課,Section,,,,,,,2012-11-26
1500587,Chief,課長,,7,直轄市政府(以高雄市為例),社會局,兒童福利服務中心,Children's Service Center,課,Section,,,,,,,2012-11-26
1500588,Chief,課長,,7,直轄市政府(以高雄市為例),社會局,無障礙之家,Home for the Disabled,課,Section,,,,,,,2012-11-26
1500589,Chief,組長,,7,直轄市政府(以高雄市為例),社會局,家庭暴力及性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,組,Section,,,,,,,2012-11-26
1500590,Chief,組長,,7,直轄市政府(以高雄市為例),勞工局,勞工檢查所,Occupational Safety Office,組,Section,,,,,,,2012-11-26
1500591,Chief,主任,,,直轄市政府(以高雄市為例),勞工局,勞工檢查所,Occupational Safety Office,室,Section,,,,,,,2012-11-26
1500592,Chief,組長,,7,直轄市政府(以高雄市為例),勞工局,訓練就業中心,Training and Employment Center,組,Section,,,,,,,2012-11-26
