ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
19451870,hardening,硬化；固化,,,,2022-07-15
19451871,hardening agent,硬化劑；固化劑,,材料_FRP,,2022-07-15
19451872,hardiness,耐寒性,,材料_FRP,,2022-07-15
19451873,hardness,硬度,,環工組,,2022-07-15
19451874,hardometer,硬度計,,,,2022-07-15
19451875,hardstand,硬地面,,,,2022-07-15
19451876,hardstand parking,硬面停機坪,,,,2022-07-15
19451877,hardware interface,硬體界面,,,,2022-07-15
19451878,hardwares of prestressing system,預力系統硬體,,,,2022-07-15
19451879,Hardy Cross method,哈帝克勞斯法{彎矩分配法},,,,2022-07-15
19451880,harem,後宮{土耳其},,,,2022-07-15
19451881,harmful water,有害水,,,,2022-07-15
19451882,harmonic analysis,諧和分析,,,,2022-07-15
19451883,harmonic constant of tide,潮汐調和常數,,,,2022-07-15
19451884,harmonic exciting force,諧和激發力,,,,2022-07-15
19451885,harmonic mean,諧和平均數,,,,2022-07-15
19451886,harmonic motion,諧和運動,,,,2022-07-15
19451887,harmonic vibration,諧和振動,,,,2022-07-15
19451888,harmony,調和性{地圖設計},,測量組,,2022-07-15
19451889,harmony of alignment,線向調和,,,,2022-07-15
19451890,harped,彎折；轉折{預力},,,,2022-07-15
19451891,harped tendons,轉向鋼腱,,,,2022-07-15
19451892,harping,彎折{鋼腱}；轉折{預力},,,,2022-07-15
19451893,harsh mixture,貧配比拌成物,,,,2022-07-15
19451894,harvested rainwater,回收雨水,,建築_環控,,2022-07-15
19451895,hat stiffener,帽形加勁材,,材料_FRP,,2022-07-15
19451896,hat type stiffener,帽形加勁材,,材料_FRP,,2022-07-15
19451897,Hatch-Choate equation,哈奇—巧特方程式,,環工組,,2022-07-15
19451898,Haufendorf,簇群聚落 {德文},,,,2022-07-15
19451899,hauling weight,牽引重量,,,,2022-07-15
19451900,haunch,托肩；牛腿,,,,2022-07-15
19451901,haunching,加托肩；加牛腿；端部加厚,,,,2022-07-15
19451902,haversine formula,半正矢公式,,測量組,,2022-07-15
19451903,hawk,盛泥板,,,,2022-07-15
19451904,hazard,危害；危險,,,,2022-07-15
19451905,hazard analysis,危害分析,,都計組,,2022-07-15
19451906,hazard and operability study (HAZOP),危害與可操作性分析,,,,2022-07-15
19451907,hazard assessment,危害評估,,都計組,,2022-07-15
19451908,hazard beacon,危險標燈,,,,2022-07-15
19451909,hazard category,危險分類,,,,2022-07-15
19451910,hazard exposure,危害暴露,,都計組,,2022-07-15
19451911,hazard identification,危害鑑認,,都計組,,2022-07-15
19451912,hazard map,危害地圖；防災[地]圖,,都計組,,2022-07-15
19451913,hazard marker,危險標記,,,,2022-07-15
19451914,hazard marking,危險標線,,,,2022-07-15
19451915,hazard mitigation measures,減災措施,,都計組,,2022-07-15
19451916,hazardous and solid waste amendments to RCRA (HSWA),有害及固體廢棄物之RCRA修正法,,環工組,,2022-07-15
19451917,hazardous area,危害地區,,都計組,,2022-07-15
19451918,hazardous cargo warehouse,危險品倉庫,,,,2022-07-15
19451919,hazardous cargo wharf,危險品碼頭,,,,2022-07-15
19451920,hazardous industrial waste,有害事業廢棄物,,環工組,,2022-07-15
19451921,hazardous location lighting,危險場所照明,,營管組,,2022-07-15
19451922,hazardous material,危害性物質,,都計組,,2022-07-15
19451923,hazardous waste,有害廢棄物,,環工組,,2022-07-15
19451924,hazardous waste and site recovery,有害廢棄物清除及場地復原,,營管組,,2022-07-15
19451925,Hazardous Waste Source Reduction and Management Review Act (HWSRMRA),有害廢棄物源頭減量及管理審查法,,環工組,,2022-07-15
19451926,haze,霾,,,,2022-07-15
19451927,Hazen-Williams formula,海森—威廉公式,,環工組,,2022-07-15
19451928,head,鋼筋擴頭；鋼軌頭部,,,,2022-07-15
19451929,head anchorage capacity,擴頭鋼筋錨定強度,,,,2022-07-15
19451930,head bearing area,擴頭鋼筋端部受力面積,,,,2022-07-15
19451931,head grouting,盾首灌漿,,,,2022-07-15
19451932,head hardened rail,硬頭鋼軌；頭部熱處理鋼軌,,,,2022-07-15
19451933,head loss,水頭損失,,環工組,,2022-07-15
19451934,head pulley,頂滑車,,,,2022-07-15
19451935,head rod,前尖軌拉桿,,,,2022-07-15
19451936,head wall unit,前端牆單元,,,,2022-07-15
19451937,head water forest,水源林,,環工組,,2022-07-15
19451938,headed bar,擴頭鋼筋,,,,2022-07-15
19451939,headed bolt,擴頭螺栓,,,,2022-07-15
19451940,headed deformed bar,擴頭竹節鋼筋,,,,2022-07-15
19451942,headed shear stud,擴頭剪力釘,,,,2022-07-15
19451943,headed shear stud reinforcement,擴頭剪力釘加強材,,,,2022-07-15
19451944,headed stud,擴頭釘,,,,2022-07-15
19451945,headed stud shear cone,擴頭釘剪力錐,,,,2022-07-15
19451946,header,端塊；標頭檔{資訊},,,,2022-07-15
19451947,heading bond,丁頭砌法,,,,2022-07-15
19451948,heading collar,支架頂圈,,,,2022-07-15
19451949,headland,海岬,,,,2022-07-15
19451950,head-on collision,正面衝撞；正面碰撞；對撞,,,,2022-07-15
19451951,headrace,引水路,,,,2022-07-15
19451952,headrace channel,引水渠道,,,,2022-07-15
19451953,headrace tunnel,引水隧道,,,,2022-07-15
19451954,headroom,淨空,,,,2022-07-15
19451955,headstock,軸承,,,,2022-07-15
19451956,headwater drainage area,水源流域,,,,2022-07-15
19451957,head-water forest,水源林,,,,2022-07-15
19451958,headway,間距｛車流｝；班距 {鐵路、公車},,,,2022-07-15
19451959,health physicist,保健物理人員,,環工組,,2022-07-15
19451960,health physics,保健物理,,環工組,,2022-07-15
19451961,Healthy Building Network,健康建築聯盟,,建築_環控,,2022-07-15
19451962,heaped volume,滿載容積,,,,2022-07-15
19451963,hearing loss,聽力損失,,環工組,,2022-07-15
19451964,heart rate,心率,,建築_環控,,2022-07-15
19451965,heat acclimatization,熱適應,,建築_環控,,2022-07-15
19451966,heat affected zone,熱影響區,,環工組,,2022-07-15
19451967,heat boiler,燃燒鍋爐,,營管組,,2022-07-15
19451968,heat budget,熱平衡；熱收支,,環工組,,2022-07-15
19451969,heat budget method,熱收支法,,環工組,,2022-07-15
19451970,heat build-up,熱蓄積,,材料_FRP,,2022-07-15
19451971,heat capacity,熱容量,,建築_環控,,2022-07-15
19451972,heat collecting storage wall,儲熱牆體,,建築_環控,,2022-07-15
19451973,heat conduction,熱傳導,,建築_環控,,2022-07-15
19451974,heat convection,熱對流,,建築_環控,,2022-07-15
19451975,heat convertible resin,可熱轉化樹脂,,材料_FRP,,2022-07-15
19451976,heat deterioration,熱劣解,,材料_FRP,,2022-07-15
19451977,heat discomfort,熱不適,,建築_環控,,2022-07-15
19451978,heat distortion point,熱變形溫度,,材料_FRP,,2022-07-15
19451979,heat drying,熱乾,,,,2022-07-15
19451980,heat endurance,耐熱性,,材料_FRP,,2022-07-15
19451981,heat energy,熱能,,,,2022-07-15
19451982,heat exchange,熱交換,,環工組,,2022-07-15
19451983,heat exchanger,熱交換器,,,,2022-07-15
19451984,heat exhaust,熱量排放,,建築_環控,,2022-07-15
19451985,heat flow,熱流,,建築_環控,,2022-07-15
19451986,heat flux,熱通量,,建築_環控,,2022-07-15
19451987,heat gain,熱得,,建築_環控,,2022-07-15
19451988,heat index,熱指數；熱能指數,,,,2022-07-15
19451989,heat insulation material,隔熱材料,,材料_FRP,,2022-07-15
19451990,heat island,熱島,,建築_環控,,2022-07-15
19451991,heat island effect,熱島效應,,環工組,,2022-07-15
19451992,heat loss,熱損,,建築_環控,,2022-07-15
19451993,heat of activation,活化熱,,環工組,,2022-07-15
19451994,heat of hydration,水合熱,,,,2022-07-15
19451995,heat of reaction,反應熱,,環工組,,2022-07-15
19451996,heat of solution,溶解熱,,,,2022-07-15
19451997,heat pollution,熱污染,,環工組,,2022-07-15
19451998,heat power station,火力發電廠,,,,2022-07-15
19451999,heat pump,熱泵,,營管組,,2022-07-15
19452000,heat radiation,熱輻射,,建築_環控,,2022-07-15
19452001,heat recovery steam generator,熱量回收蒸汽產生器,,環工組,,2022-07-15
19452002,heat recycling system,熱回收系統,,營管組,,2022-07-15
19452003,heat resistance structure,抗熱結構；耐熱結構,,材料_FRP,,2022-07-15
19452004,heat sensation,熱感覺,,建築_環控,,2022-07-15
19452005,heat storage,熱儲存,,建築_環控,,2022-07-15
19452006,heat stress,熱應力,,建築_環控,,2022-07-15
19452007,heat transfer,熱傳遞,,建築_環控,,2022-07-15
19452008,heat-absorbing glass,吸熱玻璃,,建築_環控,,2022-07-15
19452009,heat-affected zone,熱影響區,,,,2022-07-15
19452010,heat-budget method,熱收支法,,,,2022-07-15
19452011,heat-deflection temperature,熱變形溫度,,,,2022-07-15
19452012,heater planer,熱熨器；加熱整平機,,,,2022-07-15
19452013,heating,加熱；供暖,,,,2022-07-15
19452014,heating and cooling piping,冷暖空調配管,,營管組,,2022-07-15
19452015,heating rate,升溫速率,,,,2022-07-15
19452016,heating value,熱值,,環工組,,2022-07-15
19452017,"heating, ventilation and air conditioning (HVAC)",空調系統,,營管組,,2022-07-15
19452018,heat-loss coefficient,熱損係數,,建築_環控,,2022-07-15
19452019,heat-reflecting glass,熱反射玻璃,,建築_環控,,2022-07-15
19452020,heat-resistant concrete,耐熱混凝土,,,,2022-07-15
19452021,heatsink,散熱器,,建築_環控,,2022-07-15
19452022,heat-treated rail,熱處理軌條,,,,2022-07-15
19452023,heave,凍脹；隆脹,,,,2022-07-15
19452024,heavenly body,天體,,,,2022-07-15
19452025,heaving,隆起,,,,2022-07-15
19452026,heavy concrete,重質混凝土,,,,2022-07-15
19452027,heavy demolition tool,重型拆除機具,,,,2022-07-15
19452028,heavy industrial district,重工業區,,,,2022-07-15
19452029,heavy industry,重工業,,,,2022-07-15
19452030,heavy lifting wharf,起重碼頭,,,,2022-07-15
19452031,heavy media separator,髙密度介質分離器,,環工組,,2022-07-15
19452032,heavy metal,重金屬,,,,2022-07-15
19452033,heavy metal fuel,重金屬燃料,,環工組,,2022-07-15
19452034,heavy rail rapid transit (HRRT),重軌捷運,,,,2022-07-15
19452035,heavy rain,暴雨；大雨,,,,2022-07-15
19452036,heavy sludge,稠污泥,,,,2022-07-15
19452037,heavy timber construction,大型原木構造,,營管組,,2022-07-15
19452038,heavy truck,重型卡車,,,,2022-07-15
19452039,heavy water,重水,,,,2022-07-15
19452040,heavy water reactor,重水反應器,,環工組,,2022-07-15
19452041,heavy weight concrete,重質混凝土,,,,2022-07-15
19452042,heavy-edge reinforcement,版邊加強鋼線網,,,,2022-07-15
19452043,heavy-media separation,重介質分離,,,,2022-07-15
19452044,heavyweight aggregate,重質粒料,,,,2022-07-15
19452045,heavy-weight aggregate,重質粒料,,,,2022-07-15
19452046,heavyweight concrete,重質混凝土,,,,2022-07-15
19452047,heavy-weight concrete,重質混凝土,,,,2022-07-15
19452048,heel riser block,岔尾墊鐵,,,,2022-07-15
19452049,heel slab,踵版,,,,2022-07-15
19452050,height limit,高度限制,,,,2022-07-15
19452051,height of arc,中距；曲弧中距,,,,2022-07-15
19452052,height of light,塔燈高度,,,,2022-07-15
19452053,height of tide,潮高,,,,2022-07-15
19452054,height-balance polygon method,高度平衡多邊形法,,,,2022-07-15
19452055,heightening of dam,壩頂加高,,,,2022-07-15
19452056,held water,吸著水；[地下水位上]持著水,,,,2022-07-15
19452057,helical auger,螺旋鑽,,,,2022-07-15
19452058,helical conveyor,螺旋輸送機,,,,2022-07-15
19452059,helical reinforcement,螺旋[鋼]筋,,,,2022-07-15
19452060,helical screw spreader,螺旋式撒布機,,,,2022-07-15
19452061,helical winding,螺旋纏繞,,材料_FRP,,2022-07-15
19452062,helicopter pad,直升機坪,,,,2022-07-15
19452063,heliocentrism,太陽中心論,,測量組,,2022-07-15
19452064,heliograph,日光反射儀,,,,2022-07-15
19452065,heliport,直升機場,,,,2022-07-15
19452066,Hellenistic Age,希臘化時代,,,,2022-07-15
19452067,Helmert transformation,赫爾默特轉換；Helmert轉換,,測量組,,2022-07-15
19452068,Helmholtz equation,赫姆霍茲方程式,,環工組,,2022-07-15
19452069,helper grade,推送坡,,,,2022-07-15
19452070,hematite,赤鐵礦,,,,2022-07-15
19452071,hemihydrate,半水化合物；燒石膏,,,,2022-07-15
19452072,hemihydrate plaster,緩凝灰漿,,,,2022-07-15
19452073,hemimetaboloism,不完全變態,,環工組,,2022-07-15
19452074,hemoglobin,血紅素,,環工組,,2022-07-15
19452075,hemoglobin A,血紅素A,,環工組,,2022-07-15
19452076,hemolymph,節肢動物體液；血淋巴,,環工組,,2022-07-15
19452077,Henry's law,亨利定律,,環工組,,2022-07-15
19452078,Hera,西拉；宙斯之妻{希臘神話},,,,2022-07-15
19452079,herb plantation,草本類植物植栽,,營管組,,2022-07-15
19452080,herbicide,除草劑,,,,2022-07-15
19452081,herbivore,草食性動物,,環工組,,2022-07-15
19452082,heredity,遺傳性,,環工組,,2022-07-15
19452083,hermaphrodite,雌雄同體,,環工組,,2022-07-15
19452084,heroon,英雄祠,,,,2022-07-15
19452085,hesitation set,假凝,,,,2022-07-15
19452086,hesitation setting,假凝,,,,2022-07-15
19452087,hessian,粗蔴布,,,,2022-07-15
19452088,Hess's law,黑斯定律,,環工組,,2022-07-15
19452089,heterogeneity,異質性,,環工組,,2022-07-15
19452090,heterogeneous photocatalysis,異相光催化作用,,環工組,,2022-07-15
19452091,heterosis,雜交優勢；雜種優勢,,環工組,,2022-07-15
19452092,heterostyly,花柱異型,,環工組,,2022-07-15
19452093,heterotroph,異營生物,,環工組,,2022-07-15
19452094,heterotrophic organism,異營生物,,,,2022-07-15
19452095,heterotrophy,異營性,,環工組,,2022-07-15
19452096,heterozygous,異型合子,,環工組,,2022-07-15
19452097,hewn square,大方塊木,,,,2022-07-15
19452098,hewn square timber,方木,,,,2022-07-15
19452099,hexachlorocyclohexane,六氯環己烷,,環工組,,2022-07-15
19452100,hexamethylenetetramine,六亞甲四胺,,材料_FRP,,2022-07-15
19452101,hexamine,六亞甲四胺,,材料_FRP,,2022-07-15
19452102,hexane,己烷,,環工組,,2022-07-15
19452103,hibernation,冬眠,,環工組,,2022-07-15
19452104,hidden harbor,隱蔽港,,,,2022-07-15
19452105,hidden line,隱藏線,,,,2022-07-15
19452106,hierachy of roads,道路層級,,,,2022-07-15
19452107,high background radiation area,髙背景輻射區域,,環工組,,2022-07-15
19452108,high bed trailer,高床平板拖車,,,,2022-07-15
19452109,high capacity filter,高率濾池,,環工組,,2022-07-15
19452110,high density plastic foam,高密度塑膠發泡體,,材料_FRP,,2022-07-15
19452111,high density polyurethane (HDP),高密度聚氨脂,,,,2022-07-15
19452112,high efficiency cast resin dry type transformer,高效率樹脂型乾式變壓器,,營管組,,2022-07-15
19452113,high elasticity,高彈性,,材料_FRP,,2022-07-15
19452114,high explosive,高速炸藥,,,,2022-07-15
19452115,high flowability concrete,高流動性混凝土,,,,2022-07-15
19452116,high frequency recombination strain (Hfr),髙頻率重組株,,環工組,,2022-07-15
19452117,high heating value,髙位發熱量,,環工組,,2022-07-15
19452118,high high water level,特別高水位,,,,2022-07-15
19452119,high lift device,高升力裝置,,材料_FRP,,2022-07-15
19452120,high molecular vacuum handling equipment,高分子真空處理設備,,營管組,,2022-07-15
19452121,high observing tower,觀測高塔,,,,2022-07-15
19452122,high pass filter,高通濾波器,,測量組,,2022-07-15
19452123,high performance concrete(HPC),高性能混凝土,,,,2022-07-15
19452124,high point on vertical curve,豎曲線高點,,測量組,,2022-07-15
19452125,high polymer,高分子聚合物,,材料_FRP,,2022-07-15
19452126,high pressure fire system,高壓消防系統,,環工組,,2022-07-15
19452127,high pressure gate,高壓閘門,,,,2022-07-15
19452128,high pressure laminates,高壓積層,,材料_FRP,,2022-07-15
19452129,high pressure model cast transformer,高壓模鑄變壓器,,營管組,,2022-07-15
19452130,high pressure molding,高壓模造,,材料_FRP,,2022-07-15
19452131,high pressure spray grouting,高壓噴射灌漿,,營管組,,2022-07-15
19452132,high pressure steam curing,高壓蒸氣養護,,營管組,,2022-07-15
19452133,high pressured casting method,高壓鑄造法,,材料_FRP,,2022-07-15
19452134,high radiation area,髙輻射區,,環工組,,2022-07-15
19452135,high radioactive waste,髙放射性廢料,,環工組,,2022-07-15
19452136,high radioactive waste disposal,髙放射性廢料處置,,環工組,,2022-07-15
19452137,high rail,高軌,,,,2022-07-15
19452138,high range water-reducing admixture,高效能減水摻料；高效能減水劑；高性能減水劑,,,,2022-07-15
19452139,high rate activated sludge process,高速活性污泥法,,,,2022-07-15
19452140,high rate digestion,高速消化（腐化）,,環工組,,2022-07-15
19452141,high sea,公海；狂浪,,,,2022-07-15
19452142,high speed,高速,,,,2022-07-15
19452143,high speed exit taxiway,高速出口滑行道,,,,2022-07-15
19452144,high speed rail,高速鐵路,,,,2022-07-15
19452145,high strength,高強度,,材料_FRP,,2022-07-15
19452146,high strength bar,高強度棒,,,,2022-07-15
19452147,high strength concrete,高強度混凝土,,,,2022-07-15
19452148,high temperature wastewater,熱廢水；髙溫廢水,,環工組,,2022-07-15
19452149,high tensile strength steel,高拉力鋼,,,,2022-07-15
19452150,high tension line,高拉力線,,,,2022-07-15
19452151,high test hypochlorite,漂粉精；強力次氯酸鹽,,環工組,,2022-07-15
19452152,high tide,高潮,,,,2022-07-15
19452153,high type bituminous surface,高級瀝青路面,,,,2022-07-15
19452154,high volume air sampling,髙量採樣法,,環工組,,2022-07-15
19452155,high water full and change,朔望高潮間歇,,,,2022-07-15
19452156,high water interval,高潮間隔,,,,2022-07-15
19452157,high water line,高潮線,,,,2022-07-15
19452158,high water of ordinary spring tide (HWOST),大潮高水位,,,,2022-07-15
19452159,high water rock,高潮礁,,,,2022-07-15
19452160,high-alumina cement,高鋁水泥,,,,2022-07-15
19452161,high-alumina concrete,高鋁混凝土,,,,2022-07-15
19452162,high-bond bar,高握裹力鋼筋,,,,2022-07-15
19452163,high-capacity filter,高容量瀘池,,,,2022-07-15
19452164,high-cycle fatigue,高週次疲勞,,,,2022-07-15
19452165,high-definition surveying (HDS),高解析測量,,測量組,,2022-07-15
19452166,high-density aggregate,高密度粒料,,,,2022-07-15
19452167,high-density concrete,高密度混凝土,,,,2022-07-15
19452168,high-discharge mixer,快速卸料拌和機；傾斜軸式拌和機,,,,2022-07-15
19452169,high-early-strength cement,[高]早強水泥,,,,2022-07-15
19452170,high-early-strength concrete,[高]早強混凝土,,,,2022-07-15
19452171,high-early-strength Portland cement,早強卜特蘭水泥,,,,2022-07-15
19452172,higher critical velocity,上限臨界流速,,,,2022-07-15
19452173,higher harmonic frequency,高諧頻率,,,,2022-07-15
19452174,higher high water,較高高水位,,環工組,,2022-07-15
19452175,higher low water,較高低水位,,環工組,,2022-07-15
19452176,highest high water,最高水位,,環工組,,2022-07-15
19452177,highest high water level,最高高水位,,,,2022-07-15
19452178,highest wave,最高波,,,,2022-07-15
19452179,high-fineness cement,高細度水泥,,,,2022-07-15
19452180,high-frequence heating,高週波加熱；高頻率加熱,,材料_FRP,,2022-07-15
19452181,high-level road,高層道路,,,,2022-07-15
19452182,high-lift grouting,高升層灌漿,,,,2022-07-15
19452183,high-performance coating,高效能表面塗裝,,營管組,,2022-07-15
19452184,high-performance concrete,高性能混凝土,,,,2022-07-15
19452185,high-performance green building,髙效能綠建築,,建築_環控,,2022-07-15
19452186,high-pressure fire system,高壓消防系統,,,,2022-07-15
19452187,high-pressure gate,高壓閘門,,,,2022-07-15
19452188,high-pressure steam curing,高壓蒸氣養護,,,,2022-07-15
19452189,high-range water-reducing admixture,高性能減水劑,,,,2022-07-15
19452190,high-rate activated sludge process,高速活性污泥法,,,,2022-07-15
19452191,high-rate aeration,髙率曝氣,,環工組,,2022-07-15
19452192,high-rate digestion,高速消化；高速腐化,,,,2022-07-15
19452193,high-rate filter,高速率濾池,,,,2022-07-15
19452194,high-rise apartment,高層公寓,,都計組,,2022-07-15
19452195,high-rise building,髙層建築,,建築_環控,,2022-07-15
19452196,high-rise housing,髙層住宅,,都計組,,2022-07-15
19452197,high-speed taxiway,快速滑行道,,,,2022-07-15
19452198,high-strength bolt,高強度螺栓,,,,2022-07-15
19452199,high-strength concrete,高強度混凝土,,,,2022-07-15
19452200,high-strength molding compound,高強度模造料,,材料_FRP,,2022-07-15
19452201,high-strength reinforcement,高強度加勁材；高強度鋼筋,,,,2022-07-15
19452202,high-strength steel,高強度鋼[筋],,,,2022-07-15
19452203,high-temperature steam curing,高溫蒸氣養護,,,,2022-07-15
19452204,high-tensile steel,高拉力鋼,,,,2022-07-15
19452205,high-tensile strength steel,高拉力強度鋼,,,,2022-07-15
19452206,high-tension bolt,高拉力螺栓,,,,2022-07-15
19452207,high-tension wire,高拉力鋼線,,,,2022-07-15
19452208,high-test hypochlorite,漂白粉精；高效次氯酸鹽,,,,2022-07-15
19452209,high-vinyl-modified epoxy,高乙烯基改質環氧樹脂,,材料_FRP,,2022-07-15
19452210,high-voltage cable,高壓電纜,,營管組,,2022-07-15
19452211,highway,公路,,,,2022-07-15
19452212,highway at grade crossing,公路平面交叉,,,,2022-07-15
19452213,highway bus station,公路客運站,,,,2022-07-15
19452214,highway classification,公路分類,,,,2022-07-15
19452215,highway crossing,公路交叉口,,,,2022-07-15
19452216,highway crossing signal,公路交叉口號誌,,,,2022-07-15
19452217,highway development right,臨路開發權,,,,2022-07-15
19452218,highway enterprise,公路企業,,,,2022-07-15
19452219,highway freight transportation,公路貨運,,,,2022-07-15
19452220,highway grade separation,公路立體交叉,,,,2022-07-15
19452221,highway hostel,公路旅舍,,,,2022-07-15
19452222,highway inventory,公路資料清冊；公路台賬,,,,2022-07-15
19452223,highway landscaping,公路景觀美化,,,,2022-07-15
19452224,highway layout,公路布設,,測量組,,2022-07-15
19452225,highway lighting,公路照明,,,,2022-07-15
19452226,highway lighting system,公路照明系統,,營管組,,2022-07-15
19452227,highway management,公路管理,,,,2022-07-15
19452228,highway needs study,公路需求研究,,,,2022-07-15
19452229,highway network,公路網,,,,2022-07-15
19452230,highway operating business,公路經營業務,,,,2022-07-15
19452231,highway passenger transportation,公路客運,,,,2022-07-15
19452232,highway patrol,公路巡邏,,,,2022-07-15
19452233,highway restaurant,公路餐廳,,,,2022-07-15
19452234,highway sufficiency rating,公路負荷評量,,,,2022-07-15
19452235,highway survey,公路測量,,測量組,,2022-07-15
19452236,highway transportation,公路運輸,,,,2022-07-15
19452237,highway type,公路型式,,,,2022-07-15
19452238,hill shading,暈渲法,,測量組,,2022-07-15
19452239,hillside covering work,坡面保護工,,,,2022-07-15
19452240,hillside development,山坡地開發,,,,2022-07-15
19452241,hindered settlement,阻滯沉澱,,,,2022-07-15
19452242,hindered settling,阻滯沉降；層沉降,,環工組,,2022-07-15
19452243,hinge,鉸接,,,,2022-07-15
19452244,hinge joint,鉸接,,,,2022-07-15
19452245,hinge joint slab waterproofing layer,鉸接版防水層,,營管組,,2022-07-15
19452246,hinged pier,鉸端橋墩,,,,2022-07-15
19452247,hinged support,鉸支承；鉸支,,,,2022-07-15
19452248,hinterland,腹地,,都計組,,2022-07-15
19452249,hippodrome,戰馬車競賽場{古希臘},,,,2022-07-15
19452250,histogram,直方圖,,測量組,,2022-07-15
19452251,histogram matching,直方圖匹配,,測量組,,2022-07-15
19452252,historical criticism,歷史批判主義,,,,2022-07-15
19452253,historical eclecticism,歷史折衷主義,,,,2022-07-15
19452254,historical information,歷史資訊,,營管組,,2022-07-15
19452255,historical monument,歷史紀念物,,,,2022-07-15
19452256,historical preservation,歷史保存,,都計組,,2022-07-15
19452257,historicism,歷史主義,,,,2022-07-15
19452258,historiography,歷史編纂學,,,,2022-07-15
