ID,英文名稱,中文名稱,圖片,化學式,更新日期
790681,acetylsalicylic acid; aspirin,乙醯柳酸；阿司匹靈,,CH<Sub>3</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOH</Font>,2018-03-20
790682,acetopropionic acid; levulinic acid,乙醯丙酸；果糖衍酸,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790683,"acetophloroglucinol; 2,4,6-trihydroxyaceto-phenone","乙醯-2,4,6-苯三酚；2,4,6-三羥苯乙酮",,CH<Sub>3</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>2</Sub><Font>(OH)</Font><Sub>3</Sub>,2012-11-26
790684,acetophenone-w-dicarboxylic acid benzoylmalonic acid,苯乙酮-ω-二甲酸；苯甲醯丙二酸,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>COCH(COOH)</Font><Sub>2</Sub>,2012-11-26
790685,acetophenoneacetone; ω-acetonylacetophenone,苯乙酮丙酮；ω-丙酮基苯乙酮,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>COCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COCH</Font><Sub>3</Sub>,2012-11-26
790686,"acetophenone pinacol; 2,3-diphenyl-2,3-butanediol","苯乙酮【酉+品】；苯乙酮品納可；2,3-二苯-2,3-丁二醇",,CH<Sub>3</Sub><Font>C(OH)(C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>)C(OH)(C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>)CH</Font><Sub>3</Sub>,2012-11-26
790687,"acetophenone pinacolin; 3,3-diphenyl-2-butanone; acetophenone pinacolone","苯乙酮品納可林；3,3-二苯-2-丁酮；苯乙酮【酉+品】酮",,CH<Sub>3</Sub><Font>COC(C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub><Font>CH</Font><Sub>3</Sub>,2012-11-26
790688,acetophenone oxime,苯乙酮肟,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>C(=NOH)CH</Font><Sub>3</Sub>,2012-11-26
790689,acetophenone phenylhydrazone,苯乙酮苯腙,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>C(CH</Font><Sub>3</Sub><Font>)NNHC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790690,o-acetophenone carboxylic acid; 2-acetylbenzoic acid,鄰-苯乙酮甲酸；2-乙醯苯甲酸,,<p>CH<sub>3</sub>COC<sub>6</sub>H<sub>4</sub>COOH</p>,2012-11-26
790691,acetophenone; methyl phenyl ketone,乙醯苯；苯乙酮；甲基苯基酮,,CH<Sub>3</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790692,acetophenol,乙醯苯酚,,CH<Sub>3</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>OH</Font>,2012-11-26
790693,acetophenine,"醋吩寧；2,4,6-三苯吡啶",,(C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>3</Sub><Font>C</Font><Sub>5</Sub><Font>H</Font><Sub>2</Sub><Font>N</Font>,2012-11-26
790694,p-acetophenetide; phenacetin; aceto-p-phenetidin,對-乙氧乙醯胺苯；非那西汀；對-乙氧-N-乙醯苯胺,,<p>CH<sub>3</sub>CONHC<sub>6</sub>H<sub>4</sub>OC<sub>2</sub>H<sub>5</sub></p>,2022-03-14
790695,acetophenanthrene,乙醯菲,,CH<Sub>3</Sub><Font>COC</Font><Sub>14</Sub><Font>H</Font><Sub>9</Sub>,2012-11-26
790696,o-acetonyltoluene,鄰-丙酮【艹叨】；鄰-丙酮甲苯,,<p>CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>COCH<sub>3</sub></p>,2012-11-26
790697,acetonyl methyl ether,丙酮基甲基醚,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>OCH</Font><Sub>3</Sub>,2012-11-26
790698,acetonylmalonic acid,丙酮丙二酸,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>CH(COOH)</Font><Sub>2</Sub>,2012-11-26
790699,acetonylglyoxylic acid; acetopyruvic acid,丙酮乙醛酸；乙醯丙酮酸,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>COCOOH</Font>,2012-11-26
790700,2-acetonylfuran,2-丙酮呋喃,,C<Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>OCH</Font><Sub>2</Sub><Font>COCH</Font><Sub>3</Sub>,2012-11-26
790701,acetonyldimethylcarbinol; diacetone alcohol,丙酮基二甲基甲醇；二丙酮醇,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>C(CH</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
790702,acetonylcarbinol; 3-keto-l-butanol,丙酮[基]甲醇；3-酮-1-丁醇,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
790703,o-acetonylbenzoic acid,鄰-丙酮苯甲酸；鄰-丙酮苄酸,,<p>HOOCC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>COCH<sub>3</sub></p>,2012-11-26
790704,acetonylbenzene; methyl benzyl ketone,丙酮苯；甲基苄基酮,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790705,p-acetonylanisole; p-methoxyphenylacetone,對-丙酮大茴香醚；對-甲氧苯丙酮,,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>COCH<sub>3</sub></p>,2012-11-26
790706,acetonylamine; l-amino-2-propanone,丙酮胺；1-胺-2-丙酮,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>NH</Font><Sub>2</Sub>,2012-11-26
790707,ω-acetonylacetophenone; acetophenoneacetone; γ-oxovalerophenone,ω-丙酮[基]苯乙酮；苯乙酮丙酮；γ-氧苯戊酮,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>COCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COCH</Font><Sub>3</Sub>,2012-11-26
790708,"acetonylacetone; 2,5-hexanedione","丙酮基丙酮；2,5-己二酮",,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COCH</Font><Sub>3</Sub>,2012-11-26
790709,acetonyl urea,丙酮脲,,H<Sub>2</Sub><Font>NCONHCH</Font><Sub>2</Sub><Font>COCH</Font><Sub>3</Sub>,2012-11-26
790710,acetonitroso oxime; nitrosoacetaldoxime,亞硝乙醛肟,,CH<Sub>3</Sub><Font>C=(NOH)NO</Font>,2012-11-26
790711,acetonitrilic acid; ethylnitrolic acid,乙硝肟酸,,CH<Sub>3</Sub><Font>C(NO</Font><Sub>2</Sub><Font>)=NOH</Font>,2012-11-26
790712,acetonitrile {cyanomethane} ,乙腈 {氰甲烷},,"<Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">CN</Font>",2012-11-26
790713,acetonic acid,α-羥異丁酸；醋酮酸,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>CHOHCOOH</Font>,2012-11-26
790714,acetonedioxalic acid; trioxoheptanedioic acid,丙酮二草酸；二酸草醯丙酮,,HOOCCOCH<Sub>2</Sub><Font>COCH</Font><Sub>2</Sub><Font>COCOOH</Font>,2012-11-26
790715,acetonedicarboxylic acid; β-ketoglutaric acid,丙酮二甲酸；β-酮戊二酸,,HOOCCH<Sub>2</Sub><Font>COCH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790716,acetone sodium bisulfite,丙酮合亞硫酸氫鈉；亞硫酸氫鈉丙酮,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>CONaHSO</Font><Sub>3</Sub>,2012-11-26
790717,acetone semicarbazone,丙酮半卡腙,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C=NNHCONH</Font><Sub>2</Sub>,2012-11-26
790718,acetone phenylhydrazone,丙酮苯腙,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>NHN=C(CH</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790719,acetone peroxide,過氧化丙酮,,C<Sub>6</Sub><Font>H</Font><Sub>12</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
790720,acetone oxime,丙酮肟,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C=NOH</Font>,2012-11-26
790721,acetone mercaptol; acetone diethyl mercaptol,"2,2-二乙硫丙烷；二乙硫醇縮丙酮",,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C(SC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790722,"acetone glycerol; 1,2-isopropylidine glycerol","丙酮縮甘油；1,2-異亞丙甘油",,C<Sub>6</Sub><Font>H</Font><Sub>12</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
790723,"acetone fluoride; 2,2-difluoropopane","二氟化丙酮；2,2-二氟丙烷",,CH<Sub>3</Sub><Font>CF</Font><Sub>2</Sub><Font>CH</Font><Sub>3</Sub>,2012-11-26
790724,"acetone diethylsulfone; 2,2-bis(ethylsulfonyl)-propane","丙酮二乙碸；2,2-雙(乙磺醯)丙烷",,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C(SO</Font><Sub>2</Sub><Font>C</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790725,acetone diethyl mercaptol; acetone diethyl thioacetal,"二乙硫醇縮丙酮；2,2-二乙硫丙烷",,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C(SC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790726,acetone diethyl acetal,"二乙醇縮丙酮；2,2-二乙氧丙烷",,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">C(OC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
790727,acetone dichloride,"二氯化丙酮；2,2-二氯丙烷",,CH<Sub>3</Sub><Font>CCl</Font><Sub>2</Sub><Font>CH</Font><Sub>3</Sub>,2012-11-26
790728,acetone dibromide,"二溴化丙酮；2,2-二溴丙烷",,CH<Sub>3</Sub><Font>CBr</Font><Sub>2</Sub><Font>CH</Font><Sub>3</Sub>,2012-11-26
790729,acetone diacetic acid,丙酮二乙酸,,CO(C<Sub>2</Sub><Font>H</Font><Sub>4</Sub><Font>COOH)</Font><Sub>2</Sub>,2012-11-26
790730,acetone cyanohydrin; α-hydroxyisobutyronitrile,丙酮氰醇；α-羥異丁腈,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C(OH)CN</Font>,2012-11-26
790731,acetone chloroform,"丙酮合氯仿；1,1,1-三氯三級-丁醇",,<p>Cl<sub>3</sub>CC(OH)(CH<sub>3</sub>)<sub>2</sub></p>,2012-11-26
790732,"acetone chloride; 2,2-dichloropropane","氯化丙酮；2,2-二氯丙烷",,CH<Sub>3</Sub><Font>CCl</Font><Sub>2</Sub><Font>CH</Font><Sub>3</Sub>,2012-11-26
790733,acetone azine,二丙酮腙；二亞異丙腙,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C=NN=C(CH</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790734,acetone amine,丙酮胺,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>NH</Font><Sub>2</Sub>,2012-11-26
790735,acetone alcohol,丙酮醇,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
790736,acetone,丙酮,,CH<Sub>3</Sub><Font>COCH</Font><Sub>3</Sub>,2012-11-26
790737,acetoncarboxylic acid; acetoacetic acid,丙酮甲酸；乙醯乙酸,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790738,1-acetonaphthone,1-萘乙酮；1-乙醯萘,,CH<Sub>3</Sub><Font>COC</Font><Sub>10</Sub><Font>H</Font><Sub>7</Sub>,2012-11-26
790739,2-aceto-1-naphthol; 1-hydroxy-2-acetonaph-thalene,2-乙醯-1-萘酚；1-羥-2-乙醯萘,,HOC10H6COCH3,2012-11-26
790740,α-acetonaphthalide; N-acetyl-α-naphthylamine,α-乙醯胺萘；N-乙醯-α-萘胺；N-萘乙醯胺,,C<Sub>10</Sub><Font>H</Font><Sub>7</Sub><Font>NHCOCH</Font><Sub>3</Sub>,2012-11-26
790741,α-acetonaphthalene,α-乙醯萘,,CH<Sub>3</Sub><Font>COC</Font><Sub>10</Sub><Font>H</Font><Sub>7</Sub>,2012-11-26
790742,"acetomenaphthone; menadiol diacetate; 2-methyl-1,4-naphthalene-diol diacetate","二乙醯甲萘氫醌；甲萘氫醌二乙酸酯；二乙酸-2-甲-1,4-萘二酚酯",,CH<Sub>3</Sub><Font>C</Font><Sub>10</Sub><Font>H</Font><Sub>5</Sub><Font>(COOCH</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790743,acetomalonic acid,乙醯丙二酸,,CH<Sub>3</Sub><Font>COCH(COOH)</Font><Sub>2</Sub>,2012-11-26
790744,acetol; hydroxypropanone,乙醯甲醇；羥丙酮,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
790745,α-acetoisobutyric acid,α-乙醯異丁酸,,CH<Sub>3</Sub><Font>COC(CH</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790746,acetoiodoamide; N-iodoacetamide,乙醯碘胺；N-碘乙醯胺,,CH<Sub>3</Sub><Font>CONHI</Font>,2012-11-26
790747,N-acetoindole; N-acetylindole,N-乙醯吲哚,,C<Sub>8</Sub><Font>H</Font><Sub>6</Sub><Font>NCOCH</Font><Sub>3</Sub>,2012-11-26
790748,3-acetoindole; β-acetoindole,3-乙醯吲哚；β-乙醯吲哚,,C<Sub>8</Sub><Font>H</Font><Sub>6</Sub><Font>NCOCH</Font><Sub>3</Sub>,2012-11-26
790749,acetoin; 3-hydroxybutan-2-one,乙醯基甲基甲醇；3-羥-2-丁酮,,CH<Sub>3</Sub><Font>CHOHCOCH</Font><Sub>3</Sub>,2012-11-26
790750,2-acetohydroquinone,2-乙醯氫醌；2-乙醯對-苯二酚,,<p>C<sub>6</sub>H<sub>3</sub>(OH)<sub>2</sub>COCH<sub>3</sub></p>,2012-11-26
790751,α-acetohydrocinnamic acid; α-benzylacetoacetic acid,α-乙醯氫桂皮酸；α-苄基乙醯乙酸,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH(COCH</Font><Sub>3</Sub><Font>)CH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790752,acetohydrazine,乙醯肼,,CH<Sub>3</Sub><Font>CONHNH</Font><Sub>2</Sub>,2012-11-26
790753,4-acetoguaiacol,4-乙醯癒創木酚,,CH<Sub>3</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OCH</Font><Sub>3</Sub><Font>)OH</Font>,2012-11-26
790754,o-acetoanisole,鄰-乙醯茴香醚；鄰-乙醯苯基甲基醚,,<p>CH<sub>3</sub>COC<sub>6</sub>H<sub>4</sub>OCH<sub>3</sub></p>,2012-11-26
790755,acetoaldazine,雙亞乙肼；雙乙醛腙,,(CH<Sub>3</Sub><Font>CH=N)</Font><Sub>2</Sub>,2012-11-26
790756,4-acetoamido-1-naphthol,4-乙醯胺-1-萘酚,,CH<Sub>3</Sub><Font>CONHC</Font><Sub>10</Sub><Font>H</Font><Sub>6</Sub><Font>OH</Font>,2012-11-26
790757,β-acetoacrylic acid,β-乙醯丙烯酸,,CH<Sub>3</Sub><Font>COCH=CHCOOH</Font>,2012-11-26
790758,o-acetoacetylpyridine,鄰-乙醯乙醯吡啶,,<p>CH<sub>3</sub>COCH<sub>2</sub>COC<sub>5</sub>H<sub>4</sub>N</p>,2012-11-26
790759,acetoacetylene,乙醯乙炔,,"CH<Sub>3</Sub><Font>COC</Font><Fonthtml:Face=""新細明體"" x:CharSet=""136"" x:Family=""Roman"">≣</Font><Font>CH</Font>",2012-11-26
790760,acetoacetic acid methyl ester; mthyl acetoacetate,乙醯乙酸甲酯,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>COOCH</Font><Sub>3</Sub>,2012-11-26
790761,acetoacetic acid ethyl ester; ethyl acetoacetate,乙醯乙酸乙酯,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>COOC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790762,acetoacetic acid,乙醯乙酸；3-丁酮酸；3-氧丁酸,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790763,acetoacetanilide,乙醯乙醯胺苯；N-乙醯乙醯苯胺,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>CONHC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790764,2-acetofuran; 2-acetylfuran,2-乙醯呋喃,,CH<Sub>3</Sub><Font>COC</Font><Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>O</Font>,2012-11-26
790765,acetoethylene,乙醯乙烯,,CH<Sub>3</Sub><Font>COCH=CH</Font><Sub>2</Sub>,2012-11-26
790766,acetoethyl amide; N-ethylacetamide,N-乙醯乙胺；N-乙基乙醯胺,,CH<Sub>3</Sub><Font>CONHC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790767,acetoethyl alcohol,乙醯乙醇,,CH<Sub>3</Sub><Font>COCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
790768,α-acetodiphenylmethane,α-乙醯二苯甲烷,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH(COCH</Font><Sub>3</Sub><Font>)C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790769,acetodibromamide,乙醯二溴胺,,CH<Sub>3</Sub><Font>CONBr</Font><Sub>2</Sub>,2012-11-26
790770,p-acetobiphenyl; p-acetodiphenyl,對-乙醯聯苯,,<p>CH<sub>3</sub>COC<sub>6</sub>H<sub>4</sub>C<sub>6</sub>H<sub>5</sub></p>,2012-11-26
790771,acetocyclopentane,乙醯環戊烷,,CH<Sub>3</Sub><Font>COC</Font><Sub>5</Sub><Font>H</Font><Sub>9</Sub>,2012-11-26
790772,acetocyclopropane,乙醯環丙烷,,CH<Sub>3</Sub><Font>COC</Font><Sub>3</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790773,acetocyclohexane,乙醯環己烷,,CH<Sub>3</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>11</Sub>,2012-11-26
790774,acetocinnamone; benzylideneacetone,乙醯桂皮酮；亞苄丙酮,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH=CHCOCH</Font><Sub>3</Sub>,2012-11-26
790775,acetocyclobutane,乙醯環丁烷,,CH<Sub>3</Sub><Font>COC</Font><Sub>4</Sub><Font>H</Font><Sub>7</Sub>,2012-11-26
790776,acetochloroanilide; N-acetyl-N-chloroanilide,乙醯氯胺苯；N-乙醯-N-氯苯胺,,CH<Sub>3</Sub><Font>CONClC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790777,acetochloramide; N-chloroacetamide,乙醯氯胺,,CH<Sub>3</Sub><Font>CONHCl</Font>,2012-11-26
790778,acetobutyric acid,乙醯丁酸,,CH<Sub>3</Sub><Font>CO(CH</Font><Sub>2</Sub><Font>)</Font><Sub>3</Sub><Font>COOH</Font>,2012-11-26
790779,acetobutyl alcohol,乙醯丁醇,,CH<Sub>3</Sub><Font>CO(CH</Font><Sub>2</Sub><Font>)</Font><Sub>3</Sub><Font>CH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
790780,acetobromamide; N-bromoacetamide,乙醯溴胺；N-溴乙醯胺,,CH<Sub>3</Sub><Font>CONHBr</Font>,2012-11-26
790781,acetobenzyl amide; N-benzylacetamide,N-乙醯苄胺；N-苄乙醯胺,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH</Font><Sub>2</Sub><Font>NHCOCH</Font><Sub>3</Sub>,2012-11-26
790782,acetobenzoic anhydride,乙酸苯甲酸酐,,CH<Sub>3</Sub><Font>COOCOC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790783,o-acetobenzoic acid,鄰-乙醯苯甲酸；鄰-乙醯苄酸,,<p>CH<sub>3</sub>COC<sub>6</sub>H<sub>4</sub>COOH</p>,2012-11-26
790784,acetic-benzoic anhydride; acetyl benzoate,乙酸苯甲酸酐,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>COOCOCH</Font><Sub>3</Sub>,2012-11-26
