ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21376875,Grade B,乙等,hạng B,tingkat/level B,,,,衛生福利部,身心障礙者權益保障法,,,
21376876,Grade C,丙等,hạng C,tingkat/level  C,,,,衛生福利部,老人福利法,,,
21376877,Grade D,丁等,hạng D,tingkat/level D,,,,衛生福利部,老人福利法,,,
21376878,graduation,畢業,tốt nghiệp,lulus,,,,移民署,外國人停居留及永久居留辦法,,,
21376879,grandchildren ,孫子女,con cháu,cucu ,,,,衛生福利部,,,,
21376880,green lights,綠燈,đèn xanh,lampu hijau,,,,警政署,道路交通管理處罰條例,,,
21376881,Ground,地面,mặt đất,permukaan tanah,,,,警政署,道路交通管理處罰條例 ,,,
21376882,grudge,仇恨,thù hận,benci/dendam ,,,,警政署,,,,
21376883,guarantee,保證書,giấy bảo đảm,surat jaminan,,,,警政署,犯罪被害人權益保障法,,,
21376884,Guardia,監護人,người giám hộ,wali,,,,警政署,道路交通管理處罰條例 ,,,
21376885,guardian,監護人,người giám hộ,wali,,,,衛生福利部,老人福利法,,,
21376886,guidance ,輔導,hỗ trợ， phụ đạo,konseling/membimbing,,,,衛生福利部,身心障礙者權益保障法,,,
21376887,guidelines ,方針；綱領,phương hướng hoặc nguyên tắc chỉ đạo/ phương châm；chính cương,pedoman,,,,衛生福利部,社會基本福利法,,,
21376888,habeas corpus,提審,đề nghị được tòa án thẩm tra；yêu cầu tư pháp điều tra,mengajukan permohonan praperadilan,,,,警政署,,,,
21376889,Habeas Corpus Act,提審法,luật phúc thẩm,hukum praperadilan,,,,警政署,,,,
21376890,had entered the ROC,已入國,đã nhập cảnh,sudah masuk ke negara tersebut,,,,移民署,外國人停居留及永久居留辦法,,,
21376891,hallucinogens  ,迷幻藥,thuốc gây ảo giác,obat halusinasi,,,,警政署,,,,
21376892,Handheld,手持,giữ tay/ cầm tay/ nắm chặt tay,menggenggam,,,,警政署,道路交通管理處罰條例,,,
21376893,handled simultaneously,兼辦,kiêm nhiệm,sambilan/menangani beberapa pekerjaan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21376894,has yet to complete,尚未履行,chưa thực hiện,belum dilaksanakan,,,,移民署,外國人停居留及永久居留辦法,,,
21376895,have registered household,設有戶籍,có hộ khẩu,memiliki kartu keluarga,,,,移民署,外國人停居留及永久居留辦法,,,
21376896,head of government agencies,首長,thủ trưởng / người đứng đầu lãnh đạo,kepala badan pemerintah,,,,衛生福利部,社會基本福利法,,,
21376897,headlight,大燈 ,đèn pha,lampu besar,,,,警政署,,,,
21376898,health care,保健,bảo vệ sức khỏe,perawatan kesehatan,,,,衛生福利部,社會基本福利法,,,
21376899,health certificate indicating good health,健康檢查合格證明,giấy chứng nhận kiểm tra sức khỏe hợp lệ,surat pemeriksaan kesehatan,,,,移民署,外國人停居留及永久居留辦法,,,
21376900,Health insurance,健保,bảo hiểm y tế,asuransi kesehatan,,,,衛生福利部,,,,
21376901,heirs ,繼承人,người thừa kế,ahli waris,,,,衛生福利部,老人福利法,,,
21376902,Helmet,安全帽,mũ bảo hiểm,helm,,,,警政署,,,,
21376903,heroin  ,海洛因,heroin,Heroin,,,,警政署,,,,
21376904,hiring ,進用,tuyển dụng,mempekerjakan,,,,勞動部,職業訓練法,,,
21376905,Holistic ,全人,cả người / toàn diện,manusia seutuhnya,,,,衛生福利部,老人福利法,,,
21376906,home caregiver,家庭照顧者,người chăm sóc gia đình,orang yang merawat di rumah,,,,衛生福利部,身心障礙者權益保障法,,,
21376907,home-base care,居家式照顧,hình thức chăm sóc tại gia đình,perawatan di rumah,,,,衛生福利部,老人福利法,,,
21376908,Hong Kong or Macau resident,香港或澳門居民,cư dân Hồng Kông hoặc Ma Cao,penduduk Hongkong atau Makau,,,,移民署,外國人停居留及永久居留辦法,,,
21376909,house repair,修繕住屋,sửa chữa nhà ở,renovasi rumah,,,,衛生福利部,老人福利法,,,
21376910,household certificate,戶口名簿,sổ hộ khẩu,kartu keluarga,,,,衛生福利部,,,,
21376911,housekeeping ,家務,công việc nhà,tugas rumah,,,,衛生福利部,老人福利法,,,
21376912,hubs,據點,điểm phục vụ,lokasi,,,,勞動部,中高齡者及高齡者就業促進法,,,
21376913,identification document,身分證明文件,giấy tờ chứng minh cá nhân,dokumen identitas diri,,,,移民署,外國人停居留及永久居留辦法,,,
21376914,if necessary,有必要者,đối tượng cần thiết,orang yang membutuhkan,,,,移民署,外國人停居留及永久居留辦法,,,
21376915,ignition,(機車或汽車)啟動開關、引擎電門開關,công tắc khởi động，công tắc động cơ (xe máy hoặc ô tô),"saklar / tombol starter, saklar kontak (sepeda motor atau mobil)",,,,警政署,,,,
21376916,illegal parking  ,違停,đậu xe trái phép,parkir ilegal,,,,警政署,,,,
21376917,illegal possession of firearms,非法持有槍械 ,tàng trữ vũ khí trái phép,memiliki senjata api secara ilegal,,,,警政署,,,,
21376918,image taken from CCTV footage,監視器翻拍畫面 ,hình ảnh trích xuất từ camera giám sát,rekam ulang hasil  CCTV,,,,警政署,,,,
21376919,Immigration Act ,入出國及移民法,luật xuất nhập cảnh và di trú,Undang-undang Keluar Masuk Negara dan Keimigrasian,,,,移民署,外國人停居留及永久居留辦法,,,
21376920,immigration as an investor,投資移民,đầu tư di dân,bermigrasi dengan investasi,,,,移民署,外國人停居留及永久居留辦法,,,
21376921,impoverished,貧困的,nghèo khó,yang miskin,,,,警政署,,,,
21376922,imprisonment ,入獄；徒刑,vào tù；hình phạt tù,masuk penjara；,,,,衛生福利部,,,,
21376923,improper,不善,không tốt,tidak memadai/layak,,,,勞動部,職業訓練機構設立及管理辦法,,,
21376924,improving in the institution,改善情形,tình hình cải thiện,memperbaiki kondisi,,,,衛生福利部,身心障礙者權益保障法,,,
21376925,improvised gun,改造槍枝 ,súng cải tạo,senjata yang dimodifikasi,,,,警政署,,,,
21376926,in a necessary status of interdiction announcement,受監護或輔助宣告,tuyên bố được quyền giám hộ hoặc trợ giúp,menerima perwalian atau bantuan dalam menyampaikan pernyataan,,,,衛生福利部,身心障礙者權益保障法,,,
21376927,in accordance with,依,dựa theo,berdasarkan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21376928,in association with,會同,phối hợp với,bersama,,,,勞動部,職業訓練法,,,
21376929,in its respective administrative region,轄內,trong phạm vi trực thuộc,dalam wilayah yurisdiksi,,,,衛生福利部,社會基本福利法,,,
21376930,in laws,姻親,quan hệ thân nhân hình thành sau khi kết hôn,hubungan semenda,,,,移民署,外國人停居留及永久居留辦法,,,
21376931,in one’s own handwriting,親筆,tự tay (viết),tulisan sendiri,,,,警政署,,,,
21376932,in printing,印製,in ấn và sản xuất,mencetak,,,,衛生福利部,老人福利法,,,
21376933,in writing,書面,văn bản,secara tertulis,,,,警政署,道路交通管理處罰條例 ,,,
21376934,inadvertence,疏忽,sơ suất， lơ là,lalai,,,,衛生福利部,老人福利法,,,
21376935,incident ,變故,biến cố,insiden/musibah,,,,衛生福利部,,,,
21376936,inclusiveness,包容,bao dung,toleransi,,,,衛生福利部,社會基本福利法,,,
21376937,income tax,所得稅,thuế thu nhập,pajak penghasilan,,,,衛生福利部,,,,
21376938,incorporated foundation,財團,tập đoàn tài chính,yayasan,,,,衛生福利部,老人福利法,,,
21376939,independent living,自立生活,cuộc sống tự lập,hidup mandiri ,,,,衛生福利部,身心障礙者權益保障法,,,
21376940,independent living plan,自立生活計畫,kế hoạch sống tự lập,rencana hidup mandiri ,,,,衛生福利部,身心障礙者權益保障法,,,
21376941,indictment decision,起訴書,bản cáo trạng， văn bản khởi tố,surat dakwaan/gugatan,,,,移民署,外國人停居留及永久居留辦法,,,
21376942,Indigenous people of Taiwan,原住民,Người bản địa， thổ dân gốc,suku aborigin,,,,警政署,,,,
21376943,individualized ,個別化,cá nhân hóa,individualisasi/untuk pribadi,,,,勞動部,中高齡者及高齡者就業促進法,,,
21376944,Indonesia,印尼,Indonesia,Indonesia,,,,移民署,外國人停居留及永久居留辦法,,,
21376945,inevitable incidents,不可避免之事變,sự cố không thể tránh khỏi,kejadian yang tidak dapat dihindari,,,,移民署,外國人停居留及永久居留辦法,,,
21376946,injured person,受傷者,người bị thương,korban yang luka,,,,警政署,道路交通管理處罰條例 ,,,
21376947,innocence,清白,trong sạch,tidak bersalah,,,,警政署,,,,
21376948,in-service,現役,đang tại ngũ,masih aktif militer ,,,,衛生福利部,,,,
21376949,inspection and acceptance,驗收,nghiệm thu,meninjau,,,,衛生福利部,社會基本福利法,,,
21376950,Installation,裝設,lắp đặt,memasang peralatan,,,,警政署,道路交通管理處罰條例,,,
21376951,institution-based,機構式,hình thức theo cơ quan,model pelayanan institusi,,,,衛生福利部,老人福利法,,,
21376952,instruction,教務,công tác giáo dục,administrasi,,,,勞動部,職業訓練機構設立及管理辦法,,,
21376953,International Driving Permit,國際駕照,bằng lái quốc tế,Surat Izin Mengemudi (SIM) Internasional,,,,警政署,,,,
21376954,interpreter,通譯 ,thông dịch,penerjemah,,,,警政署,,,,
21376955,interrogator,詢問人,người thẩm vấn,penanya,,,,警政署,道路交通管理處罰條例,,,
21376956,interview report,調查筆錄 ,biên bản điều tra,Berita Acara Pemeriksaan/BAP,,,,警政署,,,,
21376957,interviewee,受詢問人,người được hỏi/ người bị thẩm vấn,orang yang diinterogasi,,,,警政署,,,,
21376958,interviewer,詢問人 ,người thẩm vấn,petugas yang menginterogasi,,,,警政署,,,,
21376959,Items Required for Health Certificate,健康檢查證明應檢查項目表,bảng danh mục cần kiểm tra trong giấy chứng nhận kiểm tra sức khỏe,daftar rincian pemeriksaan kesehatan,,,,移民署,外國人停居留及永久居留辦法,,,
21376960,job dispatch,派工,điều cử nhân công,penugasan,,,,勞動部,就業促進津貼實施辦法,,,
21376961,job opportunities,就業機會,cơ hội việc làm,peluang kerja/lowongan kerja,,,,移民署,外國人停居留及永久居留辦法,,,
21376962,job-seeking leave,求職假,nghỉ phép để tìm việc,cuti mencari kerja,,,,勞動部,就業促進津貼實施辦法,,,
21376963,judicial proceeding,訴訟程式 ,quy trình tố tụng,proses litigasi,,,,警政署,,,,
21376964,Judicial Yuan,司法院,Viện tư pháp,Badan Yudikatif,,,,移民署,外國人停居留及永久居留辦法,,,
21376965,jumped off the boat,跳船,nhảy khỏi tàu,lompat dari kapal,,,,警政署,,,,
21376966,junior college,專科,chuyên ngành,Sekolah Menengah Kejuruan,,,,勞動部,職業訓練法,,,
21376967,junior high school,國民中學,trường trung học cơ sở,Sekolah Menengah Pertama,,,,勞動部,職業訓練法,,,
21376968,justice,正義,chính nghĩa,keadilan,,,,衛生福利部,社會基本福利法,,,
21376969,ketamine  ,K他命,Ketamine,Ketamin,,,,警政署,,,,
21376970,labor,勞力,sức lao động,tenaga kerja,,,,警政署,,,,
21376971,Labor Standards Act,勞動基準法,Luật Tiêu chuẩn lao động,Undang-Undang Standar Ketenagakerjaan,,,,勞動部,中高齡者及高齡者就業促進法,,,
21376972,labor supply  ,供工,cung cấp lao động,menyediakan tenaga kerja,,,,警政署,,,,
21376973,labor-management,勞雇,người lao động và chủ sử dụng,ketenagakerjaan ,,,,衛生福利部,社會基本福利法,,,
21376974,legal aid,法律扶助 ,hỗ trợ pháp lý,bantuan hukum,,,,警政署,,,,
21376975,legal entity,法人,pháp nhân,badan hukum,,,,警政署,性騷擾防治法,,,
21376976,legally ,合法,hợp pháp,legal,,,,移民署,外國人停居留及永久居留辦法,,,
21376977,license plate,車號,biển số xe,Tanda Nomor Kendaraan Bermotor (TNKB),,,,警政署,道路交通管理處罰條例,,,
21376978,Lifetime,終身,suốt đời,seumur hiup,,,,警政署,道路交通管理處罰條例 ,,,
21376979,lighter,打火機,bật lửa,macis / korek api,,,,警政署,,,,
21376980,lineal blood relative,直系血親,huyết thống trực hệ,keluarga sedarah dalam garis keturunan lurus,,,,移民署,外國人停居留及永久居留辦法,,,
21376981,listed and disbursed,列支,ghi chép chi tiêu,menyusun daftar,,,,勞動部,職業訓練法,,,
21376982,lives,生命,sinh mạng,nyawa/kehidupan,,,,衛生福利部,老人福利法,,,
21376983,local village heads,當地村長,trưởng thôn tại địa phương,kepala desa setempat,,,,衛生福利部,老人福利法,,,
21376984,localized ageing,在地老化,sự già hóa của địa phương,penuaan di tempat,,,,衛生福利部,老人福利法,,,
21376985,Location charts,位置圖,bản đồ vị trí,peta lokasi,,,,勞動部,職業訓練機構設立及管理辦法,,,
21376986,log ,紀錄表,bảng ghi chép,catatan,,,,勞動部,就業促進津貼實施辦法,,,
21376987,lost property,遺失物 ,đồ thất lạc,barang yang hilang,,,,警政署,,,,
21376988,low (economic condition),勉持 ,cận nghèo,ekonomi pas-pasan,,,,警政署,,,,
21376989,Mainland Area,大陸地區,khu vực đại lục,daerah daratan China,,,,移民署,外國人停居留及永久居留辦法,,,
21376990,male client / patron,男客,khách nam,pelanggan pria,,,,警政署,,,,
21376991,malice ,惡意,ác ý,maksud/niat jahat,,,,衛生福利部,,,,
21376992,man at the conscription age,役齡男子,nam giới trong độ tuổi nhập ngũ,pria usia wajib militer,,,,移民署,外國人停居留及永久居留辦法,,,
21376993,man near the conscription age ,接近役齡男子,nam giới gần đến tuổi nhập ngũ,pria mendekati usia wajib militer,,,,移民署,外國人停居留及永久居留辦法,,,
21376994,management,管理權,quyền quản lý,hak mengelola,,,,衛生福利部,老人福利法,,,
21376995,marijuana ,大麻,cần sa,ganja,,,,警政署,,,,
21376996,mark,標誌,biểu tượng/bảng dấu hiệu/ biển báo,simbol/tanda,,,,衛生福利部,老人福利法,,,
21376997,Marking,標繪,đánh dấu,pemetaan,,,,警政署,道路交通管理處罰條例 ,,,
21376998,materials,用品,đồ dùng,barang,,,,勞動部,職業訓練機構設立及管理辦法,,,
21376999,Medical Care Act,醫療法,Luật y tế,Undang-Undang kesehatan,,,,衛生福利部,老人福利法,,,
21377000,medical certificate,診斷證明 ,giấy chứng nhận chẩn đoán,surat keterangan diagnosis,,,,警政署,,,,
21377001,medical institution,醫療機構,cơ sở y tế,lembaga medis,,,,移民署,外國人停居留及永久居留辦法,,,
21377002,medical staff,醫事人員,nhân viên y tế,tenaga medis,,,,衛生福利部,身心障礙者權益保障法,,,
21377003,medium built,中等身材的,tầm vóc trung bình,berbadan sedang,,,,警政署,,,,
21377004,medium-low income,中低收入,thu nhập trung bình và thấp,pendapatan menengah ke bawah,,,,衛生福利部,老人福利法,,,
21377005,meeting ,會報,hội báo,memberi tahu ,,,,衛生福利部,老人福利法,,,
21377006,meeting agenda,議事錄,ghi chép hội nghị,notula,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377007,men and women  ,男女,nam nữ,pria dan wanita,,,,警政署,,,,
21377008,mental disability,精神障礙 ,rối loạn tinh thần,gangguan mental,,,,警政署,,,,
21377009,mentioned above,上述,trình bày ở trên,yang disebut di atas,,,,警政署,,,,
21377010,methamphetamine  ,西可巴比妥,secobarbital,Methamphetamine  ,,,,警政署,,,,
21377011,middle-/low-income ,中低收入,thu nhập trung bình và thấp,pendapatan menengah ke bawah,,,,勞動部,就業促進津貼實施辦法,,,
21377012,middleman  ,中間人,người trung gian,perantara,,,,警政署,,,,
21377013,migrant workers  ,移工,người lao động nước ngoài,buruh migran,,,,警政署,,,,
21377014,military prosecutorial agency,軍事檢察機關,cơ quan kiểm sát quân sự,Badan Kejaksaan Militer,,,,移民署,外國人停居留及永久居留辦法,,,
21377015,military retirement payment,軍人退休俸,lương hưu quân nhân,uang pensiun militer,,,,勞動部,就業促進津貼實施辦法,,,
21377016,minimum hourly wage,最低時薪,lương tối thiểu theo giờ,gaji minimum/terendah per jam (UMR),,,,警政署,,,,
21377017,Ministry of Foreign Affairs,外交部,Bộ ngoại giao,Kementerian Luar Negeri,,,,移民署,外國人停居留及永久居留辦法,,,
21377018,Ministry of Health and Welfare,衛生福利部,Bộ phúc lợi y tế,Kementerian Kesehatan dan Kesejahteraan,,,,移民署,外國人停居留及永久居留辦法,,,
21377019,Ministry of Justice,法務部,Bộ pháp vụ,Kementerian Kehakiman,,,,移民署,外國人停居留及永久居留辦法,,,
21377020,Ministry of National Defense,國防部,Bộ quốc phòng,Kementerian Pertahanan,,,,移民署,外國人停居留及永久居留辦法,,,
21377021,Ministry of the Interior,內政部,bộ nội vụ,Kementerian Dalam Negeri,,,,移民署,外國人停居留及永久居留辦法,,,
21377022,missing migrant workers,失聯移工,lao động nước ngoài mất liên lạc (bỏ trốn),buruh migran yang tidak diketahui keberadaannya / kaburan,,,,警政署,,,,
21377023,missionary ,傳教,truyền giáo,menyebarkan agama,,,,移民署,外國人停居留及永久居留辦法,,,
21377024,mobile phone,行動電話,điện thoại di động,telepon seluler/HP,,,,警政署,道路交通管理處罰條例,,,
21377025,models ,模式,mô hình,model/cara,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377026,Modification,改裝,cải tạo nâng cấp,memodifikasi,,,,警政署,道路交通管理處罰條例 ,,,
21377027,money laundering  ,洗錢,rửa tiền,pencucian uang,,,,警政署,,,,
21377028,money mule,車手,người vận chuyển (tiền， hàng do lừa đảo được),kaki tangan pelaku kriminal yang mengambil uang korban penipuan,,,,警政署,,,,
21377029,money transfer scam ,匯款詐騙,lừa đảo chuyển khoản,penipuan transfer uang,,,,警政署,,,,
21377030,morphine  ,嗎啡,morphine,Morfin,,,,警政署,,,,
21377031,mortgage ,抵押,thế chấp,menggadaikan; digadaikan,,,,衛生福利部,老人福利法,,,
21377032,motorcycle exclusive lane,機車專用道,làn đường dành cho xe máy,jalur khusus sepeda motor,,,,警政署,,,,
21377033,movable property,動產,động sản,harta bergerak,,,,衛生福利部,,,,
21377034,Myanmar,緬甸,"Myanmar / Miến Điện,",Myanmar,,,,移民署,外國人停居留及永久居留辦法,,,
21377035,nalorphine,納洛芬,nalorphine,Nalorphine ,,,,警政署,,,,
21377036,name of the account,戶名,tên trên tài khoản ngân hàng,nama pemilik rekening,,,,衛生福利部,,,,
21377037,Narcotics Hazard  Prevention Act,毒品危害防制條例,điều luật phòng chống nguy hại do ma túy,peraturan pencegahan bahaya narkoba,,,,警政署,,,,
21377038,national ,全民,toàn dân,seluruh rakyat,,,,衛生福利部,,,,
21377039,National Health Insurance,全民健保,bảo hiểm y tế toàn dân,Asuransi Kesehatan Nasional ,,,,衛生福利部,,,,
21377040,national territory,國土,lãnh thổ quốc gia,lahan negara,,,,衛生福利部,社會基本福利法,,,
21377041,nationality,籍,quốc tịch,kebangsaan,,,,警政署,,,,
21377042,nationals without household registration in the Taiwan Area,臺灣地區無戶籍國民,Công dân không có hộ khẩu tại khu vực Đài Loan,warga negara tanpa registrasi rumah tangga di wilayah Taiwan,,,,移民署,禁止外國人入國作業規定,,,
21377043,natural disaster,天災,thiên tai,bencana alam,,,,移民署,外國人停居留及永久居留辦法,,,
21377044,New Taiwan Dollar,新臺幣,Đài tệ,New Taiwan Dollar/NTD,,,,移民署,外國人停居留及永久居留辦法,,,
21377045,nicknames,綽號,biệt danh,nama panggilan/alias,,,,警政署,,,,
21377046,night club,夜店,quán bar， câu lạc bộ đêm,klub malam,,,,警政署,,,,
21377047,Nobody,無人,không có người,tidak ada orang,,,,警政署,道路交通管理處罰條例 ,,,
21377048,non-emergency situation,非遇突發,không phải bất ngờ xảy ra,keadaan yang bukan terjadi dengan tiba-tiba,,,,警政署,道路交通管理處罰條例 ,,,
21377049,non-prosecution decision,不起訴處分書,bản quyết định không khởi tố,amar putusan lepas dari tuntutan hukum,,,,移民署,外國人停居留及永久居留辦法,,,
21377050,nonsense,胡說 ,nói nhảm， nói xằng,omong kosong,,,,警政署,,,,
21377051,not be banned from entry,不予禁止入國,không bị cấm nhập cảnh,tidak dilarang untuk masuk ke negara,,,,移民署,禁止外國人入國作業規定,,,
21377052,not easily,不宜,không thích hợp,tidak sesuai,,,,勞動部,職業訓練法,,,
21377053,not eligible for entering R.O.C.(Taiwan) via the visa-waiver scheme or landing visa program,不得以免簽證或落地簽證方式入國,không được nhập cảnh bằng cách miễn thị thực hoặc xin thị thực tại cửa khẩu,tidak diperkenankan memasuki negara dengan fasilitas bebas visa atau visa on arrival (VOA),,,,移民署,禁止外國人入國作業規定,,,
21377054,notary,公證人,công chứng viên,notaris,,,,移民署,禁止外國人入國作業規定,,,
21377055,notification form,通知單,giấy thông báo,surat pemberitahuan,,,,警政署,,,,
21377056,number of days,天數,số ngày,jumlah hari,,,,勞動部,就業促進津貼實施辦法,,,
21377057,nurturing,培育,nuôi dưỡng,membina,,,,警政署,犯罪被害人權益保障法,,,
21377058,object,標的,mục tiêu,sasaran/target,,,,衛生福利部,,,,
21377059,of (one's) own free will,在(某人的)自由意識下,theo ý thức tự do của (ai đó),dengan kesadaran sendiri,,,,警政署,,,,
21377060,offense indictable with a complaint,告訴乃論,tiến hành tố tụng sau khi nhận đơn,delik aduan,,,,警政署,性騷擾防治法,,,
21377061,official stamp,職名章,con dấu chức danh,stempel jabatan,,,,警政署,,,,
21377062,on impulse,一時衝動,nông nổi nhất thời/ bồng bột nhất thời,keinginan mendadak tanpa pikir panjang,,,,警政署,,,,
21377063,on the date takes effect,生效日,ngày có hiệu lực,tanggal efektif/berlaku,,,,勞動部,職業訓練法,,,
21377064,On the road,上路,lên đường,berkendara,,,,警政署,,,,
21377065,on the spot,當場,tại hiện trường,di tempat; di lokasi,,,,警政署,,,,
21377066,on/in/at,駐,tại,bertempat,,,,警政署,,,,
21377067,one-half,半數,một nửa,setengah,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377068,online ,網路,mạng internet,internet,,,,移民署,外國人停居留及永久居留辦法,,,
21377069,opium  ,鴉片,thuốc phiện,Opium,,,,警政署,,,,
21377070,organization,機構,cơ quan / tổ chức,lembaga /instansi,,,,移民署,外國人停居留及永久居留辦法,,,
21377071,organization of a funeral,喪葬事宜,việc tang lễ,hal-hal pemakaman,,,,移民署,外國人停居留及永久居留辦法,,,
21377072,original ,正本,bản gốc,salinan asli,,,,衛生福利部,,,,
21377073,original visa,原簽證,thị thực gốc,visa awal,,,,移民署,外國人停居留及永久居留辦法,,,
21377074,Outer,外側,phía bên ngoài,sisi luar,,,,警政署,道路交通管理處罰條例,,,
21377075,outer lane,外車道,làn đường xe bên ngoài,jalur luar,,,,警政署,,,,
21377076,overall ,總體,tổng thể,keseluruhan,,,,衛生福利部,社會基本福利法,,,
21377077,overdue,逾時,quá thời gian,lewat waktu,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377078,overdue fine of 0.2 percent,百分之零點二滯納金,phí nộp trễ 0.2%,"denda keterlambatan 0,2%",,,,勞動部,職業訓練法,,,
21377079,overseas compatriot at the conscription age,僑民役男,nam kiều bào trong độ tuổi nhập ngũ,pria wajib militer Tionghoa perantauan,,,,移民署,外國人停居留及永久居留辦法,,,
21377080,Overseas Compatriot Identity Certificate,華僑身分證明書,giấy chứng nhận thân phận gốc người Hoa kiều,surat bukti status Tionghoa perantauan,,,,移民署,外國人停居留及永久居留辦法,,,
21377081,Overseas Compatriot Identity Endorsement,僑居身分加簽,gia hạn thân phận kiều bào,mengesahkan identitas Tionghoa perantauan,,,,移民署,外國人停居留及永久居留辦法,,,
21377082,overstay,逾期居留,lưu trú quá hạn,tinggal melebihi batas waktu izin tinggal,,,,警政署,,,,
21377083,overstay the visa duration,逾期停留、居留,lưu trú， cư trú quá hạn,"overstay; tinggal melebihi masa tinggal, menetap",,,,移民署,禁止外國人入國作業規定,,,
21377084,owner ,屋主,chủ nhà,pemilik rumah,,,,衛生福利部,老人福利法,,,
21377085,Parking,停車,đỗ xe,parkir,,,,警政署,,,,
21377086,particularity,特殊性,tính đặc thù， tính đặc biệt,keunikan,,,,衛生福利部,社會基本福利法,,,
21377087,Parts,機件,máy móc linh kiện,komponen / bagian ,,,,警政署,道路交通管理處罰條例 ,,,
21377088,part-time,部分工時,làm việc  bán thời gian,paruh waktu,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377089,Passage,通行,đi lại,melintas/ diberi izin melewati,,,,警政署,道路交通管理處罰條例,,,
21377090,passbook  ,存摺,sổ tiết kiệm,buku tabungan,,,,警政署,,,,
21377091,passenger seat,副駕駛座 ,ghế phụ lái,kursi di samping pengemudi,,,,警政署,,,,
21377092,passport,護照,hộ chiếu,paspor,,,,移民署,外國人停居留及永久居留辦法,,,
21377093,pedestrian,行人,người đi bộ,pejalan kaki,,,,衛生福利部,老人福利法,,,
21377094,penis,陰莖,dương vật,penis,,,,警政署,,,,
21377095,pentazocine  ,潘他唑新,pentazocine,Pentazocine,,,,警政署,,,,
21377096,performance evaluation,考績,đánh giá thành tích công việc,penilaian kinerja,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377097,permitted to enter the ROC,許可入國,cho phép nhập cảnh,diizinkan masuk ke negara,,,,移民署,外國人停居留及永久居留辦法,,,
21377098,Perpetrator,肇事者,người gây tai nạn,pelaku kecelakaan,,,,警政署,道路交通管理處罰條例 ,,,
21377099,personal,人身,thân thể,diri sendiri,,,,警政署,犯罪被害人權益保障法,,,
21377100,personal belongings,隨身物品,đồ mang theo bên mình,barang bawaan pribadi,,,,警政署,,,,
21377101,personal information,年籍資料 ,thông tin cá nhân (ngày tháng năm sinh， hộ tịch hộ khẩu…),data identitas/biodata,,,,警政署,,,,
21377102,Personal Information Protection Act,個人資料保護法,Luật Bảo vệ dữ liệu cá nhân,undang-undang perlindungan data pribadi,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377103,persons who acquire disabilities later in life,中途致障者,người giữa chừng trở thành khuyết tật,penyandang disabilitas non-kongenital,,,,衛生福利部,身心障礙者權益保障法,,,
21377104,pertinent judgment,判決書,bản án/ bản phán quyết,surat keputusan,,,,勞動部,就業促進津貼實施辦法,,,
21377105,pethidine,配西汀,pethidine,Pethidine,,,,警政署,,,,
21377106,phone call  ,打電話,gọi điện thoại,menelepon,,,,警政署,,,,
21377107,phone-care,電話問安,điện thoại hỏi thăm,memberi perhatian lewat telepon,,,,衛生福利部,老人福利法,,,
21377108,photo line-up ,照片指認 ,nhận diện qua ảnh,mengidentifikasikan foto ,,,,警政署,,,,
21377109,physical ,人身,cá nhân/ bản thân,fisik/badan/tubuh,,,,衛生福利部,,,,
21377110,physical/mental disability,身心障礙,khuyết tật,disabilitas fisik dan mental,,,,移民署,外國人停居留及永久居留辦法,,,
21377111,pimp,馬伕,người đưa đón (mại dâm),oknum yang antar jemput pelacur,,,,警政署,,,,
21377112,place of birth,出生地,nơi sinh,tempat lahir,,,,警政署,,,,
21377113,plan ,興辦,khởi xướng,mengadakan/menyelenggarakan,,,,衛生福利部,社會基本福利法,,,
21377114,plate number,車牌號碼 ,biển số xe,plat nomor kendaraan,,,,警政署,,,,
21377115,Points,點數,điểm số,poin,,,,警政署,道路交通管理處罰條例 ,,,
21377116,Police criminal records,員警刑事紀錄證明,giấy chứng nhận hồ sơ hình sự/ Lý lịch tư pháp,surat catatan kriminal polisi,,,,移民署,外國人停居留及永久居留辦法,,,
21377117,police station,派出所,đồn cảnh sát,kantor polisi,,,,警政署,,,,
21377118,Political party,政黨,đảng chính trị,partai politik,,,,勞動部,就業促進津貼實施辦法,,,
21377119,poppy  ,罌粟,cây anh túc (cây thuốc phiện),tanaman opium poppy (Papaver somniferum),,,,警政署,,,,
21377120,potential,潛能,tiềm năng,potensi,,,,衛生福利部,社會基本福利法,,,
21377121,power of attorney,委託書,giấy ủy quyền,surat kuasa,,,,勞動部,就業促進津貼實施辦法,,,
21377122,preceding paragraph,前款,điều khoản ở phía trên,ketentuan yang sebelumnya,,,,衛生福利部,老人福利法,,,
21377123,precinct,分局 ,chi cục,Polsek (Kepolisian Sektor),,,,警政署,,,,
21377124,previous criminal conviction,前科 ,tiền án tiền sự,catatan kriminal,,,,警政署,,,,
