ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21375562,discussion,研商,nghiên cứu thảo luận,diskusi,,,,,,,,
21375563,dismissal; discharge,解僱,"sa thải, cho nghỉ việc",pemutusan kontrak kerja,,,,,,,,
21375564,dismissal; rejection,駁回,bác bỏ,ditolak,,,,,,,,
21375565,dispensing pharmacy,調劑,điều chế thuốc,mengatur; menyesuaikan,,,,,,,,
21375566,"disposition, ruling",處分,"xử lý, trừng phạt",hukuman,,,,,,,,
21375567,dissemination,散布,"công bố, rải truyền, phát tán",menyebarkan,,,,,,,,
21375568,dissuade,勸阻,khuyên can,menasehati; menghalangi,,,,,,,,
21375569,distinguished,卓越,vượt trội,luar biasa,,,,,,,,
21375570,diversity,多元性,tính đa dạng,keanekaragaman,,,,,,,,
21375571,division,劃分,"phân chia, hoạch định",membagi,,,,,,,,
21375572,do not allow,不及,không kịp,tidak memenuhi,,,,,,,,
21375573,doctor-patient,醫病,điều trị bệnh,dokter dan pasien,,,,,,,,
21375574,document,書據,tài liệu,bukti tertulis; dokumen bukti,,,,,,,,
21375575,document files,卷宗,"hồ sơ, tài liệu",berkas,,,,,,,,
21375576,document review,查閱,đọc và kiểm tra,mencari; memeriksa,,,,,,,,
21375577,domain; field,領域,"lãnh thổ, lĩnh vực",bidang,,,,,,,,
21375578,domestic violence prevention center,家庭暴力防治中心,trung tâm phòng chống và điều trị bạo lực gia đình,pusat pencegahan kekerasan dalam rumah tangga,,,,,,,,
21375579,domicile registration,設籍,đăng ký nhập hộ tịch hộ khẩu,pendaftaran Kartu Keluarga,,,,,,,,
21375580,draftee,役男,nam thanh niên thực hiện nghĩa vụ quân sự,pria militer,,,,,,,,
21375581,driver,駕駛人,người điều khiển phương tiện giao thông,pengemudi,,,,,,,,
21375582,drug addiction,藥癮,nghiện thuốc,ketergantungan obat-obatan; kecanduan obat-obatan,,,,,,,,
21375583,drug rehabilitation center,戒治所,trung tâm cải tạo,tempat rehabilitasi,,,,,,,,
21375584,drug; medicine,藥劑,"thuốc, dược phẩm",obat-obatan,,,,,,,,
21375585,due diligence,善盡,tận lực hoàn thành,semaksimal,,,,,,,,
21375586,duties,職掌,"phụ trách chức vụ, nắm chức vụ",bertanggung jawab atas; bertugas,,,,,,,,
21375587,dwelling place,住居所,nơi cư trú,tempat tinggal,,,,,,,,
21375588,earth and stones,土石,đất đá,bangunan,,,,,,,,
21375589,easily; with ease,輕易,"dễ dàng, đơn giản",dengan mudah,,,,,,,,
21375590,economic recession,不景氣,"kinh tế suy thoái, kinh tế xuống dốc",lesu; tidak meningkat,,,,,,,,
21375591,educare,教保,giáo dục và bảo vệ trẻ em,perlindungan pendidikan,,,,,,,,
21375592,education services,就學服務,dịch vụ phục vụ học tập,pelayanan bersekolah,,,,,,,,
21375593,effect; validity,效力,hiệu lực,efektifitas,,,,,,,,
21375594,effectiveness,效益,"hiệu ích, hiệu quả",keuntungan,,,,,,,,
21375595,efficiency,效能,"hiệu năng, hiệu suất",efektivitas,,,,,,,,
21375596,embezzlement,侵占,"chiếm đoạt, xâm chiếm",pengambilan ilegal,,,,,,,,
21375597,emergency placement,緊急安置,bố trí khẩn cấp,penempatan darurat,,,,,,,,
21375598,emergency protection order,緊急保護令,lệnh bảo hộ khẩn cấp,perintah perlindungan darurat,,,,,,,,
21375599,emergency rescue,緊急救援,"trợ viện khẩn cấp, hỗ trợ khẩn cấp",bantuan darurat,,,,,,,,
21375600,employee,受僱人,"người lao động, người được thuê",pekerja,,,,,,,,
21375601,employer,雇主,chủ sử dụng lao động,pemberi kerja; majikan,,,,,,,,
21375602,employment,聘僱,"tuyển dụng, thuê mướn",mempekerjakan,,,,,,,,
