ID,英文名稱,中文名稱,圖片,化學式,更新日期
334790,methacryloyl,甲基丙烯醯基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CO－,2012-11-26
334791,metanilyl,間胺苯磺醯基,,H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>－,2012-11-26
334792,mesyl; methanesulfonyl,甲磺醯基,,CH<sub>3</sub>SO<sub>2</sub>－,2012-11-26
334793,mesoxalyl,中草醯基,,－COCOCO－,2012-11-26
334794,α-mesityl,"α-【草米】基；3,5-二甲苯甲基；3,5-二甲苄基",,(CH<sub>3</sub>)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>－,2012-11-26
334795,mesoxalo,酸中草醯基,,HOOCCOCO－,2012-11-26
334796,mesityl,"【草米】基；2,4,6-三甲苯基",,(CH<sub>3</sub>)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>－,2012-11-26
334797,mesaconoyl,中康醯基,,－COC(CH<sub>3</sub>)=CHCO－,2012-11-26
334798,mercapto,巰基；氫硫基,,HS－,2012-11-26
334799,menthyl,【草孟】基,,CH<sub>3</sub>CH(CH<sub>2</sub>)<sub>2</sub>CH(CH<sub>3</sub>)<sub>2</sub>CH<sub>2</sub>CH－,2012-11-26
334800,menthenyl,【艹孟】烯基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
334801,melissyl,蜜蠟基；三十基,,C<sub>30</sub>H<sub>6</sub><sub>1</sub>－,2012-11-26
334802,mandeloyl,苦杏仁醯基；苯乙醇醯基,,C<sub>6</sub>H<sub>5</sub>CH(OH)CO－,2012-11-26
334803,maloyl {hydroxybutanedioyl},蘋果醯基 {羥丁二醯基},,－OCCH(OH)CH<sub>2</sub>CO－,2012-11-26
334804,maloyl,蘋果醯基；羥丁二醯基,,－COCH(OH)CH<sub>2</sub>CO－,2012-11-26
334805,malonyl,丙二醯基,,－COCH<sub>2</sub>CO－,2012-11-26
334806,maleoyl,順丁烯二醯基,,－COCH=CHCO－,2012-11-26
334807,lysyl,離胺醯基,,H<sub>2</sub>N(CH<sub>2</sub>)<sub>4</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334808,linalyl,沈香基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
334809,leucyl,白胺醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334810,lauryl {dodecyl},月桂基 {十二基},,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>5</sub>－,2012-11-26
334811,lauroyl,月桂醯基；十二醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>10</sub>CO－,2012-11-26
334812,lanthionyl,羊毛硫胺醯基,,－COCH(NH<sub>2</sub>)CH<sub>2</sub>SCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334813,lactoyl; lactyl {2-hydroxypropanoyl},乳醯基 {2-羥丙醯基},,CH<sub>3</sub>CH(OH)CO－,2012-11-26
334814,lactoyl,乳醯基,,CH<sub>3</sub>CH(OH)CO－,2012-11-26
334815,keto,酮基,,O=C<,2012-11-26
334816,isoxazolyl,異【口咢】唑基,,C<sub>3</sub>H<sub>2</sub>NO－,2012-11-26
334817,isoviolanthrenyl,異【艹法】基,,C<sub>3</sub><sub>4</sub>H<sub>1</sub><sub>9</sub>－,2012-11-26
334818,isovaleryl,異戊醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CO－,2012-11-26
334819,isoureido,異脲基,,NH=C(OH)NH－,2012-11-26
334820,isothioureido,異硫脲基,,NH=C(SH)NH－,2012-11-26
334821,isothiocyano,異硫氰酸基,,S=C=N－,2012-11-26
334822,isothiocyanato,異硫氰基,,SCN－,2012-11-26
334823,isothiazolyl,異噻唑基,,SNC<sub>3</sub>H<sub>2</sub>－,2012-11-26
334824,isosemicarbazido,異半卡肼,,H<sub>2</sub>NNHC(OH)=N－,2012-11-26
334825,isoselenocyanato,異硒氰基,,SeCN－,2012-11-26
334826,isoquinolyl,異喹啉基,,NC<sub>9</sub>H<sub>6</sub>－,2012-11-26
334827,isopropylphenyl,異丙苯基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>－,2012-11-26
334828,isopropylidene,亞異丙基,,(CH<sub>3</sub>)<sub>2</sub>C=,2012-11-26
334829,isopropylbenzylidene,異丙亞苄基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334830,isopropylbenzyl,異丙苄基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334831,isopropylbenzoyl,異丙苯甲醯基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334832,isopropyl,異丙基,,(CH<sub>3</sub>)<sub>2</sub>CH－,2012-11-26
334833,isopropoxy,異丙氧基,,(CH<sub>3</sub>)<sub>2</sub>CHO－,2012-11-26
334834,isopropenyl,異丙烯基,,CH<sub>2</sub>=C(CH<sub>3</sub>)－,2012-11-26
334835,isoprenyl,異平基,,(CH<sub>3</sub>)<sub>2</sub>CCHCH<sub>2</sub>－,2012-11-26
334836,isophthalylidene,亞異酞基 {間苯二亞甲基},,=CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334837,isophthaloyl,異酞醯基 {間苯二甲醯基},,－OCC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334838,isopentyloxy,異戊氧基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>O－,2012-11-26
334839,isopentylidyne,次異戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>C≡,2012-11-26
334840,isopentyl,異戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334841,isopentylidene,亞異戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH=,2012-11-26
334842,isonitroso {oxyamino; oximino},異亞硝基 {羥亞胺基},,HON=,2012-11-26
334843,isonitroso,異亞硝基,,HON=,2012-11-26
334844,isonitro {aci-nitro},異硝基 {酸硝基},,HOON=,2012-11-26
334845,isonicotinoyl,異菸鹼醯基,,NC<sub>5</sub>H<sub>4</sub>CO－,2012-11-26
334846,isoleucyl,異白胺醯基,,C<sub>4</sub>H<sub>9</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334847,isoindolyl,異吲哚基,,NC<sub>8</sub>H<sub>6</sub>－,2012-11-26
334848,isoindolinyl,異二氫吲哚基；異吲哚啉基,,NC<sub>8</sub>H<sub>8</sub>－,2012-11-26
334849,isohexylidyne,次異己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>2</sub>C≡,2012-11-26
334850,isohexylidene,亞異己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>2</sub>CH=,2012-11-26
334851,isocyano,異氰基,,CN－,2012-11-26
334852,isohexyl,異己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334853,isocyanato,異氰酸基,,O=C=N－,2012-11-26
334854,isocumarinyl,異香豆素基,,O<sub>2</sub>C<sub>7</sub>H<sub>5</sub>－,2012-11-26
334855,isocrotonoyl,異巴豆醯基；順丁烯醯基,,cis-CH<sub>3</sub>C=CCO－,2012-11-26
334856,isocoumarinyl,異香豆素基,,O<sub>2</sub>C<sub>9</sub>H<sub>5</sub>－,2012-11-26
334857,isochromanyl,異【口克】基,,OC<sub>7</sub>H<sub>9</sub>－,2012-11-26
334858,isocarbonohydrazido,異卡肼基,,H<sub>2</sub>NN=C(OH)NHNH－,2012-11-26
334859,isobutyryl,異丁醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCO－,2012-11-26
334860,isobutylidyne,次異丁基,,(CH<sub>3</sub>)<sub>2</sub>CHC≡,2012-11-26
334861,isobutylidene,亞異丁基,,(CH<sub>3</sub>)<sub>2</sub>CHCH=,2012-11-26
334862,isobutylene,伸異丁基,,－C<sub>4</sub>H<sub>8</sub>－,2012-11-26
334863,isobutyl,異丁基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>－,2012-11-26
334864,isobutoxy,異丁氧基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>O－,2012-11-26
334865,isobutenyl,異丁烯基,,(CH<sub>3</sub>)<sub>2</sub>C=CH－,2012-11-26
334866,isobornyl,異【草伯】基 {異莰基},,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
334867,isobenzofuranyl,異苯并呋喃基,,OC<sub>8</sub>H<sub>5</sub>－,2012-11-26
334868,isoamylidene,亞異戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH=,2012-11-26
334869,isoamylene,伸異戊基,,－C<sub>5</sub>H<sub>10</sub>－,2012-11-26
334870,isoamyl,異戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334871,isoamoxy,異戊氧基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>O－,2012-11-26
334872,isoallyl {1-propenyl},異烯丙基 {1-丙烯基},,CH<sub>3</sub>CH=CH－,2012-11-26
334873,iodyl,二氧碘基,,O<sub>2</sub>I－,2012-11-26
334874,iodoxy,二氧碘基,,O<sub>2</sub>I－,2012-11-26
334875,iodosyl,氧碘基,,OI－,2012-11-26
334876,iodoso,氧碘基,,OI－,2012-11-26
334877,iodonio,氫碘基,,HI<sup>+</sup>－,2012-11-26
334878,iodoformyl,碘甲醯基；碘羰基,,ICO－,2012-11-26
334879,iodo,碘基,,I－,2012-11-26
334880,indolyl,吲哚基,,NC<sub>8</sub>H<sub>6</sub>－,2012-11-26
334881,3-indolinylidene,3-亞吲哚啉基,,,2012-11-26
334882,indolinylidene,亞吲哚啉基；亞二氫吲哚基,,NC<sub>8</sub>H<sub>7</sub>=,2012-11-26
334883,indolinyl,吲哚啉基；二氫吲哚基,,NC<sub>8</sub>H<sub>8</sub>－,2012-11-26
334884,indenyl,茚基,,C<sub>9</sub>H<sub>7</sub>－,2012-11-26
334885,indazolyl,吲唑基,,C<sub>7</sub>H<sub>5</sub>N<sub>2</sub>－,2012-11-26
334886,indanyl,二氫茚基,,C<sub>9</sub>H<sub>9</sub>－,2012-11-26
334887,indacenyl,二環戊二烯并苯基,,C<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
334888,iminomethylamino,亞胺甲胺基,,HN=CHNH－,2012-11-26
334889,imino,亞胺基,,HN<,2012-11-26
334890,imido,亞胺基,,HN<,2012-11-26
334891,imidazolyl,咪唑基,,C<sub>3</sub>H<sub>3</sub>N<sub>2</sub>－,2012-11-26
334892,imidazolinyl,咪唑啉基；二氫咪唑基,,C<sub>3</sub>H<sub>5</sub>N<sub>2</sub>－,2012-11-26
334893,imidazolidyl,咪唑啶基；四氫咪唑基,,C<sub>3</sub>H<sub>7</sub>N<sub>2</sub>－,2012-11-26
334894,imidazolidinyl,四氫咪唑基；咪唑啶基,,C<sub>3</sub>H<sub>7</sub>N<sub>2</sub>－,2012-11-26
334895,icosyl,二十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
334896,hydroxypropanedioyl; tartronoyl,羥丙二醯基,,－OCCH(OH)CO－,2012-11-26
334897,hydroxymethyl,羥甲基,,HOCH<sub>2</sub>－,2012-11-26
334898,hydroxyl {hydroxyl},羥基,,HO－,2012-11-26
334899,hydroxyethanoyl,羥乙醯基 ,,HOCH<sub>2</sub>CO－,2012-11-26
334900,2-hydroxypropanoyl {lactoyl},羥丙醯基 {乳醯基},,CH<sub>3</sub>CH(OH)CO－,2012-11-26
334901,2-hydroxy-3-methoxybenzoyl {vanilloyl},2-羥-3-甲氧苯甲醯基；2-羥-3-甲氧苄醯基 {香草醯基},,HOC<sub>6</sub>H<sub>3</sub>(OCH<sub>3</sub>)CO－,2012-11-26
334902,hydroxybutanedioyl {maloyl},羥丁二醯基 {蘋果醯基},,－OCCH(OH)CH<sub>2</sub>CO－,2012-11-26
334903,2-hydroxybenzylidene {salicylidene},2-羥亞苄基 {亞柳基},,2-HOC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334904,2-hydroxybenzyl {salicyl},2-羥苄基 {柳基},,2-HOC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334905,p-hydroxybenzoyl,對羥苯甲醯基；對羥苄醯基,,p-HOC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334906,o-hydroxybenzoyl {salicyloyl},鄰-羥苯甲醯基；鄰-羥苄醯基 {柳醯基},,<p>o-HOC<sub>6</sub>H<sub>4</sub>CO－</p>,2012-11-26
334907,m-hydroxybenzoyl,間羥苯甲醯基；間羥苄醯基,,m-HOC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334908,hydroxyamino,羥胺基,,HONH－,2012-11-26
334909,hydroxy {hydroxyl},羥基,,HO－,2012-11-26
334910,hydroximino,羥亞胺基,,HON<,2012-11-26
334911,hydroseleno,氫硒基,,HSe－,2012-11-26
334912,hydroperoxy,氫過氧基,,HOO－,2012-11-26
334913,hydrocinnamyl,氫桂皮基 {3-苯丙基},,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334914,hydrocinnamoyl,氫桂皮醯基,,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
334915,hydrazono,亞肼基,,H<sub>2</sub>NN=,2012-11-26
334916,hydrazo,伸肼基；氫偶氮基,,－NHNH－,2012-11-26
334917,hydrazino,肼基,,H<sub>2</sub>NNH－,2012-11-26
358410,hydrazi,環肼基,,－NHNH－,2012-11-26
358411,hydratropoyl,氫阿托醯基；氫龍葵醯基 {2-苯丙醯基},,C<sub>6</sub>H<sub>5</sub>CH(CH<sub>3</sub>)CO－,2012-11-26
358412,hydnocarpyl,大風子基,,C<sub>5</sub>H<sub>7</sub>(CH<sub>2</sub>)<sub>10</sub>CH<sub>2</sub>－,2012-11-26
358413,hydnocarpoyl,大風子醯基,,C<sub>5</sub>H<sub>7</sub>(CH<sub>2</sub>)<sub>10</sub>CO－,2012-11-26
358414,hydantoyl,脲乙醯基,,H<sub>2</sub>NCONHCH<sub>2</sub>CO－,2012-11-26
358415,"homoveratryl {3,4-dimethoxyphenethyl}","升藜蘆基 {3,4-二甲氧苯乙基}",,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358416,"homoveratroyl {3,4-dimethoxyphenylacetyl}","升藜蘆醯基 {3,4-二甲氧苯乙醯基}",,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CO－,2012-11-26
358417,homoseryl,高絲胺醯基,,HOCH<sub>2</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358418,"homopiperonyl {3,4-methylenedioxyphenethyl}","升胡椒基 {3,4-亞甲二氧苯乙基}",,(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358419,homocysteinyl,高半胱胺醯基,,HSCH<sub>2</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358420,histidyl,組胺醯基,,C<sub>4</sub>H<sub>5</sub>N<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358421,hippuryl {hippuroyl},馬尿醯基,,C<sub>6</sub>H<sub>5</sub>CONHCH<sub>2</sub>CO－,2012-11-26
358422,hippuroyl {hippuryl},馬尿醯基,,C<sub>6</sub>H<sub>5</sub>CONHCH<sub>2</sub>CO－,2012-11-26
358423,hexyloxy,己氧基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>O－,2012-11-26
358424,hexylidyne,次己基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>C≣,2012-11-26
