ID,英文詞彙,中文名詞,更新日期
21329435,eagle catches chicks,老鷹捉小雞,
21329436,earthenware casserole;earthen casserole;clay pot,砂鍋,
21329437,eddo;baby taro,小芋頭,
21329438,egret,白鷺鷥,
21329439,eight-legged essay;formulaic writing;baguwen,八股文,
21329440,embroidered shoes;Chinese-style embroidered shoes,繡花鞋,
21329441,embroidery,刺繡,
21329442,erhu (Chinese two-stringed bowed instrument),二胡,
21329443,evening self-study period,晚自習,
21329444,extracurricular talent class,才藝班,
21329445,Falun Gong,法輪功,
21329446,fantuan;stuffed rice ball,飯糰,
21329447,fat choy (algae),髮菜,
21329448,female Taoist priest,女道士(道姑),
21329449,feng shui,風水,
21329450,feng;(Chinese) phoenix,鳳,
21329451,fermented black beans;douchi,豆豉,
21329452,fermented tofu,豆腐乳,
21329453,fireworks (display),煙火秀,
21329454,First Seventh-Day (ceremony),頭七,
21329455,fish ball,魚丸,
21329456,five passes,過五關,
21329457,five-grain rice;five grain mix (with rice),五穀米(飯),
21329458,five-spice powder,五香粉,
21329459,flag-raising ceremony,升旗典禮,
21329460,flaky peanut treat;gong tang,貢糖,
21329461,flaky square cookie,方塊酥,
21329462,flat peach,蟠桃 (扁桃),
21329463,flunk out for failing half of credits,被二一,
21329464,flute,橫笛(長笛),
21329465,foot-binding;bound feet,纏足,
21329466,forehead wrinkles;worry lines,抬頭紋,
21329467,Formosan (landlocked) salmon,台灣鮭/櫻花鉤吻鮭,
21329468,formulaic;cliché,很八股,
21329469,freshwater perch,河鱸魚,
21329470,fried rice noodles;fried mifen,炒米粉,
21329471,frown lines;glabellar lines,眉間紋,
21329472,fry;pan-fry,煎,
21329473,garland chrysanthemum;crown daisy,茼蒿,
21329474,garlic shoots;garlic scapes,蒜苔,
21329475,General Scholastic Ability Test (GSAT),學測 (學科能力測驗),
21329476,germ rice,胚芽米,
21329477,germinated rice,發芽米,
21329478,gezixi;Taiwanese opera,歌仔戲,
21329479,Ghost Festival;Zhongyuan Festival,中元節,
21329480,gifted class;gifted program,資優班,
21329481,glutinous rice;sticky rice,糯米,
21329482,Go (game),圍棋,
21329483,God of Heaven,天公,
21329484,goji;goji berry;lycium;matrimony vine,枸杞,
21329485,golden shower tree,阿勃勒,
21329486,goldenrain tree,臺灣欒樹,
21329487,gongbi painting;Chinese fine brush painting,工筆畫,
21329488,gongfu tea (ceremony);kung fu tea (ceremony),功夫茶,
21329489,"good cop, bad cop collusion;in cahoots (with)",唱雙簧,
21329490,govern without striving;laissez-faire;delegate/govern without interference;let go of the reins;macromanagement;hands-off management,無為而治,
21329491,graduation play;graduation performance; graduation presentation,畢業公演,
21329492,green bean,四季豆,
21329493,grill,烤 (放在架上或烤網),
21329494,grilled corn on the cob,烤玉米,
21329495,grilled squid,烤魷魚,
21329496,gua bao;pork belly steamed bun,刈包 (割包),
21329497,Guangdong embroidery;Yue embroidery,粵繡,
21329498,guava,番石榴 (芭樂),
21329499,guiling gelatin;turtle shell gelatin,龜苓膏,
21329500,guotie;pot sticker,鍋貼,
21329501,guqin;seven-stringed zither,古琴,
21329502,guzheng;Chinese zither,古箏,
21329503,Hami melon (新疆哈密瓜),哈密瓜,
21329504,he;(the Confucian virtue of) harmony,和,
21329505,head constable,捕頭,
21329506,hengpi;horizontal inscription,橫批,
21329507,herbal bath therapy,藥浴,
21329508,heritage language,本土語言,
21329509,high mountain tea,高山茶,
21329510,high-gluten flour;strong flour,特高筋麵粉,
21329511,hoisin sauce,海鮮醬,
21329512,Holy Emperor Guan Yu;Guan Yu,關聖帝君(關公),
21329513,homeroom teacher (中小學); advisor (大學校院),班導師,
21329514,honey peach,水蜜桃,
21329515,honeydew melon,(光皮) 洋香瓜,
21329516,honorable mention;commendation,嘉獎,
21329517,hook (stroke),鉤,
21329518,hopscotch,跳房子,
21329519,horizontal (stroke),橫,
21329520,horizontal scroll,橫軸,
21329521,hornet,虎頭蜂,
21329522,hot and sour soup,酸辣湯,
21329523,hot compression therapy,熱熨療法,
21329524,hot mesona jelly,燒仙草,
21329525,hua niao (painting);bird-and-flower painting,花鳥畫,
21329526,huaju;(stage) play,話劇 (舞台劇),
21329527,human-trafficking ring;people-smuggling ring;human-smuggling ring,人蛇集團,
21329528,Hunan embroidery;Xiang embroidery,湘繡,
21329529,hush money,封口費,
21329530,hutong;narrow alley,胡同,
21329531,I Ching;Book of Changes,易經,
21329532,iced aiyu fig jelly;aiyu jelly (with ice),愛玉冰,
21329533,imperial civil service exam,科舉制度,
