ID,英文名稱,中文名稱,圖片,化學式,更新日期
523927,sinalbin,白芥苷,,C<Sub>30</Sub><Font>H</Font><Sub>42</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>15</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
523928,silver tartrate,酒石酸銀,,Ag<Sub>2</Sub><Font>C</Font><Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>6</Sub>,2012-11-26
523929,silver stearate,硬脂酸銀；十八酸銀,,AgC<Sub>18</Sub><Font>H</Font><Sub>35</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523930,silver salicylate,柳酸銀,,AgC<Sub>7</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
523931,silver propionate,丙酸銀,,AgC<Sub>3</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523932,silver picrate,苦味酸銀；三硝苯酚銀,,AgOC<Sub>6</Sub><Font>H</Font><Sub>2</Sub><Font>(NO</Font><Sub>2</Sub><Font>)</Font><Sub>3</Sub>,2012-11-26
523933,silver phenolsulfonate,酚磺酸銀,,Ag(HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SO</Font><Sub>3</Sub><Font>)</Font>,2012-11-26
523934,silver palmitate,軟脂酸銀；十六酸銀,,AgC<Sub>16</Sub><Font>H</Font><Sub>31</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523935,silver myristate,肉豆蔻酸銀；十四酸銀,,AgC<Sub>14</Sub><Font>H</Font><Sub>27</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523936,silver levulinate,果糖衍酸銀；乙醯丙酸銀,,AgC<Sub>5</Sub><Font>H</Font><Sub>7</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
523937,silver lactate,乳酸銀,,AgC<Sub>3</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
523938,silver laurate,月桂酸銀；十二酸銀,,AgC<Sub>12</Sub><Font>H</Font><Sub>21</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523939,silver hydrogen citrate,檸檬酸氫銀,,Ag<Sub>2</Sub><Font>HC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>7</Sub>,2012-11-26
523940,silver benzoate,苯甲酸銀；苄酸銀,,AgC<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CO</Font><Sub>2</Sub>,2012-11-26
523941,silver acetylide,乙炔銀,,Ag<Sub>2</Sub><Font>C</Font><Sub>2</Sub>,2012-11-26
523942,silver acetate,乙酸銀,,AgC<Sub>2</Sub><Font>H</Font><Sub>3</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523943,silvan; 2-methylfuran,2-甲呋喃,,CH<Sub>3</Sub><Font>C</Font><Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>O</Font>,2012-11-26
523944,silicoacetic acid; methanesiliconic acid,矽乙酸；甲【酉+夕】酸,,CH<Sub>3</Sub><Font>SiOOH</Font>,2012-11-26
523945,silicobenzoic acid; benzenesiliconic acid,苯【酉+夕】酸,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>SiOOH</Font>,2012-11-26
523946,sialic acid; lactaminic acid,唾液酸,,C<Sub>11</Sub><Font>H</Font><Sub>19</Sub><Font>NO</Font><Sub>9</Sub>,2012-11-26
523947,shogaol,薑酚,,C<Sub>17</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
523948,shikonin; alkannin,紫草素,,C<Sub>16</Sub><Font>H</Font><Sub>16</Sub><Font>O</Font><Sub>5</Sub>,2012-11-26
523949,shikimol; safrole,黃樟油精,,C<Sub>10</Sub><Font>H</Font><Sub>10</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523950,shikimic acid; sikimic acid,"莽草酸；3,4,5-三羥-1-環己烯甲酸",,C<Sub>7</Sub><Font>H</Font><Sub>10</Sub><Font>O</Font><Sub>5</Sub>,2012-11-26
523951,serpentine,蛇根鹼,,C<Sub>21</Sub><Font>H</Font><Sub>20</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
523952,serotonin; 5-hydroxytryptamine,腦激胺；5-羥色胺,,C<Sub>10</Sub><Font>H</Font><Sub>12</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font>,2012-11-26
523953,serine,絲胺酸,,HOCH<Sub>2</Sub><Font>CH(NH</Font><Sub>2</Sub><Font>)COOH</Font>,2012-11-26
523954,septazine; N-benzyl sulfanilamide; benzylsulfamide,苄胺苯磺胺；N-苄對胺苯磺醯胺；苄對胺苯磺醯胺,,<p>C<sub>13</sub>H<sub>14</sub>N<sub>2</sub>O<sub>2</sub>S</p>,2012-11-26
523955,senegenin,遠志酸,,C<Sub>30</Sub><Font>H</Font><Sub>45</Sub><Font>ClO</Font><Sub>6</Sub>,2012-11-26
523956,"senecioic acid; 3,3-dimethylacrylic acid",異戊烯酸；二甲烯丙酸,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C=CHCOOH</Font>,2012-11-26
523957,senecionine,千里光寧鹼,,C<Sub>18</Sub><Font>H</Font><Sub>25</Sub><Font>NO</Font><Sub>5</Sub>,2012-11-26
523958,semioxamazide; aminooxamide,胺草醯肼,,H<Sub>2</Sub><Font>NCOCONHNH</Font><Sub>2</Sub>,2012-11-26
523959,seminose; D-mannose,D-甘露糖,,C<Sub>5</Sub><Font>H</Font><Sub>11</Sub><Font>O</Font><Sub>5</Sub><Font>CHO</Font>,2012-11-26
523960,semi-β-carotenone,半-β-胡蘿蔔素酮,,C<Sub>40</Sub><Font>H</Font><Sub>56</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523961,semicarbazide hydrochloride,半卡肼鹽酸鹽,,H<Sub>2</Sub><Font>NCON</Font><Sub>2</Sub><Font>H</Font><Sub>3</Sub><Font>·HCl</Font>,2012-11-26
523962,semicarbazide,半卡肼；胺脲,,H<Sub>2</Sub><Font>NNHCONH</Font><Sub>2</Sub>,2012-11-26
523963,sedoheptulose,景天[酮庚]糖,,C<Sub>7</Sub><Font>H</Font><Sub>14</Sub><Font>O</Font><Sub>7</Sub>,2012-11-26
523964,selagine,卷柏石松鹼,,C<Sub>15</Sub><Font>H</Font><Sub>18</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font>,2012-11-26
523965,"9,10-secocholesta-5,7,10(19)-trien-3β-ol; vitamin D3",膽成骨醇；維生素D3；維他命D3,,C<Sub>27</Sub><Font>H</Font><Sub>44</Sub><Font>O</Font>,2012-11-26
523966,secalonic acid,麥角黃酮酸,,C<Sub>32</Sub><Font>H</Font><Sub>30</Sub><Font>O</Font><Sub>14</Sub>,2012-11-26
523967,sebacoyl chloride,泌脂醯氯,,ClCO(CH<Sub>2</Sub><Font>)</Font><Sub>8</Sub><Font>COCl</Font>,2012-11-26
523968,sebaconitrile,癸二腈,,NC(CH<Sub>2</Sub><Font>)</Font><Sub>8</Sub><Font>CN</Font>,2012-11-26
523969,sebacic acid piperazinium salt,酸式癸二酸哌【口+井】,,C<Sub>4</Sub><Font>H</Font><Sub>10</Sub><Font>N</Font><Sub>2</Sub><Font>·C</Font><Sub>10</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
523970,scutellarin,元參素；黃芹素,,C<Sub>21</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>12</Sub>,2012-11-26
523971,sebacic acid; sebacylic acid; octane dicarboxylic acid,泌酯酸；癸二酸,,(CH<Sub>2</Sub><Font>)</Font><Sub>8</Sub><Font>(COOH)</Font><Sub>2</Sub>,2012-11-26
523972,"scutellarein; 4',5,6,7-tetrahydroxy-flavone","元參酮；4',5,6,7-四羥黃酮",,C<Sub>15</Sub><Font>H</Font><Sub>10</Sub><Font>O</Font><Sub>6</Sub>,2012-11-26
523973,scopolin,莨菪苷,,C<Sub>16</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>9</Sub>,2012-11-26
523974,scopoletin; 7-hydroxy-6-methoxy-coumarin,莨菪素；7-羥-6-甲氧香豆素,,C<Sub>10</Sub><Font>H</Font><Sub>8</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
523975,scopolamine,莨菪鹼,,C<Sub>17</Sub><Font>H</Font><Sub>21</Sub><Font>NO</Font><Sub>4</Sub>,2012-11-26
523976,scilliroside,海葱葡苷,,C<Sub>32</Sub><Font>H</Font><Sub>44</Sub><Font>O</Font><Sub>12</Sub>,2012-11-26
523977,scoparin,金雀花素,,C<Sub>22</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>11</Sub>,2012-11-26
523978,scillaren A,海葱苷A,,C<Sub>36</Sub><Font>H</Font><Sub>52</Sub><Font>O</Font><Sub>13</Sub>,2012-11-26
523979,scillabiose,海葱二糖,,C<Sub>12</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>10</Sub>,2012-11-26
523980,"Schollkopf's acid; 1-naphthol-4,8-disulphonic acid","薛而考夫酸；1-萘酚-4,8-二磺酸",,C<Sub>10</Sub><Font>H</Font><Sub>8</Sub><Font>O</Font><Sub>7</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
523981,Schaffer's α-acid,α-薛佛酸；1-萘酚-2-磺酸,,HOC<Sub>10</Sub><Font>H</Font><Sub>6</Sub><Font>SO</Font><Sub>3</Sub><Font>H</Font>,2012-11-26
523982,scarlet red,猩紅,,C<Sub>24</Sub><Font>H</Font><Sub>20</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font>,2012-11-26
523983,scatol; skatole; 3-methyl-1H-indole,糞臭素；3-甲[-1H-]吲哚,,C<Sub>9</Sub><Font>H</Font><Sub>9</Sub><Font>N</Font>,2012-11-26
523984,scandium acetate,乙酸鈧,,Sc(CH<Sub>3</Sub><Font>COO)</Font><Sub>3</Sub>,2012-11-26
523985,scandium formate,甲酸鈧,,Sc(HCOO)<Sub>3</Sub>,2012-11-26
523986,satan,賽丹聚二氯乙烯,,(C<Sub>2</Sub><Font>H</Font><Sub>2</Sub><Font>Cl</Font><Sub>2</Sub><Font>)</Font><Sub>n</Sub>,2012-11-26
523987,sarcosine hydrochloride,肌胺酸鹽酸鹽,,HOOCCH<Sub>2</Sub><Font>NH(CH</Font><Sub>3</Sub><Font>)·HCl</Font>,2012-11-26
523988,sarcosine; N-methylglycine,肌胺酸；N-甲甘胺酸,,CH<Sub>3</Sub><Font>NHCH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
523989,sarcine; hypoxanthine,次黃嘌呤；6-氧嘌呤,,C<Sub>5</Sub><Font>H</Font><Sub>4</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font>,2012-11-26
523990,sarcolactic acid,肌乳酸；L(+)-乳酸,,CH<Sub>3</Sub><Font>CHOHCOOH</Font>,2012-11-26
523991,saponarin,皂草苷,,C<Sub>21</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font><Sub>12</Sub><Font>·2H</Font><Sub>2</Sub><Font>O</Font>,2012-11-26
523992,santonin,山道寧,,C<Sub>15</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
523993,santonic acid,山道酸,,C<Sub>15</Sub><Font>H</Font><Sub>20</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
523994,santene,檀烯,,C<Sub>9</Sub><Font>H</Font><Sub>14</Sub>,2012-11-26
523995,santalyl salicylate; santyl,柳酸檀香酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>15</Sub><Font>H</Font><Sub>23</Sub>,2012-11-26
523996,santalol,檀香醇,,C<Sub>15</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font>,2012-11-26
523997,santalic acid,檀香酸,,C<Sub>15</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
523998,sanorin,2-(1-萘甲)咪唑啉鹽酸鹽,,C<Sub>14</Sub><Font>H</Font><Sub>14</Sub><Font>N</Font><Sub>2</Sub><Font>·HCl</Font>,2012-11-26
523999,sanguinarine,血根鹼,,C<Sub>20</Sub><Font>H</Font><Sub>14</Sub><Font>NO</Font><Sub>4</Sub>,2012-11-26
524000,sanguinarine nitrate,血根樹鹼硝酸鹽,,C<Sub>20</Sub><Font>H</Font><Sub>15</Sub><Font>NO</Font><Sub>4</Sub><Font>·HNO</Font><Sub>3</Sub>,2012-11-26
524001,salvarsan; arsphenamine,606{藥名}；砷凡納明,,[AsC<Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)NH</Font><Sub>2</Sub><Font>]</Font><Sub>2</Sub>,2012-11-26
524002,salsoline,叉明草素,,C<Sub>11</Sub><Font>H</Font><Sub>15</Sub><Font>NO</Font><Sub>2</Sub>,2012-11-26
524003,salophen,沙洛芬 {柳酸對-乙醯胺苯酯},,<p>C<sub>6</sub>H<sub>4</sub>(OH)COOC<sub>6</sub>H<sub>4</sub>NH(COCH<sub>3</sub>)</p>,2012-11-26
524004,Salol; phenyl salicylate,沙洛；柳酸苯酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
524005,salocoll; phenocoll salicylate,沙洛科；柳酸非諾科,,C<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>(OC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)NHCOCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>C</Font><Sub>7</Sub><Font>H</Font><Sub>6</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
524006,salit; bornyl salicylate,柳酸【草(之上)+伯】酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>10</Sub><Font>H</Font><Sub>17</Sub>,2012-11-26
524007,salipyrine,柳酸安替比林,,C<Sub>18</Sub><Font>H</Font><Sub>18</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
524008,salinaphthol; Betol,柳酸萘酯；比妥耳,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>10</Sub><Font>H</Font><Sub>7</Sub>,2012-11-26
524009,saligenin-2-methyl ether,柳醇-2-甲醚,,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>OH</p>,2012-11-26
