ID,英文名稱,中文名稱,圖片,備註,更新日期
3365037,binomial theorem,二項式定理,,,2018-03-21
3365038,binomial variable,二項變項；二項變數,,,2018-03-21
3365039,bio-social environment,生物－社會環境,,,2018-03-21
3365040,bio-statistics,生物統計學；生物統計,,,2018-03-21
3365041,biographical data,傳記資料；生平資料,,,2018-03-21
3365042,biographical method,傳記方法,,,2018-03-21
3365043,biological altruism,生物性利他論,,,2018-03-21
3365044,biological approach,生物學取向,,,2018-03-21
3365045,biological determinism,生物決定論,,,2018-03-21
3365046,biological environment,生物環境,,,2018-03-21
3365047,biological evolutionism,生物演化論,,,2018-03-21
3365048,biological reductionism,生物化約論,,,2018-03-21
3365049,biological sex,生物性別,,,2018-03-21
3365050,biological sociology,生物社會學,,,2018-03-21
3365051,biopolitics,生命政治,,,2018-03-21
3365052,biopower,生命權力,,,2018-03-21
3365053,biosociology,生物社會學,,,2018-03-21
3365054,biphobia,恐雙性戀症,,,2018-03-21
3365055,birth cohort,出生世代,,,2018-03-21
3365056,birth control,生育控制；節育,,,2018-03-21
3365057,birth interval,出生間隔,,,2018-03-21
3365058,birth order,出生序；排行；胎次,,,2018-03-21
3365059,birth order ratio,胎次比,,,2018-03-21
3365060,birth rate,出生率,,,2018-03-21
3365061,birth target,生育目標,,,2018-03-21
3365062,births outside marriage,非婚生子女,,,2018-03-21
3365063,bisexuality,雙性；雙性特質；雙性傾向；雙性戀,,,2018-03-21
3365064,bivariate analysis,雙變項分析,,,2018-03-21
3365065,bivariate regression,雙變項迴歸；二元迴歸,,,2018-03-21
3365066,bivariate statistics,雙變項統計學,,,2018-03-21
3365067,black feminism,黑人女性主義,,,2018-03-21
3365068,black language,黑人語言,,,2018-03-21
3365069,black power,黑權,,,2018-03-21
3365070,black studies,黑人研究,,,2018-03-21
3365071,black-collar worker,黑領工人,,,2018-03-21
3365072,blaming the victim,責備受害人,,,2018-03-21
3365073,blasé,疲煩,,,2018-03-21
3365074,blasé feeling,倦乏感,,,2018-03-21
3365075,blended family,重組家庭；再生家庭,,,2018-03-21
3365076,block model,區塊模型,,,2018-03-21
3365077,block modeling,區塊模型分析,,,2018-03-21
3365078,block sampling,區段抽樣,,,2018-03-21
3365079,block(s),街廓；街區；區段,,,2018-03-21
3365080,blue collar,藍領,,,2018-03-21
3365081,blue-collar workers,藍領工人,,,2018-03-21
3365082,body,身體,,,2018-03-21
3365083,body language,肢體語言；身體語言,,,2018-03-21
3365084,body self,身體自我,,,2018-03-21
3365085,body techniques,身體技藝；身體技術,,,2018-03-21
3365086,Bogardus scale,鮑氏量表,,,2018-03-21
3365087,bolshevism,布爾什維克主義；多數主義,,,2018-03-21
3365088,bonded labor,抵債勞動；抵債奴工,,,2018-03-21
3365089,boomerang effect,回力棒效應,,,2018-03-21
3365090,borough[s],自治區；自治都市；區,,,2018-03-21
3365091,bound labor,契約苦勞,,,2018-03-21
3365092,boundary maintenance,界限維持,,,2018-03-21
3365093,bounded rationality,有限理性,,,2018-03-21
3365094,bounded rationality model,有限理性模型,,,2018-03-21
3365095,bounded relationality model,有限理性模型,,,2018-03-21
3365096,bourgeois,布爾喬亞；資產階級,,,2018-03-21
3365097,bourgeois society,布爾喬亞社會；資產階級社會,,,2018-03-21
3365098,bourgeoisie,布爾喬亞；資產階級,,,2018-03-21
3365099,"""bow-wow"" theory of language",語言的自然模仿說,,,2018-03-21
3365100,boycott,杯葛；聯合抵制,,,2018-03-21
3365101,bracketing,存而不論；放入括弧；懸置,,,2018-03-21
3365102,brain drain,人才外流,,,2018-03-21
3365103,brainwashing,洗腦,,,2018-03-21
3365104,brand,品牌,,,2018-03-21
3365105,brand culture,品牌文化；名牌文化,,,2018-03-21
3365106,brand loyalty,品牌忠誠,,,2018-03-21
3365107,breaching method,斷裂法,,,2018-03-21
3365108,bricolage,拼裝；修補術；拼貼,,,2018-03-21
3365109,bride purchase,購買新娘,,,2018-03-21
3365110,broken family,破碎家庭,,,2018-03-21
3365111,broken windows theory of crime,犯罪的破窗理論,,,2018-03-21
3365112,Brundtland Report,布朗特蘭報告書,,,2018-03-21
3365113,Buddhism,佛教,,,2018-03-21
3365114,built environment,人造環境,,,2018-03-21
3365115,buisness cycle,商業循環,,,2018-03-21
3365116,bullet theory,子彈論,,,2018-03-21
3365117,bureaucracy,科層制；官僚制,,,2018-03-21
3365118,bureaucratization,科層化；官僚化,,,2018-03-21
3365119,busing,跨族通學,,,2018-03-21
3365120,bystander effect,旁觀者效應,,,2018-03-21
3365121,calculability,可計算性,,,2018-03-21
3365122,calling,使命；天職；召喚,,,2018-03-21
3365123,calvinism,喀爾文主義；加爾文主義,,,2018-03-21
3365124,cannibalism,食人習俗,,,2018-03-21
3365125,canon,典律；正典,,,2018-03-21
3365126,canonical factor analysis,主軸因素分析,,,2018-03-21
3365127,capital,資本；首都,,,2018-03-21
3365128,capital accumulation,資本積累,,,2018-03-21
3365129,capital flow,資本流動,,,2018-03-21
3365130,capital formation,資本形成,,,2018-03-21
3365131,capital fractions,資本部門分化,,,2018-03-21
3365132,capital punishment,死刑,,,2018-03-21
3365133,capital-intensive industry,資本密集產業,,,2018-03-21
3365134,capitalism,資本主義,,,2018-03-21
3365135,capitalist,資本家,,,2018-03-21
3365136,capitalist agriculture,資本主義農業,,,2018-03-21
3365137,capitalist economy world,資本主義經濟世界,,,2018-03-21
3365138,capitalist mode of production,資本主義生產方式,,,2018-03-21
