ID,英文詞彙,中文詞彙,更新日期
21370363,bumblebee,噪音器；大黃蜂,
21370364,buoy deck,浮筒甲板,
21370365,burial anchor,埋入錨；埋入水底錨,
21370366,burn-off rate,熔融速率,
21370367,business network international (BNI),國際網路商會；國際商業網路平臺,
21370368,business requirement document (BRD),商業需求文檔,
21370369,butt-seam welding,對接縫銲接,
21370370,buttwelded joint,對接銲接頭,
21370371,butyl benzyl phthalate,磷苯二甲酸苄；磷苯二甲酸丁苄酯,
21370372,butyl methacrylate,甲基丙烯酸丁酯,
21370373,butyl/decyl/cetyl/eicosyl/methacrylate mixture,甲基/丙烯酸/丁酯/癸酯/十六酯/二十酯混合物,
21370374,butylamine,丁胺；正丁胺,
21370375,butyric acid,丁酸,
21370376,byte computer,位元計算機；字節計算機,
21370377,C４ISR+combat systems (C５ISR),指管通資情監偵及作戰系統,
21370378,C４ISR+target acquisition (C４ISTAR),指管通資情監偵及目標定位,
21370379,cabin deck,住艙甲板；起居甲板,
21370380,calcareous organism,含鈣{海}生物,
21370381,calcium hypochlorite solution,次氯酸鈣溶液,
21370382,calcium naphthenate,環烷酸鈣,
21370383,camphor oil,樟腦油,
21370384,canted flight deck,{航母}斜角飛行甲板,
21370385,capacitive pressure sensor,電容式壓力感測器,
21370386,capping run,表面道,
21370387,car stowage deck,停車甲板；車輛裝載甲板,
21370388,carbolic oil,碳酸油,
21370389,carbon credit,碳權,
21370390,carbon disulphide,二硫化碳,
21370391,carbon emission credit,碳排放權；碳排放額度,
21370392,carbon tetrachloride,四氯化碳,
21370393,card-programmed computer,卡片程式化電腦；穿孔卡程序計算機,
21370394,cargo deck,載貨甲板,
21370395,cargo space,裝貨空間；貨艙；載貨艙位；載貨容積,
21370396,cargo-carrying capacity (cargo capacity),載貨量；貨艙容量,
21370397,cargo-carrying cubic capacity,載貨容量,
21370398,cargo-generating capacity,攬貨能力,
21370399,carrier gas,載送氣體,
21370400,carrying capacity,載運量；載重量；載貨量；承載能力；載流容量{電力},
21370401,cashew nut shell liquid (CNSL),腰果殼液,
21370402,cashew nut shell oil,腰果殼油；檟如堅果殼油,
21370403,catapult device,彈射機構,
21370404,catapult extension chamber,彈射器伸展腔,
21370405,catapult holdback arms,彈射器保險裝置彎桿,
21370406,catapult holdback fitting,彈射器保險裝置接頭,
21370407,catapult hook,彈射掛鉤,
21370408,catapult installation,彈射裝置,
21370409,catapult keel,{飛機}彈射裝置加強梁,
21370410,catapult launcher,彈射起飛裝置,
21370411,catapult launching,彈射器發射；起飛噴射裝置,
21370412,catapult model test,彈射模型試驗,
21370413,catapult passage,飛機彈射道,
21370414,catapult trough,彈射槽,
21370415,catapultable fleet fighter,彈射起飛的海軍戰鬥機,
21370416,catapulted aircraft,彈射起飛的飛機,
21370417,catapulting speed,彈射速率,
21370418,catapulting test,彈射試驗,
21370419,cattle deck,牲口甲板,
21370420,causal-feedback,因果回饋,
21370421,ceiling effect,天花板效應；高限效應,
21370422,celestial guidance,天文導向,
21370423,celestial navigation,天文航海；天文導航法,
21370424,celestial navigation computer,天文導航電腦,
21370425,cellar deck,窖層甲板{鑽油臺}；{平臺的}底層甲板；泥漿淨化甲板,
21370426,center anchor,船艏柱錨,
21370427,central processing computer,中央數據處理計算機,
21370428,cetyl/eicosyl methacrylate mixture,甲基丙烯酸十六~二十甘酯,
21370429,chaff simulator,干擾物模擬器,
21370430,chain trough,錨鍊導槽,
21370431,chain-drag-loop anchor,制動鏈錨,
21370432,channel navigation,水道航行法；水道航行,
21370433,characteristic extreme value,特徵極值,
21370434,characteristic period,特徵週期,
21370435,Chat Generative Pre-trained Transformer (chat GPT),聊天生成式預訓練轉換器,
21370436,check list,查核表；核驗清單；核驗表；核對表；檢查單；查驗表；檢核表,
21370437,checkered deck,防滑甲板；防滑花格甲板；花紋甲板,
21370438,chinese landing,逆靠；順流靠泊,
21370439,chloroacetic acid,氯醋酸；氯乙酸,
21370440,chlorobenzene,氯苯,
21370441,chloroform,三氯甲烷,
21370442,chlorosulphonic acid,氯磺酸,
21370443,chlorotoluene,氯甲苯,
21370444,circle deck,{炮塔}旋回臺,
21370445,close stowing anchor,有桿轉爪錨；馬丁錨；緊密收藏錨,
21370446,cloud computing service model,雲端運算服務模型；雲端運算部署模式,
21370447,cloud-based hub,雲端基匯集中心,
21370448,coal tar naphtha solvent,煤焦油石腦溶劑,
21370449,coast guard patrol,海岸防衛巡邏,
21370450,coastwise navigation,沿海航行法；沿海航行,
21370451,coated deck,覆蓋甲板；塗敷甲板,
21370452,coating technical file (CTF),塗層技術檔案,
21370453,coffee personality test,咖啡心理測驗,
21370454,cognitive dissonance theory,認知失調理論,
21370455,cognitive psychology,認知心理學,
21370456,cold cracking test,冷裂試驗,
21370457,cold navigation,冷行{魚雷入水後發動機未點著火僅靠壓縮空氣或慣性力所作的航行},
21370458,collapsible anchor,可倒式錨；可折式錨,
21370459,collapsible boat anchor,可折式小艇錨；可摺式小艇錨,
21370460,collection of smart devices,聰穎設施總成；聰穎設施集成；智能設施集成,
21370461,command system simulator,指揮系統模擬器,
21370462,command、control、communications、computers、intelligence、surveillance、reconnaissance (C４ISR),指揮、管制、通信、資訊、情報、監視、偵查； 指管通資情監偵,
21370463,common anchor,普通有杆錨；普通錨,
21370464,Common Structural Rules (CSR),結構共同規範,
21370465,compatible computer,相容計算機；相容電腦,
21370466,competitiveness,競爭力,
21370467,compiling computer,編譯電腦,
21370468,complex frequency,複頻；複數頻率；複合頻率,
21370469,computer integrated production management system (CIPMS),電腦整合生產管理系統,
21370470,computerized navigation,計算機導航；電腦化導航,
21370471,concurrent computer,並行計算機；並行操作計算機；同作電腦；同作計算機,
21370472,conditional probability,條件機率,
21370473,conductivity temperature depth (CTD),鹽溫深儀,
21370474,cone anchor,浮錨；流錨；海錨,
21370475,confederate,假的參加者；連累者,
21370476,confusion matrix,混淆矩陣,
21370477,consistent underestimate,一致性低估,
21370478,constrained autonomous control system,侷限型自主控制系統,
21370479,constrained autonomous ship,侷限型自主船,
21370480,construction delay,工期延誤,
21370481,container deck,貨櫃甲板,
21370482,container space,貨櫃艙位,
21370483,continuously unmanned ship (CUS),持續型無人船,
21370484,control center deck,控制中心甲板,
21370485,control computer,控制電腦,
21370486,control element,控制元件,
21370487,"control, processing, display computer (CPDC)",控制、數據處理及影像顯示電腦,
21370488,control-room simulator,控制室模擬器,
21370489,conventional anchor,常規錨；傳統式錨,
21370490,cooling time,冷卻時間,
21370491,cornucopia sea anchor,聚寶盆式海錨,
21370492,corporate resources,共同資源,
21370493,cosmetic pass,整形道,
21370494,cosmetic run,整形道,
21370495,counter attitudinal behavior,反態度行為,
21370496,coupled bending and torsion vibration,彎扭耦合振動；彎扭偶合振動,
21370497,coupled FE/BE method,耦合有限元 / 邊界元法；偶合有限元素 / 邊界元素法,
21370498,coupled FE/HIE method,耦合有限元素 / 亥姆霍茲積分方程法；偶合有限元素 / 亥姆霍茲積分方程法,
21370499,coupled finite-element/boundary-element method,耦合有限元 / 邊界元法；偶合有限元素 / 邊界元素法,
21370500,coupled finite-element/Helmholtz integral equation method,耦合有限元素 / 亥姆霍茲積分方程法；偶合有限元素 / 亥姆霍茲積分方程法,
21370501,course and speed computer,航向航速計算機,
21370502,course line computer,航線計算機,
21370503,crack growth rate curve,裂縫成長率曲線,
21370504,crack growth resistance curve (R-curve),抗裂韌度曲線,
21370505,crack length,裂縫長度,
21370506,creational pattern,創建型模式,
21370507,cresol,甲酚,
21370508,critical crack length,臨界裂縫長度,
21370509,critical parameter,關鍵參數,
21370510,cross hawse,錨鏈絞纏；180˚絞花{拋雙錨時船身旋轉180˚},
21370511,crotonaldehyde,巴豆醛；二丁烯醛,
21370512,crowned deck,梁拱甲板,
21370513,cruciform joint,十字接頭,
21370514,crude chlorohydrin,粗製氯乙醇,
21370515,crustal movement survey,地殼移動調查,
21370516,cumulative probability function,累積機率函數,
21370517,cutch timber,{支撐橫梁端或木條甲板末端之}水平材,
21370518,cut-off computer,斷流計算機；截止計算機；開關計算機；開關計數器,
21370519,cyber physical system (CPS),信息物理系統,
21370520,cyber space technology,網路空間技術,
21370521,cyclohexane,環己烷,
21370522,cyclohexanol,環己醇,
21370523,cyclohexanone,環己酮,
21370524,cyclohexylamine,環己胺,
21370525,Danforth anchor,丹佛斯錨；燕尾錨,
21370526,data accuracy,資料精度,
21370527,data acquisition method,量測資料擷取方法,
21370528,data bus,資料匯流排,
21370529,data computer,電腦數據存儲器；數據計算機,
21370530,data format,資料格式,
21370531,data processing,資料處理；資料處理作業,
21370532,data processing and calibration,資料處理與校正,
21370533,data processing unit (DPI),數據處理器,
21370534,data standardization,資料標準化,
21370535,data-driven welding,數據驅動銲接,
21370536,dead reckoning,船位推測法；航位推測法,
21370537,dead reckoning computer,船位推算計算機；航位推算計算機,
21370538,deadline anchor,限位錨,
21370539,dead-reckoning navigation,航位推測法；船位推算航行法；航跡繪算導航{圖},
21370540,deadweight anchor,自重錨,
21370541,Decca navigation,迪卡導航法,
21370542,decene,癸烯,
21370543,decimal computer,十進制計算機,
21370544,decision support system,決策支援系統 (侷限型自動化),
21370545,deck area,甲板面積,
21370546,deck at side,甲板邊線{船圖結構模線},
21370547,deck hawse,甲板錨鏈孔,
21370548,deck in bunting,{船上}掛滿旗幟,
21370549,deckhouse deck,甲板室甲板；艙室甲板,
21370550,decyl acrylate,丙烯酸苯酯,
21370551,decyl alcohol,癸醇,
21370552,deduction factor,減額因子；修減因子,
21370553,deep penetration throat thickness,喉深滲透深度,
21370554,deep water simulator,深水模擬器,
21370555,deepsea anchor,深水錨,
21370556,deepwater anchor,深水錨,
21370557,degaussing computer,消磁系統計算機；消磁電腦,
21370558,degration,減低；退化；降級；衰變 ；下降；軟化,
21370559,delayed works,工程延誤,
21370560,Delta-Flipper Flipper anchor (Flipper-Delta anchor),三角鰭式錨{一種大抓力錨},
21370561,Dennis anchor,丹尼斯錨,
