ID,英文詞彙,中文詞彙,更新日期
21371253,nitrobenzene,硝基苯,
21371254,nitropropane / nitroethane mixture,硝基丙烷 / 硝基乙烷混合物,
21371255,nitrotoluene,硝基甲苯,
21371256,N-methyl-2-pyrrolidone (NMP),N-甲基-2-吡咯烷酮；N-甲基四氫咯酮[2],
21371257,noise dose meter,噪音劑量計,
21371258,noise induced hearing loss,噪音性聽力損失；噪音引起的聽力損失,
21371259,noise meter,噪音計,
21371260,noise prediction,噪音預測,
21371261,nominal thickness,標稱厚度,
21371262,nominal throat thickness,標稱喉深,
21371263,nominal total dry film thickness (NDFT),公稱乾膜厚度,
21371264,non-conservative linear system,非保守線性系統,
21371265,non-developmental item (NDI),非開發項目,
21371266,nonene,壬烯,
21371267,nonlinear shallow water wave theory,非線性淺水波理論,
21371268,nonlinear wave,非線性波,
21371269,nonlinear wave force,非線性波浪力,
21371270,non-load bearing partition,非承重隔間牆,
21371271,non-riding anchor,非受力錨,
21371272,non-side protection subdivision system ship,非護舷分艙系統船,
21371273,nonyl alcohol,壬醇,
21371274,nonylphenol,壬酚,
21371275,Norfolk anchor,諾福克錨,
21371276,normal distribution,常態分佈；正態分佈,
21371277,Northill lightweight folding seaplane anchor,落思爾輕量摺爪錨,
21371278,notch stress,缺口應力；凹口應力,
21371279,n-pentane,正戊烷,
21371280,n-propanolamine,正-丙醇胺,
21371281,n-propylamine,正丙胺,
21371282,nuclear weapons simulator,核武器模擬器,
21371283,numerical computation,數值計算,
21371284,object computer,目標計算機,
21371285,object-to-film distance,物體至底片距離,
21371286,obscure defect,掩蓋缺陷,
21371287,observation accuracy,觀測資料精度,
21371288,observation deck,瞭望甲板；觀測甲板,
21371289,observation tower,瞭望塔,
21371290,occurrence of exceedance,超越次數；超越發生率,
21371291,occurrence rate,發生率,
21371292,Ocean Affairs Council (OCA),海洋委員會,
21371293,ocean navigation,大洋航海,
21371294,oceanographic sensor,海洋學感測器；海洋感測器,
21371295,o-chloronitrobenzene,鄰氯硝基苯,
21371296,o-chlorotoluene,鄰氯甲苯,
21371297,octanol,辛醇,
21371298,octene,辛烯,
21371299,o-dichlorobenzene,鄰二氯苯,
21371300,offdrill anchor,大爪錨{適用於近海之砂泥海底},
21371301,officer's deck,高級船員住艙甲板,
21371302,offshore drilling equipment,近海鑽井設備,
21371303,offshore navigation,離岸航行,
21371304,oil capacity,油容量；油量,
21371305,oil cargo capacity,貨油裝載量,
21371306,oil passageway,油管,
21371307,olefins,烯烴,
21371308,"olefins,straight chain mixture",烯屬烴直鏈混合物,
21371309,oleum,發煙硫酸,
21371310,Omega navigation,歐米茄導航；奧米茄無線電導航；亞米茄導航,
21371311,omnibearing-distance navigation,全向-距離導航；極坐標方位-距離導航,
21371312,on-board control team (OCT),船上控制小組,
21371313,once-only loading,僅此一次的{極限}負載,
21371314,one-arm anchor,單爪錨；單臂錨,
21371315,one-fluke mooring anchor,單爪固定錨；單爪繫流錨,
21371316,Open AI,開放人工智慧研究中心,
21371317,open bridge deck,開敞橋艛甲板；露天橋艛甲板,
21371318,open deck,開敞甲板；露天甲板,
21371319,open shelter deck,開式遮蔽甲板,
21371320,OpenAI,開放人工智能研究中心,
21371321,opening mode,開裂模式；張裂模式,
21371322,operating design domain (ODD),運行設計域,
21371323,operating speed,運行速率,
21371324,operation and navigation,操作與航行,
21371325,operational scenario,操作場景；作業場景；運行場景；操作情境；作業情境；運行情境,
21371326,operational speed,常用航速；運算速率；營運速率；戰鬥經濟航速,
21371327,optical celestial navigation,光學天文導航,
21371328,optical communication,光通訊,
21371329,optical sensor,光學感測器,
21371330,optical/IR/UV navigation,光學/紅外線/紫外線導航,
21371331,optimal course of action,最佳行動航向；最佳行動方案,
21371332,optimum ship routing,最佳船舶航線選定,
21371333,optimum track ship routing,最佳追蹤船舶航線選定,
21371334,ordinary standard stockless (OSS) anchor,普通標準無桿錨,
21371335,ore cargo capacity,礦砂貨裝載量,
21371336,ore carrying capacity,礦砂裝載量,
21371337,orthogonality condition of mode shapes,模態形狀間的正交性條件,
21371338,orthogonality relationship,正交關係,
21371339,orthotropic plate theory,正交異方性板理論；正交異性板理論,
21371340,oscillation sensor,振動感測器,
21371341,o-toluidine,鄰甲苯胺,
21371342,outgoing wave,輸出波{技術}；輻射波{炸藥}；出射波{物理、防空、電子產品}；輸出輻射波{電子產品},
21371343,overhanging deck,懸伸甲板,
21371344,overlap butt,端搭接,
21371345,owner,船東,
21371346,owner-furnished equipment (OFE),船東提供的設備；業主配備設備,
21371347,owner-furnished information (OFI),業主提供的信息；船東提供的資訊,
21371348,owner-furnished material (OFM),船東提供的材料；業主提供的物料,
21371349,owner's representative,船東代表,
21371350,oxygen arc cutting,氧氣電弧切割,
21371351,ozone depleting substance (ODS),消耗臭氧物質；臭氧破壞物,
21371352,pallet deck,托盤甲板；活動箱架甲板,
21371353,panel method,小板法,
21371354,paraldehyde,三聚乙醛,
21371355,parallel distributed compensation (PDC),平行分佈補償,
21371356,parallel joint,平行接頭,
21371357,parameter value,參數值,
21371358,parent material,母材,
21371359,parent material thickness,母材厚度,
21371360,Paris law,帕里斯定律,
21371361,part affinity fields (PAF),局部親和領域,
21371362,partial deck,部分甲板,
21371363,partial safety coefficient,部分安全係數,
21371364,partial safety factor,部分安全因子,
21371365,Pasquill stability,帕斯奎爾{大氣}穩定性,
21371366,Pasquill-Gifford stability category,帕吉穩度分類,
21371367,Pasquill-Turner stability classification,帕斯奎爾-特納大氣穩定度分類,
21371368,passageway,走廊；通道,
21371369,passenger deck,旅客甲板,
21371370,patch test,分批測試；斑點測試,
21371371,patent anchor,專利錨,
21371372,p-chlorotoluene,對氯甲苯,
21371373,p-cymene,對異丙基甲苯,
21371374,peak bending moment,峰值彎矩,
21371375,peak response,尖峰反應,
21371376,penetrated thickness,滲透厚度,
21371377,pentachloroethane,五氯乙烷,
21371378,pentene,戊烯,
21371379,percentage agreement (PA),一致性百分比,
21371380,percentage disagreement (PD),不一致性百分比,
21371381,perception,感覺；感知,
21371382,perceptron,感知器,
21371383,perceptron learning algorithm (PLA),感知學習演算法,
21371384,perchloroethylene,四氯乙烯,
21371385,perforated-metal deck,{潛艇}有孔金屬甲板,
21371386,performance appraisal,性能評估,
21371387,performance based design,性能化設計,
21371388,Performance Based Standards (PBS),基於性能的標準；性能導向標準,
21371389,performance function,性能函數,
21371390,periodically unmanned bridge (PUB),定期性無人駕駛臺,
21371391,periodically unmanned ship (PUS),定期性無人船,
21371392,periscope simulator,潛望鏡模擬器,
21371393,periscope-depth navigation,潛望鏡深度航行,
21371394,periscope-draft navigation,潛望鏡吃水航行,
21371395,permanent mooring anchor,永久繫泊錨,
21371396,phenol,酚,
21371397,phononic crystal,聲子晶體,
21371398,phosphoric acid,磷酸,
21371399,"phosphorus, yellow or white",黃磷或白磷,
21371400,phthalic anhydride,苯二甲酐,
21371401,piggy-back anchor,輔助錨；子錨,
21371402,piled anchor,樁錨,
21371403,pin-end,銷接端,
21371404,pinene,蒎烯,
21371405,pitch control sensor,縱搖控制感測器,
21371406,plane sensor,平面感測器,
21371407,plasma cutting,電漿切割,
21371408,plate anchor,圓盤錨具,
21371409,platform as-a-service (PaaS),平臺即服務；平臺式服務,
21371410,platform overhang deck,平臺懸伸甲板,
21371411,plough/plow anchor,單爪犁錨；單臂犁錨；犁形錨,
21371412,plow anchor,單爪犁錨；單臂犁錨；犁形錨,
21371413,Polar Code,極地規程；極地章程；船舶航行極區水域規程,
21371414,polar monomer maleic anhydride,極性單體馬來酸酐,
21371415,polar navigation,極區航行{指在緯度70˚以上海域},
21371416,polychlorinated biphenyl (PCB),多氯聯苯,
21371417,polyethylene polyamines,聚乙烯聚醯胺類,
21371418,polyethylene polyphenyl isocyanate,聚亞甲基聚苯脂異氰酸,
21371419,polytechnical research and development (PRD),綜合性技術研究與開發,
21371420,pontoon deck,浮箱甲板；船臺甲板；擡船甲板{浮船塢},
21371421,poop anchor,艉錨,
21371422,port anchor,左舷錨,
21371423,portable anchor,輕便小錨,
21371424,portable car stowage deck,活動式汽車裝載甲板；可拆式汽車裝載甲板,
21371425,Porter's anchor,波特錨{一種有桿錨},
21371426,position sensor,位置感測器,
21371427,positioning anchor,定位錨,
21371428,potassium hydroxide solution,苛性鉀溶液,
21371429,potential consequence,潛在後果；藥物不良反應,
21371430,potential weldability,潛在可銲性,
21371431,precise bathymetry,精確深海測繪,
21371432,precision,精密度；精確率,
21371433,pressure sensor,壓力感測器,
21371434,pretension anchor,預拋錨,
21371435,preventer hawser,解鏈掛索；輔索掛索{用以清解錨鏈掛鏈},
21371436,primary safety goal,首要安全目標；主要安全目標,
21371437,principal mode,主要模態,
21371438,probabilistic risk assessment (PRA),機率風險評估；風險機率評估,
21371439,probabilistic safety assessment (PSA),機率安全評估；安全機率評估,
21371440,probability density function,機率密度函數,
21371441,probability of meeting,遇見機率,
21371442,probability of occurence,出現機率；發生機率,
21371443,processing deck,加工甲板,
21371444,procurement,採購,
21371445,product requirement document (PRD),產品需求文檔,
21371446,production welding,生產銲接；製造熔接,
21371447,productive welding time,生產的銲接時間；進行銲接作業的銲接時間,
21371448,productivity,生產力,
21371449,products of combustion sensor,易燃品檢測器,
21371450,profile observation,輪廓剖析觀測作業,
21371451,prognostic and health management,故障預測與健康管理,
21371452,project-based learning (PBL),專題式學習,
21371453,propellant embedded anchor,爆炸鑽底錨,
21371454,propellant-actudted anchor,爆炸鑽底錨；動力錨,
21371455,propeller excitation,螺槳激振,
21371456,propeller induced vibration,螺槳引致振動,
21371457,propionaldehyde,丙醛,
21371458,propionic acid,丙酸,
21371459,propionic anhydride,丙酸酐,
21371460,propionitrile,丙腈,
21371461,proportional counter,正比計數器,
21371462,proprietary interface,專利應用介面,
21371463,propulsion device,推進設備,
21371464,propylene dimer,二聚物丙烯,
21371465,propylene oxide,氧化丙烯,
21371466,propylene trimer,三聚物丙烯,
21371467,prototype pattern,原型模式,
21371468,pulse width modulating (PWM),脈衝寬度調制,
21371469,purging gas,清除氣體,
21371470,pyridine,吡啶,
21371471,Python,一種軟體名稱,
21371472,Python design pattern,Python設計模式；派森設計模式,
21371473,quality control framework,品質管制框架,
21371474,quality control method,品質管制方法,
21371475,quantitative evaluation,量化評估,
21371476,quartz pressure sensor,石英壓力感測器,
21371477,quasi-normal distribution,準常態分佈,
21371478,quasi-state balance,準靜態平衡,
21371479,radar navigation,雷達導航,
21371480,radar signal processing equipment,雷達信號處理設備,
21371481,radar simulator,雷達模擬器,
21371482,radio celestical navigation,射電天文航海,
21371483,radio navigation equipment,無線電導航設備,
21371484,radio recognition equipment,無線電敵我識別器,
21371485,rail deck,軌道甲板,
21371486,raised fore deck,高艏甲板；高前半甲板,
21371487,raised forecastle deck,高艏艛甲板,
21371488,ramp deck,跳板甲板,
21371489,random and systematic error,隨機及系統性錯誤,
21371490,random assignment,隨機分派,
21371491,rank agreement factor (RAF) ,排序一致性因子,
21371492,rank correlation coefficient,等級相關係數,
21371493,rational design,合理設計；理性設計；有理設計,
21371494,rational design method,理性設計法；合理設計法,
21371495,Rayleigh distribution,雷利分布,
21371496,reactivate/activate,復役；啟封,
21371497,reactor simulator,反應器模擬裝置,
21371498,realistic design load,實際設計負荷,
21371499,recall,召回率；喚回率,
21371500,receiver independent exchange format (RINEX format),接收機獨立交換格式,
21371501,receiver operation characteristic curve (ROC-curve),接收者操作特徵曲線,
21371502,recreation deck,娛樂甲板；休閒甲板,
21371503,reduction factor,縮減係數,
21371504,redundant design,冗餘設計,
21371505,referenced radio navigation,基準無線電導航,
21371506,regional terrestrial radio (RTR),區域地面無線電,
21371507,regulatory body,監管機構；控制機構,
21371508,reinforcement in butt weld,對接銲道餘高,
21371509,relative efficiency,相對效率,
21371510,relative importance index method (RII),相對重要指數法,
21371511,reliability design (RD),可靠度設計法；可靠度設計,
21371512,reliability index,可靠度指標；可靠度指數,
21371513,reliability-based design and analysis,基於可靠度的設計分析,
21371514,remote control system (RCS),遙控系統,
21371515,removable car deck,可卸汽車甲板；可拆卸式汽車甲板,
21371516,removable deck,可拆甲板；可拆卸式甲板,
21371517,reproducibility,可再生性,
21371518,required design load,要求設計負荷,
21371519,required probability of exceedance,要求超越機率,
21371520,rescue equipment,救難設備；救難器材,
21371521,resistance sensor,電阻感測器,
21371522,resistance temperature detector (RTD),熱電阻；熱電阻元件；電阻溫度檢測器,
21371523,response energy spectrum,反應能譜,
21371524,re-start of weld,銲道再起始點,
21371525,restaurant deck,餐廳甲板,
21371526,resultant data formatting,最終結果資料呈現格式,
21371527,rework,翻工,
21371528,rho-theta navigation,極坐標導航；距離-角度導航,
21371529,ridge-type deck,直梁拱甲板,
21371530,rigid body response,剛體反應,
21371531,riser angle sensor,升導管角度感測器；隔水立管角度感測器,
21371532,rising rate,上浮速率；上升速率 {潛艇},
21371533,risk analysis,風險分析,
21371534,risk analysis and safety evaluation,風險分析與安全評價,
21371535,risk probability,風險機率,
21371536,roller deck,活動甲板,
21371537,rolling deck,活動甲板,
21371538,root bend test specimen,背彎試片,
21371539,root bend test specimen of butt weld,對接銲道背彎試驗試片,
21371540,root gas,背襯氣體,
21371541,root of weld,銲根,
21371542,root run,根部銲道,
21371543,rosin,松香,
21371544,rosin soap disproportionated solution,松香皂歧化溶液,
21371545,rosin soap solution,松香皂溶液,
21371546,rotation,旋轉角,
21371547,Rouse sea anchor,勞斯海錨,
21371548,route option,航線選擇,
21371549,router,路由器,
21371550,ruffle,棘輪,
21371551,safe operational practices,安全操作實務,
21371552,safety assessment,安全評估,
21371553,Safety Case,安全檔案；安全情況書,
21371554,safety coefficient,安全係數,
21371555,safety deck,安全甲板；{浮塢壓載艙的}水密甲板,
21371556,safety equipment,安全設備,
21371557,safety evaluation,安全評價；安全評估,
21371558,safety factor design (SFD),安全係數設計法,
21371559,safety prediction,安全預測,
21371560,safety regulation,安全規則；安全規章；安全條例；安全管理辦法,
21371561,salient signal,明顯突凸信號,
21371562,saloon deck,頭等客艙甲板；餐廳甲板,
21371563,sample size,樣本量,
21371564,SAR satellite,合成孔徑雷達衛星,
21371565,satellite connectivity,衛星連通能力,
21371566,satellite navigation,衛星導航,
21371567,satellite navigational equipment,衛星導航設備,
21371568,satellite-aided navigation,人造衛星導航,
21371569,saturation diving equipment,飽和潛水裝備,
21371570,scanner simulator,掃描模擬器,
21371571,scatter,散開；分散,
21371572,scientific electronic system (SES),科學電子系統,
21371573,scientific information system (SIS),科學資訊系統,
21371574,scientific secondary use,科學次級利用,
21371575,screw anchor,螺旋固定錨,
21371576,sea data acquisition sensor,海洋數據收集感測器,
21371577,sea squirt,海鞘,
21371578,sea star / starfish,海星,
21371579,sea surface temperature sensor (SSTS),海表溫度傳感器,
21371580,sea-diving equipment,深海潛水裝具,
21371581,seafarers,海員；船員；船上工作人員；水手,
21371582,seafloor survey,海底量測；海底調查；海底測繪,
21371583,seafloor topography,海底地形地貌,
21371584,seafloor volcanic survey,海底火山調查,
21371585,search and rescue beacon equipment,搜救信標設備；搜索與救助設備,
21371586,search and rescue beacon service,搜救勤務,
21371587,Search And Rescue Transponders for the location of Ships and survival craft (SARTS),求生艇位置搜救應答機,
21371588,sec-amyl acetate,醋酸另戊酯；乙酸仲戊酯,
21371589,secure echo-sounding equipment,可靠回聲測深設備,
21371590,seismic fault survey,地震斷層調查,
21371591,self-contained navigation,自備式導航；自主式導航,
21371592,self-hawsing anchor,自動進穴錨,
21371593,self-housing anchor,自進穴錨,
21371594,self-stowing anchor,自動進穴錨,
21371595,sensory receptor,人體感官接收器,
21371596,serial communication,序列通訊,
21371597,serial data link,串列資料鏈,
21371598,service limit state (SLS),使用極限狀態,
21371599,service set identifier (SSID),服務集標識；無線區域網路名稱,
21371600,servicing time,整備時間,
21371601,shaft mounted thrust sensor,裝軸推力感測器,
21371602,shallow-water diving equipment,淺水潛水裝具,
21371603,shear damping,剪切阻尼,
21371604,shear rigidity,抗剪剛度,
21371605,sheered deck,有舷弧甲板,
21371606,shelled organism,帶殼{海}生物,
21371607,shifting-stock anchor,活動橫桿錨,
21371608,ship control console,船舶控制臺,
21371609,ship handling simulator,操船模擬機,
21371610,ship maneuvering simulator,船舶操縱模擬器,
21371611,ship motion,船舶運動,
21371612,ship motion sensor,船舶運動感測器,
21371613,ship navigation,航海學；航海；航運,
21371614,ship reliability,船舶可靠度,
21371615,ship resistance prediction,船舶阻力預測,
21371616,ship service diesel generator (SSDG),船用柴油發電機,
21371617,ship size,船舶尺寸,
21371618,ship wave,船行波,
21371619,ship work breakdown structure (SWBS),船舶工作分解結構,
21371620,shipboard fire control,艦上射控,
21371621,shipborne navigational equipment,船載導航設備,
21371622,shipping industry / shipping industries,航運業；海洋運輸產業,
21371623,ship's motion simulator,船舶運動模擬器,
21371624,ship's operating pattern,船舶操作模式,
21371625,ship's routing,船舶航線選定,
21371626,ship's terminal equipment for international maritime satellite communication,國際海事衛星通信之船上終端設備,
21371627,shore anchor,岸側錨；{雙錨泊時}內側錨,
21371628,shore control centre (SCC),岸控中心,
21371629,shore sensor system (SSS),岸上感測系統；岸上感測器系統,
21371630,shore-side colleagues,岸基技術同僚,
21371631,short duration,短暫；短期,
21371632,short shank anchor,短錨幹錨,
21371633,short-range navigation,近程導航；短程航行,
21371634,shot anchor,備用主錨,
21371635,shot peening,噴丸；珠擊；噴丸處理；珠擊處理,
21371636,shoulder face,根肩面,
21371637,side bend test,側彎試驗,
21371638,side bend test specimen,側彎試片,
21371639,side bend test specimen of  butt weld,對接銲道側彎試驗試片,
21371640,side bend test specimen of cladding with a butt weld,覆面銲對接銲道側彎試驗試片,
21371641,side bend test specimen of cladding without a butt weld,覆面銲非對接銲道側彎試驗試片,
21371642,side deck,舷邊甲板,
21371643,side passageway,船側走廊,
21371644,side-protective system ship,護舷分艙系統船,
21371645,signal deck,信號橋艛甲板,
21371646,significant design wave height,有義設計波高,
21371647,significant period,有義週期,
21371648,significant wave,有義波,
21371649,simulator,模擬機；模擬器,
21371650,simultaneous double-side welding,雙側同步銲接,
21371651,single beam survey system (SBSS),單光束量測系統,
21371652,single fluke stock anchor,單爪有桿錨,
21371653,single star navigation,單星導航,
21371654,single-arm anchor,單臂錨,
21371655,single-head welding,單槍銲接,
21371656,singleton pattern,單例模式,
21371657,sinusoidal hydrostatic sea,正弦式靜水海面,
21371658,slackwater navigation,平潮航行,
21371659,slag inclusion,熔渣夾雜物；熔渣夾雜,
21371660,slant skirt gravity anchor,斜齒重力式錨；斜裙重力錨,
21371661,slat-type deck,木板條甲板,
21371662,slewing anchor,輔助錨；副錨,
21371663,sliding mode,滑裂模式,
21371664,slip deck,滑道甲板；捕撈甲板,
21371665,slop,含油汙水；廢油；晃盪；溢出；濺出；廚餘,
21371666,slops,工作服；罩衣,
21371667,smart manufacture,智慧製造,
21371668,smart material,智能材料；智慧材料,
21371669,Smith's anchor,史密斯錨{一種無桿錨},
21371670,S-N curve,S-N曲線；應力變化範圍與疲勞循環數曲線,
21371671,sodium borohydride / sodium hydroxide solution,氫硼化鈉 / 苛性鈉溶液,
21371672,sodium hypochlorite solution,次氯酸鈉溶液,
21371673,soft fouling,軟汙垢；軟質積垢,
21371674,software as-a-service (SaaS),軟體即服務；軟體式服務,
21371675,solid anchor,整體錨,
21371676,solid fluke anchor,實心錨爪錨,
21371677,solid rod ,實心填料棒,
21371678,solidification crack,凝固裂紋,
21371679,solidification cracking,固化開裂,
21371680,solid-state welding,固態銲接,
21371681,sonar footprint,聲納足跡,
21371682,sonar setting,聲納設定,
21371683,sonar setting optimization,最適化聲納參數設定,
21371684,sonar simulator,聲納模擬器,
21371685,sonar-Doppler navigation,都卜勒聲納導航,
21371686,sonic navigation,聲波導航,
21371687,source data,原始數據,
21371688,source document,原始文檔,
21371689,source size,射源尺度,
21371690,source-to-film distance,射源至底片距離,
21371691,source-to-object distance,射源至物體距離,
21371692,spade anchor,鏟形爪錨,
21371693,special weapons and tactics (SWAT),霹靂小組,
21371694,Speech Interpretation and Recognition Interface (siri ),一種人工智慧語音助理軟體 {內建於蘋果ios系統中的AI助理軟體，使用自然語言處理技術與手機進行對話互動},
21371695,speed and power prediction,速率與馬力預測,
21371696,speed profile,船速使用輪廓,
21371697,speed sensor,速率感測器,
21371698,Speke anchor,斯貝克錨,
21371699,spider deck,{鑽油臺}格柵甲板；下平臺甲板,
21371700,splash trough,濺油潤滑油池,
21371701,splined deck,嵌條木甲板,
21371702,sports deck,運動甲板,
21371703,spreading function,擴散函數,
21371704,stacking cutting,疊板切割,
21371705,stake anchor,樁錨,
21371706,standard format,標準化格式；標準格式,
21371707,standard hydrographic technique,標準水文量測技術,
21371708,standard material,標準材料,
21371709,starboard anchor,右舷錨,
21371710,start of weld,銲道起始點,
21371711,statement of voluntary compliance (SOVC),自願遵從聲明,
21371712,static-pressure sensor,靜壓感測器,
21371713,statistical distribution,統計分布,
21371714,Stato anchor,開爪錨{錨爪開角34˚~50˚}；史泰托錨,
21371715,steam catapult,蒸氣彈射器,
21371716,stem anchor,艏柱錨,
21371717,stem cut-up,艏底升高處,
21371718,stereo wave observation project (SWOP),立體波浪觀測計畫；實體波浪觀測計畫,
21371719,stern retracting anchor,脫灘船艉錨{登陸艦用},
21371720,Stevin anchor,史蒂文錨；特大爪錨,
21371721,Stevix anchor,史蒂威克斯錨{一種專利大抓力錨},
21371722,still ship,靜止船；船舶靜止,
21371723,Stimson anchor,史汀生錨；深水錨,
21371724,Stokes anchor,史托克斯錨,
21371725,strategy pattern,策略模式,
21371726,stress factor,應力因子；應力因數,
21371727,stress raiser,應力集中源；應力集中區；應力集中器,
21371728,stress safety factor,應力安全係數,
21371729,structural analysis (SA),結構分析,
21371730,structural behavior,結構行為,
21371731,structural configuration,結構構型；結構構形,
21371732,structural deck,主結構甲板,
21371733,structural equation modeling (SEM),結構方程模型,
21371734,structural evaluation,結構評估；結構評價,
21371735,structural layout,結構配置,
21371736,structural performance,結構性能,
21371737,structural reliability,結構可靠度,
21371738,structural synthesis,結構綜合,
21371739,styrene monomer,單體苯乙烯,
21371740,subdivision deck,艙區劃分甲板,
21371741,submarine anchor,潛艇錨,
21371742,submarine navigation,潛艇航海學；水下航行法,
21371743,submarine simulator,潛艇模擬器,
21371744,submarine target simulator,水下目標模擬器,
21371745,submergence,下沉量,
21371746,submillimeter wave laser,"亞毫米波雷射 {波長0.3mm~1mm,300~900GHz}",
21371747,suction anchor,吸力錨；抽水罩形錨,
21371748,sulphur {molten},硫{熔融狀},
21371749,sulphuric acid,硫酸,
21371750,"sulphuric acid, spent",廢硫酸,
21371751,sunken deck,低甲板；下陷甲板,
21371752,sunken forecastle deck,低艏艛甲板,
21371753,superintendent’s guesswork,監管人員的猜測,
21371754,superintendent’s hunches,監管人員{當值}的直覺,
21371755,superstructure effectiveness,船艛有效性；船艛效能,
21371756,surface sensor,水面高度感測器,
21371757,surface suction anchor,抽水吸附海底罩形錨,
21371758,survey dynamic performance,調查作業動態表現,
21371759,survey line planning,調查路線規劃,
21371760,swath bathymetric sonar,帶狀覆蓋深海測繪聲納,
21371761,swath bathymetric survey,帶狀覆蓋深海測繪調查,
21371762,sweeping anchor,探錨；掃海錨,
21371763,sweeping deck,掃雷甲板,
21371764,swift design pattern,迅速設計模式,
21371765,swim platform,游泳臺；游泳跳水臺；跳水平臺,
21371766,swivel anchor,轉環錨,
21371767,Sykes' anchor,賽克斯錨,
21371768,symmetric bending damping matrix,對稱彎曲阻尼矩陣,
21371769,symmetric shear damping matrix,對稱剪切阻尼矩陣,
21371770,symmetric structural damping matrix,對稱結構阻尼矩陣,
21371771,synthetic aperture radar (SAR),合成孔徑雷達,
21371772,syphering,棱形切割,
21371773,system dynamics,系統動力學,
21371774,systematic error,系統性誤差；系統性錯誤,
21371775,Système International d'Unités (SI system),國際單位制,
21371776,T section,T型材,
21371777,tack weld location,定位銲道位置,
21371778,tack weld schedule,定位銲接計畫,
21371779,tack weld sequence,定位銲接順序,
21371780,tactical air navigation,戰術空中導航；短距離超高頻空中導航{系統},
21371781,takeoff and landing deck,飛行起落甲板,
21371782,takeoff deck,飛行甲板；起飛甲板,
21371783,tall oil {crude and distilled},妥爾油{粗製及蒸餾},
21371784,tall oil fatty acid,妥爾油脂肪酸,
21371785,tall oil soap disproportionated solution,妥爾油皂歧化溶液,
21371786,tall oil soap solution,妥爾油皂溶液,
21371787,tank deck,坦克甲板,
21371788,target data computer,目標數據電腦,
21371789,taut leg mooring (TLM),繃腿式繫泊,
21371790,taut wire sensor,張索感測器,
21371791,tearing mode,撕裂模式,
21371792,technology sigularity,科技奇點,
21371793,Tee section,T型材,
21371794,temper bead,回火銲道,
21371795,temperature sensor,溫度感測器,
21371796,temporary car deck,臨時性汽車甲板；可卸式汽車甲板,
21371797,temporary work deck,臨時工作甲板,
21371798,tennis deck,網球甲板,
21371799,tension sensor,拉力感測器,
21371800,tensor processing unit (TPI),張量處理器,
21371801,terraced deck,梯階甲板,
21371802,terrestrial radio station,地面無線電站；地面無線電臺,
21371803,terrestrial trunked radio,地面集群無線電；陸上集群無線電,
21371804,test mass tolerance (TMT),測試質量公差,
21371805,testing level,檢測等級,
21371806,tetrachloroethane,四氯乙烷,
21371807,tetrahydrofuran (THF),四氫呋喃；四氫萘,
21371808,tetrahydronaphthalene,四氫化萘,
21371809,the height of the deck at side,{海洋平台}甲板邊緣離水面高度,
21371810,three-dimensional heat flow,三維熱傳導,
21371811,three-head welding,三槍銲接,
21371812,throat crack,銲喉龜裂,
21371813,throat of weld,銲喉,
21371814,tidal deck,{塢閘的}潮汐甲板,
21371815,tide deck,{塢閘的}潮汐甲板,
21371816,time synchronization,時間同步化,
21371817,times of exceedance,超越次數,
21371818,tinnitus,耳鳴,
21371819,tipping point,轉折點,
21371820,T-joint,T型接頭,
21371821,Tojin-type anchor,弘進式錨；東進式錨；三爪錨,
21371822,toluene,甲苯,
21371823,toluene diisocyanato,二異氰酸甲苯酯,
21371824,toluenediamine,甲苯二胺,
21371825,top deck,頂層甲板；上甲板,
21371826,top down approach,由上而下的分析,
21371827,top down management,由上而下的管理,
21371828,top down processing,由上而下的資訊處理過程；由上而下的資訊處理,
21371829,top-down/bottom up pose estimation,由上而下/由底而上人體姿態估測 {軟體工程},
21371830,topside deck,頂甲板,
21371831,total allowance,總裕量,
21371832,total harmonic distortion (THD),總諧波失真；總諧波扭曲,
21371833,towing deck,拖帶甲板；有拖帶裝置的甲板,
21371834,toxicology,毒理學；毒物學,
21371835,tracking ship,{飛彈靶場的}追蹤船,
21371836,traffic deck,運具甲板；汽車甲板,
21371837,traffic monitoring services,交通監視服務,
21371838,trailer deck,拖車甲板；滾裝甲板,
21371839,trailing gas shield,尾隨氣體遮護,
21371840,trailing harpin,艉柱牽條,
21371841,train deck,火車甲板；列車甲板,
21371842,transition thickness,過渡厚度,
21371843,transoceanic navigation,遠洋航行,
21371844,transparency,透明性；清晰性；透明度,
21371845,transverse bend test,橫向彎曲試驗,
21371846,transverse bend test specimen,橫向彎曲試片,
21371847,tributyl phosphate,磷酸三丁酯,
21371848,trichlorobenzene,三氯苯,
21371849,triple grip anchor,三爪錨,
21371850,trip-wire stimulator,船模激紊裝置,
21371851,Trotman's anchor,有桿折爪錨；特羅特曼錨,
21371852,trough-line,槽線,
21371853,true negative rate,真陰率；真陰性率；真負率,
21371854,true positive rate,真陽率；真陽性率；真正率,
21371855,tube worm,管蟲,
21371856,tubing anchor,油管錨；管系錨,
21371857,tuned liquid damper (TLD),諧調液體阻尼器,
21371858,tuned mass damper (TMD),諧調質量阻尼器,
21371859,tungsten arc inert gas welding (TIG),氣體遮蔽鎢弧銲；鎢極惰性氣體保護銲,
21371860,tungsten inert gas arc welding (TIG),氣體遮蔽鎢弧銲；鎢極惰性氣體保護銲,
