ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3604076,"Bacquier, Gabriel",巴基耶,,音樂,,2018-11-20
3604077,"Baillot, Pierre",巴伊歐,,音樂,,2018-11-20
3604078,"Bailly, Louis",巴伊,,音樂,,2018-11-20
3604079,"Balbastre, Claude-Benigne",巴勒巴斯特,,音樂,,2018-11-20
3604080,"Ballif, Claude",巴利夫,,音樂,,2018-11-20
3604081,"Barboteu, Georges",巴博德,,音樂,,2018-11-20
3604082,"Barie, Augustin",巴里,,音樂,,2018-11-20
3604083,"Barlow, Fred",巴羅,,音樂,,2018-11-20
3604084,"Barraine, Elsa",巴雷納,,音樂,,2018-11-20
3604085,"Barraqué, Jean",巴哈給,,音樂,,2018-11-20
3604086,"Barraud, Henry",巴洛,,音樂,,2018-11-20
3604087,"Barthelemon, Francois-Hippolyte",巴特勒蒙,,音樂,,2018-11-20
3604088,"Batiste, Antoine",巴第斯特,,音樂,,2018-11-20
3604089,"Batton, Desire-Alexandre",巴棟,,音樂,,2018-11-20
3604090,"Baudo, Serge",博多,,音樂,,2018-11-20
3604091,"Baudrier, Yves",博德里耶,,音樂,,2018-11-20
3604092,"Bayle, François",貝勒,,音樂,,2018-11-20
3604093,"Belaubre, Louis-Noël",伯羅布赫,,音樂,,2018-11-20
3604094,"Bellaigue, Camille",貝列格,,音樂,,2018-11-20
3604095,"Bemberg, Hemann-Emmanuel",班貝格,,音樂,,2018-11-20
3604096,"Benoist, François",伯諾瓦，弗杭絲瓦,,音樂,,2018-11-20
3604097,"Benoît, Peter",伯諾瓦，培泰,,音樂,,2018-11-20
3604098,"De Bériot, Charles-Auguste",德‧貝里歐,,音樂,,2018-11-20
3604099,"Beriot, Charles-Wilfrid",貝里歐,,音樂,,2018-11-20
3604100,"Berlioz, Hector",白遼士(貝利歐茲),,音樂,,2018-11-20
3604101,"Bernac, Pierre",貝拿克,,音樂,,2018-11-20
3604102,"Bernier,René",貝尼耶,,音樂,,2018-11-20
3604103,"Beroff, Michel",貝洛夫,,音樂,,2018-11-20
3604104,"Bertel, Jean-Luc",貝泰勒,,音樂,,2018-11-20
3604105,"Bertin, Louise Angelique",貝丹,,音樂,,2018-11-20
3604106,"Bertini, Henri Jérôme",貝第尼,,音樂,,2018-11-20
3604107,"Berton, Henri-Montan",貝棟,,音樂,,2018-11-20
3604108,"Besson, Gustave Auguste",貝頌,,音樂,,2018-11-20
3604109,"Beydts, Louis",貝慈,,音樂,,2018-11-20
3604110,"Biarent, Adolphe",比亞杭,,音樂,,2018-11-20
3604111,"Bigot, Eugène",比戈,,音樂,,2018-11-20
3604112,"de Binchois, Gilles",德‧班舒瓦,,音樂,,2018-11-20
3604113,"Binet, Jean",畢內,,音樂,,2018-11-20
3604114,"Bizet, Georges",比才(比澤),,音樂,,2018-11-20
3604115,"Blavet, Michel",布拉維,,音樂,,2018-11-20
3604116,"Bloch, André",布羅克,,音樂,,2018-11-20
3604117,"Bochsa, Nicolas-Charles",博克薩,,音樂,,2018-11-20
3604118,"Boëllmann, Léon",博耶勒曼,,音樂,,2018-11-20
3604119,"Boëly, Alexandre Pierre François",博耶利,,音樂,,2018-11-20
3604120,"Boieldieu, François-Adrien",博勒迪厄,,音樂,,2018-11-20
3604121,"de Boisdeffre, Charles Henri",德‧布瓦德夫赫,,音樂,,2018-11-20
3604122,"de Boismortier, Joseph Bodin",德‧布瓦莫提耶,,音樂,,2018-11-20
3604123,"Bolling, Claude",博林,,音樂,,2018-11-20
3604124,"Bondon, Jacques",芃東,,音樂,,2018-11-20
3604125,"Bondue, Yves",芃迪,,音樂,,2018-11-20
3604126,"Bonhomme, Jean",博農姆,,音樂,,2018-11-20
3604127,"Bonis, Mélanie",博尼,,音樂,,2018-11-20
3604128,"Bonnet, Joseph",博內,,音樂,,2018-11-20
3604129,"Bordes, Charles",博德,,音樂,,2018-11-20
