ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539140,"Arlésienne, L'",阿萊城姑娘,,阿莱城的姑娘,"Bizet, Georges",比才,比才,管絃樂曲,管弦乐曲,2018-05-30
3539141,Armida,阿米達,,阿尔米达,"Haydn, Franz Joseph",海頓,海顿,歌劇,歌剧,2018-05-30
3539142,Armide,阿米德,,阿尔米德,"Gluck, Christoph Willibald von",葛路克,格鲁克,歌劇,歌剧,2018-05-30
3539143,Aroldo,阿洛多,,阿罗尔多,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539144,Athalie,阿塔莉,,阿达莉,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,管絃樂曲,管弦乐曲,2018-05-30
3539145,Aufforderung zum Tanz,邀舞,,邀舞,"Weber, Carl Maria von","韋伯,卡爾",韦伯,鍵盤樂曲,键盘乐曲,2018-05-30
3539146,Aus den Sieben Tagen,從七天,,七天,"Stockhausen, Karlheinz","史托克豪森,卡爾海因茲",斯托克豪森,室內樂曲,室内乐曲,2018-05-30
3539147,Ave Maria,聖母頌,,圣母颂,"Gounod, Charles",古諾,古诺/舒伯特等多人,聲樂曲,声乐曲,2018-05-30
3539148,Bacchus et Ariane,巴克斯庾阿里阿德涅,,巴克斯与阿里阿德涅,"Roussel,Albert",盧賽爾,鲁塞尔,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539149,Bachianas Brasileiras,巴西風格的巴赫,,巴西风格的巴赫,"Villa-Lobos, Heitor",維拉－羅伯斯,维拉-洛博斯,室內樂曲,室内乐曲,2018-05-30
3539150,"badinage, badinerie",嬉戲曲,,嬉戏曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),管絃樂曲,管弦乐曲,2018-05-30
3539151,"Baiser de la fée, Le",仙女之吻,,仙女之吻,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539152,"Ballo in Maschera, Un",假面舞會,,假面舞会,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539153,Banalités,平凡,,平凡,"Poulenc, Francis",浦朗克,普朗克,聲樂曲,声乐曲,2018-05-30
3539154,"Banner of St George, The",聖喬治的旗幟,,圣乔治的旗帜,"Elgar, Edward",艾爾加,埃尔加,聲樂曲,声乐曲,2018-05-30
3539155,Barbe-bleue,藍鬍子,,,"Offenbach, Jacques",歐芬巴赫,,歌劇,歌剧,2018-05-30
3539156,"Barbiere di Siviglia, Il",塞維里亞的理髮師,,塞维利亚理发师,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539157,"Bard, The",遊唱詩人,,吟唱诗人,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
