ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3558853,Bolbitis × laxireticulata,疏網實蕨;網脈刺蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Lomariopsidaceae蘿蔓藤蕨科,Bolbitis刺蕨屬,× laxireticulata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558854,Pterocypsela × mansuensis,恆春山苦藚,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asterales菊目,Asteraceae菊科,Pterocypsela翅果菊屬,× mansuensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558855,Bolbitis × nanjenensis,南仁刺蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Lomariopsidaceae蘿蔓藤蕨科,Bolbitis刺蕨屬,× nanjenensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558856,Athyrium × pseudo-cryptogrammoides,擬合歡蹄蓋蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Athyriaceae蹄蓋蕨科,Athyrium,× pseudo-cryptogrammoides,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558857,Athyrium × purpurascens,紫柄蹄蓋蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Athyriaceae蹄蓋蕨科,Athyrium,× purpurascens,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558858,Asplenium × shikokianum,四國鐵角蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Aspleniaceae鐵角蕨科,Asplenium鐵角蕨屬,× shikokianum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558859,Ludwigia × taiwanensis,臺灣水龍,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Myrtales桃金孃目,Onagraceae柳葉菜科,Ludwigia水丁香屬,× taiwanensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558860,Paulownia × taiwaniana,臺灣泡桐,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Lamiales唇形目,Paulowniaceae泡桐科,Paulownia泡桐屬,× taiwaniana,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558861,Asplenium × wangii,王氏鐵角蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Aspleniaceae鐵角蕨科,Asplenium鐵角蕨屬,× wangii,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558862,Pteris × wulaiensis,烏來鳳尾蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Pteridaceae鳳尾蕨科,Pteris鳳尾蕨屬,× wulaiensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558863,Begonia ×chungii,鍾氏秋海棠,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Cucurbitales瓜目,Begoniaceae秋海棠科,Begonia秋海棠屬,×chungii,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558864,Alpinia ×ilanensis,宜_月桃,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Zingiberales薑目,Zingiberaceae薑科,Alpinia月桃屬,×ilanensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558865,Begonia ×taipeiensis,臺北秋海棠,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Cucurbitales瓜目,Begoniaceae秋海棠科,Begonia秋海棠屬,×taipeiensis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558866,Uria aalge inornata,崖海鴉;海鴉;海鴿,,Animalia動物界,Chordata脊索動物門,Aves鳥綱,Charadriiformes_形目,Alcidae海雀科,Uria海鴉屬,aalge,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558867,unclassed Abalone Herpesvirus,九孔_疹病毒,,Viruses病毒,,,dsDNA雙鏈DNA病毒,Herpesviridae皰疹病毒科,unclassed,Abalone Herpesvirus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558868,Absentia abatae,缺脊葉蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Tenthredinidae葉蜂科,Absentia缺脊葉蜂屬,abatae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558869,Eviota abax,磯塘鱧,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Gobiidae_虎科,Eviota磯塘鱧屬,abax,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558870,Hypocolpus abbotti,雙脊肝下穴蟹,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Xanthidae扇蟹科,Hypocolpus肝下穴蟹屬,abbotti,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558871,Notacanthus abbotti,長吻背棘魚;背棘魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Albuliformes狐_目,Notacanthidae背棘魚科,Notacanthus背棘魚屬,abbotti,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558872,Viriola abbotti,亞伯氏光肋螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Heterogastropoda異腹足目,Triphoridae左錐螺科,Viriola雙肋螺屬,abbotti,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558873,Cycladicama abbreviata,短圓蛤,,Animalia動物界,Mollusca軟體動物門,Bivalvia雙殼綱,Veneroida簾蛤目,Ungulinidae蹄蛤科,Cycladicama圓蛤屬,abbreviata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558874,Lencophenga (Lencophenga) abbreviata,灰身白果蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Drosophilidae果蠅科,Lencophenga (Lencophenga)白果蠅屬,abbreviata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558875,Licmophora abbreviata,短紋楔形藻,,Chromista原藻界,Bacillariophyta矽藻門,Bacillariophyceae矽藻綱,Diatomales等片藻目,Diatomaceae等片藻科,Licmophora楔形藻屬,abbreviata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558876,Moma abbreviata,簡繽夜蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Noctuidae夜蛾科,Moma,abbreviata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558877,Moringua abbreviata,短線蚓鰻;線蚓鰻;蚓鰻,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Anguilliformes鰻形目,Moringuidae蚓鰻科,Moringua蚓鰻屬,abbreviata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558878,Cosmarium abbreviatum,短鼓藻,,Plantae植物界,Chlorophyta綠藻植物門,Zygnematophyceae雙星藻綱,Zygnematales雙星藻目,Desmidiaceae鼓藻科,Cosmarium,abbreviatum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558879,Percnon abbreviatum,短身盾牌蟹,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Percnidae,Percnon,abbreviatum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558880,Azorinus abbreviatus,簡略截蟶,,Animalia動物界,Mollusca軟體動物門,Bivalvia雙殼綱,Veneroida簾蛤目,Solecurtidae毛蟶科,Azorinus仿縊蟶屬,abbreviatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558881,Conus abbreviatus,麻斑芋螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Neogastropoda新腹足目,Conidae芋螺科,Conus,abbreviatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558882,Cynoglossus abbreviatus,短舌鰨;短吻三線舌鰨;牛舌;龍舌;扁魚;皇帝魚;比目魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Pleuronectiformes鰈形目,Cynoglossidae舌鰨科,Cynoglossus舌鰨屬,abbreviatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558883,Gonorynchus abbreviatus,鼠_;老鼠梭;土鰍,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Gonorhynchiformes鼠_目,Gonorynchidae鼠_科,Gonorynchus鼠_屬,abbreviatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558884,Macrophthalmus abbreviatus,短身大眼蟹;海婆仔;哨兵蟹,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Macrophthalmidae大眼蟹科,Macrophthalmus大眼蟹屬,abbreviatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558885,Metochus abbreviatus,短翅迅足長_,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hemiptera半翅目,Lygaeidae長_科,Metochus迅足長_屬,abbreviatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558886,Tabanus abbreviatus,爪哇虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Tabanidae虻科,Tabanus虻屬,abbreviatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558887,Favites abdita,隱藏角菊珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Scleractinia石珊瑚目,Faviidae菊珊瑚科,Favites角菊珊瑚屬,abdita,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558888,Thrypticus abditus,隱匿長足虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Dolichopodidae長足虻科,Thrypticus弱長足虻屬,abditus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558889,Melanostomatini abdominale,掠捕蚜蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Syrphidae食蚜蠅科,Melanostomatini黑喙蚜蠅屬,abdominale,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558890,Arthrotus abdominalis,黃腹藍豔螢金花蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Chrysomelidae金花蟲科,Arthrotus豔螢金花蟲屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558891,Centropages abdominalis,腹針胸刺水蚤,,Animalia動物界,Arthropoda節肢動物門,Maxillopoda顎足綱,Calanoida哲水蚤目,Centropagidae胸刺水蚤科,Centropages胸刺水蚤屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558892,Enicospilus abdominalis,斑腹細顎姬蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Ichneumonidae姬蜂科,Enicospilus細顎姬蜂屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558893,Haplosomoides abdominalis,褐腹脈翅螢金花蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Chrysomelidae金花蟲科,Haplosomoides脈翅螢金花蟲屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558894,Lareiga abdominalis,青腹姬蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Ichneumonidae姬蜂科,Lareiga,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558895,Leptispa abdominalis,黃腹小扁鐵甲蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Chrysomelidae金花蟲科,Leptispa小扁鐵甲蟲屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558896,Mallota abdominalis,水社蚜蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Syrphidae食蚜蠅科,Mallota軟毛蚜蠅屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558897,Meliscava abdominalis,肚腹蚜蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Syrphidae食蚜蠅科,Meliscava蜂蚜蠅屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558898,Microcephalothrips abdominalis,菊花薊馬,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Thysanoptera纓翅目,Thripidae薊馬科,Microcephalothrips,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558899,Palpomyia abdominalis,雙溪鬚蠓,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Ceratopogonidae蠓科,Palpomyia鬚蠓屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558900,Pleuromamma abdominalis,腹突乳點水蚤,,Animalia動物界,Arthropoda節肢動物門,Maxillopoda顎足綱,Calanoida哲水蚤目,Metridinidae長腹水蚤科,Pleuromamma乳點水蚤屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558901,Strongylogaster abdominalis,紅腹溝葉蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Tenthredinidae葉蜂科,Strongylogaster溝葉蜂屬,abdominalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558902,Chaunax abei,阿部單棘躄魚;單棘躄魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Lophiiformes__目,Chaunacidae單棘躄魚科,Chaunax單棘躄魚屬,abei,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558903,Cheilopogon abei,阿氏鬚唇飛魚;阿氏飛魚;飛烏;黃翅仔,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Beloniformes鶴鱵目,Exocoetidae飛魚科,Cheilopogon鬚唇飛魚屬,abei,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558904,Cytherelloidea abei,阿伯小花介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Cytherellidae小浪花介科,Cytherelloidea小花介屬,abei,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558905,Dentex abei,阿部牙鯛;阿氏牙鯛;赤_;阿部赤_,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Sparidae鯛科,Dentex牙鯛屬,abei,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558906,Mugilogobius abei,阿部氏鯔_虎;阿部鯔_虎魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Gobiidae_虎科,Mugilogobius鯔_虎屬,abei,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558907,Coomaniella abeillei,綠粗翅姬吉丁蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Buprestidae吉丁蟲科,Coomaniella粗翅姬吉丁蟲屬,abeillei,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558908,Pseudocercospora abelmoschi,秋葵假尾孢菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Mycosphaerellales球腔菌目,Mycosphaerellaceae球腔菌科,Pseudocercospora假尾孢菌屬,abelmoschi,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558909,Carcelia (Carceliella) aberrans,迷途寄蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Tachinidae寄生蠅科,Carcelia (Carceliella),aberrans,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558910,Hishimonus aberrans,基刺菱紋葉蟬,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hemiptera半翅目,Deltocephalidae角頂葉蟬科,Hishimonus,aberrans,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558911,Hydrophoria aberrans,花蓮花蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Anthomyiidae花蠅科,Hydrophoria,aberrans,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558912,Marginisporum aberrans,異邊孢藻,,Plantae植物界,Rhodophyta紅藻植物門,Florideophyceae真紅藻綱,Corallinales珊瑚藻目,Corallinaceae珊瑚藻科,Marginisporum邊孢藻屬,aberrans,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558913,Teucholabis aberrans,遊盪甲大蚊,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Tipulidae大蚊科,Teucholabis甲大蚊屬,aberrans,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558914,Helictotrichon abietetorum,冷杉異燕麥,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Poales禾本目,Poaceae禾本科,Helictotrichon異燕麥屬,abietetorum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558915,Abietinella abietina,山羽苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Hypnales灰苔目,Thuidiaceae羽苔科,Abietinella山羽苔屬,abietina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558916,Gloeophyllum abietinum,冷杉黏褶菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Polyporales多孔菌目,Gloeophyllaceae,Gloeophyllum黏褶菌屬,abietinum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558917,Trichaptum abietinum,冷杉附毛菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Polyporales多孔菌目,Polyporaceae多孔菌科,Trichaptum附毛菌屬,abietinum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558918,Namalycastis abiuma,單葉沙蠶,,Animalia動物界,Annelida環節動物門,Polychaeta多毛綱,Nereidida沙蠶目,Nereididae沙蠶科,Namalycastis單葉沙蠶屬,abiuma,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558919,Bertula abjudicalis,彎帶擬胸鬚裳蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Erebidae裳蛾科,Bertula擬胸鬚裳蛾屬,abjudicalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558920,Bucephalopsis ablennus,扁鶴鱵擬牛首吸蟲,,Animalia動物界,Platyhelminthes扁形動物門,Trematoda吸蟲綱,Strigeatoidea梟形吸蟲目,Bucephalidae牛首科,Bucephalopsis鱵擬牛首吸蟲屬,ablennus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558921,Eutrombicula ablephara,石龍真恙_,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Trombidiformes絨_目,Trombiculidae恙_科,Eutrombicula真恙_屬,ablephara,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558922,Adrapsa ablualis,廣櫛裳蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Erebidae裳蛾科,Adrapsa櫛裳蛾,ablualis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558923,Megachile abluta,淨切葉蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Megachilidae切葉蜂科,Megachile切葉蜂屬,abluta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558924,Hosohamudama abnormalis,皺翅方擬金花蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Tenebrionidae擬步行蟲科,Hosohamudama方擬金花蟲屬,abnormalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558925,Lachnum abnorme,異常粒毛盤菌,,Fungi真菌界,Ascomycota子囊菌門,Leotiomycetes錘舌菌綱,Helotiales柔膜菌目,Hyaloscyphaceae晶杯菌科,Lachnum粒毛盤菌屬,abnorme,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558926,Cytheropteron abnormis,變異羽花介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Cytheruridae尾花介科,Cytheropteron羽花介屬,abnormis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558927,Phintella abnormis,異常黑條蠅虎,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Salticidae蠅虎科,Phintella黑條蠅虎屬,abnormis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558928,Telenomus abnormis,桑毒蛾黑卵蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Scelionidae緣腹細蜂科,Telenomus黑卵蜂屬,abnormis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558929,Pipistrellus abramus,東亞家蝠,,Animalia動物界,Chordata脊索動物門,Mammalia哺乳綱,Chiroptera翼手目,Vespertilionidae蝙蝠科,Pipistrellus家蝠屬,abramus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
