ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1245411,Fermi age equation,費米年積方程式,,* 年龄扩散方程,2012-11-26
1245412,sag,弛度；弛垂；垂度,,* 弛度,2012-11-26
1245413,Thoma factor,托馬係數,,* 托马系数,2012-11-26
1245414,"labyrinth gland, labyrinth seal",迷宮式密封,,* 曲径汽封,2012-11-26
1245415,effective fission neutron yield,有效裂變中子產率,,* 有效裂变中子产额,2012-11-26
1245416,Michell thrust bearing,米切爾推力軸承,,* 米切尔推力轴承,2012-11-26
1245417,integral shroud blade,整體圍帶葉片,,* 自带冠叶片,2012-11-26
1245418,induction motor,感應電動機,,* 异步电动机,2012-11-26
1245419,mechanical power coal sampling equipment,機械功率煤炭取樣設備,,* 机械采制样装置,2012-11-26
1245420,mechanical endurance test,機械耐久性試驗,,* 机械稳定性试验,2012-11-26
1245421,"pressure atomization, mechanical atomization",壓力霧化 ；機械霧化,,* 机械雾化,2012-11-26
1245422,absolute anchor point,絕對定位點；絕對死點,,* 机组死点,2012-11-26
1245423,mechanical hydraulic governor,機械液壓調速器,,* 机调,2012-11-26
1245424,network frame,網架,,* 网架,2012-11-26
1245425,loss factor,損失因數,,* 网损因子,2012-11-26
1245426,servomechanism,補助機構；伺服機構,,* 伺服机械装置,2012-11-26
1245427,automatic under voltage load shedding,低壓自動減載；按電壓降低自動減負荷,,* 低压自动减载,2012-11-26
1245428,gasification efficiency,氣化效率,,* 冷气体热效率,2012-11-26
1245429,condenser,電容器,,* 冷凝器,2012-11-26
1245430,cavitation margin,空化裕度,,* 吸上余量,2012-11-26
1245431,pithead power plant,坑口電廠,,* 坑口电厂,2012-11-26
1245432,fast neutron breeding factor,高速中子增殖因數,,* 快中子裂变因数,2012-11-26
1245433,packaged gas turbine,快裝式燃氣輪機；箱裝式燃氣輪機,,* 快装式燃气轮机,2012-11-26
1245434,price per kilowatt,每千瓦價格,,* 每千瓦价格,2012-11-26
1245435,price per kilovolt-ampere,每千伏安價格,,* 每千伏安价格,2012-11-26
1245436,drum,鼓形物；滾筒；電纜盤；線盤；繞線架；磁鼓,,* 汽包,2012-11-26
1245437,drum internals,汽包內部裝置；鍋筒內部裝置,,* 汽包内部装置,2012-11-26
1245438,drum boiler,汽包鍋爐；鍋筒鍋爐,,* 汽包锅炉,2012-11-26
1245439,cavitation erosion,空蝕,,* 汽蚀,2012-11-26
1245440,net coal consumption rate,淨煤炭消耗率；供電煤耗率,,* 供电煤耗,2012-11-26
1245441,heat consumption rate of electricity supply,供電熱耗率,,* 供电热耗,2012-11-26
1245442,Pelton turbine,佩爾頓水輪機,,* 佩尔顿水轮机,2012-11-26
1245443,reversed cycle,逆循環,,* 制冷循环,2012-11-26
1245444,constant flow,定常流動；恒定流動,,* 定常流动,2012-11-26
1245445,karst,岩溶；喀斯特,,* 岩溶,2012-11-26
1245446,karstic water,岩溶水；喀斯特水,,* 岩溶水,2012-11-26
1245447,[delay] trigger angle,延遲角；（延遲）觸發角,,* 延迟角,2012-11-26
1245448,electric arc welding,電弧焊；電弧熔接,,* 弧焊,2012-11-26
1245449,guaranteed performance test,性能保證測試,,* 性能考核试验,2012-11-26
1245450,performance acceptance test,性能驗收試驗,,* 性能验收试验,2012-11-26
1245451,lacing wire,拉筋線,,* 拉金,2012-11-26
1245452,on-site storage of radioactive waste,放射性廢物現場儲存；放射性廢物就地儲存,,* 放射性废物现场储存,2012-11-26
1245453,slack bus,鬆弛母線,,* 松弛节点,2012-11-26
1245454,biogas anaerobic fermentation,沼氣厭氧消化；沼氣厭氧發酵,,* 沼气厌氧消化,2012-11-26
1245455,Francis turbine,法蘭西斯水輪機；佛氏水輪機,,* 法兰西斯水轮机,2012-11-26
1245456,sluice pipe,洩水涵管；洩水管道,,* 泄水涵管,2012-11-26
1245457,creepage distance,爬行距離,,* 泄漏距离,2012-11-26
1245458,oil shale,瀝青頁岩；油頁岩,,* 油母页岩,2012-11-26
1245459,oil tank,油箱 ；貯油罐,,* 油库,2012-11-26
1245460,booster oil pump,增壓油泵,,* 油涡轮泵,2012-11-26
1245461,reactor start-up without neutron source,反應器無中子源起動,,* 盲区启动,2012-11-26
1245462,direct radiation,直接輻射,,* 直接日射,2012-11-26
1245463,direct dry cooling system,直接空冷系統；直接乾式冷卻系統,,* 直接空冷系统,2012-11-26
1245464,dead short,完全短路,,* 直接短路,2012-11-26
1245465,direct-axis subtransient reactance,直軸次暫態電抗；直軸次瞬變電抗,,* 直轴超/次瞬态电抗,2012-11-26
1245466,direct-axis transient reactance,直軸暫態電抗,,* 直轴瞬态电抗,2012-11-26
1245467,air density correction factor,空氣密度校正因數,,* 空气密度校正因数,2012-11-26
1245468,humidity correction factor,濕度修正因數,,* 空气湿度校正因数,2012-11-26
1245469,combined erosion by sand and cavitation,沙與孔蝕複合腐蝕,,* 空蚀磨损联合破坏,2012-11-26
1245470,space heat radiator,空間熱輻射器,,* 空间辐射器,2012-11-26
1245471,first loading,第一次加載；初裝料,,* 初装料,2012-11-26
1245472,initial reactor core,初始反應器核心,,* 初装堆芯,2012-11-26
1245473,drainage on embankment slope,表面排水；貼坡式排水,,* 表面排水,2012-11-26
1245474,apparent power,視在功率,,* 表观功率,2012-11-26
1245475,commutating pole,換向極；整流極；輔助極,,* 附加极,2012-11-26
1245476,boundary layer,邊界層,,* 附面层,2012-11-26
1245477,inelastic scattering,非彈性散射,,* 非弹性碰撞,2012-11-26
1245478,gravity arch dam,重力拱壩,,* 厚拱坝,2012-11-26
1245479,weight span,垂直檔距；重力檔距,,* 垂直档距,2012-11-26
1245480,"gas insulated metal enclosed switchgear and controlgear, GIS",氣體絕緣金屬鎧裝開關與控制設備,,* 封闭式组合电器,2012-11-26
1245481,shielding cabinet,遮蔽櫃,,* 屏蔽柜,2012-11-26
1245482,shielding cage,遮蔽籠,,* 屏蔽笼,2012-11-26
1245483,"equal delay angle control, individual phase control",等觸發角控制 ；按相控制,,* 按相控制,2012-11-26
1245484,rupture life strength,斷裂壽命強度,,* 持久强度极限,2012-11-26
1245485,construction plant and facilities,施工工廠設施,,* 施工辅助企业,2012-11-26
1245486,overhead grounding wire,架空地線,,* 架空地线,2012-11-26
1245487,elastic metal-plastic segment,彈性金屬塑膠片,,* 氟塑料瓦,2012-11-26
1245488,basin hydropower development planning,流域水力發電開發規劃；流域水力發電開發計劃,,* 流域水电开发规划,2012-11-26
1245489,hydraulic deviation,水力偏差,,* 流量分配不均匀性,2012-11-26
1245490,average void content,平均含氣率,,* 流动干度,2012-11-26
1245491,active fault,活斷層,,* 活动性断裂,2012-11-26
1245492,phase,相；相位,,* 相角,2012-11-26
1245493,phase difference,相（位）差,,* 相角差,2012-11-26
1245494,phase comparison protection system,相位比較式保護系統,,* 相差保护,2012-11-26
1245495,per unit system,標么制,,* 相对值,2012-11-26
1245496,heavy water reactor,重水反應器,,* 重水堆,2012-11-26
1245497,heavy fuel oil,重油；重質燃料油,,* 重油,2012-11-26
1245498,overlap angle,重疊角,,* 重叠角,2012-11-26
1245499,guide vane end stop,導葉終端擋板,,* 限位销,2012-11-26
1245500,derated state,限額狀態,,* 降低出力状态,2012-11-26
1245501,selector switch,選擇開關,,* 复合开关,2012-11-26
1245502,resetting ratio,復歸比率,,* 复归系数,2012-11-26
